date,open,high,low,close,volume
2015-12-01,36.80,37.02,36.44,36.70,7027710
2015-12-02,36.60,36.87,36.45,36.52,6257961
2015-12-03,36.48,36.74,35.41,35.61,9034539
2015-12-04,35.67,36.14,35.60,35.97,4936896
2015-12-07,35.97,36.02,35.22,35.41,4294288
2015-12-08,35.16,35.61,34.88,35.27,4723062
2015-12-09,35.01,36.02,35.00,35.41,5067491
2015-12-10,35.41,35.69,35.04,35.09,5404299
2015-12-11,34.59,34.65,34.11,34.22,4845103
2015-12-14,34.19,34.51,33.84,34.18,4512721
2015-12-15,34.44,35.10,34.40,34.86,4819980
2015-12-16,34.92,35.46,34.54,35.40,5299114
2015-12-17,35.33,35.45,34.27,34.29,4872309
2015-12-18,34.12,35.13,33.94,35.00,12373731
2015-12-21,35.23,35.74,35.05,35.31,4587858
2015-12-22,35.47,36.59,35.42,36.41,5666162
2015-12-23,36.65,37.17,36.34,36.68,4924485
2015-12-24,36.68,36.88,36.47,36.65,1250976
2015-12-28,36.66,36.73,36.09,36.50,2337442
2015-12-29,36.59,37.15,36.57,37.09,2694597
2015-12-30,37.00,37.17,36.77,36.88,2380952
2015-12-31,36.64,36.90,36.45,36.68,2668072
2016-01-04,36.11,36.15,35.40,35.84,4040773
2016-01-05,35.82,36.27,35.41,36.24,3863286
2016-01-06,35.72,35.83,35.25,35.36,6072630
2016-01-07,34.91,35.09,34.33,34.52,4820544
2016-01-08,34.76,35.10,34.31,34.39,4130773
2016-01-11,34.54,34.73,33.94,34.16,5647217
2016-01-12,34.56,34.66,33.77,34.27,3445742
2016-01-13,34.34,34.55,33.42,33.47,4468066
2016-01-14,33.42,33.67,32.76,33.36,5575978
2016-01-15,32.60,32.62,31.16,31.51,8763707
2016-01-19,31.94,32.05,30.29,30.51,8756914
2016-01-20,30.25,31.71,29.86,31.29,9252507
2016-01-21,31.26,32.48,31.20,31.92,6085401
2016-01-22,32.52,33.37,32.49,33.23,5279560
2016-01-25,32.90,33.00,32.36,32.43,5782959
2016-01-26,32.88,33.65,32.49,33.63,4390895
2016-01-27,33.50,34.46,33.42,33.74,5023541
2016-01-28,34.16,34.95,33.98,34.70,5351162
2016-01-29,34.86,35.55,34.75,35.35,8608448
2016-02-01,34.77,35.64,34.31,35.46,6564270
2016-02-02,33.52,33.60,32.28,32.36,10969962
2016-02-03,32.56,33.80,32.47,33.44,8002876
2016-02-04,33.44,34.69,33.34,34.25,6612344
2016-02-05,34.28,34.51,33.92,34.07,5416678
2016-02-08,34.40,34.73,33.05,33.30,5061322
2016-02-09,33.44,33.68,32.56,33.58,6369366
2016-02-10,33.61,34.07,33.15,33.18,4301040
2016-02-11,32.27,32.83,31.50,31.63,6931847
2016-02-12,31.69,32.48,31.30,32.45,4441533
2016-02-16,32.96,33.82,32.85,33.62,4068622
2016-02-17,33.74,34.12,33.30,33.40,3362314
2016-02-18,33.40,33.99,33.24,33.90,3732482
2016-02-19,33.66,33.78,32.31,32.65,5618643
2016-02-22,32.89,33.90,32.80,33.79,4326835
2016-02-23,33.77,34.42,33.37,33.79,3444311
2016-02-24,33.55,33.91,33.08,33.85,3769583
2016-02-25,34.04,34.74,33.75,34.62,3580361
2016-02-26,34.72,35.10,34.50,34.79,3803243
2016-02-29,34.79,35.41,34.55,34.96,5092115
2016-03-01,35.13,35.62,34.56,35.48,4412936
2016-03-02,35.28,35.91,35.19,35.83,3392319
2016-03-03,36.17,36.86,35.74,36.83,4054828
2016-03-04,36.90,37.99,36.90,37.65,5268827
2016-03-07,37.17,37.29,36.85,37.14,3601942
2016-03-08,37.03,37.27,35.57,36.03,4266877
2016-03-09,36.28,36.44,35.80,36.06,3015826
2016-03-10,36.11,36.35,35.36,35.77,3242267
2016-03-11,36.17,36.62,36.10,36.60,2634430
2016-03-14,36.40,36.89,36.20,36.71,3183766
2016-03-15,36.30,36.67,36.14,36.56,2917528
2016-03-16,36.38,37.59,36.38,37.46,3620067
2016-03-17,37.51,38.76,37.51,38.20,4384779
2016-03-18,38.33,38.96,37.91,38.07,6360708
