date,open,high,low,close,volume
2015-12-01,63.58,64.77,63.58,64.72,1927122
2015-12-02,64.53,64.99,64.17,64.55,3217391
2015-12-03,64.86,64.99,64.19,64.41,4277062
2015-12-04,64.66,65.78,64.26,65.29,1885980
2015-12-07,65.50,65.73,63.37,63.75,1987168
2015-12-08,63.25,64.27,62.64,63.96,1488371
2015-12-09,63.82,64.51,62.80,63.25,1364928
2015-12-10,63.23,63.92,63.03,63.24,1211834
2015-12-11,62.78,63.10,60.83,61.10,1840934
2015-12-14,60.87,61.25,59.84,60.74,2312296
2015-12-15,61.21,62.27,60.82,61.09,1740325
2015-12-16,61.36,62.03,60.95,61.93,1666238
2015-12-17,61.94,62.10,60.74,60.74,1702460
2015-12-18,60.45,60.90,59.48,59.52,4332862
2015-12-21,59.66,60.63,59.53,60.16,1554685
2015-12-22,60.64,61.23,59.84,60.98,1107167
2015-12-23,61.23,62.19,60.84,62.04,1045282
2015-12-24,62.03,62.34,60.65,61.85,417286
2015-12-28,61.68,61.96,61.20,61.86,989124
2015-12-29,62.11,62.81,61.95,62.22,1004250
2015-12-30,62.26,63.16,61.93,62.25,929914
2015-12-31,62.13,62.85,60.91,60.93,1353915
2016-01-04,60.01,60.54,59.24,60.31,2070653
2016-01-05,60.39,60.80,60.01,60.39,1323627
2016-01-06,59.46,59.80,58.95,59.54,3306268
2016-01-07,58.36,58.69,55.97,55.98,3927892
2016-01-08,56.17,56.46,54.60,55.06,2376784
2016-01-11,55.30,55.55,54.07,55.23,2020662
2016-01-12,55.51,56.50,54.55,54.79,2439184
2016-01-13,55.07,55.07,49.85,50.87,9264892
2016-01-14,51.04,52.86,50.15,52.65,4160615
2016-01-15,50.99,51.36,48.95,49.40,5792204
2016-01-19,49.40,49.89,47.08,47.59,3473071
2016-01-20,46.81,48.45,45.12,47.90,3555253
2016-01-21,47.98,48.55,46.94,47.87,2410513
2016-01-22,48.64,49.34,48.35,49.03,1820110
2016-01-25,48.81,49.19,47.86,47.97,1684905
2016-01-26,48.29,48.67,47.39,48.42,2046693
2016-01-27,48.34,48.90,46.24,46.49,3076839
2016-01-28,46.95,47.40,45.03,45.27,3138847
2016-01-29,45.72,46.83,45.34,46.82,2273663
2016-02-01,46.65,47.98,46.04,47.65,2164681
2016-02-02,47.00,47.47,45.63,45.89,1788334
2016-02-03,48.61,50.90,47.47,49.56,6834195
2016-02-04,49.46,50.74,48.62,49.51,2402754
2016-02-05,48.98,49.24,45.82,46.17,3490948
