date,open,high,low,close,volume
2015-12-01,53.68,53.80,52.83,52.95,1255810
2015-12-02,52.75,53.07,51.80,52.28,934881
2015-12-03,52.27,52.96,51.80,52.83,1451082
2015-12-04,52.51,53.52,51.94,52.99,1190766
2015-12-07,52.53,52.66,50.88,51.10,969167
2015-12-08,50.55,50.71,49.67,49.78,731354
2015-12-09,50.77,51.42,49.62,50.02,1565360
2015-12-10,49.93,49.96,49.03,49.21,833764
2015-12-11,47.97,48.40,47.31,47.95,1399595
2015-12-14,47.83,47.97,46.34,47.76,1587289
2015-12-15,48.10,49.34,48.00,48.68,1032412
2015-12-16,49.15,52.06,48.75,51.83,2259418
2015-12-17,51.99,53.10,51.33,52.42,1716108
2015-12-18,52.01,53.31,50.97,51.18,2113542
2015-12-21,51.60,51.87,50.79,51.46,841222
2015-12-22,51.60,54.77,51.43,54.31,1159409
2015-12-23,54.56,56.45,54.49,56.29,1068410
2015-12-24,56.25,56.50,55.80,55.95,380672
2015-12-28,55.72,56.79,55.13,56.75,856381
2015-12-29,57.41,57.99,56.24,56.73,759609
2015-12-30,56.42,57.20,56.26,56.34,733703
2015-12-31,56.06,57.49,55.83,56.01,662967
2016-01-04,54.97,55.69,54.27,55.55,1284666
2016-01-05,55.86,56.10,53.88,54.70,1232181
2016-01-06,53.47,54.25,51.84,52.31,1239999
2016-01-07,51.26,51.70,49.48,49.95,1520951
2016-01-08,50.45,51.08,48.97,49.01,1127383
2016-01-11,49.24,49.53,47.38,48.04,1313184
2016-01-12,48.79,49.18,48.05,48.95,1299073
2016-01-13,49.62,51.27,47.30,47.71,1463343
2016-01-14,48.03,49.65,46.84,48.90,1303152
2016-01-15,47.64,48.02,45.78,47.91,1446852
2016-01-19,48.48,49.50,47.57,48.42,1699817
2016-01-20,47.56,48.79,46.16,48.01,1356484
2016-01-21,47.99,50.74,47.42,49.43,1844342
2016-01-22,50.66,52.27,50.65,51.29,1534245
2016-01-25,51.09,51.25,49.70,49.98,1642216
2016-01-26,50.37,52.47,50.08,51.88,1524251
2016-01-27,51.55,52.26,50.44,50.93,1430109
2016-01-28,51.65,52.52,51.28,51.76,1176720
2016-01-29,51.79,52.66,51.15,52.64,2887743
2016-02-01,51.87,52.95,50.97,52.82,1686001
2016-02-02,52.17,53.02,51.35,51.86,1268989
2016-02-03,52.66,53.62,51.16,53.52,1447674
2016-02-04,53.64,54.26,51.23,51.95,2213785
2016-02-05,51.38,52.70,50.72,51.54,1380315
2016-02-08,50.91,50.91,47.49,48.79,1940734
2016-02-09,48.22,50.02,48.08,49.89,1709354
2016-02-10,50.60,51.05,49.41,50.09,1101449
2016-02-11,48.78,50.83,48.42,50.09,1185991
2016-02-12,50.68,52.02,50.04,51.38,1183953
2016-02-16,52.19,52.62,51.05,52.32,1652004
2016-02-17,52.94,54.25,52.51,52.77,1782805
2016-02-18,51.34,55.59,50.95,54.53,3069245
2016-02-19,54.42,54.54,53.27,54.48,1036930
2016-02-22,54.84,55.49,54.65,54.83,1382581
2016-02-23,54.47,55.59,52.51,52.66,1223886
2016-02-24,51.97,53.36,51.03,53.31,971000
2016-02-25,53.60,55.46,53.26,55.44,832996
2016-02-26,55.94,56.86,55.55,56.56,885469
2016-02-29,56.60,57.95,56.11,56.22,1447718
2016-03-01,57.12,58.86,57.00,58.66,1483948
2016-03-02,58.26,59.42,57.37,57.71,1144861
2016-03-03,57.48,57.89,56.03,57.22,1257771
2016-03-04,57.52,59.88,57.35,59.17,1394242
2016-03-07,59.02,59.97,57.92,58.80,1808384
2016-03-08,58.33,59.13,58.05,58.48,1502484
2016-03-09,58.80,60.34,58.60,60.24,1418117
2016-03-10,59.89,60.54,58.93,59.38,1365227
2016-03-11,59.79,61.90,59.45,61.24,1109494
2016-03-14,60.38,60.96,59.73,60.02,1350693
2016-03-15,59.34,60.04,58.84,59.19,1318408
2016-03-16,59.10,61.69,59.10,61.62,1461266
2016-03-17,61.47,62.87,60.76,62.43,1335412
2016-03-18,62.36,62.75,60.70,61.38,1907553
2016-03-21,61.38,61.93,60.95,61.64,1155246
2016-03-22,61.36,62.56,61.19,62.16,1225732
2016-03-23,61.95,62.19,61.26,61.39,1055188
2016-03-24,60.67,62.09,60.34,61.92,711052
2016-03-28,61.99,62.26,61.52,62.12,811791
2016-03-29,62.09,63.00,61.51,62.96,797954
2016-03-30,63.29,64.25,62.91,63.99,1074272
2016-03-31,63.88,64.33,63.65,63.93,1224793
2016-04-01,63.44,65.50,63.40,65.20,2461697
2016-04-04,65.38,65.90,64.99,65.33,1470131
2016-04-05,64.62,65.48,64.06,64.50,822602
2016-04-06,64.43,66.08,63.73,66.03,1237245
2016-04-07,65.90,66.93,64.24,64.69,1328200
2016-04-08,65.64,65.72,64.46,64.85,1559813
2016-04-11,65.13,65.94,65.04,65.25,1118501
2016-04-12,65.58,65.85,65.26,65.30,1070043
2016-04-13,65.80,66.32,64.43,65.00,2325275
2016-04-14,65.24,65.89,64.89,65.45,1849733
2016-04-15,65.74,65.85,65.04,65.37,1499181
2016-04-18,64.89,65.55,64.75,65.49,939645
2016-04-19,65.85,65.85,64.60,65.34,1958164
2016-04-20,65.23,65.76,64.50,65.65,1519109
2016-04-21,65.65,65.99,65.53,65.64,1288508
2016-04-22,65.66,66.71,65.66,66.24,1269617
2016-04-25,66.37,66.87,66.15,66.59,1004911
2016-04-26,66.97,67.95,66.78,67.76,1231938
