date,open,high,low,close,volume
2015-12-01,66.86,67.23,66.15,67.09,301852
2015-12-02,67.34,68.33,67.09,67.93,580560
2015-12-03,68.33,68.42,65.58,65.82,517928
2015-12-04,65.80,66.29,64.52,65.56,588843
2015-12-07,65.71,66.59,65.06,66.47,308676
2015-12-08,66.23,66.72,65.13,66.58,341935
2015-12-09,66.17,66.96,64.52,64.84,353895
2015-12-10,65.04,66.35,64.46,65.03,370742
2015-12-11,64.69,65.35,64.03,65.09,434937
2015-12-14,65.20,65.69,64.40,65.04,346586
2015-12-15,65.69,66.16,64.58,65.84,342557
2015-12-16,66.11,66.31,63.19,65.76,286852
2015-12-17,65.75,65.94,64.11,64.77,248470
2015-12-18,64.41,64.72,63.85,64.16,659659
2015-12-21,64.46,64.68,63.73,64.21,319897
2015-12-22,64.72,65.85,64.10,65.42,305405
2015-12-23,65.75,65.91,63.84,65.12,364573
2015-12-24,65.36,65.73,65.22,65.39,243521
2015-12-28,65.10,66.49,65.10,66.34,303458
2015-12-29,66.93,67.37,66.01,66.37,211955
2015-12-30,66.41,66.64,66.07,66.10,212569
2015-12-31,66.50,67.37,65.79,65.85,546000
2016-01-04,64.99,65.00,63.43,64.27,987310
2016-01-05,64.64,67.00,64.64,64.95,746616
2016-01-06,64.11,65.82,64.03,64.87,877822
2016-01-07,63.53,64.89,62.91,63.50,769361
2016-01-08,64.38,66.10,63.94,64.53,916004
2016-01-11,64.78,64.95,60.44,61.00,884991
2016-01-12,61.00,62.21,60.61,61.77,383561
2016-01-13,61.89,62.02,58.68,58.86,482719
2016-01-14,59.31,60.52,58.18,59.99,408873
2016-01-15,58.70,59.86,57.83,59.86,460357
2016-01-19,60.27,61.05,59.30,59.77,606147
2016-01-20,59.16,60.94,57.31,60.33,740437
2016-01-21,60.46,61.35,59.88,60.73,397846
2016-01-22,61.18,61.46,59.86,60.95,697850
2016-01-25,60.81,61.33,60.17,60.39,334006
2016-01-26,60.47,62.34,59.94,62.21,342371
2016-01-27,62.40,62.94,61.21,61.42,366182
2016-01-28,61.58,62.20,58.43,59.51,1244523
2016-01-29,64.50,69.36,62.88,66.14,2198499
2016-02-01,66.11,68.03,65.58,67.55,1052810
2016-02-02,65.65,67.75,65.57,67.54,818679
2016-02-03,67.76,68.00,65.25,67.17,587206
2016-02-04,67.01,67.99,66.59,67.38,398321
2016-02-05,67.10,67.34,65.02,65.87,558528
2016-02-08,65.00,65.00,57.51,58.65,1550729
2016-02-09,58.22,59.74,58.05,58.66,989896
2016-02-10,59.21,62.68,58.69,60.13,1135112
2016-02-11,59.21,59.72,57.75,58.79,724334
2016-02-12,59.74,59.95,58.00,58.78,513000
2016-02-16,59.61,61.95,58.95,61.87,742117
2016-02-17,62.07,63.66,61.06,63.10,609431
2016-02-18,63.62,63.83,62.39,62.88,447001
2016-02-19,62.35,63.44,61.44,63.29,289225
2016-02-22,63.77,64.66,63.68,64.33,398255
2016-02-23,63.42,64.50,62.82,62.94,427687
2016-02-24,62.24,63.55,61.49,63.32,407527
2016-02-25,63.50,64.50,62.25,64.46,354380
2016-02-26,64.20,65.62,64.16,65.40,422639
2016-02-29,65.32,66.25,65.08,66.03,627345
2016-03-01,66.26,68.08,65.77,67.86,694951
2016-03-02,67.98,68.62,66.72,68.51,562630
2016-03-03,68.59,69.58,67.77,69.44,465590
2016-03-04,69.48,70.60,68.48,70.39,772869
2016-03-07,70.35,71.65,69.84,71.55,618586
2016-03-08,71.07,71.51,69.84,70.60,843184
2016-03-09,70.66,71.14,70.13,70.69,718362
2016-03-10,70.63,71.08,69.45,70.42,691860
2016-03-11,71.22,72.75,70.84,72.30,653202
2016-03-14,71.58,72.56,71.12,72.21,487985
2016-03-15,71.97,72.74,70.82,71.04,616166
2016-03-16,70.60,72.83,70.41,72.64,702459
2016-03-17,68.67,69.24,66.79,68.47,3111127
2016-03-18,68.50,69.43,68.25,68.90,1293384
2016-03-21,69.22,69.88,68.46,68.80,892530
2016-03-22,68.71,69.88,68.44,69.82,673051
