date,open,high,low,close,volume
2015-12-01,56.62,56.93,56.34,56.67,1195209
2015-12-02,56.49,56.57,55.74,55.80,1323693
2015-12-03,55.82,56.00,54.27,54.71,1371110
2015-12-04,54.78,55.52,54.60,55.31,1754492
2015-12-07,54.97,55.22,54.68,55.11,1008231
2015-12-08,54.62,54.74,53.81,53.83,1256118
2015-12-09,53.47,54.84,53.47,54.00,1828502
2015-12-10,53.93,54.43,53.85,54.08,2388939
2015-12-11,53.51,53.60,52.85,52.91,1681435
2015-12-14,52.99,53.45,52.91,53.42,2154644
2015-12-15,53.89,53.96,53.25,53.33,2063485
2015-12-16,53.83,54.55,53.39,54.35,2042572
2015-12-17,54.38,54.58,53.42,53.55,1931266
2015-12-18,53.29,53.60,52.92,52.95,3289855
2015-12-21,53.35,53.56,52.81,53.08,1265102
2015-12-22,53.35,53.56,53.04,53.42,2324009
2015-12-23,53.78,54.51,53.59,54.17,1461601
2015-12-24,53.96,54.47,53.96,54.29,392338
2015-12-28,54.17,54.26,53.65,53.94,707320
2015-12-29,54.42,54.70,54.01,54.55,529115
2015-12-30,54.47,54.63,54.14,54.18,600145
2015-12-31,53.91,54.25,53.58,53.59,708652
2016-01-04,52.93,52.93,52.28,52.65,1942336
2016-01-05,52.65,52.87,52.05,52.38,1277108
2016-01-06,51.58,51.91,50.98,51.19,1973654
2016-01-07,50.39,50.44,49.38,49.98,2498653
2016-01-08,50.29,50.60,48.98,49.07,1708521
2016-01-11,49.15,49.52,47.80,48.20,2482990
2016-01-12,48.72,48.77,47.88,48.47,1711877
2016-01-13,48.77,48.93,47.34,47.39,1325182
2016-01-14,47.48,48.43,46.77,47.99,1510580
2016-01-15,46.94,48.16,46.93,47.89,1822898
2016-01-19,48.46,48.47,46.97,47.42,1202693
2016-01-20,46.41,47.01,45.09,46.56,1910769
2016-01-21,46.52,46.97,45.81,46.33,1869330
2016-01-22,47.25,47.54,46.57,46.91,1381283
2016-01-25,46.79,46.93,45.90,45.90,1291226
2016-01-26,46.24,46.72,46.08,46.62,1815198
2016-01-27,46.53,47.14,46.04,46.31,1589743
2016-01-28,46.77,46.88,45.92,46.18,1607726
2016-01-29,46.49,47.13,46.15,47.05,2863742
2016-02-01,46.58,46.91,45.97,46.68,3172666
2016-02-02,46.10,46.19,45.36,45.52,2450835
2016-02-03,45.98,46.20,44.69,45.85,2261260
2016-02-04,45.85,47.16,44.92,46.64,1878844
2016-02-05,43.94,45.95,42.82,45.33,3471513
2016-02-08,44.39,44.93,44.04,44.75,2958564
2016-02-09,44.37,46.09,44.04,45.75,1952269
2016-02-10,45.61,46.17,45.23,45.62,2310087
2016-02-11,44.64,45.45,44.28,45.03,1993999
2016-02-12,45.71,46.18,45.39,45.63,1722307
2016-02-16,46.32,46.33,45.25,45.98,2380974
2016-02-17,46.16,46.34,45.86,46.01,1908525
2016-02-18,46.02,46.06,45.55,45.86,1300768
2016-02-19,45.81,46.17,45.34,46.13,1588931
2016-02-22,46.41,46.92,46.05,46.13,1359280
2016-02-23,46.09,46.25,45.24,45.54,2424693
2016-02-24,44.94,45.51,44.64,45.38,2032079
2016-02-25,45.59,46.41,45.23,46.39,1178239
2016-02-26,46.61,47.00,46.17,46.67,1070520
2016-02-29,46.86,47.05,46.40,46.41,1362871
2016-03-01,46.69,48.08,46.55,47.91,1713558
2016-03-02,47.84,47.97,47.49,47.86,1155195
2016-03-03,47.98,48.24,47.50,48.22,927231
2016-03-04,48.15,48.56,47.90,48.13,1005430
2016-03-07,47.94,48.34,47.90,48.16,835597
2016-03-08,47.81,48.13,47.60,47.73,1577337
2016-03-09,47.85,47.99,47.54,47.65,933288
2016-03-10,47.66,47.79,46.82,47.40,1456543
2016-03-11,47.89,48.10,47.54,48.07,1345695
2016-03-14,48.01,48.69,46.81,48.52,1892886
2016-03-15,48.06,48.52,47.79,48.50,1588441
