date,open,high,low,close,volume
2015-12-01,162.71,163.43,160.52,161.98,2429007
2015-12-02,161.62,162.38,160.10,160.52,2871582
2015-12-03,160.27,160.52,153.71,154.65,4468642
2015-12-04,154.96,161.95,154.95,161.43,3920918
2015-12-07,162.92,162.97,157.54,158.30,3566656
2015-12-08,156.61,160.67,156.04,159.35,2249241
2015-12-09,158.35,159.81,156.12,157.89,2995578
2015-12-10,158.97,160.85,157.00,159.67,2813993
2015-12-11,157.82,158.78,154.79,155.15,3005700
2015-12-14,155.98,158.34,153.43,158.11,2801651
2015-12-15,161.65,164.45,161.56,162.62,5365581
2015-12-16,164.31,165.23,162.10,164.58,3923581
2015-12-17,164.58,164.99,159.81,161.43,3699409
2015-12-18,160.50,161.82,158.62,158.80,6227035
2015-12-21,159.88,160.38,157.38,159.28,3818946
2015-12-22,160.50,163.37,160.04,162.30,3125525
2015-12-23,163.03,163.50,161.65,162.72,2202121
2015-12-24,163.70,164.36,162.22,163.55,943079
2015-12-28,162.91,163.12,160.60,161.73,1513475
2015-12-29,162.92,164.96,162.05,164.44,2171077
2015-12-30,164.63,164.75,162.91,163.29,1493359
2015-12-31,162.15,164.11,162.05,162.33,1775906
2016-01-04,159.00,159.22,156.09,158.34,5083208
2016-01-05,159.00,160.21,157.25,158.17,2678936
2016-01-06,155.01,157.93,154.90,156.72,3826922
2016-01-07,153.06,156.45,152.89,152.98,4162456
2016-01-08,153.12,154.86,150.46,150.71,4179560
2016-01-11,151.33,151.59,144.17,147.69,4747429
2016-01-12,148.43,151.24,146.92,150.79,4410621
2016-01-13,151.14,152.83,145.28,145.46,3982146
2016-01-14,146.02,155.30,144.57,153.16,5648973
2016-01-15,147.69,152.30,147.69,151.30,6213015
2016-01-19,153.45,154.62,148.23,151.30,4382191
2016-01-20,149.00,156.84,148.05,155.02,7338628
2016-01-21,154.75,155.02,150.24,152.78,4674002
2016-01-22,156.45,156.96,154.24,156.08,4577287
2016-01-25,156.18,158.00,153.00,153.43,4765120
2016-01-26,152.78,155.23,151.09,153.78,3645490
2016-01-27,154.89,154.89,148.87,150.47,3752333
2016-01-28,151.10,151.71,145.42,148.35,4246491
2016-01-29,149.40,153.00,145.25,152.73,7174382
2016-02-01,151.31,153.72,149.34,152.75,4602164
2016-02-02,150.48,151.49,148.48,150.11,3845563
2016-02-03,150.50,151.18,147.07,150.69,4530627
2016-02-04,150.50,151.96,148.80,149.91,3685238
2016-02-05,148.93,149.38,143.69,145.04,6447124
2016-02-08,143.50,144.56,140.16,143.00,4627325
2016-02-09,141.02,145.63,140.82,143.16,4211109
2016-02-10,145.21,147.13,143.96,144.81,4273459
2016-02-11,140.76,143.49,140.04,141.46,4374353
2016-02-12,143.13,144.97,141.14,144.72,3217966
2016-02-16,146.89,148.06,145.68,147.15,3371339
2016-02-17,148.30,151.52,147.40,151.07,3811075
2016-02-18,150.79,152.36,149.08,149.30,2892146
2016-02-19,148.98,151.76,148.26,150.12,2796785
2016-02-22,148.72,149.77,146.94,148.56,4603310
2016-02-23,148.15,149.72,146.86,147.26,3315190
2016-02-24,145.50,147.27,143.91,147.11,3316105
2016-02-25,147.36,148.39,145.26,146.75,3446824
2016-02-26,148.51,149.50,146.95,147.60,3411498
2016-02-29,146.96,147.67,142.22,142.28,5193833
2016-03-01,144.30,148.45,142.28,148.39,4477712
2016-03-02,148.00,148.63,146.21,147.49,3690307
2016-03-03,147.22,147.29,145.32,145.84,2989489
2016-03-04,147.03,147.30,144.54,145.98,3471394
2016-03-07,144.98,147.87,144.76,147.31,3283846
