date,open,high,low,close,volume
2015-12-01,99.50,101.19,99.50,101.17,1998688
2015-12-02,100.96,101.24,99.24,99.46,1649877
2015-12-03,99.43,99.68,97.44,97.89,2469641
2015-12-04,98.07,99.01,97.17,97.55,3381470
2015-12-07,97.06,97.98,97.05,97.69,2487411
2015-12-08,97.34,97.61,96.28,96.88,2654981
2015-12-09,96.29,97.44,94.86,95.54,2558788
2015-12-10,95.54,96.04,94.97,95.07,1742617
2015-12-11,94.04,94.60,93.25,93.68,3008498
2015-12-14,93.38,94.41,92.88,94.04,2220221
2015-12-15,94.87,96.15,94.78,95.61,1785602
2015-12-16,96.01,97.77,95.64,97.50,1892071
2015-12-17,97.83,97.88,96.08,96.09,1776052
2015-12-18,95.61,95.90,94.59,94.60,3258408
2015-12-21,95.42,95.74,94.79,95.56,1291436
2015-12-22,96.15,97.00,95.86,96.42,1755499
2015-12-23,96.68,98.54,96.68,98.50,1844629
2015-12-24,98.63,98.70,97.92,98.14,668387
2015-12-28,97.74,98.52,97.50,98.37,1028269
2015-12-29,98.95,99.59,98.92,99.41,1198868
2015-12-30,99.33,99.53,98.02,98.10,1039597
2015-12-31,97.96,97.99,96.88,96.95,1523298
2016-01-04,96.29,96.78,95.09,96.70,2819849
2016-01-05,96.94,98.75,96.80,98.61,2518412
2016-01-06,98.07,98.64,97.52,98.26,2132436
2016-01-07,96.90,97.33,95.37,95.81,3203570
2016-01-08,95.99,96.49,93.90,94.23,1959905
2016-01-11,94.73,95.00,93.84,94.48,1545367
2016-01-12,95.11,95.18,93.78,94.48,1859881
2016-01-13,94.85,95.07,92.10,92.15,1989478
2016-01-14,92.74,93.05,91.70,92.21,2524476
2016-01-15,90.51,91.63,87.85,88.39,5386288
2016-01-19,89.76,93.53,89.60,90.91,4084559
2016-01-20,90.01,90.18,86.21,89.00,4292996
2016-01-21,88.87,91.16,88.21,90.02,2994665
2016-01-22,90.91,93.59,90.33,93.25,3258328
2016-01-25,93.28,93.39,90.93,91.12,2895430
2016-01-26,92.00,93.69,91.90,92.47,2795019
2016-01-27,92.06,93.45,91.42,92.51,2024150
2016-01-28,92.63,93.45,92.34,92.51,1950303
2016-01-29,93.64,94.50,92.87,94.34,2744516
2016-02-01,93.60,93.90,92.83,93.10,2752471
2016-02-02,92.48,92.84,91.15,91.35,1879503
2016-02-03,91.76,91.76,88.40,90.49,4310942
2016-02-04,90.32,91.84,90.01,91.09,2385364
2016-02-05,90.70,90.95,88.56,88.84,2046038
2016-02-08,88.41,88.46,84.55,85.41,3025349
2016-02-09,84.56,85.89,83.91,85.57,2653074
2016-02-10,85.85,87.13,85.36,85.84,1595520
2016-02-11,84.65,84.65,83.07,83.66,2891248
2016-02-12,85.09,85.82,83.75,85.67,2187998
2016-02-16,87.09,87.46,85.98,86.45,1880246
2016-02-17,86.93,87.34,86.11,86.19,2491796
2016-02-18,86.09,88.01,85.78,87.50,2799486
2016-02-19,87.41,87.92,86.51,87.32,2751207
2016-02-22,88.02,89.82,88.02,89.24,2633645
2016-02-23,88.87,89.36,87.58,88.02,1967624
2016-02-24,87.57,89.43,87.01,89.03,3775916
2016-02-25,89.27,90.14,88.96,89.42,4584250
2016-02-26,88.80,91.80,87.28,90.01,4731109
2016-02-29,90.16,93.25,90.01,92.20,3879554
2016-03-01,92.75,94.79,91.65,94.70,3240607
2016-03-02,94.37,94.70,93.74,94.62,1645651
2016-03-03,94.80,95.32,94.13,95.30,1879747
2016-03-04,95.12,96.33,95.10,95.94,1987827
2016-03-07,95.46,96.20,95.21,95.60,1989418
2016-03-08,95.02,95.56,94.36,94.60,1719442
2016-03-09,94.94,95.18,94.26,94.60,1875758
2016-03-10,95.31,95.81,93.69,94.71,1748499
2016-03-11,95.55,98.56,95.42,98.46,2680711
2016-03-14,97.69,98.31,96.69,98.06,2026190
2016-03-15,97.07,98.63,97.02,98.41,2124199
2016-03-16,98.11,99.98,97.79,99.81,1816954
2016-03-17,99.72,102.90,99.47,101.75,3535081
2016-03-18,102.20,102.20,100.15,100.51,3571734
2016-03-21,100.01,100.66,99.76,100.34,1718109
2016-03-22,100.08,100.37,99.45,99.93,1435782
2016-03-23,100.00,100.96,99.57,99.58,1343899
2016-03-24,99.40,100.62,98.87,100.35,1576807
2016-03-28,100.46,100.88,99.89,100.24,1077136
2016-03-29,100.30,102.07,99.80,101.92,1824432
2016-03-30,102.35,102.91,102.08,102.31,1568352
2016-03-31,102.00,102.93,101.88,102.37,1588288
2016-04-01,101.93,104.82,101.87,104.50,3108425
2016-04-04,104.70,104.88,104.12,104.70,1877240
2016-04-05,104.00,104.39,103.74,104.00,1661128
2016-04-06,104.00,105.83,103.75,105.70,2331505
2016-04-07,105.23,105.55,104.43,105.00,2133138
2016-04-08,105.02,106.07,104.82,105.71,1380315
2016-04-11,106.25,106.53,105.67,106.01,1423518
2016-04-12,105.91,106.49,105.26,106.17,1495699
2016-04-13,106.74,106.75,105.81,106.23,2271261
2016-04-14,106.15,106.34,105.08,105.20,1628035
2016-04-15,105.28,106.00,104.87,105.78,1325133
2016-04-18,105.22,105.76,105.00,105.54,2031483
2016-04-19,105.02,105.54,103.95,105.50,2433076
2016-04-20,105.51,105.89,104.64,104.82,1707255
2016-04-21,104.50,104.50,102.38,102.57,2461872
2016-04-22,102.96,105.14,102.85,104.19,1709907
2016-04-25,104.09,104.55,103.31,104.18,1296786
2016-04-26,104.45,105.05,104.38,104.77,1257859
2016-04-27,104.53,105.28,103.80,104.49,1613465
2016-04-28,103.81,105.34,103.52,104.13,2432867
2016-04-29,103.95,105.25,102.29,104.88,2678505
2016-05-02,105.00,105.77,104.50,105.51,2150454
2016-05-03,104.42,104.99,103.15,104.16,1976797
2016-05-04,103.65,105.73,103.26,105.51,1927881
2016-05-05,105.61,106.72,105.61,106.31,2148447
2016-05-06,106.06,106.68,105.24,106.57,1313862
2016-05-09,106.63,107.16,106.23,106.65,1169540
2016-05-10,106.87,107.24,106.55,107.18,1164079
2016-05-11,106.93,107.13,105.70,105.73,1025848
2016-05-12,106.26,106.78,105.59,106.56,1185157
2016-05-13,106.34,106.60,105.37,105.70,1273211
2016-05-16,105.75,106.72,105.70,106.48,1623809
2016-05-17,106.65,106.65,104.82,105.36,1213711
2016-05-18,105.18,105.44,103.41,104.55,1691045
2016-05-19,103.50,104.09,103.11,103.77,1146704
2016-05-20,104.28,104.43,103.63,104.01,1632898
2016-05-23,104.28,104.44,103.63,104.16,1069199
2016-05-24,104.45,105.35,104.20,105.30,2152995
2016-05-25,106.00,106.47,105.52,106.17,1311783
2016-05-26,106.03,106.24,104.91,105.30,1544685
2016-05-27,105.36,106.54,105.36,106.06,1134727
2016-05-31,105.96,106.30,105.25,105.78,2166227
2016-06-01,105.46,105.85,104.87,105.47,1133682
2016-06-02,105.35,106.57,104.93,106.56,1338643
2016-06-03,106.96,107.29,106.41,106.97,1438380
2016-06-06,107.11,107.66,106.66,107.20,1164508
2016-06-07,107.27,108.27,106.94,107.87,1300612
2016-06-08,107.84,108.31,107.23,107.56,1225741
2016-06-09,107.40,109.10,107.10,109.07,2009633
2016-06-10,108.43,109.38,108.03,108.79,2050801
2016-06-13,108.77,109.80,108.55,108.93,2494103
2016-06-14,108.52,108.85,107.21,107.61,1565229
2016-06-15,107.25,107.76,106.86,107.23,1342749
2016-06-16,106.98,107.75,106.64,107.69,1459114
2016-06-17,107.60,107.71,106.50,106.94,2267249
2016-06-20,107.84,108.56,107.36,107.42,2327521
2016-06-21,107.91,109.79,107.64,109.44,2071324
2016-06-22,109.39,109.82,108.63,109.40,1247321
2016-06-23,110.00,111.47,109.53,111.47,1842700
2016-06-24,108.18,110.27,107.68,108.27,3369212
2016-06-27,107.64,108.92,106.64,108.89,2695051
2016-06-28,109.82,110.84,109.19,110.80,1807617
2016-06-29,111.65,113.13,111.11,113.00,2466657
2016-06-30,113.22,113.63,111.74,113.61,3217435
2016-07-01,113.94,114.50,113.45,113.60,1551296
