date,open,high,low,close,volume
2015-12-01,673.75,681.00,667.86,679.06,4751152
2015-12-02,681.00,684.82,674.25,676.01,4273526
2015-12-03,679.06,682.79,661.48,666.25,5064736
2015-12-04,666.00,674.77,661.40,672.64,4534796
2015-12-07,674.74,675.46,660.50,669.83,3732814
2015-12-08,663.13,679.99,659.79,677.33,3651908
2015-12-09,678.00,679.00,655.68,664.79,5158172
2015-12-10,665.59,668.53,659.56,662.32,3455472
2015-12-11,651.23,657.88,639.62,640.15,5474420
2015-12-14,641.75,658.59,635.27,657.91,4361273
2015-12-15,665.03,671.50,657.35,658.64,4753415
2015-12-16,663.56,677.35,659.32,675.77,3964470
2015-12-17,680.00,682.50,670.65,670.65,3681645
2015-12-18,668.65,676.84,664.13,664.14,6841304
2015-12-21,668.50,669.90,658.93,664.51,3250900
2015-12-22,666.83,668.49,659.26,663.15,2667768
2015-12-23,666.50,666.60,656.63,663.70,2722922
2015-12-24,663.35,664.68,660.60,662.79,1092970
2015-12-28,665.56,675.50,665.50,675.20,3783555
2015-12-29,677.98,696.44,677.89,693.97,5734996
2015-12-30,691.89,695.49,686.38,689.07,3519003
2015-12-31,686.08,687.75,675.89,675.89,3749560
2016-01-04,656.29,657.72,627.51,636.99,9312719
2016-01-05,646.86,646.91,627.65,633.79,5822603
2016-01-06,622.00,639.79,620.31,632.65,5329197
2016-01-07,621.80,630.00,605.21,607.94,7074905
2016-01-08,619.66,624.14,606.00,607.05,5512915
2016-01-11,612.48,619.85,598.57,617.74,4891551
2016-01-12,625.25,625.99,612.24,617.89,4724100
2016-01-13,620.88,620.88,579.16,581.81,7655239
2016-01-14,580.82,602.25,569.88,593.00,7237978
2016-01-15,572.24,584.62,565.30,570.18,7784523
2016-01-19,576.99,584.00,566.45,574.48,4807165
2016-01-20,564.36,578.45,547.18,571.77,7966406
2016-01-21,573.58,588.81,568.22,575.02,4952217
2016-01-22,588.73,600.10,584.11,596.38,5120144
2016-01-25,597.99,608.50,594.56,596.53,4396079
2016-01-26,603.45,604.50,590.38,601.25,3765655
2016-01-27,601.99,603.39,578.78,583.35,5152853
2016-01-28,608.37,638.06,597.55,635.35,14015171
2016-01-29,571.98,593.00,570.00,587.00,14677550
2016-02-01,578.15,581.80,570.31,574.81,6355123
2016-02-02,570.00,571.56,550.09,552.10,6181465
2016-02-03,553.50,556.00,521.90,531.07,10048709
2016-02-04,525.00,538.99,519.22,536.26,6199070
2016-02-05,529.28,529.45,499.19,502.13,9708929
2016-02-08,486.47,493.50,475.21,488.10,9825509
2016-02-09,478.01,498.38,474.00,482.07,7077915
2016-02-10,491.76,504.66,486.00,490.48,6783681
2016-02-11,491.69,509.30,484.00,503.82,7397393
2016-02-12,510.69,516.75,501.49,507.08,5384787
2016-02-16,519.48,524.45,511.66,521.10,5118500
2016-02-17,528.74,537.48,519.39,534.10,4824002
2016-02-18,541.19,541.20,523.73,525.00,4735008
2016-02-19,520.71,535.95,515.35,534.90,4974717
2016-02-22,542.20,560.65,541.08,559.50,5566553
2016-02-23,555.55,556.91,545.33,552.94,4050790
2016-02-24,545.75,554.27,533.15,554.04,6231668
2016-02-25,555.52,559.39,545.29,555.15,4525463
2016-02-26,560.12,562.50,553.17,555.23,4873289
2016-02-29,554.00,564.81,552.51,552.52,4145396
2016-03-01,556.29,579.25,556.00,579.04,5038452
2016-03-02,581.75,585.00,573.70,580.21,4582170
2016-03-03,577.96,579.87,573.11,577.49,2741292
2016-03-04,581.07,581.40,571.07,575.14,3416545
2016-03-07,573.54,573.63,555.55,562.80,4932527
2016-03-08,557.87,571.35,554.74,560.26,4729952
2016-03-09,559.56,560.35,550.12,559.47,4377283
2016-03-10,566.74,567.00,547.90,558.93,3919892
2016-03-11,566.95,570.06,562.73,569.61,3771310
2016-03-14,567.00,576.89,563.05,573.37,3454152
2016-03-15,571.00,581.52,567.00,577.02,3876821
2016-03-16,576.64,581.32,571.14,574.27,3537669
2016-03-17,569.51,571.40,555.01,559.44,5928105
2016-03-18,561.00,562.33,546.09,552.08,7296885
2016-03-21,548.91,555.24,538.58,553.98,5155732
2016-03-22,545.11,562.76,545.05,560.48,4000564
2016-03-23,561.00,572.48,558.10,569.63,3983720
2016-03-24,567.11,583.55,567.08,582.95,5185539
2016-03-28,584.40,584.75,575.56,579.87,3121517
2016-03-29,580.15,595.85,576.50,593.86,4392567
2016-03-30,596.71,603.24,595.00,598.69,3890445
2016-03-31,599.28,600.75,592.21,593.64,2681811
2016-04-01,590.49,599.03,588.30,598.50,2917386
2016-04-04,599.00,599.50,590.55,593.19,2470825
2016-04-05,590.77,593.47,585.25,586.14,2308884
2016-04-06,587.52,602.39,587.50,602.08,2849909
2016-04-07,598.76,599.60,589.08,591.43,3189037
2016-04-08,594.32,597.86,589.00,594.60,2591936
2016-04-11,596.14,604.00,594.91,595.93,2704267
2016-04-12,598.40,604.06,592.31,603.17,2641062
2016-04-13,607.68,616.81,605.29,614.82,4228349
2016-04-14,615.07,624.38,615.07,620.75,3512136
2016-04-15,621.92,626.77,618.11,625.89,2887681
2016-04-18,625.35,637.64,624.96,635.35,4360883
2016-04-19,637.14,638.01,620.80,627.90,4055870
2016-04-20,630.00,636.55,623.00,632.99,2609425
2016-04-21,631.00,637.82,628.50,631.00,2596298
2016-04-22,623.77,628.25,611.56,620.50,5083904
2016-04-25,616.61,626.98,616.25,626.20,2682924
2016-04-26,626.17,626.75,614.88,616.88,2521433
2016-04-27,611.80,615.95,601.28,606.57,4068767
2016-04-28,615.54,626.80,599.20,602.00,7872605
2016-04-29,666.00,669.98,654.00,659.59,10310739
2016-05-02,663.92,685.50,662.03,683.85,6578517
2016-05-03,677.36,680.30,670.43,671.32,4923342
2016-05-04,662.59,674.00,662.14,670.90,4635462
2016-05-05,673.31,676.49,656.00,659.09,4884114
2016-05-06,656.05,676.95,656.01,673.95,4365345
2016-05-09,673.95,686.98,671.41,679.75,3982161
2016-05-10,694.00,704.55,693.50,703.07,6105570
2016-05-11,705.79,719.00,701.65,713.23,7338196
2016-05-12,717.38,722.45,711.51,717.93,5048150
2016-05-13,714.64,719.25,706.51,709.92,4763399
2016-05-16,710.13,713.25,700.28,710.66,5432920
2016-05-17,709.90,714.47,693.91,695.27,5121357
2016-05-18,689.56,702.54,688.76,697.45,4283189
2016-05-19,691.88,699.40,689.56,698.52,3025566
2016-05-20,701.05,707.24,700.00,702.80,2916165
2016-05-23,704.25,706.00,696.42,696.75,2595082
2016-05-24,698.01,707.50,698.00,704.20,3033782
2016-05-25,708.00,710.86,705.52,708.35,3276631
2016-05-26,708.33,715.00,707.29,714.91,2446681
2016-05-27,715.00,716.60,711.10,712.24,2249164
2016-05-31,711.57,724.23,711.32,722.79,3618323
2016-06-01,720.90,726.43,718.22,719.44,3263107
2016-06-02,720.97,728.28,715.50,728.24,3026575
2016-06-03,726.74,727.00,718.43,725.54,3363626
2016-06-06,726.50,731.50,724.42,726.73,2704806
2016-06-07,729.89,730.00,720.55,723.74,2732463
2016-06-08,726.40,729.42,721.60,726.64,2223366
2016-06-09,723.10,728.91,722.30,727.65,2170318
2016-06-10,722.35,724.98,714.21,717.91,3425718
2016-06-13,714.01,721.99,711.16,715.24,3352201
2016-06-14,712.33,720.80,712.27,719.30,2506922
2016-06-15,722.00,722.56,713.35,714.26,2709412
2016-06-16,712.05,718.00,705.30,717.51,3097961
2016-06-17,718.19,718.20,699.18,706.39,5897786
2016-06-20,713.50,721.31,710.81,714.01,3677162
2016-06-21,715.72,718.40,712.72,715.82,2137534
2016-06-22,716.58,717.00,707.57,710.60,2260377
2016-06-23,715.50,722.12,712.50,722.08,2824974
2016-06-24,693.95,712.53,692.20,698.96,7632511
2016-06-27,692.01,696.82,682.12,691.36,5580680
2016-06-28,700.00,708.00,698.17,707.95,4036957
2016-06-29,715.75,719.50,713.54,715.60,3070052
2016-06-30,717.20,719.37,712.54,715.62,2855059
2016-07-01,717.32,728.00,716.54,725.68,2920323
2016-07-05,722.80,728.11,719.61,728.10,2431431
2016-07-06,725.71,737.77,722.58,737.61,3938229
2016-07-07,739.33,739.55,731.63,736.57,2945783
2016-07-08,740.14,746.10,738.00,745.81,3429217
2016-07-11,750.00,755.90,747.00,753.78,3195272
2016-07-12,756.86,757.34,740.33,748.21,5623657
2016-07-13,746.76,756.87,741.25,742.63,4142265
2016-07-14,748.86,749.04,739.02,741.20,2390472
2016-07-15,746.55,746.55,734.05,735.44,3121385
2016-07-18,735.49,741.60,728.72,736.07,2954914
2016-07-19,732.50,743.33,732.31,739.95,2216820
2016-07-20,744.00,746.25,740.70,745.72,2211973
