date,open,high,low,close,volume
2015-12-01,73.73,74.50,72.20,74.30,297217
2015-12-02,74.52,75.91,74.12,75.32,435020
2015-12-03,75.35,75.98,74.86,75.22,541648
2015-12-04,75.13,75.19,72.59,74.20,274087
2015-12-07,73.89,74.89,72.72,74.22,380739
2015-12-08,73.26,73.83,71.57,73.20,455298
2015-12-09,73.42,73.79,71.59,71.84,297851
2015-12-10,72.50,72.70,69.77,70.50,326017
2015-12-11,70.00,70.83,67.35,67.54,494776
2015-12-14,67.78,72.71,67.71,70.38,1051394
2015-12-15,70.71,72.31,70.00,71.81,536394
2015-12-16,71.31,72.30,70.18,71.60,737900
2015-12-17,72.08,73.61,71.50,72.86,725300
2015-12-18,72.89,73.00,69.91,70.27,3478820
2015-12-21,70.67,71.65,70.16,71.56,503610
2015-12-22,71.49,73.57,71.14,72.75,489079
2015-12-23,73.20,74.78,72.75,74.75,533708
2015-12-24,74.39,75.21,74.39,75.01,273032
2015-12-28,74.59,78.74,74.51,78.04,1226955
2015-12-29,78.00,79.44,77.58,78.70,825332
2015-12-30,78.42,79.38,78.00,78.75,660193
2015-12-31,78.22,79.44,77.73,77.84,464550
2016-01-04,78.00,78.00,75.76,77.40,1038386
2016-01-05,78.18,79.22,77.35,78.28,816257
2016-01-06,77.53,78.17,72.22,73.53,1331976
2016-01-07,72.20,72.46,67.76,68.75,1005853
2016-01-08,69.84,70.86,68.19,68.87,780597
2016-01-11,69.49,69.49,66.37,68.01,592397
2016-01-12,68.82,69.67,65.06,66.48,585059
2016-01-13,66.94,67.92,63.81,64.71,609704
2016-01-14,65.63,66.33,63.76,65.39,643022
2016-01-15,64.03,65.12,62.20,64.85,646358
2016-01-19,65.50,65.61,61.87,62.60,798032
2016-01-20,61.88,63.43,59.45,63.36,1020486
2016-01-21,63.15,64.31,62.03,62.54,583363
2016-01-22,63.31,65.34,63.24,64.33,495367
2016-01-25,64.33,64.35,59.83,59.90,1105509
2016-01-26,60.04,61.38,58.54,60.01,1028351
2016-01-27,61.50,62.36,60.74,60.85,685158
2016-01-28,61.35,61.63,58.35,59.45,795250
2016-01-29,59.96,60.18,59.10,60.03,796060
2016-02-01,59.56,59.56,57.01,59.26,993156
2016-02-02,59.00,60.75,53.52,57.64,1663769
2016-02-03,58.78,62.48,58.50,61.95,1429605
2016-02-04,61.87,63.28,61.59,62.37,703309
2016-02-05,62.05,62.05,59.03,59.22,698786
2016-02-08,58.28,58.47,52.67,53.96,1307987
2016-02-09,53.55,54.99,52.51,53.00,980904
2016-02-10,53.53,55.18,52.85,53.57,720259
2016-02-11,53.13,54.90,52.77,54.37,834497
2016-02-12,55.00,56.70,54.67,56.24,469242
2016-02-16,57.10,59.33,57.10,59.15,960953
2016-02-17,59.50,61.12,58.87,59.86,769994
2016-02-18,60.14,60.38,57.73,58.15,1667059
2016-02-19,61.99,67.25,61.57,65.00,4317301
2016-02-22,66.00,66.67,65.05,65.40,885379
2016-02-23,65.90,67.06,65.05,65.96,701226
2016-02-24,66.35,67.53,65.07,67.43,803699
2016-02-25,67.72,68.87,66.53,67.66,603188
2016-02-26,67.50,69.37,67.23,69.02,712682
