date,open,high,low,close,volume
2015-12-01,72.00,72.44,71.57,72.20,4193461
2015-12-02,72.14,72.44,71.06,71.20,4146058
2015-12-03,71.41,71.70,70.12,70.42,6807762
2015-12-04,70.50,71.31,70.36,71.10,4993389
2015-12-07,70.82,71.09,70.17,70.61,6030053
2015-12-08,70.04,70.15,69.31,69.91,7669061
2015-12-09,69.45,70.80,69.35,69.86,6934643
2015-12-10,69.74,70.65,69.61,70.11,4782972
2015-12-11,69.04,69.83,68.48,68.86,9094443
2015-12-14,68.99,69.42,67.80,68.83,6393035
2015-12-15,69.75,70.64,69.59,70.15,6247229
2015-12-16,70.71,70.96,69.80,70.71,5581779
2015-12-17,70.79,70.96,69.41,69.57,4800033
2015-12-18,69.13,69.13,67.57,67.87,17898859
2015-12-21,68.15,68.77,67.99,68.40,4733528
2015-12-22,68.74,69.13,68.21,68.85,3838765
2015-12-23,69.05,69.99,68.94,69.97,5322981
2015-12-24,69.74,70.51,69.74,70.16,1956413
2015-12-28,70.00,70.10,69.36,69.76,2860713
2015-12-29,70.28,70.61,70.12,70.55,3838817
2015-12-30,70.51,70.75,70.08,70.16,2792695
2015-12-31,70.01,70.32,69.53,69.55,3531294
2016-01-04,68.09,68.18,66.77,67.59,9248281
2016-01-05,67.37,67.71,65.67,66.55,10809256
2016-01-06,65.24,65.55,64.24,64.42,9752153
2016-01-07,63.31,64.25,63.08,63.84,11323947
2016-01-08,64.18,64.41,63.57,63.63,10003645
2016-01-11,63.74,64.21,63.10,64.05,8157737
2016-01-12,64.80,64.90,63.60,64.40,7559962
2016-01-13,63.65,64.37,62.23,62.85,11291194
2016-01-14,62.85,63.75,62.37,63.29,6663953
2016-01-15,62.05,63.05,61.50,62.91,8643751
2016-01-19,63.41,63.79,62.24,62.64,7652078
2016-01-20,61.54,63.54,61.29,63.03,9043776
2016-01-21,63.00,64.32,62.51,62.64,8992100
2016-01-22,58.39,58.89,54.14,55.06,43784156
2016-01-25,54.46,55.77,54.14,55.02,18504751
2016-01-26,55.20,55.74,54.96,55.09,12844794
2016-01-27,55.37,55.82,54.42,54.52,11044111
2016-01-28,54.68,54.76,52.15,52.88,18015021
2016-01-29,53.18,53.70,53.05,53.50,13981203
2016-02-01,53.41,54.99,53.00,54.70,10079331
2016-02-02,54.33,54.39,53.49,53.66,11334588
2016-02-03,54.00,54.29,52.83,54.11,9729828
2016-02-04,54.08,54.46,53.81,54.38,6904021
2016-02-05,54.72,54.84,53.81,53.98,9159567
2016-02-08,53.24,53.45,52.23,52.40,11830592
2016-02-09,52.26,53.02,51.91,52.63,8588963
