date,open,high,low,close,volume
2015-12-01,146.54,149.40,146.47,147.74,3444346
2015-12-02,147.55,148.03,146.38,146.96,2648897
2015-12-03,147.05,147.63,144.28,145.56,3008674
2015-12-04,146.35,148.78,146.09,148.50,3892856
2015-12-07,148.30,149.50,147.32,148.45,3417715
2015-12-08,146.82,147.23,144.65,144.99,5021095
2015-12-09,144.60,145.69,142.27,144.24,5124748
2015-12-10,144.62,147.46,144.16,146.41,3278542
2015-12-11,145.00,145.70,143.72,144.62,3684878
2015-12-14,144.50,144.50,141.46,143.00,4845032
2015-12-15,145.66,147.10,144.12,146.53,4705329
2015-12-16,147.98,148.61,146.23,148.11,3316048
2015-12-17,148.85,149.80,145.50,145.56,3448810
2015-12-18,144.41,144.41,138.89,139.58,9959665
2015-12-21,140.21,141.94,139.70,140.90,3746389
2015-12-22,141.72,142.79,140.50,142.38,2791715
2015-12-23,143.08,144.07,142.81,144.06,3353868
2015-12-24,143.60,143.93,143.36,143.53,1184981
2015-12-28,143.26,144.67,142.84,144.54,1980017
2015-12-29,145.06,147.56,145.00,147.35,3133578
2015-12-30,147.85,148.00,146.01,146.41,1614320
2015-12-31,145.96,145.96,144.50,144.59,2105228
2016-01-04,141.38,141.70,139.43,140.50,5719707
2016-01-05,140.99,141.70,139.77,141.07,3357020
2016-01-06,138.83,139.35,137.26,138.83,4254056
2016-01-07,136.38,136.67,132.51,133.01,7013880
2016-01-08,133.70,135.10,129.80,129.99,5776933
2016-01-11,130.74,131.00,128.92,130.21,5551529
2016-01-12,131.58,132.17,129.64,131.92,4171663
2016-01-13,132.50,132.88,127.75,128.12,5073175
2016-01-14,129.59,130.07,125.81,129.20,6527753
2016-01-15,125.80,127.14,124.51,125.63,6678426
2016-01-19,127.06,127.22,125.11,126.06,5478911
2016-01-20,124.00,124.94,119.82,122.14,7636593
2016-01-21,122.77,125.98,121.54,123.40,5546240
2016-01-22,124.42,125.68,123.32,124.61,5260177
2016-01-25,124.60,125.24,123.40,124.01,4551792
2016-01-26,124.98,128.15,124.50,128.01,5432666
2016-01-27,119.90,120.11,115.02,116.58,27945945
2016-01-28,117.10,118.03,115.06,118.01,10708795
2016-01-29,118.14,120.18,118.02,120.13,9195888
2016-02-01,119.64,122.29,118.65,121.56,6835627
2016-02-02,119.69,120.28,117.37,117.52,8503737
2016-02-03,118.80,122.13,117.15,121.87,7362154
2016-02-04,121.12,124.91,121.12,123.61,5836971
2016-02-05,123.63,124.17,121.03,122.56,6186691
2016-02-08,120.67,121.33,117.25,119.47,6453634
2016-02-09,117.98,119.98,117.42,118.88,4137630
2016-02-10,118.16,119.46,116.27,116.36,4888811
2016-02-11,113.18,113.40,102.10,108.44,33736576
2016-02-12,105.12,109.84,105.00,108.63,12973383
