date,open,high,low,close,volume
2015-12-01,69.42,70.00,68.74,68.84,1895214
2015-12-02,68.74,69.60,67.35,67.50,997736
2015-12-03,68.45,69.02,67.48,67.90,1784950
2015-12-04,67.92,69.85,67.84,69.77,1379785
2015-12-07,69.16,69.62,68.14,68.80,2030905
2015-12-08,68.02,68.26,66.51,67.44,1279940
2015-12-09,68.14,69.93,67.58,68.84,2283900
2015-12-10,69.65,72.47,69.33,71.89,2434525
2015-12-11,70.76,72.17,70.27,71.34,2416512
2015-12-14,71.25,71.52,70.28,70.85,1489857
2015-12-15,71.34,71.50,70.55,71.14,1271375
2015-12-16,71.63,71.89,70.50,71.63,1464523
2015-12-17,71.78,72.00,70.33,70.52,1130120
2015-12-18,70.27,70.72,69.54,69.81,1924544
2015-12-21,70.18,70.58,69.19,70.33,933108
2015-12-22,70.48,71.26,69.67,70.94,745880
2015-12-23,71.59,72.71,71.14,72.58,1113203
2015-12-24,72.50,72.88,72.12,72.54,526165
2015-12-28,72.28,72.93,71.99,72.75,726798
2015-12-29,73.04,73.86,72.61,73.82,955333
2015-12-30,73.61,74.24,73.29,73.33,852574
2015-12-31,72.89,73.35,72.44,72.73,755047
2016-01-04,71.61,72.15,70.74,72.11,1171789
2016-01-05,72.23,73.00,72.11,72.96,1117676
2016-01-06,71.89,72.64,71.81,72.27,1452703
2016-01-07,71.14,71.43,70.17,70.36,1444594
2016-01-08,70.91,70.99,69.65,69.78,1286389
2016-01-11,69.89,70.34,68.31,69.16,2788033
2016-01-12,69.78,71.03,69.69,70.59,2221620
2016-01-13,70.88,70.99,68.46,68.64,1740385
2016-01-14,68.62,69.17,67.31,68.82,1549230
2016-01-15,66.86,69.11,66.50,68.97,2240248
2016-01-19,69.45,70.35,68.40,69.34,2341351
2016-01-20,67.57,69.21,66.67,68.60,1941432
2016-01-21,68.19,68.83,67.03,67.06,1457419
2016-01-22,67.80,68.86,67.38,68.76,1298129
2016-01-25,68.33,68.75,66.21,66.63,1738167
2016-01-26,67.00,68.09,66.71,67.83,828174
2016-01-27,67.48,67.63,65.72,66.10,3129867
2016-01-28,62.99,67.29,62.99,66.90,2625304
2016-01-29,66.67,67.21,65.77,66.83,2350299
2016-02-01,66.45,67.42,65.86,67.20,1552116
2016-02-02,66.50,66.52,65.36,65.58,1680964
2016-02-03,65.62,66.31,64.83,66.12,1238484
2016-02-04,66.62,68.14,66.21,67.84,1613476
2016-02-05,67.35,67.75,64.79,65.22,1815681
2016-02-08,64.80,64.80,62.30,63.89,2181513
2016-02-09,63.60,65.64,63.29,65.15,2159613
2016-02-10,65.24,66.24,64.93,65.26,1510323
2016-02-11,64.45,64.70,63.50,64.08,1002257
2016-02-12,64.57,65.58,64.30,65.17,1262767
2016-02-16,65.92,66.45,65.07,66.26,1249176
2016-02-17,66.83,67.27,66.03,67.12,1531279
2016-02-18,66.93,67.36,66.43,66.53,1213184
2016-02-19,66.24,66.33,65.16,66.06,1245774
2016-02-22,66.71,67.48,66.21,66.47,783721
2016-02-23,65.98,66.53,65.54,66.03,1148789
2016-02-24,65.43,67.01,65.25,66.90,978263
2016-02-25,66.67,66.95,65.92,66.83,1524639
2016-02-26,67.19,67.76,66.63,67.01,1027054
2016-02-29,66.89,67.52,66.23,66.23,1190417
2016-03-01,66.89,68.32,66.26,67.90,1706411
2016-03-02,67.61,68.69,67.36,68.07,1175394
2016-03-03,67.75,68.80,67.70,68.69,904819
2016-03-04,68.49,68.65,67.81,68.18,1054321
2016-03-07,67.75,68.09,66.83,67.26,1530520
2016-03-08,66.70,67.82,66.60,67.42,1163450
2016-03-09,67.13,67.98,67.13,67.50,904398
2016-03-10,66.82,67.53,66.41,67.18,1105710
2016-03-11,67.89,69.28,67.37,69.02,2303375
2016-03-14,68.72,69.58,68.34,68.77,1610425
2016-03-15,68.06,69.25,67.86,68.58,1155483
2016-03-16,68.39,69.89,68.29,69.67,861602
2016-03-17,69.84,71.98,69.84,71.59,1324976
2016-03-18,71.85,71.91,70.31,70.37,4126855
2016-03-21,70.20,70.29,69.50,69.89,1241739
2016-03-22,69.60,70.94,69.56,70.52,1535673
2016-03-23,70.57,71.15,70.33,70.48,825400
2016-03-24,70.11,70.54,69.57,70.24,650975
2016-03-28,70.51,70.67,69.84,70.36,544012
2016-03-29,70.31,71.09,69.99,71.01,539897
2016-03-30,71.36,71.40,70.53,70.90,538154
2016-03-31,71.64,71.93,71.07,71.29,1346924
2016-04-01,71.08,71.72,70.31,71.61,1340294
2016-04-04,71.45,71.92,70.47,70.60,812893
2016-04-05,70.28,70.86,69.24,70.51,1480929
2016-04-06,70.51,71.34,70.40,71.29,1265755
2016-04-07,70.88,71.33,70.33,70.64,1932672
2016-04-08,71.11,71.13,70.32,70.80,1326130
2016-04-11,70.93,71.28,70.00,70.47,1288474
2016-04-12,70.62,71.33,70.26,71.15,954663
2016-04-13,71.50,71.94,70.43,71.87,1218129
2016-04-14,71.45,71.92,71.23,71.85,977559
2016-04-15,71.83,72.43,71.57,72.28,1361113
2016-04-18,71.88,74.66,71.88,74.63,2226384
2016-04-19,74.75,75.40,74.60,74.99,1667987
2016-04-20,74.89,75.67,74.53,75.33,898634
2016-04-21,75.20,75.46,74.29,75.16,1218055
2016-04-22,75.14,76.30,74.86,75.84,1314251
2016-04-25,76.06,76.69,74.60,74.70,2169093
2016-04-26,74.92,75.17,74.34,75.06,1314723
2016-04-27,75.20,75.23,74.32,74.86,1753683
2016-04-28,73.19,74.32,71.86,72.93,3343693
2016-04-29,72.46,72.77,70.77,71.38,2644668
2016-05-02,71.37,72.33,71.22,72.05,2465095
2016-05-03,72.30,72.35,70.60,71.55,1594815
2016-05-04,70.92,72.12,70.85,72.04,1417779
2016-05-05,72.07,72.22,71.74,71.83,1092424
2016-05-06,71.77,72.01,70.97,71.44,963372
2016-05-09,71.26,72.43,70.87,72.02,1546198
2016-05-10,72.12,72.62,71.86,72.16,1963178
2016-05-11,72.30,72.82,71.93,72.16,730959
2016-05-12,72.81,73.36,72.35,72.84,955111
2016-05-13,72.52,72.80,72.00,72.14,962600
2016-05-16,72.15,73.32,72.15,73.11,905392
2016-05-17,73.00,73.10,71.50,71.71,780699
2016-05-18,71.41,72.48,70.83,71.75,1304467
2016-05-19,71.04,71.60,70.45,71.42,1291760
2016-05-20,71.77,72.00,71.51,71.77,997480
2016-05-23,71.53,71.68,70.92,70.95,703216
2016-05-24,71.53,72.06,71.12,71.76,1205727
2016-05-25,71.90,72.63,71.75,72.09,774660
2016-05-26,72.23,72.40,71.54,71.82,649268
2016-05-27,71.49,72.28,71.49,72.27,515466
2016-05-31,71.84,72.31,71.54,72.30,1584279
2016-06-01,71.65,72.09,71.20,71.92,1315794
