date,open,high,low,close,volume
2015-12-01,151.10,152.82,151.10,152.67,1096401
2015-12-02,152.89,153.00,151.57,151.78,798082
2015-12-03,152.06,152.43,149.35,149.93,1127396
2015-12-04,150.18,154.88,150.11,154.81,1066374
2015-12-07,154.32,154.81,152.80,153.62,1224134
2015-12-08,154.00,154.76,152.43,154.70,1555068
2015-12-09,154.10,155.53,151.61,152.87,1367745
2015-12-10,152.73,154.79,152.05,154.35,935971
2015-12-11,152.57,153.90,150.95,151.68,874780
2015-12-14,152.48,153.68,150.95,153.19,1290218
2015-12-15,154.09,155.50,152.97,153.29,1536078
2015-12-16,154.60,156.11,153.13,155.89,1156384
2015-12-17,156.11,157.50,155.35,155.91,1229556
2015-12-18,155.05,155.59,153.11,153.12,1776131
2015-12-21,153.80,154.60,152.66,153.59,800330
2015-12-22,154.60,155.37,152.31,154.37,1105818
2015-12-23,155.28,156.04,154.59,155.87,654571
2015-12-24,155.84,156.56,155.48,155.91,269607
2015-12-28,155.59,155.78,154.82,155.37,598616
2015-12-29,156.66,156.77,155.81,156.53,967397
2015-12-30,156.69,156.89,155.01,155.43,1134707
2015-12-31,154.73,155.45,154.08,154.09,1087662
2016-01-04,150.62,151.45,146.02,147.95,2813897
2016-01-05,148.65,149.69,147.80,148.42,1080451
2016-01-06,145.84,147.73,144.93,146.94,1774040
2016-01-07,144.52,145.51,143.43,144.53,1586592
2016-01-08,145.19,146.01,142.03,142.36,1272703
2016-01-11,143.09,143.45,139.24,141.15,1282608
2016-01-12,142.40,143.53,140.38,142.45,972452
2016-01-13,143.46,144.41,140.92,141.38,1318542
2016-01-14,141.67,145.78,141.39,145.41,1738947
2016-01-15,142.35,144.51,141.71,142.43,1804832
2016-01-19,143.83,144.35,141.38,142.50,1258430
2016-01-20,140.85,141.96,137.69,140.86,1326024
2016-01-21,140.90,142.10,139.13,141.65,1118661
2016-01-22,143.37,144.99,143.07,144.76,867586
2016-01-25,145.12,146.70,144.69,144.90,975028
2016-01-26,144.77,145.86,143.67,145.51,775817
2016-01-27,145.63,148.18,144.92,146.04,982039
2016-01-28,146.61,146.95,141.76,142.28,1447719
2016-01-29,143.31,145.37,143.00,145.37,1679342
2016-02-01,144.11,146.46,140.53,146.02,1580382
2016-02-02,144.92,145.90,143.91,145.05,1481741
2016-02-03,147.00,147.00,139.57,141.08,2324348
2016-02-04,140.47,140.99,137.41,137.91,1812656
2016-02-05,137.50,137.95,134.71,135.25,1227882
2016-02-08,134.24,134.96,129.79,132.88,1854401
2016-02-09,129.58,135.38,129.50,134.34,1701011
2016-02-10,136.22,139.22,135.89,136.14,1127664
2016-02-11,135.63,136.36,134.21,135.33,1589178
2016-02-12,136.87,139.95,136.39,139.81,1625444
2016-02-16,141.19,142.49,140.49,142.12,1394283
2016-02-17,143.31,144.21,142.06,144.11,764619
2016-02-18,144.50,144.80,142.73,143.18,753212
2016-02-19,143.36,145.00,142.38,144.90,915827
2016-02-22,145.63,146.30,144.98,145.68,652130
2016-02-23,145.98,147.07,145.50,146.46,1026668
2016-02-24,145.00,147.90,144.73,147.47,938864
2016-02-25,147.74,148.98,146.89,148.67,826456
2016-02-26,149.00,150.17,148.91,149.64,1228704
2016-02-29,149.29,150.12,147.23,147.45,1490372
2016-03-01,148.60,150.12,147.23,150.12,1418620
