date,open,high,low,close,volume
2015-12-01,289.30,290.59,285.80,290.04,1684282
2015-12-02,289.14,290.39,284.58,284.96,1369003
2015-12-03,284.22,285.58,274.23,275.44,1902741
2015-12-04,277.00,284.75,276.12,284.45,1917051
2015-12-07,283.31,284.98,279.70,281.63,1739693
2015-12-08,279.89,289.76,278.00,288.46,1751954
2015-12-09,286.21,290.09,283.02,284.61,1525367
2015-12-10,285.36,291.22,284.68,289.88,1422778
2015-12-11,285.54,288.59,282.23,283.46,2029926
2015-12-14,283.77,285.00,276.43,282.39,1654957
2015-12-15,285.01,291.69,282.56,289.11,1624303
2015-12-16,292.23,299.68,290.00,299.29,2104190
2015-12-17,299.04,300.87,296.38,297.17,1705316
2015-12-18,294.80,299.82,293.05,293.37,2790223
2015-12-21,294.84,297.86,293.50,297.56,1137559
2015-12-22,298.00,301.84,296.35,300.77,1215815
2015-12-23,303.79,303.79,299.16,300.19,986521
2015-12-24,300.29,303.87,299.50,302.29,540002
2015-12-28,302.03,304.98,301.50,303.84,848355
2015-12-29,304.99,311.65,304.77,309.67,1223257
2015-12-30,309.98,310.29,307.00,308.34,802451
2015-12-31,306.10,309.33,306.10,306.35,1063813
2016-01-04,300.34,301.02,291.40,294.62,2451141
2016-01-05,295.38,298.64,293.56,296.70,1263926
2016-01-06,292.60,296.58,291.01,293.68,1540205
2016-01-07,286.52,289.99,283.03,284.01,1844904
2016-01-08,284.65,288.11,280.00,280.59,1808881
2016-01-11,280.59,283.95,271.66,278.54,2109571
2016-01-12,281.18,285.56,271.00,278.67,1833879
2016-01-13,279.42,281.99,267.00,267.25,2108384
2016-01-14,268.57,283.30,265.37,280.57,2414322
2016-01-15,271.01,279.89,269.25,273.33,2579877
2016-01-19,276.98,276.99,264.72,269.85,2209644
2016-01-20,263.25,272.78,257.66,269.35,2368262
2016-01-21,269.67,271.05,261.02,262.08,2530991
2016-01-22,266.36,269.48,264.62,268.92,2111804
2016-01-25,269.46,271.21,261.30,262.10,1792368
2016-01-26,262.76,264.48,257.78,259.87,2108156
2016-01-27,275.05,285.28,270.34,273.26,5159614
2016-01-28,275.77,276.97,261.70,265.96,3056490
2016-01-29,268.42,273.90,265.70,273.06,3080416
2016-02-01,270.34,275.83,269.58,273.45,1852008
2016-02-02,267.74,271.20,265.16,266.06,1904726
2016-02-03,267.58,270.74,261.00,270.43,2086401
