date,open,high,low,close,volume
2015-12-01,1258.80,1285.55,1255.50,1282.50,682714
2015-12-02,1286.74,1297.20,1272.12,1275.44,426315
2015-12-03,1284.19,1295.42,1271.17,1280.08,666714
2015-12-04,1283.88,1302.87,1283.88,1300.48,556281
2015-12-07,1300.31,1309.79,1293.08,1302.42,409781
2015-12-08,1287.85,1309.93,1281.17,1303.97,339080
2015-12-09,1301.49,1314.96,1285.09,1294.99,384325
2015-12-10,1300.00,1307.28,1286.69,1306.50,461775
2015-12-11,1290.53,1299.74,1282.19,1285.33,535879
2015-12-14,1288.64,1301.89,1276.06,1297.88,369372
2015-12-15,1303.65,1331.18,1301.92,1323.73,709201
2015-12-16,1332.79,1337.29,1315.00,1332.31,413345
2015-12-17,1341.99,1341.99,1312.69,1313.74,504918
2015-12-18,1306.12,1312.97,1283.74,1285.67,882232
2015-12-21,1292.88,1299.56,1264.13,1275.71,464461
2015-12-22,1282.90,1282.90,1266.09,1277.49,303321
2015-12-23,1284.00,1284.95,1267.22,1279.05,268699
2015-12-24,1278.50,1280.52,1272.01,1273.07,159323
2015-12-28,1266.99,1274.74,1253.20,1272.96,266442
2015-12-29,1278.00,1304.00,1277.01,1302.40,404797
2015-12-30,1299.00,1301.67,1288.07,1289.16,273057
2015-12-31,1285.58,1287.90,1271.51,1274.95,337743
2016-01-04,1256.00,1258.85,1228.00,1245.37,767815
2016-01-05,1236.28,1247.47,1201.08,1210.69,894004
2016-01-06,1186.00,1212.28,1185.00,1196.71,561265
2016-01-07,1171.97,1194.49,1154.28,1167.19,1092082
2016-01-08,1172.51,1182.41,1135.00,1136.96,1023037
2016-01-11,1136.00,1147.98,1120.01,1136.28,635296
2016-01-12,1141.83,1160.50,1133.08,1148.92,798363
2016-01-13,1155.99,1156.98,1076.35,1098.90,1136632
2016-01-14,1098.21,1136.71,1065.00,1121.38,1158309
2016-01-15,1076.00,1110.83,1075.15,1086.74,1076567
2016-01-19,1099.42,1117.00,1078.42,1094.50,679945
2016-01-20,1075.00,1098.62,1039.26,1081.33,1062901
2016-01-21,1084.36,1111.00,1067.06,1089.14,543581
2016-01-22,1111.83,1126.57,1104.14,1118.11,736024
2016-01-25,1117.41,1126.56,1097.88,1097.93,428074
2016-01-26,1097.11,1124.70,1070.10,1111.54,744826
2016-01-27,1079.58,1093.13,1038.14,1043.70,1173993
2016-01-28,1058.79,1059.72,1015.15,1043.13,1128273
2016-01-29,1045.40,1074.66,1030.27,1064.97,873601
2016-02-01,1063.00,1094.79,1056.25,1084.87,613287
2016-02-02,1070.00,1084.15,1056.54,1066.79,666597
2016-02-03,1070.25,1072.34,1020.43,1049.16,793924
2016-02-04,1044.79,1073.64,1023.25,1069.10,766661
2016-02-05,1063.10,1064.05,1010.69,1015.55,1036315
2016-02-08,996.49,1000.00,954.83,973.80,1193989
2016-02-09,958.43,1003.74,954.02,991.29,1043821
2016-02-10,1004.92,1047.99,1002.30,1032.77,970540
2016-02-11,1054.00,1063.63,1028.53,1055.24,1036562
2016-02-12,1066.88,1078.89,1050.56,1058.01,811551
2016-02-16,1075.89,1115.84,1072.27,1110.68,1119669
2016-02-17,1245.00,1246.61,1220.15,1235.56,2381950
2016-02-18,1245.00,1257.23,1236.38,1251.95,1060133
2016-02-19,1238.28,1284.99,1236.53,1283.74,1052541
2016-02-22,1286.56,1291.44,1268.00,1288.42,827413
2016-02-23,1278.30,1288.40,1258.71,1261.89,617825
2016-02-24,1248.10,1264.85,1222.71,1264.21,774420
2016-02-25,1263.25,1271.98,1247.04,1263.41,728969
2016-02-26,1268.75,1273.34,1244.40,1254.27,614650
2016-02-29,1250.30,1282.64,1248.49,1265.21,728230
2016-03-01,1283.59,1296.57,1277.95,1295.92,571068
2016-03-02,1297.36,1301.63,1281.55,1301.37,469906
2016-03-03,1296.68,1305.84,1288.65,1303.04,446917
2016-03-04,1306.53,1308.96,1286.06,1297.71,601417
2016-03-07,1281.40,1296.29,1281.40,1291.43,504808
2016-03-08,1284.00,1298.94,1280.59,1282.77,420433
2016-03-09,1280.00,1291.90,1263.41,1291.89,443079
2016-03-10,1295.81,1306.00,1274.50,1293.77,431334
2016-03-11,1307.40,1328.10,1300.60,1326.87,649020
2016-03-14,1320.22,1341.30,1317.59,1325.73,490886
2016-03-15,1315.15,1339.00,1315.15,1332.13,383006
2016-03-16,1328.20,1357.90,1325.00,1350.99,535700
2016-03-17,1341.70,1356.33,1337.11,1346.86,390106
2016-03-18,1353.00,1361.63,1338.30,1344.22,473016
2016-03-21,1340.95,1351.00,1333.36,1350.51,256898
2016-03-22,1311.00,1328.14,1306.00,1319.41,840773
2016-03-23,1322.91,1323.84,1300.00,1306.11,447934
2016-03-24,1300.00,1304.43,1291.63,1301.19,383675
2016-03-28,1301.35,1304.71,1271.01,1287.03,454165
2016-03-29,1281.20,1313.90,1281.20,1307.89,427654
2016-03-30,1316.90,1323.09,1311.04,1317.03,376741
2016-03-31,1312.31,1314.99,1288.33,1288.96,488678
2016-04-01,1278.00,1301.72,1273.00,1299.70,567945
2016-04-04,1297.55,1298.20,1276.29,1281.76,357174
2016-04-05,1270.00,1287.86,1265.56,1279.08,373157
2016-04-06,1280.22,1294.88,1273.21,1293.01,279200
2016-04-07,1291.47,1292.33,1271.45,1276.50,389216
2016-04-08,1282.78,1283.55,1271.31,1274.15,300888
2016-04-11,1281.95,1288.39,1263.20,1264.63,294633
2016-04-12,1268.55,1304.58,1255.11,1300.28,449622
2016-04-13,1310.35,1329.94,1300.50,1317.76,605677
