date,open,high,low,close,volume
2015-12-01,65.77,66.07,65.32,65.83,4524302
2015-12-02,65.82,66.41,65.58,65.68,3667304
2015-12-03,65.70,65.95,64.99,65.58,4809267
2015-12-04,65.97,66.76,65.70,66.34,4603823
2015-12-07,66.39,66.56,66.09,66.34,3895630
2015-12-08,66.05,66.50,65.88,66.18,2436617
2015-12-09,66.02,67.10,65.75,66.08,3178019
2015-12-10,66.08,66.66,65.98,66.13,2628337
2015-12-11,65.37,65.78,65.03,65.21,3525627
2015-12-14,65.29,65.90,65.00,65.85,3353763
2015-12-15,66.33,67.11,66.23,66.76,3726295
2015-12-16,67.00,68.49,66.99,68.33,5133058
2015-12-17,68.19,68.30,67.30,67.33,4224800
2015-12-18,66.90,66.97,65.57,65.57,5122565
2015-12-21,66.02,66.15,65.50,65.98,2725317
2015-12-22,66.15,66.69,65.69,66.58,2104345
2015-12-23,66.86,67.39,66.78,67.16,1675470
2015-12-24,67.00,67.28,66.86,66.99,882170
2015-12-28,66.76,66.95,66.65,66.89,1525693
2015-12-29,67.33,67.73,67.23,67.65,1671659
2015-12-30,67.66,68.07,67.39,67.53,1707250
2015-12-31,67.21,67.29,66.61,66.62,2002052
2016-01-04,65.40,65.41,63.98,64.71,5722634
2016-01-05,64.73,65.26,64.59,65.00,4307151
2016-01-06,64.21,64.64,63.95,64.14,4407620
2016-01-07,63.40,63.90,62.76,63.01,4476338
2016-01-08,63.10,63.42,62.37,62.55,3219777
2016-01-11,62.85,63.20,62.08,62.81,3079057
2016-01-12,63.27,63.50,62.67,63.38,2834895
2016-01-13,63.60,63.94,62.80,62.91,3575622
2016-01-14,63.03,64.14,62.98,63.53,3894226
2016-01-15,62.37,63.92,62.32,63.35,6703023
2016-01-19,63.79,64.52,63.70,64.29,5106767
2016-01-20,63.46,63.68,61.40,62.45,8221525
2016-01-21,62.32,63.96,61.91,63.65,5723715
2016-01-22,64.33,64.91,63.87,64.61,4360050
2016-01-25,64.33,64.61,63.76,63.93,3729333
2016-01-26,64.01,64.81,63.98,64.33,3659004
2016-01-27,64.29,65.10,63.88,64.30,3265946
2016-01-28,64.56,65.55,64.32,65.02,5576534
2016-01-29,64.99,67.65,64.35,67.53,9512871
2016-02-01,66.93,67.08,65.89,66.20,4929753
2016-02-02,65.62,66.08,65.17,65.36,3637532
2016-02-03,65.84,66.26,65.00,66.03,4037616
2016-02-04,65.90,66.23,65.50,65.99,3078814
