date,open,high,low,close,volume
2015-12-01,146.34,148.16,146.32,147.99,470985
2015-12-02,148.10,149.71,147.28,149.38,580641
2015-12-03,149.78,150.48,141.24,142.05,805722
2015-12-04,126.23,131.36,121.01,130.34,4961574
2015-12-07,129.78,133.68,129.78,132.33,1453257
2015-12-08,131.60,136.20,131.00,134.88,887300
2015-12-09,133.81,134.90,130.62,131.60,674648
2015-12-10,131.66,136.14,131.49,134.94,791627
2015-12-11,134.23,135.52,133.95,135.20,632206
2015-12-14,135.00,135.25,132.58,134.82,628447
2015-12-15,136.05,137.25,135.78,136.51,740925
2015-12-16,136.88,138.54,136.50,138.26,458358
2015-12-17,137.74,138.20,135.91,136.44,768864
2015-12-18,136.00,136.75,134.23,135.69,1007298
2015-12-21,135.84,137.06,132.99,133.70,733128
2015-12-22,134.37,135.10,132.64,134.35,294370
2015-12-23,135.14,136.95,134.22,136.25,288715
2015-12-24,135.63,137.16,135.09,136.34,122918
2015-12-28,135.65,136.89,135.41,136.07,221610
2015-12-29,136.52,137.44,135.74,136.36,210530
2015-12-30,136.52,137.22,135.43,135.48,205191
2015-12-31,135.08,135.86,134.11,134.20,403792
2016-01-04,132.46,132.46,130.94,131.86,411964
2016-01-05,132.33,133.30,130.75,131.58,390073
2016-01-06,129.95,132.37,129.30,131.59,624301
2016-01-07,129.89,130.76,127.85,127.96,378919
2016-01-08,128.64,129.97,128.41,128.71,444464
2016-01-11,129.12,129.48,126.43,127.66,414380
2016-01-12,128.48,129.97,126.32,127.60,385505
2016-01-13,128.03,128.70,125.29,125.45,415743
2016-01-14,125.56,126.09,123.19,124.04,555041
2016-01-15,121.58,123.44,119.77,121.86,930049
2016-01-19,123.00,123.50,119.67,121.01,558917
2016-01-20,119.60,124.73,119.28,124.14,540940
2016-01-21,124.33,125.64,122.45,123.85,520868
2016-01-22,125.07,128.21,124.89,127.85,492985
2016-01-25,127.22,127.67,125.45,125.51,575005
2016-01-26,126.13,129.75,124.50,128.91,479877
2016-01-27,128.32,129.13,124.89,128.60,431392
2016-01-28,129.42,130.97,125.45,126.83,564493
2016-01-29,127.18,131.33,127.18,131.15,713603
2016-02-01,129.00,132.61,127.97,132.05,624897
2016-02-02,131.07,134.40,130.35,131.99,560726
2016-02-03,132.99,134.40,131.02,133.47,559212
2016-02-04,132.85,133.98,131.29,131.87,295583
2016-02-05,131.17,131.17,127.00,127.11,391162
2016-02-08,126.05,127.51,123.80,125.42,442022
2016-02-09,124.44,129.03,124.40,128.00,463153
2016-02-10,128.73,133.36,128.25,132.29,519404
2016-02-11,130.53,135.27,130.50,134.27,833314
2016-02-12,134.62,134.98,133.25,133.58,513935
2016-02-16,135.00,137.94,135.00,137.89,586570
2016-02-17,138.90,139.72,138.03,139.33,429688
2016-02-18,139.32,141.66,138.17,139.56,399165
2016-02-19,139.28,140.87,138.27,140.84,330783
2016-02-22,141.83,142.95,141.03,142.51,241868
2016-02-23,141.58,141.79,139.15,141.06,535763
2016-02-24,140.35,142.49,139.34,141.44,407272
2016-02-25,142.19,144.98,141.38,144.96,447930
2016-02-26,145.46,145.50,143.61,144.81,487531
2016-02-29,144.48,145.41,142.84,142.96,452393
