date,open,high,low,close,volume
2015-12-01,54.46,54.75,53.90,54.61,7716561
2015-12-02,54.21,54.57,52.18,52.55,10649280
2015-12-03,52.81,52.98,51.48,51.61,10673036
2015-12-04,50.84,51.49,50.16,51.19,9394080
2015-12-07,49.73,50.29,48.16,48.99,11561245
2015-12-08,47.65,49.15,46.88,48.30,8723011
2015-12-09,48.35,49.74,47.75,48.47,9890950
2015-12-10,48.23,49.95,48.01,49.22,11059943
2015-12-11,48.25,48.45,46.81,48.13,14658388
2015-12-14,47.58,50.14,47.40,49.53,14173937
2015-12-15,50.35,51.06,50.14,50.56,10759874
2015-12-16,50.30,50.84,49.12,49.35,11438912
2015-12-17,49.37,49.45,46.92,47.28,12993973
2015-12-18,47.05,47.58,45.76,45.93,16525819
2015-12-21,46.03,46.15,44.56,45.10,10873348
2015-12-22,45.18,46.56,44.91,46.28,10361743
2015-12-23,47.29,49.07,47.27,49.03,9806911
2015-12-24,49.04,49.21,48.06,48.59,3262118
2015-12-28,47.61,47.79,46.94,47.19,8786568
2015-12-29,48.23,48.37,47.20,47.77,6285349
2015-12-30,46.94,47.74,46.54,46.60,6610913
2015-12-31,46.06,47.20,45.88,46.69,6681687
2016-01-04,46.41,47.77,46.08,46.88,8917998
2016-01-05,46.67,47.52,45.99,47.40,7039007
2016-01-06,46.10,46.32,45.04,45.35,10995623
2016-01-07,44.74,45.62,43.92,44.06,10843954
2016-01-08,44.18,44.59,42.87,43.29,9119068
2016-01-11,43.32,43.62,40.60,41.12,17258754
2016-01-12,41.87,42.04,39.13,40.25,16827433
2016-01-13,40.75,41.79,38.87,39.00,19016544
2016-01-14,39.21,41.83,38.66,41.25,18245400
2016-01-15,39.35,40.45,38.36,39.36,19118566
2016-01-19,39.74,39.89,35.60,36.40,20838471
2016-01-20,35.54,35.61,32.71,34.75,31382718
2016-01-21,34.87,37.34,34.64,36.91,19576320
2016-01-22,38.21,39.57,36.74,37.67,18558856
2016-01-25,36.80,37.48,34.19,34.20,19660802
2016-01-26,35.07,35.91,33.44,35.35,28746178
2016-01-27,34.92,37.73,34.18,36.21,22071776
2016-01-28,37.92,39.43,37.08,38.02,16876450
2016-01-29,38.08,39.27,37.52,39.08,18713107
2016-02-01,38.24,38.98,37.61,38.60,13064428
2016-02-02,37.61,38.18,36.44,36.59,15579613
2016-02-03,37.59,38.73,35.59,38.63,19847720
2016-02-04,38.50,39.00,35.02,35.32,49718905
2016-02-05,34.02,34.41,31.59,32.90,46873595
2016-02-08,31.95,34.50,31.68,34.43,21946607
2016-02-09,33.22,34.16,32.70,33.58,20446394
2016-02-10,33.29,34.38,32.05,32.34,16664454
2016-02-11,31.23,32.38,31.05,31.88,20843897
2016-02-12,32.29,33.35,31.90,32.90,14966876
2016-02-16,33.49,33.70,32.55,32.76,12851728
2016-02-17,33.30,34.39,33.03,33.91,18316589
2016-02-18,34.48,34.51,33.44,33.70,16899615
2016-02-19,33.15,33.28,32.09,32.87,14653908
2016-02-22,33.69,34.70,33.51,34.45,11554556
2016-02-23,33.92,34.61,32.91,32.92,9719568
2016-02-24,32.10,33.04,31.82,32.96,10965316
2016-02-25,33.07,33.35,31.97,33.06,10323227
2016-02-26,33.86,34.81,33.82,34.12,11005651
2016-02-29,34.50,34.59,33.58,33.83,10521743
2016-03-01,34.07,34.75,33.34,34.46,11581017
2016-03-02,34.28,36.51,34.10,36.49,16943664
2016-03-03,36.50,38.81,36.32,38.56,20248681
2016-03-04,38.92,41.68,38.80,41.12,24819082
2016-03-07,41.25,42.45,40.90,41.40,17552988
2016-03-08,41.20,41.25,38.56,38.62,14129346
2016-03-09,39.35,39.72,38.38,39.05,13347800
2016-03-10,38.85,39.14,38.36,39.03,10860114
2016-03-11,39.80,40.66,39.73,40.52,13660830
2016-03-14,39.70,40.46,39.39,40.01,9310482
2016-03-15,39.21,39.85,38.81,39.83,7838848
2016-03-16,40.24,41.97,40.18,41.87,10151428
2016-03-17,42.42,43.77,42.19,43.01,12436126
2016-03-18,43.59,44.40,42.45,43.02,20958648
2016-03-21,42.73,43.41,42.16,42.58,8409942
2016-03-22,42.25,42.78,41.91,41.92,8245307
2016-03-23,41.29,41.68,39.81,39.85,11232675
2016-03-24,38.93,40.10,38.53,40.04,9218268
2016-03-28,40.10,40.15,39.02,39.68,6647556
2016-03-29,39.02,39.73,38.56,39.62,8115752
2016-03-30,40.48,40.76,39.57,40.08,7776971
2016-03-31,39.96,40.54,39.70,40.27,9353053
2016-04-01,39.39,39.92,38.79,39.78,9093204
2016-04-04,39.79,40.34,38.98,39.10,8663214
2016-04-05,38.75,39.29,38.19,39.04,7838344
2016-04-06,39.40,40.98,39.17,40.75,9816799
2016-04-07,40.43,41.03,39.74,40.31,7117850
2016-04-08,41.62,41.89,40.93,41.23,8081282
2016-04-11,41.43,41.98,41.15,41.19,7177765
2016-04-12,41.57,43.83,41.36,43.47,10651816
2016-04-13,43.63,43.96,43.01,43.58,9397610
2016-04-14,43.83,44.30,43.46,44.22,8241232
2016-04-15,43.75,44.16,43.52,43.70,8164486
2016-04-18,42.09,45.00,42.04,45.00,9362669
2016-04-19,45.21,47.10,44.97,47.06,12874111
2016-04-20,46.73,47.66,46.09,47.08,8500398
2016-04-21,46.99,47.32,46.12,46.23,10010972
2016-04-22,46.34,47.74,46.26,47.62,9399869
2016-04-25,47.16,47.23,45.84,46.27,11597112
2016-04-26,46.60,48.17,46.34,48.08,10715434
2016-04-27,48.55,48.91,47.82,48.11,11556539
2016-04-28,48.13,49.35,47.50,47.67,12393296
2016-04-29,47.90,48.83,46.95,47.79,9024036
2016-05-02,47.56,47.69,46.12,46.85,8280374
2016-05-03,46.10,46.26,44.71,45.08,8770928
