date,open,high,low,close,volume
2015-12-01,98.84,99.83,98.81,99.50,1823844
2015-12-02,99.83,100.01,98.51,98.85,1467961
2015-12-03,99.01,99.21,98.03,98.71,2629090
2015-12-04,99.12,100.40,98.54,99.89,1697703
2015-12-07,99.92,100.40,99.34,99.98,1265135
2015-12-08,99.65,100.58,99.33,100.47,1716788
2015-12-09,99.53,101.01,99.37,100.67,3365962
2015-12-10,100.93,102.42,100.62,101.95,2685024
2015-12-11,101.49,102.81,101.29,102.08,2029206
2015-12-14,102.20,102.75,101.33,102.53,2361560
2015-12-15,103.02,103.49,101.34,101.69,2229678
2015-12-16,102.10,102.44,100.44,101.59,1993677
2015-12-17,101.69,102.89,101.44,102.34,2791828
2015-12-18,102.13,102.61,101.24,101.88,4466683
2015-12-21,102.17,102.92,101.61,102.89,1669306
2015-12-22,103.00,103.44,102.20,103.16,1088688
2015-12-23,103.15,104.24,102.80,103.94,1244544
2015-12-24,103.71,104.19,103.52,103.95,435407
2015-12-28,103.85,104.57,103.48,104.19,804389
2015-12-29,104.69,105.35,104.28,104.77,828491
2015-12-30,104.94,105.81,104.79,105.02,1043943
2015-12-31,104.47,105.12,103.68,103.71,1107637
2016-01-04,102.31,102.64,101.29,101.87,2326986
2016-01-05,102.20,103.40,101.59,103.36,2049962
2016-01-06,101.46,102.64,101.31,101.78,2267322
2016-01-07,100.87,101.15,98.49,98.53,3658651
2016-01-08,99.16,99.51,97.80,97.96,1837547
2016-01-11,95.51,96.00,93.81,94.06,5985830
2016-01-12,94.45,95.51,93.78,94.18,3620742
2016-01-13,94.31,94.85,92.94,93.14,4002668
2016-01-14,92.79,94.24,92.42,93.72,2789404
2016-01-15,93.24,93.53,91.43,92.77,3212422
2016-01-19,93.29,93.34,91.59,92.54,3424171
2016-01-20,91.78,92.25,89.68,90.90,4491047
2016-01-21,90.90,91.83,89.79,90.57,2196707
2016-01-22,91.89,92.08,90.84,91.00,1985773
2016-01-25,91.99,92.23,91.05,91.27,2452736
2016-01-26,91.41,91.59,90.61,91.26,1327540
2016-01-27,91.29,91.52,89.73,90.18,2844540
2016-01-28,90.50,90.73,87.09,87.29,6053374
2016-01-29,87.55,89.60,87.28,89.56,3764840
2016-02-01,89.11,89.38,87.66,89.00,3134977
2016-02-02,88.60,89.89,87.95,88.14,2810374
2016-02-03,88.34,88.55,86.87,87.99,3998001
2016-02-04,80.51,87.97,80.50,84.40,8039420
2016-02-05,84.00,86.13,82.66,84.70,4853507
2016-02-08,83.89,84.24,82.72,83.62,4596574
2016-02-09,82.71,85.04,82.62,84.75,2808974
2016-02-10,85.44,86.35,85.22,85.60,2708922
2016-02-11,84.25,85.09,84.19,84.55,2758391
2016-02-12,84.60,85.61,84.49,85.61,1880401
2016-02-16,86.11,86.23,85.00,85.61,2234449
2016-02-17,86.06,87.83,85.72,87.49,3574732
2016-02-18,87.03,87.49,86.59,86.69,2225791
2016-02-19,86.74,87.05,86.28,86.84,1653572
2016-02-22,86.86,87.89,86.83,87.70,2193821
2016-02-23,87.69,88.19,86.86,87.35,1675813
2016-02-24,86.52,87.28,85.80,87.08,2737266
2016-02-25,87.55,88.03,86.88,87.60,1264526
2016-02-26,87.85,88.57,87.47,87.54,1160721
2016-02-29,87.27,87.51,86.44,86.62,2595945
2016-03-01,86.80,87.73,86.47,87.43,1942517
2016-03-02,87.43,87.96,87.04,87.63,1628516
2016-03-03,87.63,88.34,87.13,88.22,1908021
2016-03-04,88.17,88.47,87.78,88.00,1667303
2016-03-07,87.36,88.25,87.19,88.10,1758011
2016-03-08,88.10,88.34,87.14,87.82,1834779
2016-03-09,87.79,88.01,87.37,87.57,1817730
2016-03-10,88.01,88.16,85.81,86.18,3419134
2016-03-11,87.02,89.64,86.56,89.55,3536540
2016-03-14,89.06,89.77,87.88,87.96,1454111
2016-03-15,87.50,88.13,86.11,86.30,2220405
2016-03-16,86.29,87.34,85.94,87.07,1399232
2016-03-17,87.07,87.47,85.73,85.88,3023176
2016-03-18,86.12,87.78,85.41,87.48,3675972
