date,open,high,low,close,volume
2015-12-01,80.35,81.10,79.65,81.01,3767381
2015-12-02,80.77,81.94,80.42,80.88,3387825
2015-12-03,80.96,82.06,79.56,79.93,4770095
2015-12-04,80.33,82.14,80.16,82.14,4341833
2015-12-07,81.81,81.86,80.30,80.68,2962541
2015-12-08,80.21,81.46,79.86,81.08,2105681
2015-12-09,80.83,81.40,79.22,79.71,3181476
2015-12-10,79.80,79.97,79.16,79.38,2032779
2015-12-11,78.30,78.88,76.65,76.87,4492185
2015-12-14,76.76,77.67,75.85,76.99,3946733
2015-12-15,77.66,77.87,76.97,77.37,3393528
2015-12-16,77.64,79.10,77.12,78.89,3749367
2015-12-17,78.97,79.32,78.04,78.43,2754725
2015-12-18,78.11,79.49,77.03,77.03,6721373
2015-12-21,78.30,78.33,76.43,77.29,3011652
2015-12-22,77.52,78.09,76.85,77.86,2100469
2015-12-23,78.20,78.90,77.94,78.04,2652787
2015-12-24,78.03,78.35,77.58,77.83,1084670
2015-12-28,77.66,78.20,77.38,78.20,2327407
2015-12-29,78.50,79.76,78.44,79.44,2230207
2015-12-30,79.30,79.89,78.97,79.14,1815277
2015-12-31,78.99,79.42,78.36,78.40,2463297
2016-01-04,77.14,77.21,75.64,76.71,4919156
2016-01-05,77.07,77.97,76.67,77.05,2656878
2016-01-06,75.72,77.33,75.63,76.29,3484375
2016-01-07,75.13,75.60,73.47,74.30,6972469
2016-01-08,74.78,75.26,72.90,73.23,3673762
2016-01-11,73.74,73.83,71.86,73.18,3685083
2016-01-12,73.97,75.28,73.05,74.46,4108087
2016-01-13,74.99,75.71,71.80,72.35,4727516
2016-01-14,72.42,73.62,70.87,73.07,4738223
2016-01-15,69.87,71.05,68.18,70.86,9572133
2016-01-19,71.86,72.19,69.90,70.80,7353790
2016-01-20,69.13,70.83,66.94,70.33,8083583
2016-01-21,70.36,70.64,69.14,69.51,4636133
2016-01-22,70.45,71.64,70.30,71.55,3752064
2016-01-25,71.23,71.40,69.80,69.92,2765230
2016-01-26,69.96,70.10,69.22,69.87,2951184
2016-01-27,69.27,69.85,67.03,67.43,5487294
2016-01-28,66.88,67.50,65.27,65.69,8733997
2016-01-29,66.49,68.10,66.12,68.06,5612319
2016-02-01,67.59,69.09,67.07,68.44,4543381
2016-02-02,67.65,67.75,64.16,64.52,7499690
2016-02-03,65.42,66.50,63.24,65.34,8017865
2016-02-04,65.68,67.37,64.83,67.20,7220374
2016-02-05,63.11,63.27,57.75,58.51,19070749
2016-02-08,56.87,56.99,52.60,54.05,18033720
2016-02-09,53.61,58.58,52.79,57.33,16477677
2016-02-10,58.50,61.59,58.38,58.76,9863009
2016-02-11,57.19,59.85,56.58,59.24,7778959
2016-02-12,60.05,60.53,59.10,59.68,5081557
2016-02-16,60.68,60.98,58.46,59.72,5726184
2016-02-17,60.38,64.42,59.89,63.49,9836789
2016-02-18,63.48,64.18,61.58,61.70,6723994
2016-02-19,61.75,62.36,60.66,62.14,4905560
2016-02-22,63.00,64.34,62.93,63.98,7482022
2016-02-23,63.72,63.78,62.44,62.90,5280449
2016-02-24,62.00,62.98,60.33,62.52,11909380
2016-02-25,70.50,70.84,67.14,69.42,18248124
2016-02-26,69.68,70.01,68.28,69.72,8364166
2016-02-29,69.13,69.16,67.65,67.75,7688139
2016-03-01,68.12,70.06,67.50,70.02,5146609
2016-03-02,69.68,70.55,69.52,70.43,4927575
2016-03-03,70.05,70.94,69.52,70.80,3242095
2016-03-04,71.18,72.18,70.63,71.06,4353109
2016-03-07,70.50,70.86,69.00,70.49,4627298
2016-03-08,69.79,70.90,69.17,69.82,4083731
2016-03-09,70.09,71.12,69.92,71.04,4255571
2016-03-10,71.44,72.32,69.79,70.70,4978062
2016-03-11,71.16,71.90,70.87,71.63,3426755
2016-03-14,71.31,72.49,71.17,72.22,3864097
2016-03-15,71.78,72.35,71.09,71.70,3205330
2016-03-16,71.27,72.92,71.11,72.73,2985761
2016-03-17,72.53,73.18,71.60,72.72,3379676
2016-03-18,73.10,73.54,72.19,72.65,6005711
2016-03-21,72.50,72.67,71.69,72.25,2852053
2016-03-22,72.16,73.28,71.70,72.85,3348113
2016-03-23,71.69,72.58,71.48,71.78,2945941
2016-03-24,71.54,72.45,71.06,72.44,2698984
2016-03-28,72.39,72.68,71.41,71.95,2688105
2016-03-29,71.54,72.69,70.71,72.30,4606053
2016-03-30,73.00,74.66,72.96,74.30,5181054
2016-03-31,74.06,74.39,73.38,73.83,4226854
2016-04-01,73.38,75.95,73.11,75.73,4550581
2016-04-04,75.85,76.44,75.41,75.69,2978254
2016-04-05,74.88,75.51,74.36,74.58,2365360
2016-04-06,74.76,75.68,74.47,75.58,2033373
2016-04-07,74.91,75.46,74.68,75.32,3843669
2016-04-08,75.72,75.94,74.30,74.85,2375789
2016-04-11,75.47,75.50,74.13,74.16,2151806
2016-04-12,74.53,74.54,73.44,74.27,2259726
2016-04-13,74.77,76.19,74.45,75.95,3115162
2016-04-14,76.00,76.59,75.66,76.15,2696226
2016-04-15,76.25,76.54,75.88,76.31,2132924
2016-04-18,76.24,77.29,75.86,77.27,1916112
2016-04-19,77.59,77.59,75.53,76.19,2365209
2016-04-20,76.20,76.64,75.79,76.14,2001585
2016-04-21,76.66,77.82,76.50,77.15,3542489
2016-04-22,76.23,76.87,75.35,76.48,3184509
2016-04-25,76.18,76.83,75.88,76.51,2456207
2016-04-26,76.80,76.80,75.80,76.21,1953745
2016-04-27,75.67,76.20,74.80,75.69,3359285
2016-04-28,75.38,76.64,74.96,75.38,3834330
2016-04-29,75.01,76.06,74.48,75.80,3227967
2016-05-02,76.30,77.43,75.71,77.25,3287354
2016-05-03,76.40,76.68,74.38,74.90,3273115
2016-05-04,74.31,74.63,73.54,73.99,2840424
2016-05-05,74.11,74.59,73.64,73.81,2088567
