date,open,high,low,close,volume
2015-12-01,28.47,28.67,28.18,28.60,5861603
2015-12-02,28.50,28.54,27.34,27.53,12603440
2015-12-03,27.49,27.57,26.72,27.10,14231403
2015-12-04,26.52,27.02,26.21,26.86,13329349
2015-12-07,26.75,26.96,25.93,26.03,11233754
2015-12-08,25.62,25.67,24.96,24.99,14228493
2015-12-09,24.88,25.33,24.64,25.01,11337978
2015-12-10,25.03,25.32,24.64,24.70,8987997
2015-12-11,25.29,25.86,24.58,25.72,20136721
2015-12-14,25.64,25.77,25.00,25.29,9381607
2015-12-15,25.60,26.41,25.54,26.29,13111210
2015-12-16,26.42,26.83,25.94,26.43,9639936
2015-12-17,26.40,26.56,25.60,25.60,7939669
2015-12-18,25.46,25.51,25.00,25.20,13484298
2015-12-21,25.48,25.59,25.02,25.12,6115918
2015-12-22,25.35,25.84,25.25,25.75,6003449
2015-12-23,25.76,26.37,25.56,26.14,5730558
2015-12-24,26.15,26.40,26.07,26.13,1594078
2015-12-28,26.15,26.23,25.85,25.94,3084831
2015-12-29,26.08,26.42,26.02,26.38,4108631
2015-12-30,26.12,26.21,25.86,25.90,4584006
2015-12-31,25.50,26.14,25.50,25.95,4742250
2016-01-04,25.34,25.80,25.08,25.79,9561227
2016-01-05,25.80,25.99,25.21,25.53,5216376
2016-01-06,25.07,25.22,24.17,24.37,8385097
2016-01-07,23.82,24.30,23.59,23.62,9836558
2016-01-08,23.80,23.85,23.43,23.48,9672105
2016-01-11,23.38,23.79,23.18,23.52,11067573
2016-01-12,23.58,24.14,23.21,23.70,11894491
2016-01-13,23.52,23.91,21.75,22.35,22024246
2016-01-14,22.65,23.79,22.56,23.26,16585866
2016-01-15,22.25,22.83,22.15,22.76,12619435
2016-01-19,23.12,23.30,22.47,22.73,10900706
2016-01-20,22.29,22.58,21.32,22.29,10577734
2016-01-21,22.10,22.80,21.66,22.36,10706683
2016-01-22,22.92,23.22,22.12,22.42,9452397
2016-01-25,22.35,22.52,21.91,21.97,5609319
2016-01-26,22.15,22.35,22.01,22.27,9213478
2016-01-27,22.30,22.66,21.80,21.97,9713104
2016-01-28,22.27,22.52,22.03,22.37,6289742
