date,open,high,low,close,volume
2015-12-01,9.73,9.83,9.51,9.75,86190
2015-12-02,9.75,9.91,9.34,9.48,571697
2015-12-03,9.48,9.87,9.02,9.74,125722
2015-12-04,9.73,10.44,9.52,10.39,491680
2015-12-07,10.28,10.71,10.12,10.23,198400
2015-12-08,10.21,10.49,10.06,10.29,111545
2015-12-09,10.27,10.43,9.81,10.23,101101
2015-12-10,10.12,10.29,9.82,10.15,83119
2015-12-11,10.03,10.43,9.82,10.00,116948
2015-12-14,9.98,10.03,9.58,9.66,99771
2015-12-15,9.70,9.86,9.51,9.62,73243
2015-12-16,9.72,9.95,9.55,9.88,95966
2015-12-17,10.00,10.68,9.94,10.57,202474
2015-12-18,10.61,10.81,10.15,10.31,180468
2015-12-21,10.36,10.70,9.79,10.10,495830
2015-12-22,10.12,10.25,9.99,10.17,60185
2015-12-23,10.25,10.45,10.14,10.36,83876
2015-12-24,10.47,11.42,10.47,11.19,309613
2015-12-28,11.19,11.33,10.87,11.23,200931
2015-12-29,11.15,11.61,11.10,11.40,195224
2015-12-30,11.35,11.40,10.93,11.10,142504
2015-12-31,11.06,11.20,10.78,11.00,332738
2016-01-04,10.85,10.91,10.37,10.59,216454
2016-01-05,10.63,11.19,10.35,11.09,161126
2016-01-06,10.95,11.25,10.84,11.10,109073
2016-01-07,10.83,10.85,10.51,10.65,201821
2016-01-08,10.69,11.03,10.61,10.66,277659
2016-01-11,10.61,10.95,10.61,10.66,250286
2016-01-12,10.78,10.82,10.26,10.54,290887
2016-01-13,10.56,10.89,10.35,10.54,283612
2016-01-14,10.65,10.65,10.19,10.38,192537
2016-01-15,10.14,10.48,10.10,10.34,215097
2016-01-19,10.45,10.69,10.05,10.56,168109
2016-01-20,10.42,10.68,9.81,10.55,253760
2016-01-21,10.43,10.80,9.60,10.65,223825
2016-01-22,10.88,10.88,10.53,10.77,152939
2016-01-25,10.56,10.85,10.56,10.64,121204
2016-01-26,10.65,10.98,10.26,10.59,350653
2016-01-27,10.57,10.69,10.43,10.48,105857
2016-01-28,10.53,10.76,10.24,10.33,205201
2016-01-29,10.32,10.55,10.19,10.32,225582
2016-02-01,10.30,10.67,10.13,10.33,426700
2016-02-02,10.25,10.48,10.08,10.33,244981
2016-02-03,10.37,10.40,9.81,10.05,191986
2016-02-04,10.04,10.14,9.86,9.95,115433
2016-02-05,9.92,10.23,9.48,9.52,208434
2016-02-08,9.39,9.51,8.94,9.46,218998
2016-02-09,9.35,9.67,9.09,9.17,167329
2016-02-10,9.25,9.50,9.22,9.25,125923
2016-02-11,9.09,9.38,9.04,9.18,109843
2016-02-12,9.37,9.45,9.14,9.23,125721
2016-02-16,9.36,9.50,9.17,9.40,103637
2016-02-17,9.42,9.73,9.35,9.65,140347
2016-02-18,9.59,10.96,9.40,9.60,90068
2016-02-19,9.58,10.02,9.47,9.57,62859
2016-02-22,9.56,9.99,9.56,9.75,93307
2016-02-23,9.67,9.87,9.49,9.53,80402
2016-02-24,9.41,9.71,9.01,9.69,69116
2016-02-25,9.69,10.22,9.29,9.87,65330
2016-02-26,9.86,10.13,9.55,9.92,85784
2016-02-29,9.89,10.25,9.89,10.01,209452
2016-03-01,10.06,10.25,9.50,10.21,2118895
2016-03-02,10.27,10.81,10.23,10.50,636587
2016-03-03,10.60,10.66,10.29,10.50,198332
2016-03-04,10.47,10.98,10.31,10.51,440454
2016-03-07,10.56,11.00,10.49,10.60,302244
2016-03-08,10.50,10.60,10.46,10.50,119309
2016-03-09,10.59,10.94,10.43,10.77,102636
2016-03-10,10.79,11.10,10.67,11.03,168776
2016-03-11,11.06,11.15,10.72,10.86,369177
2016-03-14,10.97,11.09,10.79,10.80,421413
2016-03-15,10.84,10.99,10.42,10.80,314044
2016-03-16,10.81,11.54,10.81,11.01,799560
2016-03-17,11.03,11.27,10.94,11.00,385185
2016-03-18,11.12,11.39,10.84,10.98,534967
2016-03-21,11.00,11.25,10.90,10.95,305117
2016-03-22,10.90,11.02,10.81,10.84,186534
2016-03-23,10.85,10.93,10.57,10.87,193731
2016-03-24,10.79,11.11,10.74,10.88,143057
2016-03-28,10.87,11.20,10.78,11.01,160530
2016-03-29,10.95,11.58,10.95,11.54,203120
2016-03-30,11.60,11.65,11.39,11.60,151466
2016-03-31,11.57,11.60,11.42,11.44,126075
2016-04-01,11.41,11.48,11.12,11.16,176846
2016-04-04,11.13,11.52,11.05,11.48,307560
2016-04-05,11.39,11.77,11.34,11.70,181381
2016-04-06,11.65,11.91,11.64,11.85,171850
2016-04-07,11.89,12.02,11.61,11.84,258468
2016-04-08,11.90,12.25,11.79,12.23,223729
2016-04-11,12.21,12.52,12.11,12.50,349368
2016-04-12,12.49,12.77,12.14,12.62,330217
2016-04-13,12.74,13.21,12.37,12.67,338699
2016-04-14,12.69,12.79,12.42,12.50,197779
2016-04-15,12.47,12.78,12.47,12.72,244190
2016-04-18,12.80,13.03,12.73,12.83,335641
2016-04-19,12.90,13.05,12.82,12.95,342574
2016-04-20,13.00,13.10,12.58,12.65,174348
2016-04-21,12.59,12.68,12.33,12.54,327254
2016-04-22,12.52,12.65,12.45,12.63,276715
2016-04-25,12.67,12.68,12.44,12.61,219752
2016-04-26,12.61,12.87,12.52,12.86,198868
2016-04-27,12.85,12.99,12.55,12.78,149894
2016-04-28,12.84,13.30,12.79,13.25,382039
2016-04-29,13.28,13.30,12.97,13.11,241425
2016-05-02,13.15,13.40,13.08,13.36,157802
2016-05-03,13.34,13.43,12.89,13.21,223412
2016-05-04,13.12,13.31,12.81,12.90,229943
2016-05-05,12.96,13.31,12.80,13.15,249728
2016-05-06,12.55,13.51,12.51,13.43,348877
2016-05-09,13.53,13.70,13.08,13.60,265745
2016-05-10,13.60,13.97,13.50,13.96,338636
2016-05-11,13.99,14.00,13.75,13.82,328167
2016-05-12,13.90,14.13,13.40,13.79,218743
2016-05-13,13.77,13.95,13.36,13.60,259724
2016-05-16,13.58,13.95,13.54,13.87,172789
2016-05-17,13.87,13.93,13.19,13.37,200417
2016-05-18,13.36,14.00,13.18,13.89,245763
2016-05-19,13.80,13.99,13.49,13.74,114363
2016-05-20,13.83,14.04,13.51,13.66,127222
