date,open,high,low,close,volume
2015-12-01,67.87,68.04,66.76,67.41,2288360
2015-12-02,67.28,67.36,66.05,66.14,2609207
2015-12-03,65.96,66.03,65.04,65.17,2918641
2015-12-04,65.54,66.69,65.44,66.60,2828075
2015-12-07,66.36,66.60,66.01,66.14,2880990
2015-12-08,66.00,66.18,65.16,65.91,2956939
2015-12-09,65.65,66.72,65.40,66.19,2855172
2015-12-10,66.13,66.24,65.14,65.20,1961086
2015-12-11,64.92,65.44,64.54,64.89,2105187
2015-12-14,64.81,65.44,64.55,65.40,2633119
2015-12-15,65.60,66.69,65.42,66.15,2284379
2015-12-16,66.50,67.63,66.31,67.57,3215256
2015-12-17,67.50,67.96,67.10,67.54,2785548
2015-12-18,67.22,67.45,66.53,66.90,4921407
2015-12-21,67.38,67.44,66.18,66.56,2448855
2015-12-22,66.87,67.23,66.16,67.14,1935822
2015-12-23,67.20,68.14,67.20,68.08,2334699
2015-12-24,67.96,68.04,67.65,67.77,738430
2015-12-28,67.66,68.00,67.42,67.86,1807930
2015-12-29,68.01,68.87,67.95,68.64,1961157
2015-12-30,68.54,68.92,68.35,68.68,1634941
2015-12-31,68.56,68.60,67.02,67.64,2119288
2016-01-04,66.97,67.51,66.33,67.47,3896731
2016-01-05,67.29,68.12,66.25,68.05,2476096
2016-01-06,67.57,68.87,67.33,68.47,2670735
2016-01-07,67.67,68.71,67.60,68.51,4011835
2016-01-08,68.48,69.90,68.38,69.52,5391482
2016-01-11,69.59,69.93,69.31,69.41,3989760
2016-01-12,69.64,69.88,68.51,68.90,4318317
2016-01-13,69.04,69.49,68.86,69.02,3646465
2016-01-14,68.97,69.97,68.85,69.67,3265935
2016-01-15,69.00,69.44,68.18,68.88,3964168
2016-01-19,69.23,70.06,68.69,69.90,3037037
2016-01-20,69.45,69.75,67.94,68.73,3773994
2016-01-21,69.05,69.05,67.97,68.49,2268669
2016-01-22,69.14,69.83,68.52,69.76,2118097
2016-01-25,69.79,70.14,69.27,69.56,2288202
2016-01-26,69.58,70.56,69.44,69.72,2075855
2016-01-27,69.61,70.12,69.17,69.71,2320170
2016-01-28,69.70,71.51,69.43,70.94,3789755
2016-01-29,71.48,72.20,71.03,72.17,3498926
2016-02-01,70.27,71.42,69.94,70.18,10921796
2016-02-02,69.20,70.11,68.62,69.89,5858745
2016-02-03,70.05,70.42,69.28,69.93,5528751
2016-02-04,70.07,71.16,69.62,70.43,4037051
2016-02-05,70.34,71.43,69.69,71.06,3776852
2016-02-08,70.13,70.89,69.08,69.49,5684719
2016-02-09,69.49,70.87,69.16,70.43,4020474
2016-02-10,70.18,70.74,69.05,70.29,3266638
2016-02-11,69.95,70.49,69.11,69.21,2870892
2016-02-12,69.34,69.64,68.45,68.94,2942547
2016-02-16,69.49,69.56,68.56,69.15,2385476
2016-02-17,69.46,69.83,68.80,69.77,2583992
2016-02-18,69.31,70.20,69.19,69.75,6190807
2016-02-19,69.55,69.77,69.00,69.46,4156575
2016-02-22,69.78,70.78,69.62,70.74,2529874
2016-02-23,70.39,71.19,70.27,70.88,2559197
2016-02-24,70.92,71.30,70.33,71.22,3595087
2016-02-25,71.34,71.87,71.16,71.83,2114935
2016-02-26,71.60,71.75,69.91,70.02,2801318
2016-02-29,70.01,70.73,69.85,69.92,3622034
2016-03-01,70.33,70.42,69.56,69.95,2510042
2016-03-02,69.06,69.25,67.58,68.77,4451017
2016-03-03,68.89,70.02,68.29,69.99,3726444
2016-03-04,69.54,70.78,69.32,70.62,2846896
2016-03-07,70.25,71.38,70.13,71.22,2386105
2016-03-08,71.09,71.78,70.71,71.72,3067637
2016-03-09,71.70,72.33,71.60,72.10,2312433
2016-03-10,72.12,72.24,71.06,71.59,2181927
2016-03-11,71.80,72.34,71.61,72.22,1880054
2016-03-14,72.34,72.47,71.91,72.34,1862584
2016-03-15,72.16,73.07,72.12,72.99,2094820
2016-03-16,72.75,73.80,72.09,73.56,2903007
2016-03-17,73.76,74.90,73.36,74.55,3306462
2016-03-18,74.61,74.89,73.45,73.46,4703698
2016-03-21,73.65,73.81,72.59,73.63,2453697
2016-03-22,73.71,73.74,72.92,72.96,3009420
2016-03-23,73.18,73.75,72.63,73.51,1828662
2016-03-24,73.51,73.59,73.03,73.42,1594632
2016-03-28,73.64,74.04,73.00,73.15,1976998
2016-03-29,73.47,74.70,73.09,74.64,2752774
2016-03-30,74.79,74.90,74.10,74.75,1958613
2016-03-31,74.54,75.18,74.31,75.12,2717796
2016-04-01,74.78,75.50,74.36,75.39,2361501
2016-04-04,75.22,75.22,74.29,74.58,2013916
2016-04-05,73.60,73.74,72.14,73.05,7976153
2016-04-06,72.89,73.23,72.34,72.75,4226790
2016-04-07,72.62,73.23,72.54,72.97,2336449
2016-04-08,73.24,73.50,72.83,73.04,2416577
2016-04-11,73.10,73.59,72.83,72.87,2627648
2016-04-12,72.91,73.33,72.78,73.22,2776285
2016-04-13,73.44,73.44,72.41,72.80,1790695
2016-04-14,72.80,73.10,72.41,72.70,1620011
2016-04-15,72.75,73.26,72.58,73.05,2405153
2016-04-18,73.00,73.16,72.16,72.87,2656773
2016-04-19,72.78,73.15,72.48,72.82,2431108
2016-04-20,72.98,73.09,71.02,71.08,2552040
2016-04-21,71.08,71.08,69.28,69.51,3555902
2016-04-22,69.60,70.25,69.60,70.06,2552445
2016-04-25,70.07,70.34,69.78,70.20,2588527
2016-04-26,70.25,70.57,69.69,69.90,2322848
2016-04-27,70.14,71.22,69.94,70.75,3253168
2016-04-28,70.22,71.09,70.05,71.03,2686694
2016-04-29,70.60,71.47,70.10,71.47,4506066
2016-05-02,71.70,72.47,71.50,72.10,3025241
2016-05-03,71.87,72.30,71.42,71.94,3919336
2016-05-04,70.41,73.02,70.41,72.78,3191395
2016-05-05,72.69,73.34,71.64,71.99,2697765
2016-05-06,72.11,72.22,70.57,71.27,2379898
2016-05-09,71.41,71.64,71.02,71.48,2059620
2016-05-10,71.73,71.87,71.38,71.52,1702057
2016-05-11,71.63,71.86,70.87,71.72,1837314
2016-05-12,71.64,72.39,71.42,72.28,2509879
2016-05-13,72.26,72.44,71.62,72.09,1723988
2016-05-16,72.01,72.35,71.52,72.22,1519155
2016-05-17,72.04,72.27,70.75,71.08,2309759
2016-05-18,70.60,71.24,69.31,69.61,3451218
2016-05-19,69.27,70.90,68.71,70.88,2902106
2016-05-20,71.15,71.20,70.66,70.98,2155800
2016-05-23,71.12,71.20,70.09,70.14,2014929
