date,open,high,low,close,volume
2015-12-01,67.39,67.69,66.64,67.28,4486831
2015-12-02,67.03,67.56,66.81,67.27,4202640
2015-12-03,67.07,67.56,66.09,66.23,6654461
2015-12-04,66.63,68.07,66.49,67.75,6274489
2015-12-07,67.25,67.58,66.18,67.10,5390375
2015-12-08,66.64,67.38,66.20,66.60,3661538
2015-12-09,71.91,75.72,71.55,74.49,25215481
2015-12-10,72.97,74.57,71.76,74.55,14801109
2015-12-11,69.84,71.56,69.36,70.44,19391158
2015-12-14,69.46,69.75,66.66,67.92,11735006
2015-12-15,68.63,68.95,66.40,66.50,8696248
2015-12-16,66.55,67.00,64.24,66.23,7269031
2015-12-17,66.49,67.00,65.22,65.23,4874369
2015-12-18,65.48,65.56,63.32,63.40,14322592
2015-12-21,63.80,64.24,62.80,63.82,4748073
2015-12-22,64.03,65.26,63.47,64.63,4276745
2015-12-23,65.00,66.25,64.68,66.03,3918456
2015-12-24,65.96,66.75,65.25,66.40,1636026
2015-12-28,66.33,66.47,65.62,66.47,1879277
2015-12-29,66.68,67.88,66.53,67.57,2471893
2015-12-30,67.50,67.72,67.03,67.33,2163870
2015-12-31,67.20,67.64,66.58,66.60,2777891
2016-01-04,65.31,65.31,62.53,63.07,5570683
2016-01-05,62.73,64.29,62.31,64.28,7794650
2016-01-06,63.31,63.55,62.90,63.38,6876659
2016-01-07,62.46,62.81,60.72,61.50,7790137
2016-01-08,62.50,62.76,60.99,61.17,5970035
2016-01-11,61.01,61.48,58.63,59.18,6390246
2016-01-12,59.55,59.87,57.85,58.60,4840282
2016-01-13,58.94,59.03,56.70,56.79,5658321
2016-01-14,56.89,57.88,56.00,57.40,4107620
2016-01-15,55.71,56.38,53.93,54.09,7919178
2016-01-19,54.81,54.87,52.55,53.22,7560022
2016-01-20,52.80,53.18,50.88,52.79,6660336
2016-01-21,52.44,53.78,51.65,53.56,5516164
2016-01-22,54.60,55.25,53.72,54.74,4411636
2016-01-25,54.33,54.92,52.86,52.99,3780990
2016-01-26,52.98,54.10,52.15,53.46,4981842
2016-01-27,53.61,54.02,51.37,51.46,5112245
2016-01-28,52.05,52.49,50.95,52.01,4214762
2016-01-29,52.16,52.89,50.71,52.76,6322463
2016-02-01,52.24,53.46,51.64,53.30,4514266
2016-02-02,54.79,56.31,53.48,56.18,8645059
2016-02-03,57.09,58.90,57.02,58.76,7898448
2016-02-04,58.72,59.68,58.46,59.10,5947977
2016-02-05,59.29,59.61,58.54,58.89,5314314
2016-02-08,58.60,59.28,56.84,58.15,6803639
2016-02-09,57.82,59.69,57.57,59.08,6834218
2016-02-10,58.48,59.41,57.59,57.91,2958879
2016-02-11,56.72,57.37,55.94,56.62,5375128
2016-02-12,56.77,58.48,56.45,58.40,7399520
2016-02-16,58.95,59.00,57.99,58.86,3559815
2016-02-17,59.20,60.74,59.18,60.60,3669737
2016-02-18,60.62,60.70,59.73,59.97,3224161
2016-02-19,59.94,60.20,59.40,59.97,4358427
2016-02-22,60.60,61.41,59.91,60.23,3696405
2016-02-23,59.81,59.87,58.46,58.83,3555639
2016-02-24,58.23,59.10,57.76,59.02,4413853
2016-02-25,59.35,60.44,58.78,60.42,4599569
2016-02-26,60.86,61.83,60.69,61.51,4196947
2016-02-29,61.41,62.44,60.81,60.87,4048111
2016-03-01,61.78,63.03,61.43,62.94,3279041
2016-03-02,61.81,62.61,61.16,62.15,7647200
2016-03-03,61.81,62.50,61.50,61.91,5891547
2016-03-04,61.58,63.19,61.46,63.18,8704781
2016-03-07,64.40,65.17,63.76,64.71,11410783
2016-03-08,64.08,64.36,62.69,63.53,5527333
2016-03-09,63.96,64.14,63.29,63.45,2606025
2016-03-10,63.46,64.15,61.76,62.16,3211596
2016-03-11,62.78,63.98,62.78,63.83,2349298
2016-03-14,63.75,63.84,63.12,63.30,2969849
2016-03-15,62.94,63.00,62.45,62.83,3083590
2016-03-16,62.26,63.49,62.16,63.16,2936003
2016-03-17,62.97,64.63,62.87,64.59,4570815
2016-03-18,64.99,65.70,64.47,64.86,7044229
2016-03-21,64.54,64.78,63.73,64.57,3624083
2016-03-22,64.01,64.39,63.74,63.93,2826936
2016-03-23,63.95,64.54,63.73,63.75,2921013
2016-03-24,63.46,63.98,63.13,63.95,3204990
2016-03-28,64.22,64.62,64.03,64.19,1666057
2016-03-29,63.79,63.94,63.05,63.64,2823135
2016-03-30,64.03,64.58,63.87,64.17,2285585
2016-03-31,64.35,64.51,63.18,63.32,3483518
2016-04-01,62.97,64.05,62.27,63.91,3638211
2016-04-04,63.64,64.11,63.38,63.80,1819419
2016-04-05,63.24,64.08,63.13,63.17,2679155
2016-04-06,63.01,63.64,62.36,63.50,3297155
2016-04-07,62.86,63.05,62.31,62.81,2500603
2016-04-08,63.40,63.84,62.94,63.20,1588952
2016-04-11,63.34,63.87,63.08,63.22,1704209
2016-04-12,63.38,64.43,63.04,64.31,2289565
2016-04-13,64.70,65.17,64.36,64.80,2169997
2016-04-14,65.05,65.58,64.72,65.18,1933953
2016-04-15,65.21,65.52,64.59,65.27,2752638
2016-04-18,64.87,65.05,64.51,64.70,3923417
2016-04-19,64.83,66.02,64.57,65.68,3158269
2016-04-20,66.15,66.15,64.67,64.73,2726108
2016-04-21,64.84,65.45,64.45,65.09,2040520
2016-04-22,65.55,66.18,65.36,65.97,2641980
2016-04-25,65.72,65.98,64.68,65.97,2572568
2016-04-26,66.78,67.82,66.65,67.55,4712293
2016-04-27,67.44,67.79,66.86,67.47,2493599
2016-04-28,66.90,67.22,65.82,66.41,4067349
2016-04-29,66.40,66.86,65.19,65.91,2716021
2016-05-02,66.34,66.36,65.56,66.07,1580332
2016-05-03,65.12,65.22,64.56,64.83,2726601
2016-05-04,63.89,64.60,63.73,64.26,1721408
2016-05-05,64.62,65.10,63.55,63.67,2331450
2016-05-06,63.58,64.28,63.50,64.26,1830969
2016-05-09,64.03,64.35,63.67,64.09,3221314
2016-05-10,64.45,65.04,64.19,64.99,2097786
2016-05-11,64.85,65.03,64.25,64.31,1792769
2016-05-12,65.20,65.55,64.11,64.28,2337573
2016-05-13,64.34,64.52,62.81,62.91,2205826
2016-05-16,62.89,64.38,62.89,64.34,3181979
2016-05-17,64.14,65.21,64.04,64.53,2510556
2016-05-18,64.23,64.94,63.61,63.99,2711972
2016-05-19,63.63,64.41,63.01,64.41,3893919
2016-05-20,64.87,65.79,64.51,65.75,3892629
2016-05-23,65.85,67.15,65.78,67.00,5794924
2016-05-24,67.29,68.02,67.00,67.92,5645483
2016-05-25,67.93,68.79,67.90,68.23,6270431
2016-05-26,68.40,68.47,66.89,66.96,2864009
2016-05-27,66.96,67.41,66.65,67.17,2740062
2016-05-31,67.30,67.49,65.34,65.41,5095818
2016-06-01,65.22,66.41,64.56,66.40,2895147
2016-06-02,66.24,68.11,65.99,68.10,5452391
2016-06-03,68.02,68.96,67.69,68.78,4360472
2016-06-06,69.00,69.40,68.66,68.75,2205216
2016-06-07,68.94,69.10,68.73,68.74,2098398
2016-06-08,68.79,68.93,68.28,68.37,2559650
2016-06-09,67.98,68.23,67.41,67.90,3742623
2016-06-10,67.90,68.06,67.27,67.56,2766200
2016-06-13,67.48,67.89,66.61,66.75,2689548
2016-06-14,66.61,66.76,65.34,65.85,2815579
2016-06-15,65.91,66.27,65.49,65.76,2248352
2016-06-16,65.45,67.00,65.23,66.92,2482254
2016-06-17,67.03,67.53,66.57,67.33,3297054
2016-06-20,67.71,68.38,67.54,67.55,2741613
2016-06-21,67.63,67.99,67.15,67.55,1795760
2016-06-22,67.42,68.30,67.42,68.07,3160242
2016-06-23,68.70,69.21,68.49,69.21,2156097
2016-06-24,66.74,67.37,65.90,66.00,10321170
2016-06-27,65.21,65.22,63.23,64.08,3099090
2016-06-28,64.17,64.40,61.62,62.75,5250057
2016-06-29,63.19,64.14,62.97,63.94,3180411
2016-06-30,63.96,65.05,63.41,64.80,4723665
2016-07-01,64.74,64.97,64.06,64.36,3382700
2016-07-05,64.04,64.14,62.89,62.96,2231382
2016-07-06,62.56,62.56,61.12,61.85,4027707
2016-07-07,61.91,62.85,61.75,61.92,3445223
2016-07-08,62.57,64.08,61.78,63.69,6378808
2016-07-11,63.90,64.65,63.76,64.24,2331855
2016-07-12,64.63,66.42,64.53,65.94,4551081
2016-07-13,66.05,66.38,65.87,66.09,1671211
2016-07-14,66.52,67.37,66.30,66.86,1913830
2016-07-15,67.18,67.31,66.82,67.16,2485875
2016-07-18,67.16,68.07,66.96,68.06,1939395
2016-07-19,67.69,67.89,67.36,67.49,1874995
2016-07-20,67.54,67.98,67.29,67.68,1625012
2016-07-21,67.79,67.95,67.26,67.85,2486975
2016-07-22,67.89,68.63,67.65,68.43,1780281
2016-07-25,68.30,68.93,67.99,68.88,2424827
2016-07-26,69.26,69.87,69.12,69.16,4216802
2016-07-27,69.22,69.76,68.62,69.12,2157866
2016-07-28,69.25,69.51,68.47,69.24,1895348
2016-07-29,69.17,69.60,68.96,69.17,2210182
2016-08-01,69.44,69.85,68.90,69.35,6030785
2016-08-02,69.14,69.27,67.92,68.73,2466827
2016-08-03,68.80,69.15,68.38,68.91,1339978
2016-08-04,69.00,69.20,68.55,68.85,1497507
2016-08-05,69.20,69.37,68.93,69.22,1766955
2016-08-08,69.12,69.59,69.04,69.30,1799650
2016-08-09,69.40,69.47,68.76,68.80,1232427
2016-08-10,68.93,69.16,68.74,69.08,1284715
2016-08-11,69.03,69.25,68.17,68.99,3072167
2016-08-12,68.94,69.03,67.43,67.66,3060253
2016-08-15,67.86,68.99,67.74,68.64,2802681
2016-08-16,68.45,68.79,67.92,68.03,1915523
2016-08-17,68.13,68.91,67.77,68.62,2120021
2016-08-18,68.64,69.46,68.31,69.45,3814044
2016-08-19,69.00,69.96,68.96,69.78,2524020
2016-08-22,69.70,70.00,69.23,69.95,2395319
2016-08-23,70.00,70.90,69.48,70.44,4437543
2016-08-24,70.26,70.69,70.08,70.37,2708746
2016-08-25,70.35,70.95,69.96,70.24,2412038
2016-08-26,70.50,71.07,69.35,69.65,1845105
2016-08-29,71.09,71.09,69.60,70.45,1652610
2016-08-30,70.54,70.90,70.10,70.24,2666149
2016-08-31,69.95,69.97,69.23,69.60,2182659
2016-09-01,69.74,70.04,69.06,69.73,1930545
2016-09-02,70.18,70.61,69.63,70.09,1918882
2016-09-06,70.05,70.26,69.47,69.69,1643030
2016-09-07,69.43,69.77,69.01,69.41,1815892
2016-09-08,69.25,69.84,68.76,69.68,3225684
2016-09-09,69.08,69.98,68.22,68.43,4149433
2016-09-12,68.15,68.37,67.33,68.17,3133869
2016-09-13,67.67,67.67,66.42,67.09,2553195
2016-09-14,66.99,67.36,66.76,67.03,2934432
2016-09-15,67.03,67.85,66.87,67.56,3266216
2016-09-16,67.56,67.56,66.75,67.25,6014023
2016-09-19,68.54,68.54,66.96,67.33,4735809
2016-09-20,67.82,67.92,66.69,66.70,2555783
2016-09-21,66.96,67.28,66.52,67.00,3077281
2016-09-22,67.38,67.64,66.58,66.85,2486463
2016-09-23,66.58,67.64,66.55,66.77,2661570
2016-09-26,66.71,66.99,66.02,66.52,2440441
2016-09-27,66.50,67.32,66.33,67.26,1766000
2016-09-28,67.23,67.79,66.47,67.19,2703396
2016-09-29,67.09,67.47,66.14,66.37,1886608
2016-09-30,66.76,67.43,66.69,66.97,2992711
2016-10-03,67.56,68.67,67.50,67.84,2402826
2016-10-04,68.07,68.42,66.83,66.88,2923278
2016-10-05,67.22,68.32,67.03,68.08,2114419
2016-10-06,67.86,69.11,67.48,69.06,2188250
2016-10-07,69.40,69.47,68.12,68.35,2391252
2016-10-10,68.85,69.67,68.65,68.94,1930241
2016-10-11,68.48,69.01,68.16,68.94,2224712
2016-10-12,69.04,69.27,68.37,68.78,1444550
2016-10-13,68.18,68.67,67.15,68.14,2042158
2016-10-14,68.15,69.28,68.15,69.03,2109271
2016-10-17,69.15,69.63,68.32,68.66,2167110
2016-10-18,69.27,69.67,69.09,69.50,1946655
2016-10-19,69.64,69.97,69.39,69.53,1794638
2016-10-20,69.17,69.73,69.01,69.46,1390622
2016-10-21,68.74,69.79,68.63,69.70,1824762
2016-10-24,69.98,70.17,69.60,70.14,2579046
2016-10-25,70.05,70.15,69.06,69.62,3289568
2016-10-26,69.14,69.25,68.57,68.68,2723680
2016-10-27,68.90,70.45,68.78,69.84,4170958
2016-10-28,70.16,70.35,69.11,69.45,2649098
2016-10-31,69.68,69.72,68.78,68.79,2453015
2016-11-01,69.00,69.02,67.92,68.44,3749496
2016-11-02,68.49,68.56,68.01,68.36,3055737
2016-11-03,68.61,68.70,68.29,68.50,2522558
2016-11-04,68.69,68.93,68.17,68.61,3505804
2016-11-07,69.44,69.72,68.88,69.30,3084512
2016-11-08,69.66,69.71,69.11,69.26,4334245
2016-11-09,66.20,70.37,66.19,70.21,5830313
2016-11-10,69.97,71.22,69.79,70.95,4866673
2016-11-11,70.73,70.90,67.72,69.21,5739800
2016-11-14,69.63,69.96,68.60,69.07,3368465
2016-11-15,69.13,69.17,67.48,68.64,2202980
2016-11-16,68.37,69.64,68.28,68.88,1836607
2016-11-17,69.20,69.25,68.26,69.17,1878475
2016-11-18,69.02,69.07,68.46,68.84,1842077
2016-11-21,69.18,70.15,69.09,70.07,3007480
2016-11-22,70.06,71.20,69.81,70.91,3726657
2016-11-23,70.68,70.86,70.26,70.32,3139201
2016-11-25,70.69,71.00,70.30,71.00,1591899
2016-11-28,70.89,71.06,70.29,70.89,2835013
2016-11-29,70.77,71.33,70.35,71.20,2473001
2016-11-30,71.58,73.69,71.11,73.61,5184790
2016-12-01,73.75,74.60,73.47,73.62,4813769
2016-12-02,73.73,73.79,72.90,73.13,3233772
2016-12-05,73.48,74.04,72.65,72.89,3717101
2016-12-06,72.59,72.80,72.02,72.73,1981385
2016-12-07,72.58,74.02,72.50,73.82,3136881
2016-12-08,74.00,74.97,73.52,74.68,2861705
2016-12-09,74.90,74.98,74.20,74.85,2360121
2016-12-12,75.04,75.67,74.72,75.09,3652751
2016-12-13,75.33,75.38,74.50,74.75,2425339
2016-12-14,74.77,74.88,73.38,73.71,5128963
2016-12-15,73.81,75.00,73.50,74.89,3768989
2016-12-16,75.04,75.20,74.28,74.86,4997228
2016-12-19,74.96,75.15,74.63,75.03,2351480
2016-12-20,75.10,75.38,74.81,75.26,2128907
2016-12-21,75.26,75.86,75.15,75.46,1861102
2016-12-22,75.14,75.41,74.80,75.07,1612803
2016-12-23,75.06,75.06,74.58,74.93,1080887
2016-12-27,75.11,75.34,74.89,74.96,1328252
2016-12-28,75.25,75.31,74.22,74.38,1625196
2016-12-29,74.22,74.69,73.76,73.81,1626720
2016-12-30,73.91,74.00,72.75,73.40,2533023
2017-01-03,73.47,74.10,72.67,73.61,2642813
2017-01-04,73.75,74.53,73.75,74.17,2684187
2017-01-05,73.87,74.20,73.28,73.81,1963894
2017-01-06,73.75,73.75,72.94,73.38,2364941
2017-01-09,73.03,75.25,73.03,73.72,3504624
2017-01-10,73.60,73.93,73.15,73.56,2520310
2017-01-11,73.56,74.08,73.28,74.03,2152220
2017-01-12,74.01,74.55,73.65,74.11,2386598
2017-01-13,73.84,74.05,73.24,73.60,1942493
2017-01-17,73.10,73.15,72.44,72.97,2726666
2017-01-18,73.16,73.59,72.62,73.45,1986455
2017-01-19,73.64,73.84,72.59,72.95,1461806
2017-01-20,73.21,73.69,72.66,73.03,3231085
2017-01-23,72.97,73.34,72.23,72.78,2373024
2017-01-24,73.71,76.47,73.00,76.05,5715708
2017-01-25,76.00,76.86,75.68,76.67,4016225
2017-01-26,76.54,78.36,76.39,77.99,3521059
2017-01-27,77.95,78.34,77.68,77.70,2109142
2017-01-30,77.10,77.28,75.81,76.00,2025650
2017-01-31,75.84,75.87,75.04,75.50,1970588
2017-02-01,75.30,76.39,75.17,76.34,2211438
2017-02-02,76.09,76.90,75.86,76.17,1769943
2017-02-03,76.22,76.57,75.63,76.43,1296113
2017-02-06,75.92,76.48,75.88,76.29,1361051
2017-02-07,76.21,76.55,75.82,76.07,1406904
2017-02-08,75.61,76.26,75.50,75.96,1412091
2017-02-09,76.00,76.86,75.77,76.37,1869816
2017-02-10,76.66,77.30,76.56,77.21,1557703
2017-02-13,77.20,77.90,76.99,77.82,2192556
2017-02-14,77.70,78.34,76.83,78.05,4200144
2017-02-15,78.03,78.09,77.53,77.94,1674299
2017-02-16,78.07,78.40,77.49,77.79,1455766
2017-02-17,77.70,77.80,76.81,77.49,1717174
2017-02-21,77.31,78.20,76.90,77.18,2058695
2017-02-22,77.02,80.66,77.00,79.80,9194061
2017-02-23,79.96,80.08,79.27,79.59,4412314
2017-02-24,79.50,79.85,79.18,79.81,2369617
2017-02-27,79.72,79.99,78.92,79.23,2634198
2017-02-28,79.30,79.30,78.30,78.54,2309032
2017-03-01,79.51,80.00,79.01,79.71,5096944
2017-03-02,80.00,80.14,79.43,79.73,2965584
2017-03-03,79.91,80.12,79.34,79.60,1850833
2017-03-06,79.68,80.50,79.13,79.81,3829027
2017-03-07,79.81,79.81,79.31,79.39,4562937
2017-03-08,79.60,80.55,79.11,79.77,3365976
2017-03-09,79.87,80.53,79.06,80.48,3807170
2017-03-10,80.73,80.99,80.23,80.86,2906665
2017-03-13,81.00,81.35,80.72,81.23,2153980
2017-03-14,80.78,80.97,80.11,80.42,2372183
2017-03-15,81.02,81.51,80.51,81.49,2889171
2017-03-16,81.07,81.30,80.28,80.61,1946629
2017-03-17,81.42,81.54,80.64,81.25,6459842
2017-03-20,81.14,81.86,80.63,81.50,3027947
2017-03-21,81.60,81.83,79.56,79.76,3823803
2017-03-22,79.68,79.68,78.32,79.18,3171850
2017-03-23,78.94,80.68,78.77,80.56,3900612
2017-03-24,80.40,81.07,79.27,79.60,2438961
2017-03-27,79.35,80.78,78.83,80.58,3570040
2017-03-28,80.39,82.37,80.15,81.84,3530410
2017-03-29,81.60,82.04,81.32,81.87,3064567
2017-03-30,81.90,82.08,81.35,81.64,2099005
2017-03-31,81.40,81.50,80.32,80.33,3554323
2017-04-03,80.44,80.67,78.83,79.67,2670064
2017-04-04,79.59,79.86,79.11,79.80,3607838
2017-04-05,80.02,81.52,79.95,80.47,4883313
2017-04-06,80.59,81.14,80.22,80.64,1935111
