date,open,high,low,close,volume
2015-12-01,79.42,79.86,78.82,79.49,2962817
2015-12-02,79.58,79.83,78.99,79.33,3012845
2015-12-03,79.43,79.49,77.95,78.30,2913441
2015-12-04,78.41,79.62,78.00,79.59,2400960
2015-12-07,79.15,79.25,78.19,79.10,2699519
2015-12-08,78.06,79.35,77.51,79.25,3388586
2015-12-09,79.15,80.55,78.67,79.24,3912122
2015-12-10,79.20,79.37,78.18,78.60,2817809
2015-12-11,77.75,77.99,76.63,77.16,3965493
2015-12-14,77.16,78.99,76.63,78.94,5027252
2015-12-15,79.36,79.77,76.74,77.25,6291300
2015-12-16,77.45,78.59,76.94,78.19,2912128
2015-12-17,78.34,78.53,76.75,76.91,3403187
2015-12-18,76.47,77.13,74.95,74.97,5292867
2015-12-21,75.63,76.03,74.63,75.71,3778297
2015-12-22,75.98,77.91,75.98,77.59,2583606
2015-12-23,78.25,79.39,78.15,79.22,3376009
2015-12-24,78.88,79.36,78.52,78.79,750195
2015-12-28,78.67,78.77,77.00,77.97,2726331
2015-12-29,77.56,78.13,77.13,77.64,1746987
2015-12-30,77.43,78.32,77.18,77.50,1643835
2015-12-31,77.01,77.20,76.26,76.27,2162571
2016-01-04,75.78,76.13,74.64,76.08,3586850
2016-01-05,75.95,76.54,75.02,76.52,2578331
2016-01-06,75.16,76.21,75.02,75.66,3157647
2016-01-07,74.39,76.03,74.25,74.99,3720482
2016-01-08,75.36,75.55,73.51,73.76,3530844
2016-01-11,73.89,74.37,73.21,74.15,3770972
2016-01-12,75.00,75.08,73.10,74.52,2915903
2016-01-13,74.81,75.48,73.15,73.22,3004253
2016-01-14,73.38,74.73,72.68,73.60,3144136
2016-01-15,72.00,73.46,71.91,73.12,4863620
2016-01-19,73.57,73.74,71.57,72.46,3913797
2016-01-20,71.37,73.01,70.16,72.00,4230216
2016-01-21,71.99,73.66,71.19,73.03,2731191
2016-01-22,74.19,76.23,73.65,74.61,3177791
2016-01-25,73.80,73.90,71.70,71.78,2633820
2016-01-26,72.02,73.58,71.64,73.57,2338780
2016-01-27,73.60,75.03,73.17,73.63,2665692
2016-01-28,74.70,75.24,73.36,74.81,2208835
2016-01-29,75.38,77.01,75.34,77.01,4369242
2016-02-01,76.23,77.13,75.72,76.80,2249057
2016-02-02,75.60,75.70,74.17,74.58,2587272
2016-02-03,75.00,75.73,72.86,75.41,2819241
2016-02-04,75.07,79.04,75.05,78.70,4976308
2016-02-05,78.40,79.84,78.10,78.42,4154178
2016-02-08,77.60,78.85,75.93,77.07,3622290
2016-02-09,75.90,78.60,75.90,78.08,2978798
2016-02-10,78.57,78.83,77.07,77.41,2314103
2016-02-11,75.97,77.14,75.18,76.41,3681915
2016-02-12,77.31,78.48,76.75,78.27,3154089
2016-02-16,78.99,79.94,77.74,79.81,3703294
2016-02-17,80.47,82.23,80.00,81.43,4992803
2016-02-18,81.41,81.68,79.18,80.33,5238180
2016-02-19,76.65,78.36,76.50,77.00,8955198
2016-02-22,77.30,78.79,77.20,78.40,3372601
2016-02-23,78.23,78.49,76.92,77.14,2911558
2016-02-24,76.69,79.30,75.73,79.00,2922334
2016-02-25,79.21,79.65,78.56,79.60,1955232
2016-02-26,79.87,80.59,79.21,79.47,2603025
2016-02-29,79.59,81.35,79.05,80.18,7368700
2016-03-01,80.64,82.15,79.50,81.05,3424949
2016-03-02,80.64,82.06,80.16,81.84,2508472
2016-03-03,81.77,83.82,81.45,83.67,2860149
2016-03-04,83.67,86.07,83.46,84.88,4250320
2016-03-07,84.60,85.95,84.26,85.68,3513976
2016-03-08,84.84,85.13,82.75,83.85,3212293
2016-03-09,84.15,84.70,82.63,83.04,2677175
2016-03-10,82.82,82.90,81.39,82.38,2774211
2016-03-11,83.20,83.43,82.37,82.95,2779546
2016-03-14,82.61,83.32,81.52,81.85,2823125
2016-03-15,80.97,81.02,80.06,80.65,3149719
2016-03-16,80.62,81.57,80.25,81.41,2591987
2016-03-17,81.62,83.52,81.27,83.06,3505109
2016-03-18,83.27,83.86,82.46,82.63,7188811
2016-03-21,82.78,83.03,81.93,82.72,2372959
