date,open,high,low,close,volume
2015-12-01,65.70,66.88,65.68,66.57,1804494
2015-12-02,66.38,66.56,64.80,65.05,1472075
2015-12-03,65.14,66.08,64.54,65.66,2774243
2015-12-04,64.77,65.82,64.03,64.75,2644282
2015-12-07,64.04,64.52,63.21,64.22,1968344
2015-12-08,63.34,63.87,61.91,63.10,1956298
2015-12-09,62.84,64.40,62.68,63.40,1485848
2015-12-10,63.34,64.31,63.20,63.78,1384503
2015-12-11,62.94,63.12,61.62,61.74,1474055
2015-12-14,61.82,62.08,60.72,62.05,1671736
2015-12-15,62.55,62.81,61.89,62.11,1318189
2015-12-16,60.68,62.81,60.15,61.45,2544656
2015-12-17,61.21,61.54,59.25,59.46,2100516
2015-12-18,59.08,59.86,58.45,58.50,2488774
2015-12-21,58.83,59.38,58.53,59.17,1272182
2015-12-22,59.38,60.29,59.14,59.85,1226482
2015-12-23,60.45,62.50,60.45,62.07,1499211
2015-12-24,62.03,62.73,61.97,62.40,1096940
2015-12-28,62.20,62.46,61.80,62.31,2066425
2015-12-29,62.70,63.35,61.75,62.17,1197070
2015-12-30,61.81,62.47,61.55,61.68,802632
2015-12-31,61.27,62.03,61.01,61.31,580922
2016-01-04,60.12,61.66,59.83,61.64,1962005
2016-01-05,61.66,61.88,59.97,60.47,1078455
2016-01-06,59.44,60.05,58.90,59.19,1237535
2016-01-07,58.10,59.16,57.73,58.34,1624461
2016-01-08,58.56,58.84,57.63,57.84,2165986
2016-01-11,58.00,58.28,56.55,56.97,2210115
2016-01-12,57.95,58.23,55.08,56.47,4214940
2016-01-13,55.72,57.51,55.23,55.32,2024586
2016-01-14,55.38,56.42,54.24,55.71,3115397
2016-01-15,53.74,53.90,52.70,52.90,3017291
2016-01-19,53.50,53.97,52.66,53.24,2087056
2016-01-20,52.50,52.97,50.91,52.65,1952180
2016-01-21,52.51,53.91,52.00,52.85,1469440
2016-01-22,54.10,54.60,52.75,53.29,2223827
2016-01-25,53.18,53.64,52.49,53.06,2471159
2016-01-26,53.71,57.18,53.54,56.06,4152535
2016-01-27,55.77,56.92,54.92,55.31,2106480
2016-01-28,56.67,56.98,55.58,56.62,2072855
2016-01-29,56.88,58.50,56.88,58.45,2142943
2016-02-01,57.17,58.11,56.95,57.82,2100953
2016-02-02,57.15,57.38,56.38,56.82,3106279
2016-02-03,57.46,58.56,55.78,58.24,2514551
2016-02-04,58.25,61.28,58.23,59.67,2011391
2016-02-05,59.46,60.38,59.08,59.94,1496577
2016-02-08,59.15,59.85,58.70,59.67,1255974
2016-02-09,58.89,59.50,57.45,58.13,2379499
2016-02-10,58.26,59.02,56.90,57.01,1876982
2016-02-11,55.92,57.42,55.30,57.25,2246422
2016-02-12,57.97,59.47,57.39,59.19,1597006
2016-02-16,59.84,60.30,58.76,60.29,1556304
2016-02-17,60.93,62.31,60.61,61.65,1571284
2016-02-18,61.53,62.28,61.09,61.65,1465197
2016-02-19,61.47,61.52,60.21,60.62,2187869
2016-02-22,61.48,62.06,61.16,61.45,2516170
2016-02-23,61.35,61.80,60.25,60.38,1140763
