date,open,high,low,close,volume
2015-12-01,80.94,81.05,80.00,80.67,1166296
2015-12-02,80.40,80.51,78.61,78.68,1350814
2015-12-03,78.70,78.96,77.95,78.27,1682918
2015-12-04,78.76,80.80,78.53,80.53,1352183
2015-12-07,80.32,81.20,80.02,81.18,1071380
2015-12-08,81.00,81.22,80.00,80.62,857661
2015-12-09,80.34,81.35,79.78,80.21,1710303
2015-12-10,80.14,80.27,78.61,78.92,1266716
2015-12-11,78.61,79.25,78.24,78.33,1161364
2015-12-14,78.34,78.72,77.35,78.47,1373304
2015-12-15,78.66,79.85,78.66,79.12,774401
2015-12-16,79.49,81.05,79.22,80.89,1057360
2015-12-17,80.30,80.66,79.69,79.95,1156071
2015-12-18,79.87,79.97,78.50,78.88,1607592
2015-12-21,79.16,79.61,77.98,78.66,1086140
2015-12-22,78.87,79.30,77.97,79.08,891385
2015-12-23,79.35,80.13,79.27,80.01,668979
2015-12-24,79.82,80.23,79.70,79.88,327910
2015-12-28,79.80,80.69,79.59,80.66,759937
2015-12-29,80.97,81.88,80.79,81.44,878147
2015-12-30,81.59,81.92,81.23,81.54,1153460
2015-12-31,81.43,81.67,79.34,80.19,979944
2016-01-04,79.50,79.67,78.42,79.14,1408290
2016-01-05,78.96,80.10,78.01,79.95,1259100
2016-01-06,79.37,80.07,79.13,79.59,2098595
2016-01-07,78.78,79.49,78.49,78.72,1421447
2016-01-08,78.72,79.16,78.25,78.38,1581323
2016-01-11,78.59,79.37,78.58,79.15,1846519
2016-01-12,79.77,79.77,78.46,79.60,1526175
2016-01-13,80.42,81.18,80.01,80.25,1830845
2016-01-14,80.19,81.82,79.87,81.32,1152586
2016-01-15,80.29,81.20,79.81,80.54,1471655
2016-01-19,81.26,82.43,80.87,82.23,1704349
2016-01-20,81.71,82.39,79.53,80.19,2033352
2016-01-21,80.18,80.76,78.72,79.25,1446482
2016-01-22,79.94,81.42,79.38,81.33,1375513
2016-01-25,81.37,81.43,80.53,80.76,872597
2016-01-26,81.11,82.27,80.85,81.70,953802
2016-01-27,81.26,82.54,81.04,82.00,988223
2016-01-28,82.00,83.90,81.59,83.25,770980
2016-01-29,84.00,85.18,82.81,85.01,1528687
2016-02-01,84.51,85.84,84.29,85.31,1123109
2016-02-02,85.15,86.31,84.98,86.22,1242271
2016-02-03,86.67,87.84,86.10,87.09,1776546
2016-02-04,86.94,87.56,86.44,86.61,1388253
2016-02-05,86.18,86.86,85.03,86.45,1787507
2016-02-08,86.84,87.81,85.24,86.22,1757972
2016-02-09,86.03,87.12,85.79,86.85,1460677
2016-02-10,85.63,86.78,83.80,85.79,2244419
2016-02-11,85.93,86.45,84.03,84.08,1503059
2016-02-12,83.74,84.51,82.93,83.72,1005072
2016-02-16,83.64,84.63,83.22,84.54,1353725
2016-02-17,84.55,84.83,83.57,84.22,1315108
2016-02-18,84.37,85.69,84.04,85.14,997885
2016-02-19,84.95,85.21,84.11,84.72,873455
2016-02-22,85.02,85.75,84.69,85.39,829566
2016-02-23,84.97,86.05,84.72,85.76,663957
2016-02-24,85.69,86.39,85.20,86.06,685867
2016-02-25,86.33,87.04,86.00,86.97,568924
2016-02-26,86.46,86.73,84.26,84.29,1152868
2016-02-29,84.20,85.01,84.01,84.12,1250134
2016-03-01,84.57,84.80,83.15,83.83,1358802
2016-03-02,83.46,84.15,81.75,84.06,1067063
2016-03-03,84.25,84.25,82.60,84.01,1183760
2016-03-04,83.58,85.08,83.27,84.86,918506
2016-03-07,84.53,86.18,84.39,86.17,1259012
2016-03-08,86.22,87.60,85.73,87.26,1489740
2016-03-09,88.33,88.58,87.59,87.93,1117113
2016-03-10,87.70,88.32,87.19,88.00,810859
2016-03-11,88.48,88.83,87.85,88.25,951797
2016-03-14,88.15,88.53,87.63,88.06,603632
2016-03-15,87.75,88.72,87.69,88.37,692460
2016-03-16,87.96,89.72,87.32,89.48,1148699
2016-03-17,89.10,89.71,88.31,89.46,1432060
2016-03-18,89.67,89.79,88.61,88.91,2058862
2016-03-21,88.49,89.31,87.72,88.91,688271
2016-03-22,88.80,89.31,88.26,88.37,846855
2016-03-23,88.44,89.71,87.92,89.39,956134
2016-03-24,88.99,89.62,88.74,89.46,739905
2016-03-28,89.50,90.03,88.91,89.28,594727
2016-03-29,89.26,90.91,88.94,90.87,891304
2016-03-30,90.93,91.00,90.25,90.72,679731
2016-03-31,90.72,90.93,90.19,90.66,1087045
2016-04-01,90.62,91.20,89.94,91.05,1116364
2016-04-04,91.05,91.23,89.84,90.72,939026
2016-04-05,90.50,90.72,88.92,89.05,1298596
2016-04-06,88.93,89.24,88.43,88.99,790387
2016-04-07,88.66,89.32,88.54,88.77,999044
2016-04-08,89.00,89.78,88.55,89.00,663562
2016-04-11,89.08,89.69,88.56,88.59,848033
2016-04-12,88.94,89.23,88.60,89.09,725590
2016-04-13,89.40,89.46,88.00,88.69,829351
2016-04-14,88.57,88.90,88.10,88.28,814575
2016-04-15,88.58,89.29,88.14,89.12,813345
2016-04-18,89.11,89.32,88.49,89.24,753548
2016-04-19,89.26,89.58,88.99,89.55,641550
2016-04-20,89.50,89.80,86.93,87.06,699394
2016-04-21,86.80,86.96,84.77,85.07,1154601
2016-04-22,85.55,86.24,85.21,85.77,778833
2016-04-25,85.69,86.28,85.37,86.27,839710
2016-04-26,86.19,87.04,85.47,86.07,866834
2016-04-27,86.46,88.03,85.83,87.45,944066
2016-04-28,86.47,88.13,86.36,88.05,753825
2016-04-29,87.56,89.32,86.98,89.16,1633699
2016-05-02,89.09,90.49,88.78,90.13,1383801
2016-05-03,90.04,90.54,89.29,89.70,894117
2016-05-04,89.51,91.95,89.51,91.21,1091161
2016-05-05,90.95,92.32,90.71,91.10,953267
2016-05-06,91.08,91.08,89.56,90.04,1338267
2016-05-09,90.23,90.49,89.81,90.34,1151907
2016-05-10,90.64,90.79,90.05,90.28,793771
2016-05-11,90.41,90.82,89.67,90.69,764991
2016-05-12,90.81,91.57,90.24,91.33,628135
2016-05-13,91.29,91.41,90.37,90.87,533174
2016-05-16,90.71,91.03,90.16,90.88,482799
2016-05-17,90.60,90.76,88.70,89.12,789535
2016-05-18,88.52,89.68,87.34,87.72,960143
2016-05-19,87.39,88.68,86.81,88.65,629803
2016-05-20,88.97,88.97,88.12,88.69,774000
2016-05-23,88.70,88.79,87.69,87.75,478025
2016-05-24,88.10,89.35,88.00,89.22,687844
2016-05-25,89.00,89.10,88.36,88.69,757072
2016-05-26,88.75,89.90,88.43,89.72,604548
2016-05-27,89.81,90.24,89.44,90.21,564953
2016-05-31,90.04,90.77,89.83,90.68,1127767
2016-06-01,90.60,91.14,90.42,91.12,698311
2016-06-02,90.91,91.11,90.02,91.11,528878
2016-06-03,92.00,93.27,91.94,92.83,641654
2016-06-06,92.83,93.14,92.14,92.59,633867
2016-06-07,92.79,93.26,92.51,92.70,546912
2016-06-08,92.71,93.46,92.37,93.38,606722
2016-06-09,93.39,94.23,93.35,94.05,939456
2016-06-10,93.99,94.44,93.53,93.91,669930
2016-06-13,94.00,94.37,93.71,93.83,776394
2016-06-14,93.92,95.03,93.43,94.98,1011094
2016-06-15,95.03,95.03,93.56,94.00,835051
2016-06-16,92.78,94.16,92.78,93.94,919469
2016-06-17,94.07,94.49,93.33,94.38,1271266
2016-06-20,94.29,94.49,93.09,93.91,817497
2016-06-21,93.91,94.61,93.35,94.03,614083
2016-06-22,94.27,94.27,93.58,93.75,677448
2016-06-23,93.91,94.08,93.28,94.06,867197
2016-06-24,93.45,96.53,93.35,95.58,1862727
2016-06-27,95.36,96.95,95.36,96.49,1479067
2016-06-28,96.49,96.90,95.41,96.79,1278206
2016-06-29,97.14,97.57,96.74,97.10,813466
2016-06-30,97.28,99.13,97.06,99.12,1432920
2016-07-01,99.64,100.00,98.27,99.28,1142924
2016-07-05,99.38,100.26,99.27,100.10,1038717
2016-07-06,100.14,100.45,99.33,99.95,1038901
2016-07-07,99.69,100.02,97.94,98.19,752600
2016-07-08,97.89,99.17,97.02,99.14,841869
2016-07-11,98.75,99.02,97.66,98.96,497453
2016-07-12,98.15,98.67,97.32,97.68,712643
2016-07-13,98.18,98.47,97.87,98.10,965145
2016-07-14,97.49,97.98,96.86,97.09,1159331
2016-07-15,97.26,97.80,97.10,97.66,1001317
2016-07-18,97.86,98.40,97.79,97.98,556369
2016-07-19,98.06,98.40,97.59,98.05,562689
2016-07-20,98.00,98.29,97.35,97.53,427748
2016-07-21,97.25,98.48,96.96,98.36,729116
2016-07-22,98.29,99.70,98.17,99.41,956462
2016-07-25,99.12,99.40,98.53,98.82,1223089
2016-07-26,99.18,99.29,97.88,98.00,1255874
2016-07-27,98.03,98.11,96.57,97.23,1282678
2016-07-28,97.27,97.68,96.94,97.10,1835379
2016-07-29,97.02,97.68,97.02,97.52,2485177
2016-08-01,97.38,98.25,97.25,98.18,1687085
2016-08-02,98.18,98.44,97.62,98.14,1402958
2016-08-03,98.02,98.22,96.24,96.67,891579
2016-08-04,96.67,97.65,96.53,96.92,587761
2016-08-05,96.68,96.72,94.91,95.10,1101610
2016-08-08,95.24,95.95,94.61,95.09,761138
2016-08-09,95.18,95.77,94.78,95.30,571872
2016-08-10,95.60,95.79,95.06,95.57,583395
2016-08-11,95.64,95.94,95.27,95.88,702895
2016-08-12,96.22,96.97,96.21,96.38,706888
2016-08-15,96.38,96.62,94.72,94.76,716601
2016-08-16,94.50,94.50,93.32,93.68,1349869
2016-08-17,93.23,95.41,92.67,95.07,1824244
2016-08-18,94.94,96.68,94.94,96.68,2067196
2016-08-19,96.28,96.53,94.24,94.70,1443409
2016-08-22,94.90,95.41,94.64,95.12,445775
2016-08-23,95.20,95.57,94.59,94.61,584814
2016-08-24,94.43,94.97,93.80,94.93,738723
2016-08-25,94.93,95.38,94.66,95.16,687745
2016-08-26,95.24,95.64,92.49,92.59,876914
2016-08-29,92.91,93.71,92.91,93.52,848910
2016-08-30,93.64,93.98,92.33,92.49,546053
2016-08-31,92.59,93.04,92.24,92.90,1090082
2016-09-01,92.75,92.91,91.97,92.21,878573
2016-09-02,92.24,93.39,92.02,93.20,837924
2016-09-06,93.55,94.80,93.47,94.16,818167
2016-09-07,94.05,94.64,93.45,94.54,1006346
2016-09-08,94.07,94.83,93.86,94.50,951481
2016-09-09,94.09,94.09,90.95,91.00,1113548
2016-09-12,91.16,92.80,90.92,92.56,1194503
2016-09-13,92.39,92.39,90.61,91.35,1025683
2016-09-14,91.51,92.44,91.19,92.35,1570008
2016-09-15,91.67,92.44,91.11,92.32,972461
2016-09-16,92.08,93.68,91.57,93.56,1513406
2016-09-19,93.80,94.47,93.61,94.40,939090
2016-09-20,94.80,95.00,93.88,93.89,744910
2016-09-21,93.79,95.94,93.79,95.85,1241955
2016-09-22,96.13,96.56,95.55,96.16,890972
2016-09-23,96.14,97.25,95.58,96.85,1135841
