date,open,high,low,close,volume
2015-12-01,68.05,68.44,67.39,68.06,2846877
2015-12-02,67.88,67.94,66.06,66.13,4304632
2015-12-03,66.04,66.73,65.50,66.23,3960767
2015-12-04,66.49,67.10,66.30,67.04,2712078
2015-12-07,66.80,68.56,66.77,68.50,4328241
2015-12-08,68.27,68.60,67.81,68.44,3690225
2015-12-09,68.17,69.50,67.90,68.61,2703195
2015-12-10,68.45,68.46,67.31,67.43,2972671
2015-12-11,67.19,67.98,66.99,67.84,4730394
2015-12-14,67.81,68.50,67.25,68.45,3645409
2015-12-15,68.57,69.53,68.26,68.84,4233305
2015-12-16,69.29,70.29,69.11,70.03,4747795
2015-12-17,70.07,71.02,69.70,70.50,4205837
2015-12-18,70.08,70.35,68.78,69.60,6136909
2015-12-21,69.96,70.26,69.33,69.81,2122795
2015-12-22,70.35,71.15,69.66,70.95,2948958
2015-12-23,71.15,72.31,71.08,72.00,2737702
2015-12-24,72.00,72.39,71.90,72.04,1018162
2015-12-28,71.75,72.26,71.60,71.92,2351806
2015-12-29,72.28,72.75,72.17,72.37,1943639
2015-12-30,72.37,72.60,72.12,72.19,2062133
2015-12-31,72.14,72.22,70.74,71.39,2999575
2016-01-04,70.93,71.21,70.16,71.19,3565559
2016-01-05,71.18,71.85,70.18,71.70,2706869
2016-01-06,71.11,72.18,70.87,71.86,2382816
2016-01-07,71.05,71.77,70.89,71.20,2887788
2016-01-08,71.19,71.68,70.91,71.04,2198146
2016-01-11,71.25,72.05,71.20,71.83,2968865
2016-01-12,72.14,72.26,70.60,71.27,2976160
2016-01-13,71.36,72.35,71.29,71.70,2622719
2016-01-14,71.73,72.83,71.16,72.37,3645240
2016-01-15,71.48,72.30,71.02,72.08,4819689
2016-01-19,72.47,73.36,72.09,73.16,3180899
2016-01-20,72.57,72.99,70.65,71.42,3593312
2016-01-21,71.70,72.14,70.35,71.09,4501454
2016-01-22,71.58,72.24,70.95,72.18,3161445
2016-01-25,72.19,72.29,71.52,71.80,2398640
2016-01-26,72.00,73.20,71.74,72.22,2601256
2016-01-27,72.00,72.89,71.66,72.41,2087017
2016-01-28,72.17,73.96,71.83,73.47,2293980
2016-01-29,73.99,75.41,73.93,75.30,4822440
2016-02-01,75.18,77.68,75.02,77.00,6780689
2016-02-02,76.09,76.94,76.03,76.75,4563085
2016-02-03,76.84,78.72,76.76,78.56,4913254
2016-02-04,78.27,79.03,77.88,78.58,4545889
2016-02-05,78.15,79.22,77.35,79.04,3522315
2016-02-08,79.25,80.10,78.60,79.17,5350635
2016-02-09,78.75,79.81,78.24,78.93,3806758
2016-02-10,77.61,78.56,76.39,78.12,4140254
2016-02-11,77.75,78.31,76.77,76.80,4053553
2016-02-12,76.96,77.31,75.51,76.24,4520436
2016-02-16,76.20,76.49,75.45,76.29,3550231
2016-02-17,76.52,76.58,75.27,75.50,4989497
2016-02-18,75.04,76.66,74.69,76.21,6529897
2016-02-19,75.93,75.93,74.19,74.55,6272120
2016-02-22,74.80,75.21,74.26,74.84,3893699
2016-02-23,74.65,75.17,74.23,74.81,4231880
2016-02-24,74.99,75.44,74.34,74.95,3869778
2016-02-25,75.16,76.45,74.84,76.44,3494067
2016-02-26,76.07,76.31,73.95,74.03,4250855
