date,open,high,low,close,volume
2017-04-03,69.32,71.83,67.76,67.95,34498000
2017-04-04,68.58,70.62,68.11,69.40,6992302
2017-04-05,69.97,72.64,69.61,71.79,5244919
2017-04-06,72.72,75.09,72.55,74.68,9425095
2017-04-07,74.41,76.24,74.39,75.87,3981631
2017-04-10,75.90,76.16,73.84,74.71,3184751
2017-04-11,74.11,75.18,73.54,74.28,2928972
2017-04-12,74.04,76.75,74.00,76.13,3587192
2017-04-13,75.69,77.34,75.52,76.51,2960952
2017-04-17,76.80,77.99,76.80,77.00,2065550
2017-04-18,76.70,76.84,74.77,75.39,3131160
2017-04-19,76.16,76.16,74.70,75.25,3219498
2017-04-20,75.52,75.78,74.88,75.49,2624505
2017-04-21,75.72,76.52,75.01,76.32,2727860
2017-04-24,76.97,77.03,75.43,75.69,2156462
2017-04-25,75.41,76.42,75.09,76.13,2329355
2017-04-26,76.33,76.75,75.65,76.14,1567834
2017-04-27,76.33,76.47,75.35,75.88,1185210
2017-04-28,75.88,75.88,74.96,75.34,2007810
2017-05-01,75.38,76.80,74.95,76.40,2962259
2017-05-02,76.43,77.93,76.25,76.98,2209133
2017-05-03,76.84,78.60,76.33,77.27,3073638
2017-05-04,77.88,78.31,77.52,77.56,2271897
2017-05-05,77.79,78.48,77.05,78.39,1005264
2017-05-08,78.14,78.43,77.51,78.41,1162570
2017-05-09,79.93,80.03,78.84,79.00,3522470
2017-05-10,79.06,79.86,79.06,79.61,2693431
2017-05-11,79.22,79.52,78.97,79.42,1775586
2017-05-12,79.45,79.63,79.12,79.62,1044019
2017-05-15,79.64,80.60,79.64,80.53,1861731
2017-05-16,80.69,80.83,80.29,80.59,1717816
2017-05-17,80.03,80.18,78.52,78.78,2152149
2017-05-18,78.70,78.89,77.74,78.12,3752918
2017-05-19,78.08,79.03,77.94,78.07,1731802
2017-05-22,78.10,78.58,77.64,78.48,1544062
2017-05-23,78.45,78.88,78.15,78.27,1091438
2017-05-24,78.55,78.73,77.40,77.95,1178954
2017-05-25,78.54,79.55,78.02,78.64,1700205
2017-05-26,79.51,80.33,77.17,78.66,2372728
2017-05-30,78.10,78.60,77.27,78.34,1997347
2017-05-31,78.23,78.64,77.32,77.52,2410644
2017-06-01,77.30,77.82,76.76,77.14,1719613
2017-06-02,77.00,78.24,76.29,77.59,2123220
2017-06-05,77.35,78.10,76.97,77.75,1675887
2017-06-06,77.52,77.99,76.84,76.87,2007454
2017-06-07,76.88,77.25,76.37,76.77,1140513
2017-06-08,76.80,76.89,75.76,76.15,1553777
2017-06-09,75.90,76.39,74.31,75.10,2288499
2017-06-12,74.70,75.95,73.94,75.55,2434200
2017-06-13,75.42,75.96,74.90,75.93,2087220
2017-06-14,76.00,76.19,74.66,74.79,1194670
2017-06-15,74.06,74.57,73.75,74.10,1712979
2017-06-16,73.63,74.98,73.51,74.84,2555736
2017-06-19,75.00,76.87,74.90,76.71,1683401
2017-06-20,76.41,76.54,75.67,75.92,1499980
2017-06-21,76.00,76.99,75.79,76.42,2000429
2017-06-22,76.54,77.00,76.12,76.72,1044465
2017-06-23,76.27,78.47,76.06,78.46,10495274
2017-06-26,78.05,79.31,77.86,78.85,2848008
2017-06-27,78.54,79.25,77.50,77.52,2011750
2017-06-28,77.90,78.58,77.26,78.40,2146986
2017-06-29,78.19,78.85,77.47,78.54,1999164
2017-06-30,78.22,78.78,76.72,76.72,1825589
2017-07-03,76.76,76.85,75.84,75.95,1217374
2017-07-05,75.95,76.67,75.88,76.24,1780607
2017-07-06,76.20,76.70,75.64,76.51,1941737
2017-07-07,76.51,77.65,76.46,77.46,842897
2017-07-10,77.36,78.25,77.13,77.85,2193458
2017-07-11,77.92,78.05,77.34,77.73,1945827
2017-07-12,78.25,78.98,77.92,78.68,967200
2017-07-13,78.68,78.93,77.98,78.56,1008611
2017-07-14,78.82,78.82,77.92,78.51,1411719
2017-07-17,78.52,78.57,77.65,78.21,1481771
2017-07-18,78.24,78.35,77.74,77.98,1719104
2017-07-19,78.00,78.71,77.77,78.71,1756210
2017-07-20,78.52,78.87,78.09,78.64,806556
2017-07-21,78.53,80.36,78.53,79.94,1610212
2017-07-24,80.00,80.39,79.62,80.25,1412060
2017-07-25,80.35,80.73,79.98,80.06,790260
2017-07-26,80.06,80.39,79.85,80.06,1064025
2017-07-27,80.22,80.29,77.37,78.48,1797975
2017-07-28,78.41,78.89,78.34,78.43,898616
2017-07-31,78.54,79.00,77.96,78.38,987671
2017-08-01,78.75,79.39,78.42,79.33,1066374
2017-08-02,78.97,79.25,77.86,78.11,1011471
2017-08-03,78.37,78.65,78.00,78.44,858624
2017-08-04,78.49,78.95,78.40,78.72,833086
2017-08-07,78.65,79.25,78.63,78.87,1219051
2017-08-08,78.46,79.29,77.26,77.49,2747508
2017-08-09,79.68,84.50,79.67,82.98,4614808
2017-08-10,82.19,82.55,80.70,81.27,2465145
2017-08-11,81.46,82.20,80.85,82.05,1552154
2017-08-14,82.81,84.44,82.50,84.23,2421380
2017-08-15,84.46,85.69,83.80,85.35,2206463
2017-08-16,85.36,86.08,84.96,85.79,1491771
2017-08-17,85.50,85.79,83.57,83.58,1772747
2017-08-18,83.52,84.13,82.80,83.34,1782636
2017-08-21,83.37,83.68,82.85,83.27,1093537
2017-08-22,83.50,85.59,83.50,85.51,1946184
2017-08-23,84.93,85.22,84.40,85.07,2261974
2017-08-24,85.50,85.80,84.93,85.03,1123512
2017-08-25,85.38,85.60,84.74,84.88,771416
2017-08-28,84.89,85.07,84.12,84.79,737182
2017-08-29,84.31,84.94,84.13,84.70,853101
2017-08-30,84.59,84.77,84.08,84.43,754264
2017-08-31,84.88,85.28,84.42,85.00,1503285
2017-09-01,85.09,85.38,84.56,84.91,754617
2017-09-05,84.61,85.71,84.24,84.44,1390966
2017-09-06,84.43,84.92,83.63,84.01,1216776
2017-09-07,84.26,84.34,83.52,84.33,1698718
2017-09-08,84.29,84.58,83.58,84.17,1669809
2017-09-11,84.84,85.86,84.18,85.25,2988096
2017-09-12,85.57,86.29,85.46,85.91,2038905
2017-09-13,85.80,85.80,84.74,85.36,2688694
2017-09-14,84.98,85.82,84.50,85.40,2410221
2017-09-15,85.78,85.83,84.96,85.07,2249700
2017-09-18,85.08,85.39,84.73,84.85,1269464
2017-09-19,84.90,85.05,84.66,84.77,832947
2017-09-20,84.76,85.31,84.26,84.89,1990252
2017-09-21,84.52,85.39,84.33,84.84,1383445
2017-09-22,84.42,85.99,84.25,85.51,2674002
2017-09-25,85.33,85.58,83.80,84.57,2540556
2017-09-26,84.46,84.54,83.87,84.02,925282
2017-09-27,84.60,85.07,84.16,84.62,1079411
2017-09-28,84.25,84.97,83.93,84.79,946923
2017-09-29,84.52,86.03,84.41,85.88,1477010
2017-10-02,85.88,86.75,85.04,85.35,1879726
2017-10-03,85.37,85.73,85.00,85.11,1131488
2017-10-04,85.11,85.62,84.85,85.50,742659
2017-10-05,85.47,86.14,85.21,85.78,1826940
2017-10-06,85.87,87.44,85.54,87.44,2213752
2017-10-09,87.80,89.52,87.47,88.41,1915884
2017-10-10,88.42,88.73,87.77,88.09,1569049
2017-10-11,87.83,87.99,87.06,87.65,2024394
2017-10-12,92.06,93.40,89.50,91.20,4317126
2017-10-13,91.60,91.99,90.95,91.04,2027150
2017-10-16,91.06,91.80,90.85,91.49,1740611
2017-10-17,91.39,92.23,91.17,92.11,2411484
2017-10-18,92.65,92.67,91.57,91.57,1374801
2017-10-19,91.00,91.09,90.12,91.03,1947624
2017-10-20,91.52,91.90,91.09,91.89,1549360
2017-10-23,92.28,92.60,91.44,91.49,794572
2017-10-24,91.40,91.58,91.08,91.41,737202
2017-10-25,91.15,91.40,90.33,90.63,1115016
2017-10-26,91.31,91.38,90.50,90.93,638377
2017-10-27,91.04,92.53,90.27,91.91,968820
2017-10-30,91.67,91.67,90.44,91.18,947046
2017-10-31,91.25,91.89,90.63,91.52,1017224
2017-11-01,91.99,92.53,90.89,91.50,1145780
2017-11-02,91.07,91.44,90.52,90.69,1608127
2017-11-03,90.66,91.73,90.15,91.45,1317803
2017-11-06,91.16,93.21,91.09,93.02,1495144
2017-11-07,92.96,92.99,91.61,92.53,3181382
2017-11-08,97.00,99.00,95.54,96.75,4181388
