date,open,high,low,close,volume
2015-12-01,84.26,85.07,83.77,85.03,1654339
2015-12-02,84.93,85.16,83.72,83.79,1357520
2015-12-03,84.26,84.45,82.99,83.83,2391787
2015-12-04,84.02,85.52,83.82,85.43,1348684
2015-12-07,85.44,87.57,85.11,86.98,2066290
2015-12-08,86.43,87.28,85.85,87.08,2950956
2015-12-09,86.96,87.99,86.06,86.24,4321247
2015-12-10,86.51,87.61,86.05,86.86,2311003
2015-12-11,85.57,86.17,83.70,84.50,2970970
2015-12-14,84.55,85.56,84.15,85.55,2097072
2015-12-15,86.18,88.00,86.12,87.48,2331046
2015-12-16,87.88,89.46,87.23,89.26,2259055
2015-12-17,89.77,89.93,88.86,89.21,2147223
2015-12-18,88.76,88.88,87.35,87.41,2238347
2015-12-21,88.16,88.54,87.49,88.21,1294925
2015-12-22,88.29,88.85,87.59,88.65,1274267
2015-12-23,89.00,89.38,88.77,89.36,669026
2015-12-24,88.93,89.28,88.32,88.80,353729
2015-12-28,88.39,88.84,88.13,88.66,636074
2015-12-29,89.09,89.63,88.98,89.40,741905
2015-12-30,89.34,89.62,89.01,89.03,858498
2015-12-31,88.62,89.15,88.03,88.06,863082
2016-01-04,86.93,87.24,86.12,87.21,1722363
2016-01-05,87.18,88.17,86.91,88.01,1506071
2016-01-06,87.06,87.22,84.73,85.09,2759398
2016-01-07,83.52,84.60,83.00,83.33,2140389
2016-01-08,83.70,84.40,82.68,82.82,1738494
2016-01-11,83.37,83.57,81.46,82.88,1969104
2016-01-12,83.52,84.27,83.06,84.23,1445633
2016-01-13,84.34,84.82,82.81,83.10,1628268
2016-01-14,83.32,84.95,82.87,84.28,2003524
2016-01-15,82.49,83.17,81.44,82.35,2147135
2016-01-19,83.41,84.13,82.88,83.88,2122744
2016-01-20,82.58,83.55,81.02,82.93,2355634
2016-01-21,83.41,84.11,81.92,83.30,1840345
2016-01-22,84.51,85.90,84.28,85.69,1403743
2016-01-25,84.63,85.14,83.37,83.47,2124306
2016-01-26,84.39,84.81,83.39,83.59,2090581
2016-01-27,83.55,83.82,81.95,82.40,2431072
2016-01-28,82.90,84.22,82.89,83.69,1776422
2016-01-29,84.11,85.39,83.98,85.25,2067722
2016-02-01,85.04,85.93,84.31,85.46,2187822
2016-02-02,84.55,85.52,84.55,85.02,1511154
2016-02-03,85.36,86.71,84.08,86.46,2357707
2016-02-04,85.78,87.65,85.77,87.01,3180974
2016-02-05,87.39,91.00,87.38,90.99,4459912
2016-02-08,89.81,91.11,88.08,89.63,3844570
2016-02-09,88.00,90.77,87.99,90.44,3071693
2016-02-10,90.41,90.88,88.32,88.47,2727564
2016-02-11,86.78,87.25,86.00,86.74,1858769
2016-02-12,87.23,88.37,86.56,88.31,1604699
2016-02-16,89.43,90.31,88.14,88.62,2201148
2016-02-17,88.98,90.90,88.70,90.07,1970961
2016-02-18,89.98,91.40,89.42,91.25,2093153
2016-02-19,91.06,91.64,90.15,91.63,1346654
2016-02-22,91.97,92.50,91.35,91.72,1105624
2016-02-23,91.48,92.00,90.91,91.72,1054545
2016-02-24,90.55,92.20,90.31,92.02,952187
2016-02-25,92.22,92.70,91.16,92.68,817192
2016-02-26,92.92,93.42,91.71,91.79,1042124
2016-02-29,91.62,92.16,91.23,91.33,1122404
2016-03-01,92.23,92.80,91.78,92.40,1065443
2016-03-02,92.13,92.76,91.35,91.85,1577738
2016-03-03,91.86,92.40,91.43,92.20,1038657
2016-03-04,92.61,93.06,91.79,92.55,982448
2016-03-07,91.91,92.39,91.44,91.63,1023688
2016-03-08,91.53,91.96,90.73,91.74,2035587
2016-03-09,92.24,93.10,91.78,92.20,975024
2016-03-10,92.20,92.70,90.95,91.77,955219
2016-03-11,92.86,93.27,92.29,93.11,1061318
2016-03-14,93.09,94.56,92.74,93.83,1320080
2016-03-15,93.07,94.06,92.99,93.80,1399785
2016-03-16,91.80,93.32,91.50,93.11,1647636
2016-03-17,93.11,94.13,92.85,93.95,1027885
2016-03-18,93.74,94.50,93.21,94.18,2028133
2016-03-21,94.24,94.64,93.36,94.13,694314
2016-03-22,93.65,93.75,92.60,93.18,1273609
2016-03-23,93.49,94.09,93.25,93.38,771910
2016-03-24,93.19,93.44,92.66,93.27,621865
2016-03-28,93.31,93.90,93.23,93.60,576934
2016-03-29,93.70,94.39,93.20,94.17,783606
