date,open,high,low,close,volume
2015-12-01,1.67,1.97,1.67,1.89,997884
2015-12-02,1.90,2.07,1.85,2.02,835626
2015-12-03,2.05,2.21,2.01,2.13,1207052
2015-12-04,2.11,2.22,2.01,2.08,715363
2015-12-07,2.10,2.29,2.01,2.26,1136537
2015-12-08,2.20,2.30,2.04,2.10,836460
2015-12-09,2.09,2.27,2.05,2.22,721375
2015-12-10,2.23,2.23,2.01,2.15,647749
2015-12-11,2.13,2.16,2.05,2.10,358080
2015-12-14,2.13,2.27,2.02,2.23,850378
2015-12-15,2.25,2.53,2.21,2.41,1389980
2015-12-16,2.90,4.50,2.89,3.34,9972677
2015-12-17,3.50,3.67,3.15,3.16,3035346
2015-12-18,3.25,3.56,2.97,3.01,3739225
2015-12-21,3.24,3.72,3.10,3.59,2602819
2015-12-22,3.65,3.98,3.44,3.54,2483698
2015-12-23,3.64,3.86,3.50,3.68,1401893
2015-12-24,3.66,3.85,3.60,3.62,530595
2015-12-28,3.58,3.61,3.37,3.59,769288
2015-12-29,3.66,3.83,3.40,3.46,882397
2015-12-30,3.54,3.72,3.45,3.50,978176
2015-12-31,3.51,3.60,3.40,3.51,618222
2016-01-04,3.43,3.56,3.19,3.49,750162
2016-01-05,3.63,3.73,3.35,3.35,1152681
2016-01-06,3.30,3.35,3.08,3.16,748880
2016-01-07,3.02,3.16,2.93,3.00,1007345
2016-01-08,3.10,3.17,2.90,2.99,997386
2016-01-11,3.00,3.05,2.73,2.80,908797
2016-01-12,2.83,2.92,2.42,2.71,1159195
2016-01-13,2.68,2.87,2.42,2.50,610299
2016-01-14,2.49,2.49,2.25,2.35,811772
2016-01-15,2.25,2.32,2.05,2.19,1084783
2016-01-19,2.27,2.35,2.07,2.19,884911
2016-01-20,2.10,2.13,1.97,2.04,1019600
2016-01-21,2.10,2.55,2.04,2.46,1016379
2016-01-22,2.55,2.60,2.31,2.36,578234
2016-01-25,2.43,2.50,2.25,2.31,530747
2016-01-26,2.35,2.41,2.21,2.34,298246
2016-01-27,2.31,2.40,2.23,2.26,344721
2016-01-28,2.34,2.46,2.26,2.31,417061
2016-01-29,2.33,2.44,2.32,2.43,364140
2016-02-01,2.44,2.49,2.27,2.39,247814
2016-02-02,2.21,2.25,2.12,2.21,400493
2016-02-03,2.22,2.40,2.22,2.31,439118
2016-02-04,2.35,2.40,2.28,2.31,362817
2016-02-05,2.36,2.37,2.12,2.13,492194
2016-02-08,2.12,2.19,2.00,2.09,765723
2016-02-09,2.04,2.08,1.90,1.94,638602
2016-02-10,2.00,2.08,1.85,1.90,583605
2016-02-11,1.84,1.88,1.76,1.83,541702
2016-02-12,1.88,1.98,1.83,1.95,506185
2016-02-16,2.07,2.18,1.93,2.13,518438
2016-02-17,2.12,2.29,2.06,2.24,428896
2016-02-18,2.26,2.26,2.03,2.10,424086
2016-02-19,2.08,2.19,2.03,2.14,347871
2016-02-22,2.14,2.24,2.09,2.21,308993
2016-02-23,2.22,2.41,2.21,2.35,712856
2016-02-24,1.85,2.05,1.80,1.98,1379857
2016-02-25,1.95,1.99,1.83,1.96,671367
2016-02-26,1.92,2.02,1.90,1.92,678849
2016-02-29,1.93,2.59,1.93,2.33,1366590
2016-03-01,2.45,2.60,2.36,2.44,758866
2016-03-02,2.44,2.63,2.44,2.61,746773
2016-03-03,2.65,3.36,2.63,3.33,1412498
2016-03-04,3.30,3.30,2.95,3.05,819021
2016-03-07,3.09,3.43,3.05,3.30,771715
2016-03-08,3.29,3.30,2.87,2.92,694778
2016-03-09,2.95,3.17,2.93,3.11,446770
2016-03-10,3.17,3.20,2.91,2.94,416550
2016-03-11,2.91,3.00,2.81,2.94,540527
2016-03-14,2.88,2.93,2.79,2.82,340106
2016-03-15,2.78,2.81,2.61,2.67,306514
2016-03-16,2.66,2.67,2.40,2.56,789763
2016-03-17,2.61,2.77,2.58,2.70,316046
2016-03-18,2.77,2.82,2.60,2.63,531178
2016-03-21,2.62,2.69,2.46,2.54,270145
