date,open,high,low,close,volume
2015-12-01,80.30,81.16,80.00,81.13,1463457
2015-12-02,80.83,81.49,79.78,79.93,1765111
2015-12-03,79.88,79.96,77.47,77.63,1979863
2015-12-04,78.16,79.95,78.14,79.66,1646104
2015-12-07,79.74,80.00,78.84,79.11,1207396
2015-12-08,79.10,79.68,78.53,78.65,1430036
2015-12-09,78.12,78.67,77.19,77.57,1316371
2015-12-10,77.55,78.00,76.98,77.21,2031632
2015-12-11,76.82,78.30,76.66,77.55,2013476
2015-12-14,77.29,78.28,77.00,78.19,1639396
2015-12-15,78.77,79.94,78.58,79.32,1233036
2015-12-16,79.67,81.09,79.41,80.83,1704093
2015-12-17,80.71,80.89,80.12,80.58,2892808
2015-12-18,79.93,80.75,79.89,79.90,3463614
2015-12-21,80.67,80.93,79.68,80.08,1594851
2015-12-22,80.70,81.26,79.79,80.03,1858387
2015-12-23,79.65,80.90,79.62,80.76,1065635
2015-12-24,80.79,81.19,80.14,80.87,505606
2015-12-28,80.66,81.29,80.34,81.19,781971
2015-12-29,81.72,82.00,81.15,81.97,1000021
2015-12-30,81.97,82.25,81.50,81.89,1068430
2015-12-31,81.76,82.39,81.55,81.59,1577202
2016-01-04,80.79,80.87,79.21,79.90,1727860
2016-01-05,80.15,81.76,80.00,81.50,1379180
2016-01-06,80.76,81.50,80.31,80.73,1407067
2016-01-07,79.56,80.95,79.56,80.48,1675596
2016-01-08,81.06,81.13,78.69,78.82,1481225
2016-01-11,79.15,80.15,78.82,79.78,1786183
2016-01-12,80.86,80.96,79.50,79.94,2004053
2016-01-13,80.09,81.07,79.08,79.17,1560969
2016-01-14,79.33,79.93,78.49,78.57,2233624
2016-01-15,77.14,78.81,76.64,78.58,2136006
2016-01-19,78.67,79.72,78.32,79.18,1647374
2016-01-20,78.43,78.67,75.41,76.40,2210601
2016-01-21,76.78,77.42,76.04,76.44,1654243
2016-01-22,77.37,78.05,76.77,77.72,1926981
2016-01-25,77.61,79.20,77.15,78.20,1843092
2016-01-26,78.35,79.90,78.10,79.74,1744301
2016-01-27,79.65,79.65,77.61,78.27,1638300
2016-01-28,78.12,78.38,75.67,75.79,2732023
2016-01-29,76.63,77.23,74.93,77.09,3140656
2016-02-01,76.19,77.80,75.79,76.73,2162982
2016-02-02,77.00,77.22,74.79,75.60,2700903
2016-02-03,75.80,75.92,73.40,75.68,3100417
2016-02-04,75.27,76.92,74.48,76.27,2278179
2016-02-05,75.94,76.15,73.31,73.59,2222845
2016-02-08,73.28,73.59,70.91,72.23,2786917
2016-02-09,71.95,72.44,71.20,71.34,2110532
2016-02-10,71.86,72.95,71.41,71.77,1222405
2016-02-11,70.71,71.13,69.87,70.72,2265570
2016-02-12,71.67,71.67,70.64,71.29,1907675
2016-02-16,72.03,72.31,71.15,72.18,1524616
2016-02-17,72.33,72.88,72.10,72.44,2212975
2016-02-18,72.32,73.19,71.89,72.97,1838762
2016-02-19,72.95,73.74,72.49,73.12,1482509
2016-02-22,73.68,74.62,73.63,74.20,1718687
2016-02-23,74.86,75.23,73.51,73.81,1660519
2016-02-24,73.50,74.06,72.16,73.23,1876103
2016-02-25,73.87,74.55,73.57,74.50,2096380
2016-02-26,74.49,74.90,73.54,74.55,3068757
