date,open,high,low,close,volume
2015-12-01,57.09,58.11,56.83,57.35,1617297
2015-12-02,56.75,56.86,54.26,54.44,2025789
2015-12-03,54.65,55.44,53.35,53.71,1490036
2015-12-04,52.90,54.98,52.45,54.62,2046649
2015-12-07,53.23,53.48,51.81,53.08,2182361
2015-12-08,52.29,53.33,51.74,52.38,3509800
2015-12-09,55.46,55.46,49.94,51.75,4377840
2015-12-10,51.58,53.18,51.12,52.33,2723044
2015-12-11,51.38,51.98,49.47,50.21,2567415
2015-12-14,49.67,50.15,47.94,48.07,2524008
2015-12-15,48.50,49.18,47.32,48.30,3444406
2015-12-16,48.56,48.74,47.23,48.21,2700492
2015-12-17,48.12,48.47,47.10,47.75,2693794
2015-12-18,47.78,49.55,47.63,48.92,3456678
2015-12-21,49.12,49.65,48.10,49.56,2307347
2015-12-22,49.45,50.12,48.57,48.69,2192786
2015-12-23,49.80,51.95,49.57,51.89,1773911
2015-12-24,51.88,52.60,51.60,51.94,904563
2015-12-28,51.66,52.23,50.75,52.04,1773967
2015-12-29,53.23,53.67,52.57,52.98,1935814
2015-12-30,52.05,52.95,51.16,51.41,1431420
2015-12-31,51.42,52.38,51.06,52.13,1219700
2016-01-04,51.75,53.33,51.73,53.15,2262806
2016-01-05,53.50,53.68,52.22,52.60,1493089
2016-01-06,50.97,50.97,49.32,49.53,2056120
2016-01-07,48.75,52.10,48.30,51.87,2818751
2016-01-08,52.15,55.18,52.15,54.45,3306151
2016-01-11,54.22,54.69,51.74,52.55,4065867
2016-01-12,52.68,53.43,49.56,51.06,2875507
2016-01-13,51.53,52.84,50.16,51.16,2737494
2016-01-14,51.56,52.55,50.76,52.04,2401688
2016-01-15,50.42,52.80,49.87,52.50,1911841
2016-01-19,52.96,53.80,51.63,53.28,2238925
2016-01-20,52.18,56.21,51.39,55.45,2841501
2016-01-21,55.61,58.06,54.55,55.65,4510684
2016-01-22,57.39,58.81,56.50,58.04,3870878
2016-01-25,56.61,58.27,56.24,56.28,2432684
2016-01-26,58.60,61.46,57.60,61.26,2458214
2016-01-27,61.24,62.28,59.19,59.97,2119085
2016-01-28,62.41,62.82,58.76,59.95,2136315
2016-01-29,60.89,61.79,60.08,61.74,2241267
2016-02-01,61.41,61.41,58.80,59.88,3564739
2016-02-02,58.01,59.03,56.94,58.11,3078594
2016-02-03,59.73,61.16,57.38,60.91,3115914
2016-02-04,61.48,62.47,58.35,59.76,4907337
2016-02-05,59.49,61.39,58.24,59.78,2419337
2016-02-08,58.88,60.09,58.22,59.77,2597626
2016-02-09,58.62,59.32,55.75,56.97,2289085
2016-02-10,56.68,59.02,55.74,58.78,1946600
2016-02-11,57.86,58.67,55.35,57.13,1677476
2016-02-12,58.06,59.25,56.84,59.11,1117003
2016-02-16,60.11,60.45,58.70,60.32,1865984
2016-02-17,60.95,62.50,59.75,62.40,1835973
2016-02-18,62.26,62.57,59.35,60.92,1287662
2016-02-19,59.25,59.50,58.50,58.89,8707651
2016-02-22,59.64,60.55,59.14,60.23,2955740
2016-02-23,60.06,60.20,55.47,55.50,3650823
2016-02-24,54.52,57.35,54.22,57.16,2285661
2016-02-25,56.68,57.19,54.83,56.18,2093162
2016-02-26,57.00,57.36,55.70,56.78,1756345
2016-02-29,57.31,57.34,54.78,55.74,2878208
2016-03-01,56.57,58.01,54.38,57.82,2054881
2016-03-02,57.15,59.00,57.00,58.95,1807157
2016-03-03,58.84,60.35,57.96,59.68,2545202
2016-03-04,59.89,60.84,56.32,56.34,5739396
2016-03-07,56.38,61.62,56.38,61.46,4406249
2016-03-08,60.86,60.86,57.72,57.96,2514502
2016-03-09,59.24,59.93,57.44,57.90,1617828
2016-03-10,58.11,60.20,56.78,59.99,1855801
2016-03-11,60.77,61.42,59.83,61.21,1626956
2016-03-14,60.18,61.90,59.99,60.70,1377281
2016-03-15,59.90,62.64,59.29,62.58,1242129
2016-03-16,62.76,65.33,62.61,64.72,2207916
2016-03-17,65.53,66.06,63.28,64.56,1177559
2016-03-18,65.18,66.51,64.78,65.74,2607107
2016-03-21,65.23,65.64,62.66,63.33,1407096
2016-03-22,62.91,64.31,62.78,63.73,1002214
2016-03-23,63.55,64.28,62.88,63.05,1113353
2016-03-24,61.82,65.06,61.51,64.56,1887464
2016-03-28,64.48,65.41,63.59,65.33,1500936
2016-03-29,64.36,66.53,63.86,66.47,2000902
2016-03-30,67.17,68.26,65.65,66.33,1507172
2016-03-31,66.32,67.42,65.79,67.26,1354003
2016-04-01,66.06,67.12,65.65,66.74,1268659
2016-04-04,67.11,67.90,65.75,66.13,1145120
2016-04-05,65.80,65.99,64.16,64.43,1463807
2016-04-06,64.79,65.46,63.48,64.45,1649620
2016-04-07,64.26,66.00,63.91,65.13,1838484
2016-04-08,66.06,67.19,65.93,67.18,1381182
2016-04-11,67.58,67.69,64.94,65.31,1449186
2016-04-12,65.88,69.61,65.49,69.00,1346148
2016-04-13,68.98,68.98,66.51,68.18,1698347
2016-04-14,68.10,68.43,65.78,67.05,1385264
2016-04-15,66.26,67.38,66.03,66.37,1017043
2016-04-18,64.67,67.70,64.32,67.57,805210
2016-04-19,68.06,69.35,67.82,68.80,1088183
2016-04-20,68.21,69.09,67.57,68.41,1026408
2016-04-21,68.61,68.83,66.40,66.89,1304869
2016-04-22,67.32,68.73,66.50,68.47,1026605
2016-04-25,68.16,68.51,67.11,68.45,1073875
2016-04-26,68.82,69.84,68.11,69.31,1707461
2016-04-27,69.98,72.52,69.53,72.44,2518953
2016-04-28,71.28,73.19,69.09,70.06,3194777
2016-04-29,70.39,71.27,68.41,70.10,1960939
2016-05-02,69.62,69.83,68.39,69.21,1834222
2016-05-03,68.00,68.63,66.66,68.03,15006455
2016-05-04,68.44,70.12,68.02,68.19,2871523
2016-05-05,69.51,70.46,68.81,69.56,1789911
2016-05-06,69.45,71.80,68.81,69.53,1544732
2016-05-09,69.30,69.92,67.84,69.69,1371776
2016-05-10,70.45,71.30,69.66,71.18,1313892
2016-05-11,70.45,71.18,69.77,70.24,1397074
2016-05-12,70.98,72.31,69.86,70.64,1224397
2016-05-13,70.20,71.09,69.80,70.04,983192
2016-05-16,70.69,71.30,69.65,69.85,1399563
2016-05-17,70.09,72.08,69.67,71.96,1985645
2016-05-18,71.65,72.31,69.86,70.29,1328988
2016-05-19,69.57,69.74,68.29,69.32,1131082
2016-05-20,69.96,69.98,68.39,69.45,1372708
2016-05-23,69.03,69.67,68.46,69.17,1861964
2016-05-24,69.62,70.47,68.75,70.24,1647395
2016-05-25,70.97,71.60,70.63,71.51,1162759
2016-05-26,71.64,73.72,71.50,73.12,2896230
2016-05-27,73.10,73.50,72.35,73.16,1307899
2016-05-31,73.55,73.58,72.40,73.25,2715416
2016-06-01,72.74,74.20,72.49,73.25,2601715
2016-06-02,72.76,73.80,71.82,73.79,1530188
2016-06-03,73.75,73.83,72.97,73.71,1031605
2016-06-06,74.61,74.61,73.44,74.08,862290
2016-06-07,74.39,75.50,73.89,75.23,1929213
2016-06-08,75.76,75.90,74.37,75.06,1954555
2016-06-09,74.12,77.98,74.09,77.91,2007265
2016-06-10,76.85,77.19,75.48,75.51,2525825
2016-06-13,75.14,75.90,74.45,74.95,1934688
2016-06-14,74.25,75.14,73.63,74.70,1616427
2016-06-15,74.70,75.88,74.51,74.77,1439993
2016-06-16,73.80,75.13,73.65,74.80,943717
2016-06-17,75.36,77.29,75.30,77.02,2693808
2016-06-20,77.96,78.28,77.50,77.92,1557590
2016-06-21,77.25,78.77,77.12,78.68,1395700
2016-06-22,78.79,79.14,78.02,78.45,1844593
2016-06-23,79.01,79.46,78.20,78.76,1278554
2016-06-24,75.69,77.79,75.61,76.68,1680180
2016-06-27,76.05,77.51,75.58,76.03,1909924
2016-06-28,77.33,79.28,76.91,79.21,1600628
2016-06-29,79.98,80.61,76.73,76.96,1746328
2016-06-30,76.93,77.58,76.23,77.43,1303294
2016-07-01,77.25,79.64,77.25,79.33,1171233
2016-07-05,77.67,78.13,75.81,77.27,1933204
2016-07-06,76.87,77.58,76.33,77.38,1585158
2016-07-07,78.36,78.74,76.60,76.83,1700991
2016-07-08,77.70,78.25,76.75,77.68,1450833
2016-07-11,78.27,78.61,76.89,76.95,740384
2016-07-12,78.21,78.84,77.92,78.41,1044927
2016-07-13,78.47,78.51,75.23,76.13,1918967
2016-07-14,77.19,77.19,75.22,75.71,1271560
2016-07-15,76.22,76.22,75.02,75.56,1846373
2016-07-18,75.60,75.69,74.97,75.47,853395
2016-07-19,75.65,75.71,74.59,75.23,1398875
2016-07-20,75.09,75.93,74.57,75.08,943510
2016-07-21,75.08,76.22,74.76,74.82,1104085
2016-07-22,75.33,75.62,74.35,75.06,839812
2016-07-25,74.60,74.66,73.13,73.87,1082982
2016-07-26,73.38,74.29,73.07,73.97,1052736
2016-07-27,74.00,74.98,72.69,73.48,1781257
2016-07-28,74.01,74.96,72.18,73.91,2573278
2016-07-29,73.40,73.43,72.44,72.86,2233636
2016-08-01,72.31,72.80,70.48,70.68,1971743
2016-08-02,70.89,71.03,69.49,70.39,1792420
2016-08-03,70.75,71.55,70.32,71.53,1418830
2016-08-04,71.34,72.41,70.34,70.52,1797245
2016-08-05,70.65,71.02,69.36,69.93,1671802
2016-08-08,70.22,70.46,69.60,69.83,1581577
2016-08-09,69.79,70.80,68.67,68.86,1107141
2016-08-10,69.11,69.53,68.11,68.25,1567167
2016-08-11,68.94,69.63,67.84,68.31,1192435
2016-08-12,68.60,69.02,67.90,68.32,1339272
2016-08-15,68.50,68.77,68.02,68.26,1579589
2016-08-16,68.21,69.56,67.69,69.25,2011391
2016-08-17,69.04,69.31,67.77,68.95,1785850
2016-08-18,69.23,71.28,68.83,71.26,1661325
2016-08-19,70.75,71.42,70.51,71.34,1920245
2016-08-22,70.77,71.62,70.06,71.61,1756107
2016-08-23,71.81,72.17,70.95,72.10,2135714
2016-08-24,71.73,72.44,71.26,71.87,1660604
2016-08-25,71.84,72.10,71.22,71.57,987124
2016-08-26,72.36,73.92,71.18,71.68,1626809
2016-08-29,71.57,72.62,71.21,72.61,1137012
2016-08-30,72.98,73.35,72.12,72.26,1361052
2016-08-31,71.81,72.09,70.72,71.50,1248093
2016-09-01,71.05,72.28,70.75,71.74,1146411
2016-09-02,72.20,72.95,71.55,71.82,1023238
2016-09-06,71.81,72.72,71.61,72.65,853228
2016-09-07,72.88,73.25,71.88,72.43,966189
2016-09-08,72.97,73.97,72.66,73.62,1197446
2016-09-09,73.20,74.30,72.54,72.54,1618377
2016-09-12,72.36,74.32,72.20,73.96,1260500
2016-09-13,72.69,73.01,71.27,71.37,1340532
2016-09-14,71.49,71.99,70.33,70.62,1459312
2016-09-15,70.81,71.95,70.21,71.44,1198675
2016-09-16,70.73,70.74,69.68,70.51,2310689
2016-09-19,71.06,71.69,70.86,71.23,1076441
2016-09-20,71.39,73.64,71.31,72.76,1754326
2016-09-21,73.32,74.21,72.28,74.16,1732842
2016-09-22,74.98,75.51,74.12,74.34,1590246
2016-09-23,74.16,74.85,73.07,73.66,1674616
2016-09-26,73.73,74.06,72.61,72.68,1076283
2016-09-27,71.99,71.99,68.13,68.64,4028009
2016-09-28,69.11,71.39,68.26,70.28,3700989
2016-09-29,70.14,70.46,69.00,69.55,2353898
