date,open,high,low,close,volume
2015-12-01,232.05,235.64,232.05,235.36,256078
2015-12-02,234.69,235.79,228.46,228.92,387340
2015-12-03,228.00,229.26,226.51,227.61,566412
2015-12-04,228.42,234.32,228.42,233.38,391261
2015-12-07,232.80,234.28,231.10,232.56,462811
2015-12-08,232.38,233.35,227.74,231.95,327291
2015-12-09,230.61,232.42,227.12,230.22,367521
2015-12-10,230.33,231.59,228.80,229.43,292594
2015-12-11,227.71,231.11,226.63,230.81,416761
2015-12-14,230.28,233.12,227.01,232.86,523960
2015-12-15,233.25,236.84,231.09,235.00,641226
2015-12-16,235.96,241.13,234.68,240.18,414553
2015-12-17,240.09,240.16,237.48,238.63,880729
2015-12-18,237.43,238.02,235.07,235.47,830395
2015-12-21,237.91,238.59,234.12,235.10,663855
2015-12-22,235.77,237.69,234.19,234.38,459123
2015-12-23,235.60,238.25,233.25,238.15,350745
2015-12-24,237.71,239.19,236.58,238.37,137824
2015-12-28,237.74,240.92,237.31,240.83,305254
2015-12-29,242.56,244.71,242.11,244.29,361765
2015-12-30,241.88,244.36,240.83,243.27,402226
2015-12-31,243.36,243.92,239.30,239.41,341118
2016-01-04,238.45,239.32,235.54,237.32,364618
2016-01-05,237.90,240.55,237.78,240.04,257685
2016-01-06,238.01,239.99,236.63,238.05,189475
2016-01-07,235.99,237.99,234.73,235.70,459973
2016-01-08,236.28,238.67,233.14,233.67,384201
2016-01-11,234.85,236.55,234.11,235.69,477175
2016-01-12,234.60,235.56,230.39,234.78,640609
2016-01-13,235.27,237.03,232.36,233.78,613924
2016-01-14,233.78,235.85,230.54,230.83,632928
2016-01-15,228.97,231.66,226.26,230.15,606119
2016-01-19,231.19,233.85,229.17,232.33,484778
2016-01-20,231.61,231.61,223.95,224.48,717314
2016-01-21,225.12,226.84,219.31,221.00,587375
2016-01-22,222.82,225.39,221.49,224.85,733660
2016-01-25,224.86,227.22,222.46,223.11,432465
2016-01-26,223.37,226.63,223.08,226.32,471433
2016-01-27,226.32,226.32,218.99,220.44,515479
2016-01-28,219.38,221.19,209.89,210.78,998562
2016-01-29,212.04,213.62,205.73,213.11,1223425
2016-02-01,211.39,216.35,210.44,214.23,817270
2016-02-02,214.23,216.53,207.60,208.32,562391
2016-02-03,209.38,211.97,207.24,210.38,611246
2016-02-04,209.20,212.57,207.25,210.92,579177
2016-02-05,209.86,215.28,202.08,202.50,691859
2016-02-08,205.98,205.98,196.69,198.17,622065
2016-02-09,196.83,200.19,191.66,193.49,741738
2016-02-10,197.12,200.00,195.56,196.79,455686
2016-02-11,194.03,194.87,191.25,192.26,473228
2016-02-12,196.94,197.87,192.40,195.54,512889
2016-02-16,197.00,199.20,193.80,198.63,434759
2016-02-17,199.13,203.36,196.32,201.57,544772
2016-02-18,201.78,203.80,198.87,202.03,398684
2016-02-19,201.96,208.79,201.96,207.12,1054552
2016-02-22,208.55,210.88,208.30,209.53,407354
2016-02-23,208.14,211.53,208.14,209.17,446657
2016-02-24,208.04,211.47,205.44,207.42,265768
2016-02-25,208.65,214.86,208.15,211.00,468537
2016-02-26,210.96,211.74,209.79,209.98,450939
2016-02-29,210.14,214.57,209.15,209.28,577454
2016-03-01,210.64,216.79,209.51,216.59,511829
2016-03-02,215.72,219.04,211.86,218.00,459746
2016-03-03,218.66,221.10,217.19,221.05,454656
2016-03-04,222.66,223.86,221.04,222.49,430693
2016-03-07,220.82,223.47,220.28,223.17,336087
2016-03-08,223.17,225.26,221.56,221.93,387716
2016-03-09,222.19,224.38,219.67,222.24,398846
2016-03-10,223.53,224.67,219.17,220.67,435821
2016-03-11,222.36,224.56,220.49,224.43,542112
2016-03-14,223.84,224.91,219.04,221.11,500583
2016-03-15,220.15,221.44,219.60,221.32,326167
2016-03-16,220.50,222.81,218.65,222.02,314978
2016-03-17,222.41,227.12,221.05,226.38,502277
2016-03-18,226.67,229.67,224.94,226.07,976534
2016-03-21,226.07,227.41,225.76,226.25,388538
2016-03-22,226.16,229.61,225.36,228.48,442494
2016-03-23,228.50,230.36,228.14,228.51,533661
2016-03-24,227.74,228.22,224.74,226.21,319845
2016-03-28,226.21,228.44,225.22,228.27,344147
2016-03-29,226.76,233.90,226.76,233.67,370839
2016-03-30,234.00,234.95,232.17,232.35,354370
2016-03-31,232.17,234.78,231.14,233.86,483615
2016-04-01,233.14,234.19,231.69,232.82,356307
2016-04-04,233.15,234.99,232.13,233.79,373901
2016-04-05,232.02,233.99,230.87,231.86,295371
2016-04-06,231.43,233.25,230.38,232.40,498148
2016-04-07,231.41,232.63,229.30,230.60,347105
2016-04-08,231.48,232.90,231.15,231.43,337043
2016-04-11,231.73,231.73,227.12,227.14,381786
2016-04-12,227.34,228.94,224.09,228.65,527981
2016-04-13,229.79,229.79,222.17,222.95,861596
2016-04-14,222.66,222.66,217.47,218.89,511084
2016-04-15,218.79,225.67,218.31,224.87,445573
2016-04-18,224.75,226.70,223.25,226.44,577995
2016-04-19,226.92,229.90,226.21,229.27,470135
2016-04-20,229.32,229.43,222.33,222.81,371407
2016-04-21,222.02,225.76,221.22,222.30,431230
2016-04-22,222.69,225.43,221.94,224.51,269158
2016-04-25,223.85,227.54,223.85,227.46,268223
2016-04-26,227.42,229.26,224.68,225.43,408568
2016-04-27,223.77,225.00,220.94,224.65,555951
2016-04-28,224.08,227.87,223.36,224.33,380353
2016-04-29,223.75,224.68,218.85,220.45,971178
2016-05-02,219.42,223.67,219.00,222.93,384884
2016-05-03,221.60,223.81,220.84,223.52,385324
2016-05-04,221.84,227.54,221.50,225.91,406978
2016-05-05,227.30,230.00,227.09,228.87,298137
2016-05-06,228.91,232.33,225.78,232.16,305774
2016-05-09,232.39,233.99,232.39,233.51,377528
2016-05-10,235.00,237.50,233.20,236.11,518280
2016-05-11,236.09,236.09,229.92,230.60,335572
2016-05-12,230.78,231.19,227.56,229.93,323857
2016-05-13,229.68,229.88,227.04,227.75,242789
2016-05-16,228.62,230.57,227.13,229.49,307288
2016-05-17,229.04,229.49,222.81,224.28,451879
2016-05-18,223.79,225.00,220.35,223.52,433738
2016-05-19,221.86,221.90,219.46,221.32,283051
2016-05-20,222.74,223.62,221.16,222.83,322288
2016-05-23,223.31,224.05,221.97,222.17,196561
2016-05-24,224.05,224.66,222.16,223.49,349072
2016-05-25,223.86,226.37,222.28,226.00,426745
2016-05-26,225.62,227.20,224.52,227.08,273753
2016-05-27,227.44,228.83,225.38,226.90,262719
2016-05-31,226.85,227.75,224.39,227.23,371248
2016-06-01,225.50,225.54,218.10,218.93,805157
2016-06-02,218.71,219.83,216.42,218.05,541009
2016-06-03,218.30,220.00,212.84,213.24,1072603
2016-06-06,212.94,214.19,208.32,210.00,592750
2016-06-07,210.99,212.38,208.68,209.20,396693
2016-06-08,207.23,209.63,207.20,209.19,437889
2016-06-09,209.19,210.92,208.66,209.26,443478
2016-06-10,208.01,210.04,207.50,209.34,403699
2016-06-13,209.65,213.40,209.33,211.36,636949
2016-06-14,211.22,213.46,210.28,212.27,407320
