date,open,high,low,close,volume
2015-12-01,58.35,58.58,58.01,58.45,3122362
2015-12-02,58.10,58.47,56.95,57.13,3042304
2015-12-03,57.09,57.22,55.15,55.62,5184923
2015-12-04,55.74,56.24,55.52,56.05,3245098
2015-12-07,55.85,55.88,54.59,54.71,3528982
2015-12-08,54.00,54.21,52.81,53.00,5690686
2015-12-09,52.86,53.70,52.47,52.67,3593143
2015-12-10,52.64,53.05,52.02,52.14,4156665
2015-12-11,51.42,51.86,50.66,50.87,5868400
2015-12-14,50.71,51.08,49.98,50.38,4220684
2015-12-15,50.62,50.90,49.93,50.58,3653471
2015-12-16,51.30,52.19,50.97,51.99,4287023
2015-12-17,51.93,52.17,50.11,50.13,4476079
2015-12-18,50.12,50.51,49.65,49.74,8579257
2015-12-21,50.26,50.90,50.10,50.71,5618911
2015-12-22,51.00,52.34,50.87,51.81,6196503
2015-12-23,52.36,53.50,52.28,53.28,3577768
2015-12-24,53.20,53.50,53.01,53.25,985943
2015-12-28,53.10,53.21,52.25,52.59,1913364
2015-12-29,53.03,53.46,52.71,53.08,2587295
2015-12-30,52.89,53.30,52.51,52.59,1843133
2015-12-31,52.41,52.79,52.02,52.04,2164435
2016-01-04,51.21,52.26,50.78,52.22,3846342
2016-01-05,52.22,52.34,51.26,51.85,2102376
2016-01-06,50.82,51.29,50.36,50.92,2873102
2016-01-07,49.95,50.26,49.38,49.73,4586590
2016-01-08,50.05,50.41,49.06,49.17,3448157
2016-01-11,49.64,49.81,48.58,49.15,3175986
2016-01-12,49.73,50.09,48.85,49.95,3416108
2016-01-13,50.11,50.59,48.35,48.43,3562316
2016-01-14,48.71,48.71,47.15,48.32,4650711
2016-01-15,47.00,48.12,46.98,47.86,4605502
2016-01-19,48.60,48.74,47.45,48.09,3473380
2016-01-20,47.23,47.95,46.19,47.51,4127266
2016-01-21,47.57,48.69,46.78,47.78,3767211
2016-01-22,48.87,49.47,47.69,48.51,3436793
2016-01-25,48.23,48.56,47.15,47.27,2505955
2016-01-26,48.27,49.13,47.46,49.02,3406979
2016-01-27,48.99,50.71,48.32,49.44,4581492
2016-01-28,50.30,50.70,49.50,50.19,3825820
