date,open,high,low,close,volume
2015-12-01,9.31,9.31,9.21,9.28,491492
2015-12-02,9.24,9.46,9.19,9.23,453028
2015-12-03,9.33,9.36,9.01,9.20,604031
2015-12-04,9.29,9.35,8.76,9.27,914169
2015-12-07,9.31,9.60,9.02,9.47,1443512
2015-12-08,9.30,9.59,8.70,9.51,1567463
2015-12-09,9.50,9.68,8.88,9.43,1356504
2015-12-10,9.39,9.52,9.07,9.24,687316
2015-12-11,9.15,9.23,8.68,8.86,949968
2015-12-14,8.63,9.05,8.63,9.03,749430
2015-12-15,9.54,9.70,9.25,9.51,2131844
2015-12-16,9.62,9.88,9.52,9.79,1272960
2015-12-17,9.76,9.95,9.56,9.59,706440
2015-12-18,9.55,9.63,8.61,8.62,2215943
2015-12-21,8.71,8.76,8.41,8.71,658430
2015-12-22,8.10,8.79,8.00,8.78,1003665
2015-12-23,8.83,9.10,8.76,8.84,706096
2015-12-24,8.81,9.02,8.76,8.92,335361
2015-12-28,8.84,8.92,8.40,8.52,1065568
2015-12-29,8.52,8.60,8.23,8.51,793061
2015-12-30,8.45,8.51,8.37,8.48,813620
2015-12-31,8.39,8.53,8.23,8.26,1212964
2016-01-04,8.18,8.30,8.00,8.24,1063721
2016-01-05,8.24,8.55,8.08,8.51,698721
2016-01-06,8.30,8.82,8.15,8.80,939459
2016-01-07,8.61,9.05,8.36,8.67,1167729
2016-01-08,8.74,8.87,8.35,8.38,786274
2016-01-11,8.12,8.20,7.43,7.44,1965360
2016-01-12,7.44,7.50,6.89,7.35,1698403
2016-01-13,7.39,7.58,6.76,6.99,1185287
2016-01-14,7.04,7.28,6.68,7.07,1944055
2016-01-15,6.93,7.03,6.66,7.00,798770
2016-01-19,7.06,7.10,6.54,6.65,1426254
2016-01-20,6.54,7.00,6.04,6.88,1631891
2016-01-21,6.92,7.26,6.71,6.99,1167351
2016-01-22,7.11,7.46,7.06,7.42,888328
2016-01-25,7.36,7.44,7.21,7.25,807922
2016-01-26,7.24,7.42,7.03,7.38,434615
2016-01-27,7.32,7.44,7.21,7.30,485387
2016-01-28,7.37,7.59,7.08,7.49,1355297
2016-01-29,7.48,7.78,7.36,7.76,1189981
2016-02-01,7.75,7.75,7.36,7.55,841103
2016-02-02,7.40,7.43,7.03,7.12,1689344
2016-02-03,7.10,7.54,6.91,7.32,954741
2016-02-04,7.25,7.52,7.10,7.48,748400
2016-02-05,7.41,7.46,6.98,7.03,1125127
2016-02-08,6.93,6.99,6.40,6.72,1052519
2016-02-09,6.65,6.83,6.18,6.36,900933
2016-02-10,6.37,6.99,6.36,6.72,863438
2016-02-11,6.58,6.89,6.44,6.73,528506
2016-02-12,6.78,6.99,6.48,6.90,601274
2016-02-16,7.00,7.61,6.75,7.49,2044152
2016-02-17,7.53,8.43,7.44,8.04,4621843
2016-02-18,8.03,8.10,7.50,7.80,1177659
2016-02-19,7.71,8.02,7.61,7.93,1064069
2016-02-22,8.05,8.08,7.71,7.95,1018898
2016-02-23,8.04,8.06,7.30,7.39,3893224
2016-02-24,8.50,8.53,7.66,7.90,8775637
2016-02-25,7.89,8.08,7.21,7.90,3543446
2016-02-26,7.97,8.00,7.52,7.65,2887998
2016-02-29,7.65,7.96,7.31,7.94,3462745
2016-03-01,8.00,8.52,7.91,8.36,3106913
2016-03-02,8.35,9.15,8.30,8.92,2596093
2016-03-03,8.96,9.04,8.71,8.89,1863392
2016-03-04,8.90,9.16,8.64,8.82,1653359
2016-03-07,8.62,9.03,8.61,8.94,1506733
2016-03-08,8.80,9.01,8.64,8.68,1198698
2016-03-09,8.75,8.89,8.42,8.74,1087129
2016-03-10,8.81,9.18,8.78,9.06,1720692
2016-03-11,9.23,9.39,9.05,9.27,1426468
2016-03-14,9.19,9.32,8.81,9.05,1185661
2016-03-15,8.83,9.18,8.80,9.17,1523144
2016-03-16,9.12,9.24,8.94,9.16,713864
2016-03-17,9.12,9.34,9.09,9.27,708513
2016-03-18,9.25,9.40,9.10,9.23,1564919
2016-03-21,9.14,9.26,8.96,9.06,1170242
2016-03-22,9.06,9.29,9.01,9.15,687423
