date,open,high,low,close,volume
2015-12-01,164.32,166.00,162.84,164.84,939529
2015-12-02,164.64,165.54,162.50,162.86,1172500
2015-12-03,163.15,164.31,156.90,157.40,1142563
2015-12-04,157.96,162.30,157.62,162.02,1183250
2015-12-07,161.10,163.27,159.02,160.79,829193
2015-12-08,160.70,161.97,159.20,159.82,998261
2015-12-09,158.49,163.44,156.97,162.01,1463142
2015-12-10,162.43,165.97,161.41,163.57,1042754
2015-12-11,161.58,164.20,159.22,159.71,1139140
2015-12-14,81.12,81.72,79.33,80.53,1657594
2015-12-15,80.87,81.38,79.54,80.03,1809327
2015-12-16,80.88,81.99,80.26,81.57,997330
2015-12-17,82.40,82.84,80.93,80.99,881151
2015-12-18,80.29,80.36,78.21,78.23,2382442
2015-12-21,78.86,79.69,78.00,78.96,993881
2015-12-22,79.44,79.65,78.46,79.30,1531728
2015-12-23,79.96,80.21,78.57,79.10,765179
2015-12-24,79.05,80.06,79.00,79.18,515393
2015-12-28,78.99,80.12,78.99,79.82,783657
2015-12-29,79.96,80.42,79.53,79.76,974658
2015-12-30,79.98,80.22,79.11,79.21,665610
2015-12-31,78.67,79.76,78.42,78.98,1444757
2016-01-04,78.10,79.01,76.50,78.84,2540131
2016-01-05,78.67,80.45,78.43,80.01,1566917
2016-01-06,79.28,80.99,78.85,80.44,1769477
2016-01-07,79.39,79.39,76.79,77.56,2370374
2016-01-08,77.35,78.58,75.80,76.04,1752325
2016-01-11,76.66,77.36,75.54,75.93,2136161
2016-01-12,76.49,77.87,76.32,77.75,1413829
2016-01-13,78.15,78.55,74.61,74.81,1853664
2016-01-14,74.81,77.33,73.92,77.10,2154459
2016-01-15,74.84,76.59,73.96,74.69,3106572
2016-01-19,75.62,76.09,74.01,74.52,1768670
2016-01-20,73.47,76.03,72.20,75.49,2124573
2016-01-21,76.63,79.66,76.33,77.80,3678076
2016-01-22,78.79,79.78,78.34,78.84,2089327
2016-01-25,79.10,80.70,79.08,80.20,1403615
2016-01-26,79.16,80.85,78.89,80.16,1521938
2016-01-27,80.21,80.59,77.25,77.90,2798274
2016-01-28,78.18,78.18,75.24,75.88,2086188
2016-01-29,75.96,78.30,75.96,78.21,2299462
2016-02-01,77.89,79.58,77.65,78.84,2478731
2016-02-02,77.61,78.18,76.58,76.91,2675125
2016-02-03,82.62,83.45,80.95,83.32,4961393
2016-02-04,83.18,84.48,82.47,83.60,3280312
2016-02-05,83.46,84.84,81.65,82.02,2057356
2016-02-08,81.14,81.69,75.29,76.97,3638185
2016-02-09,75.64,78.11,75.62,76.34,2677167
2016-02-10,77.43,80.61,77.21,79.00,2474132
2016-02-11,77.55,79.78,76.90,79.04,2142671
2016-02-12,79.61,81.11,78.60,81.04,2186628
2016-02-16,81.38,84.47,81.13,84.45,2420262
2016-02-17,85.17,86.70,84.44,86.62,2370483
2016-02-18,86.72,88.53,86.05,86.24,2465435
2016-02-19,86.29,86.62,85.04,86.21,1595339
2016-02-22,86.91,87.30,85.77,86.61,1680964
2016-02-23,86.50,87.36,85.95,86.87,1699152
2016-02-24,86.34,88.11,85.40,87.79,1585306
2016-02-25,88.08,89.58,87.92,89.56,1421384
2016-02-26,89.65,89.93,87.64,87.93,2050843
2016-02-29,87.61,88.30,86.74,87.00,1961383
2016-03-01,87.28,87.89,86.11,87.87,1897262
2016-03-02,88.50,88.63,87.47,88.29,1189619
2016-03-03,88.09,88.30,86.50,87.12,1311803
2016-03-04,86.92,87.86,86.46,87.36,1103306
2016-03-07,87.36,88.10,86.88,87.26,1330146
2016-03-08,86.94,87.12,85.02,85.12,2229748
2016-03-09,85.31,86.33,84.65,85.75,1415948
2016-03-10,86.11,87.00,85.66,86.49,1254626
2016-03-11,86.86,87.86,86.67,87.63,1326313
2016-03-14,87.21,88.67,87.02,87.94,1369781
2016-03-15,87.75,87.86,85.95,86.29,1482434
2016-03-16,85.76,86.85,85.04,85.78,1418074
2016-03-17,85.62,86.23,83.90,84.37,1791897
2016-03-18,84.69,86.09,84.02,85.81,1761571
2016-03-21,85.57,86.13,85.20,85.64,1003717
2016-03-22,85.10,86.82,85.06,86.25,1112532
2016-03-23,86.12,86.91,85.67,85.89,1003052
2016-03-24,85.23,87.64,85.13,87.34,2085444
2016-03-28,87.26,87.89,86.55,86.72,1330479
2016-03-29,86.53,89.38,86.53,88.89,1788041
2016-03-30,89.38,89.58,88.57,88.89,1060852
2016-03-31,88.84,89.12,87.91,88.21,2269201
2016-04-01,88.02,90.06,86.73,89.92,2736978
2016-04-04,102.46,107.90,100.90,105.08,9078783
2016-04-05,103.66,104.91,102.71,103.54,4215369
2016-04-06,103.61,107.70,103.32,107.48,2229102
2016-04-07,107.55,107.65,104.29,105.25,1645608
2016-04-08,106.32,106.78,104.06,104.47,1104614
2016-04-11,105.19,107.58,104.82,105.99,1578702
2016-04-12,105.98,106.65,104.35,105.74,1496665
2016-04-13,106.27,109.00,106.23,108.32,1876933
2016-04-14,107.91,108.73,107.27,107.49,1173326
