date,open,high,low,close,volume
2015-12-01,27.48,27.88,27.42,27.85,7261867
2015-12-02,27.75,27.83,27.26,27.34,6722626
2015-12-03,27.22,27.48,27.04,27.14,5566795
2015-12-04,27.34,27.45,26.65,26.71,11246155
2015-12-07,26.71,26.90,26.28,26.76,9614584
2015-12-08,26.60,26.70,26.22,26.54,5723210
2015-12-09,26.38,27.06,26.31,26.57,5832858
2015-12-10,26.61,26.75,26.32,26.48,6954845
2015-12-11,26.26,26.54,25.88,25.94,7303956
2015-12-14,25.99,26.01,25.09,25.46,10904651
2015-12-15,25.50,26.05,25.46,25.65,10699090
2015-12-16,25.68,26.59,25.62,26.44,11191867
2015-12-17,26.44,26.79,26.21,26.60,8133295
2015-12-18,26.50,27.04,26.26,26.90,17138153
2015-12-21,27.07,27.51,26.84,27.43,9825239
2015-12-22,27.38,27.62,27.20,27.52,6229681
2015-12-23,27.53,27.86,27.43,27.79,5226214
2015-12-24,27.67,27.86,27.65,27.75,1830268
2015-12-28,27.65,27.82,27.36,27.76,4582523
2015-12-29,27.91,28.00,27.71,27.95,4773532
2015-12-30,27.74,27.95,27.50,27.69,4437098
2015-12-31,27.64,27.85,27.32,27.77,5603876
2016-01-04,27.46,28.00,27.33,27.97,7318677
2016-01-05,27.88,28.19,27.42,28.16,5588512
2016-01-06,27.89,28.28,27.76,28.19,6714469
2016-01-07,27.82,28.19,27.67,27.84,5509685
2016-01-08,27.90,27.98,27.45,27.82,7965919
2016-01-11,27.95,28.36,27.82,28.06,8189794
2016-01-12,28.18,28.18,27.57,27.94,6827673
2016-01-13,27.96,28.16,27.35,27.54,8058348
2016-01-14,27.53,28.10,27.18,27.91,9442114
2016-01-15,27.35,27.97,26.96,27.46,10234455
2016-01-19,27.63,27.93,27.46,27.64,8888294
2016-01-20,27.41,27.45,26.26,26.78,10755055
2016-01-21,26.88,27.53,26.58,27.42,9040401
2016-01-22,27.51,28.09,27.46,28.03,7111245
2016-01-25,28.00,28.10,27.14,27.16,8438060
2016-01-26,27.24,28.00,27.22,27.84,6965176
2016-01-27,27.97,28.42,27.64,28.05,6107432
2016-01-28,28.06,28.93,27.85,28.71,6801609
2016-01-29,29.00,29.67,28.96,29.57,11951569
2016-02-01,29.40,30.11,29.26,30.00,9602263
2016-02-02,29.70,30.16,29.41,30.14,9682827
2016-02-03,30.24,31.73,30.15,31.61,15097412
2016-02-04,31.66,32.42,31.61,32.25,14215689
2016-02-05,32.46,32.95,32.03,32.90,10945447
2016-02-08,32.76,33.12,32.11,32.36,10060630
2016-02-09,32.11,32.40,31.77,31.94,9553715
2016-02-10,31.00,31.42,30.55,31.12,11043013
2016-02-11,30.78,31.08,30.00,30.31,9973364
2016-02-12,30.30,30.62,29.98,30.46,8523670
2016-02-16,30.79,31.82,30.45,31.02,9546344
2016-02-17,31.13,31.28,30.74,31.09,7477447
2016-02-18,31.10,31.64,31.06,31.45,7687226
2016-02-19,31.32,31.36,30.94,31.24,7164042
2016-02-22,31.49,31.73,31.22,31.69,6908504
2016-02-23,31.09,31.62,31.00,31.19,8711331
2016-02-24,31.20,31.85,31.08,31.75,8638989
2016-02-25,31.74,31.98,31.56,31.98,6092633
2016-02-26,31.83,32.14,31.16,31.73,12901395
2016-02-29,31.73,32.14,31.45,31.49,9706277
2016-03-01,31.77,31.96,31.20,31.77,9942295
2016-03-02,31.61,32.35,30.87,32.32,7379153
2016-03-03,32.37,33.10,32.02,33.08,9203675
2016-03-04,32.86,33.63,32.72,33.36,8438621
2016-03-07,33.48,34.05,33.30,33.92,6907864
2016-03-08,33.90,34.32,33.39,34.23,8925782
2016-03-09,34.07,34.36,33.95,34.17,7158600
2016-03-10,34.25,34.85,34.11,34.73,7670843
2016-03-11,34.93,34.98,34.44,34.73,5709869
2016-03-14,34.67,34.87,34.49,34.65,4753128
2016-03-15,34.51,34.75,34.27,34.50,5020860
2016-03-16,34.39,34.84,34.04,34.78,4999897
2016-03-17,34.86,35.00,34.55,34.91,5451458
2016-03-18,34.98,35.11,34.66,34.84,10125264
2016-03-21,34.75,35.08,34.67,34.88,5840400
2016-03-22,34.85,35.20,34.63,35.00,3895816
2016-03-23,34.98,35.50,34.51,34.72,11565310
2016-03-24,34.72,35.36,34.35,35.31,6011640
2016-03-28,35.27,35.49,34.95,35.16,4533055
2016-03-29,35.24,35.77,34.85,35.69,7564316
2016-03-30,35.75,35.76,35.41,35.43,4239906
2016-03-31,35.54,35.95,35.54,35.86,7228637
2016-04-01,35.74,35.95,35.35,35.66,7661537
