date,open,high,low,close,volume
2015-12-01,14.32,14.56,14.29,14.56,29144722
2015-12-02,14.60,14.62,14.24,14.26,21398052
2015-12-03,14.31,14.34,13.93,13.98,29847346
2015-12-04,14.08,14.26,14.00,14.20,28354070
2015-12-07,14.19,14.20,14.02,14.12,14530576
2015-12-08,14.03,14.10,13.88,13.97,30356873
2015-12-09,13.91,14.14,13.80,13.89,25196945
2015-12-10,13.91,14.09,13.89,13.96,22039330
2015-12-11,13.84,13.92,13.58,13.64,29577304
2015-12-14,13.66,13.74,13.40,13.62,26825171
2015-12-15,13.74,14.00,13.72,13.87,43673526
2015-12-16,14.00,14.36,13.99,14.36,40683751
2015-12-17,14.37,14.38,13.95,13.98,26179792
2015-12-18,13.88,13.91,13.72,13.80,40453028
2015-12-21,13.89,13.95,13.67,13.73,31598047
2015-12-22,13.93,14.25,13.90,14.20,50646613
2015-12-23,14.27,14.38,14.26,14.36,22172288
2015-12-24,14.35,14.37,14.25,14.31,9000079
2015-12-28,14.28,14.34,14.16,14.18,13697485
2015-12-29,14.28,14.30,14.15,14.23,18868259
2015-12-30,14.23,14.26,14.12,14.17,13800289
2015-12-31,14.14,14.16,14.04,14.09,19881021
2016-01-04,13.87,14.00,13.75,13.97,38621674
2016-01-05,13.97,14.00,13.51,13.72,50267935
2016-01-06,13.56,13.56,13.05,13.11,61285453
2016-01-07,12.90,13.04,12.60,12.70,57848688
2016-01-08,13.05,13.10,12.50,12.54,46201913
2016-01-11,12.80,12.82,12.55,12.77,41269221
2016-01-12,13.03,13.04,12.58,12.85,50983684
2016-01-13,12.73,12.84,12.06,12.20,102174840
2016-01-14,12.19,12.31,11.82,12.19,62938630
2016-01-15,11.81,12.00,11.58,11.97,69035022
2016-01-19,12.15,12.16,11.82,11.95,41142817
2016-01-20,11.79,12.07,11.47,11.90,59893367
2016-01-21,12.01,12.28,11.86,12.01,48844795
2016-01-22,12.26,12.36,12.03,12.14,44538108
2016-01-25,12.30,12.31,11.93,11.98,96738579
2016-01-26,12.14,12.29,12.04,12.26,45974082
2016-01-27,12.05,12.10,11.73,11.85,42064238
2016-01-28,12.03,12.06,11.20,11.71,75699795
2016-01-29,11.83,11.94,11.65,11.94,52138057
2016-02-01,11.92,12.14,11.73,12.07,37397785
2016-02-02,11.95,12.08,11.45,11.51,54988760
2016-02-03,11.67,11.68,11.02,11.46,69454551
2016-02-04,11.37,11.69,11.26,11.53,40223130
2016-02-05,11.52,11.70,11.42,11.45,33323293
2016-02-08,11.39,11.69,11.25,11.59,45274520
2016-02-09,11.47,11.61,11.22,11.35,48960376
2016-02-10,11.46,11.57,11.33,11.34,38160284
2016-02-11,11.17,11.43,11.10,11.17,45801300
2016-02-12,11.25,11.58,11.18,11.55,28086519
2016-02-16,11.75,11.88,11.53,11.87,41072066
2016-02-17,11.99,12.30,11.98,12.27,37766523
2016-02-18,12.40,12.44,12.12,12.26,28786354
2016-02-19,12.19,12.22,12.01,12.10,26479331
2016-02-22,12.24,12.56,12.24,12.56,33909262
2016-02-23,12.53,12.65,12.42,12.42,30136719
2016-02-24,12.11,12.11,11.60,12.08,60618752
2016-02-25,12.11,12.40,12.05,12.39,32024839
2016-02-26,12.52,12.59,12.40,12.47,30229575
2016-02-29,12.42,12.65,12.39,12.51,32999136
2016-03-01,13.01,13.12,12.72,13.09,71568044
2016-03-02,13.06,13.35,13.04,13.22,36598421
2016-03-03,13.25,13.61,13.24,13.54,44524646
2016-03-04,13.56,13.86,13.43,13.59,31818710
2016-03-07,13.46,13.74,13.45,13.62,26145405
2016-03-08,13.51,13.57,13.15,13.23,34770841
2016-03-09,13.25,13.32,13.01,13.19,34146555
2016-03-10,13.24,13.28,12.92,13.15,39076526
2016-03-11,13.26,13.30,13.20,13.29,27583137
2016-03-14,13.28,13.37,13.18,13.27,20610027
2016-03-15,13.12,13.24,13.05,13.23,27730321
2016-03-16,13.21,13.51,13.18,13.50,47035012
2016-03-17,13.44,13.68,13.39,13.47,31521704
2016-03-18,13.54,13.70,13.49,13.64,32183081
2016-03-21,13.64,13.76,13.56,13.66,20906349
2016-03-22,13.64,13.73,13.51,13.59,26147996
2016-03-23,13.56,13.61,13.19,13.26,31535467
2016-03-24,13.11,13.12,12.78,13.06,36213203
2016-03-28,13.13,13.17,13.07,13.09,18684351
2016-03-29,13.05,13.20,12.97,13.20,26077381
2016-03-30,13.28,13.44,13.24,13.35,25322506
2016-03-31,13.34,13.52,13.34,13.50,32943444
2016-04-01,13.28,13.33,13.05,13.10,57944867
2016-04-04,13.11,13.12,12.76,12.80,42406310
2016-04-05,12.73,12.85,12.52,12.77,32426098
2016-04-06,12.75,12.87,12.65,12.82,22597414
2016-04-07,12.77,12.79,12.39,12.52,37688134
2016-04-08,12.62,12.78,12.51,12.55,20016928
2016-04-11,12.61,12.80,12.58,12.66,27744764
2016-04-12,12.72,12.84,12.66,12.81,23417022
2016-04-13,12.88,13.12,12.85,13.06,29335648
2016-04-14,13.09,13.18,13.02,13.09,22453959
2016-04-15,13.09,13.12,12.85,12.94,22986147
2016-04-18,12.98,13.28,12.95,13.25,30138430
2016-04-19,13.35,13.50,13.28,13.44,28809338
2016-04-20,13.42,13.72,13.40,13.64,32199112
2016-04-21,13.81,13.88,13.56,13.65,38127034
2016-04-22,13.63,13.78,13.51,13.61,28846411
2016-04-25,13.59,13.65,13.47,13.58,19494809
2016-04-26,13.66,13.82,13.63,13.75,35214188
2016-04-27,13.64,13.71,13.59,13.66,27151410
2016-04-28,13.79,14.22,13.71,14.09,87644638
2016-04-29,13.93,14.03,13.53,13.56,69695145
2016-05-02,13.67,13.79,13.60,13.62,57955420
2016-05-03,13.50,13.55,13.15,13.43,46042026
2016-05-04,13.29,13.38,13.14,13.31,28898276
2016-05-05,13.35,13.43,13.22,13.32,23838052
2016-05-06,13.27,13.48,13.24,13.44,23284500
2016-05-09,13.43,13.50,13.28,13.32,21603009
2016-05-10,13.38,13.52,13.38,13.49,23583376
2016-05-11,13.44,13.54,13.30,13.32,20229580
2016-05-12,13.40,13.47,13.17,13.35,24788701
2016-05-13,13.34,13.52,13.17,13.22,27482490
2016-05-16,13.22,13.38,13.21,13.32,21289870
2016-05-17,13.14,13.31,13.07,13.14,34165259
2016-05-18,13.12,13.34,13.05,13.16,23510010
2016-05-19,13.10,13.20,13.02,13.09,24117797
2016-05-20,13.15,13.26,13.13,13.19,19465010
2016-05-23,13.14,13.20,13.11,13.13,16234327
2016-05-24,13.17,13.30,13.16,13.29,19723444
2016-05-25,13.33,13.60,13.33,13.52,26236076
2016-05-26,13.59,13.68,13.37,13.46,18371061
2016-05-27,13.48,13.54,13.40,13.45,17263287
2016-05-31,13.49,13.56,13.40,13.49,26096515
2016-06-01,13.43,13.44,12.97,13.11,58219591
2016-06-02,13.09,13.32,13.04,13.21,41614613
2016-06-03,13.14,13.14,12.90,13.04,39850658
2016-06-06,13.08,13.21,13.04,13.18,25588749
2016-06-07,13.23,13.45,13.18,13.38,27656945
2016-06-08,13.45,13.49,13.35,13.36,18085425
2016-06-09,13.26,13.30,13.14,13.26,19873758
2016-06-10,13.17,13.25,13.05,13.10,27382718
2016-06-13,13.07,13.13,12.96,12.98,20753995
2016-06-14,12.99,13.07,12.76,12.84,30546446
2016-06-15,12.92,13.16,12.88,13.01,25829959
2016-06-16,12.93,13.14,12.85,13.12,26581237
2016-06-17,13.16,13.40,13.15,13.26,37364863
2016-06-20,13.39,13.55,13.39,13.42,29666741
2016-06-21,13.44,13.44,13.18,13.22,36822332
2016-06-22,13.23,13.31,13.15,13.18,20666602
2016-06-23,13.29,13.41,13.28,13.40,24579723
2016-06-24,12.79,12.90,12.45,12.52,96888572
2016-06-27,12.43,12.43,12.00,12.16,52825119
2016-06-28,12.42,12.44,12.21,12.39,40648545
2016-06-29,12.49,12.58,12.36,12.55,31937932
2016-06-30,12.56,12.57,12.26,12.57,45007874
2016-07-01,12.88,12.89,12.69,12.72,45068572
2016-07-05,12.57,12.59,12.31,12.40,30243393
2016-07-06,12.32,12.58,12.21,12.57,35093207
2016-07-07,12.58,12.84,12.57,12.75,33472953
2016-07-08,12.89,13.17,12.89,13.09,45945187
2016-07-11,13.17,13.33,13.13,13.27,28626307
2016-07-12,13.38,13.54,13.38,13.45,31320103
2016-07-13,13.49,13.51,13.31,13.48,26781837
2016-07-14,13.57,13.70,13.55,13.59,31802953
2016-07-15,13.63,13.67,13.53,13.57,19546317
2016-07-18,13.56,13.68,13.42,13.65,22545937
2016-07-19,13.56,13.72,13.50,13.65,26184783
2016-07-20,13.61,13.78,13.56,13.74,22588923
2016-07-21,13.87,14.04,13.86,13.92,40778639
2016-07-22,13.92,13.93,13.71,13.84,25134164
2016-07-25,13.86,13.95,13.76,13.83,26248463
2016-07-26,13.73,13.88,13.69,13.86,28467227
2016-07-27,13.86,13.99,13.75,13.84,34625494
2016-07-28,12.78,12.86,12.45,12.71,142186774
2016-07-29,12.61,12.88,12.60,12.66,59814896
2016-08-01,12.61,12.62,12.40,12.48,52206987
2016-08-02,12.35,12.36,11.90,11.94,101626014
2016-08-03,12.02,12.20,11.94,12.13,47480303
2016-08-04,12.12,12.23,12.05,12.08,38443291
2016-08-05,12.16,12.26,12.16,12.19,31222200
2016-08-08,12.22,12.33,12.15,12.18,33311487
2016-08-09,12.16,12.38,12.15,12.31,30098768
2016-08-10,12.30,12.36,12.23,12.25,24555796
2016-08-11,12.31,12.37,12.26,12.31,24987265
2016-08-12,12.29,12.37,12.25,12.33,18817254
2016-08-15,12.37,12.44,12.36,12.43,16371100
2016-08-16,12.35,12.43,12.33,12.34,20450106
2016-08-17,12.33,12.39,12.23,12.39,23434544
2016-08-18,12.33,12.36,12.27,12.33,23659695
2016-08-19,12.30,12.41,12.25,12.39,21891446
2016-08-22,12.35,12.38,12.29,12.36,22458375
2016-08-23,12.40,12.43,12.32,12.42,34634333
2016-08-24,12.41,12.44,12.28,12.30,20000329
2016-08-25,12.30,12.52,12.21,12.47,44713676
2016-08-26,12.47,12.55,12.34,12.38,22645892
2016-08-29,12.50,12.50,12.38,12.47,22273544
2016-08-30,12.46,12.56,12.43,12.55,26046172
2016-08-31,12.48,12.61,12.48,12.60,26030649
2016-09-01,12.66,12.72,12.35,12.44,40554998
2016-09-02,12.53,12.57,12.46,12.50,21079776
2016-09-06,12.49,12.67,12.43,12.67,36098940
2016-09-07,12.70,12.75,12.62,12.70,22879114
2016-09-08,12.50,12.75,12.50,12.73,34018606
2016-09-09,12.61,12.69,12.38,12.38,35755634
2016-09-12,12.32,12.77,12.28,12.70,42690524
2016-09-13,12.53,12.68,12.33,12.38,56592658
2016-09-14,12.18,12.31,12.11,12.14,62450611
2016-09-15,12.14,12.18,12.06,12.11,57374979
2016-09-16,12.05,12.13,12.01,12.11,27085629
2016-09-19,12.12,12.33,12.06,12.11,41375453
2016-09-20,12.09,12.19,11.96,12.00,38597659
2016-09-21,12.08,12.11,12.01,12.09,32937283
2016-09-22,12.17,12.29,12.16,12.18,36136360
2016-09-23,12.12,12.22,12.12,12.17,18994110
2016-09-26,12.12,12.12,12.00,12.01,26758623
2016-09-27,12.02,12.09,11.93,11.98,28966425
2016-09-28,12.02,12.09,11.96,12.09,29345217
2016-09-29,12.03,12.12,11.95,11.97,23398025
2016-09-30,12.00,12.14,11.99,12.07,35174157
2016-10-03,12.06,12.15,12.02,12.10,20683081
2016-10-04,12.11,12.25,12.09,12.20,23951078
2016-10-05,12.22,12.53,12.22,12.48,55979134
2016-10-06,12.43,12.51,12.33,12.39,25880883
2016-10-07,12.39,12.42,12.20,12.29,22093202
2016-10-10,12.35,12.38,12.10,12.12,24951437
2016-10-11,12.17,12.17,11.91,11.99,40053504
2016-10-12,12.00,12.01,11.94,11.96,20626954
2016-10-13,11.91,11.91,11.69,11.91,39905065
2016-10-14,11.96,12.00,11.89,11.91,25775674
2016-10-17,11.91,12.00,11.88,11.88,19874994
2016-10-18,11.92,11.93,11.71,11.89,39911354
2016-10-19,11.89,12.05,11.88,12.01,26096006
2016-10-20,12.02,12.03,11.90,11.97,18115983
2016-10-21,11.93,12.04,11.85,12.02,24370289
2016-10-24,12.06,12.20,12.06,12.19,33733614
2016-10-25,12.05,12.10,11.76,11.85,42486010
2016-10-26,11.80,11.93,11.76,11.88,36219963
2016-10-27,11.81,11.83,11.60,11.74,48779931
2016-10-28,11.74,11.85,11.62,11.72,37142375
2016-10-31,11.75,11.81,11.69,11.74,31898380
2016-11-01,11.78,11.84,11.50,11.61,35613573
2016-11-02,11.51,11.56,11.36,11.40,36229377
2016-11-03,11.39,11.46,11.27,11.35,38720088
2016-11-04,11.31,11.50,11.30,11.34,24790657
2016-11-07,11.52,11.62,11.39,11.58,25203987
2016-11-08,11.50,11.51,11.35,11.47,28736468
2016-11-09,11.15,11.63,11.07,11.59,61156581
2016-11-10,11.58,11.98,11.58,11.94,52764733
2016-11-11,11.88,12.40,11.84,12.28,79261470
2016-11-14,12.27,12.50,12.02,12.06,58124155
2016-11-15,12.06,12.14,11.95,12.04,31498503
2016-11-16,12.00,12.05,11.92,12.00,25195460
2016-11-17,11.90,11.96,11.78,11.87,38502593
2016-11-18,11.87,11.90,11.73,11.76,30662046
2016-11-21,11.77,11.90,11.77,11.79,19513820
2016-11-22,11.76,11.91,11.73,11.89,24323561
2016-11-23,11.90,12.00,11.85,11.90,22454951
2016-11-25,11.95,12.06,11.93,12.04,11439553
2016-11-28,12.02,12.05,11.89,11.92,24407192
2016-11-29,11.93,12.00,11.87,11.92,23690847
2016-11-30,11.97,12.14,11.92,11.96,47646220
2016-12-01,12.23,12.80,12.18,12.43,95200559
2016-12-02,12.58,12.58,12.15,12.24,38690342
2016-12-05,12.31,12.50,12.29,12.44,36247833
2016-12-06,12.40,12.59,12.37,12.56,23923916
2016-12-07,12.59,13.15,12.54,13.06,58600461
2016-12-08,13.07,13.15,12.97,13.03,41459537
2016-12-09,13.00,13.20,12.91,13.17,45256112
2016-12-12,13.08,13.10,12.81,12.82,39596765
2016-12-13,12.84,12.88,12.75,12.77,39570500
2016-12-14,12.65,12.79,12.50,12.53,42820123
2016-12-15,12.54,12.72,12.52,12.58,23775342
2016-12-16,12.66,12.70,12.56,12.63,28355494
2016-12-19,12.59,12.79,12.59,12.66,22830013
2016-12-20,12.70,12.82,12.68,12.78,17834041
2016-12-21,12.73,12.77,12.64,12.64,18209060
2016-12-22,12.63,12.64,12.40,12.40,27821071
2016-12-23,12.43,12.46,12.36,12.46,15621378
2016-12-27,12.43,12.51,12.36,12.39,19467440
2016-12-28,12.37,12.45,12.22,12.25,27485381
2016-12-29,12.25,12.31,12.22,12.23,19819081
