date,open,high,low,close,volume
2015-12-01,40.82,41.10,40.53,40.92,2922961
2015-12-02,40.79,40.95,40.00,40.14,2219042
2015-12-03,40.16,40.37,39.15,39.44,3020383
2015-12-04,39.83,40.29,39.51,40.14,2403171
2015-12-07,40.11,40.90,39.90,40.83,2992093
2015-12-08,40.20,40.55,39.94,40.20,2314909
2015-12-09,39.98,40.92,39.90,40.22,2178348
2015-12-10,40.19,40.47,39.93,40.15,1611032
2015-12-11,39.54,40.11,39.27,39.47,2348731
2015-12-14,39.61,39.91,39.16,39.90,1860689
2015-12-15,40.15,40.33,39.62,39.83,2144754
2015-12-16,40.15,40.54,39.63,40.29,2067894
2015-12-17,40.43,40.49,39.68,39.99,3023734
2015-12-18,39.77,39.93,39.03,39.09,5390918
2015-12-21,39.23,39.51,38.44,38.84,2900557
2015-12-22,39.01,40.08,38.79,40.08,2530998
2015-12-23,40.29,41.31,39.50,41.26,3755346
2015-12-24,41.27,41.76,41.00,41.51,1393334
2015-12-28,41.39,41.60,40.96,41.40,1604812
2015-12-29,41.61,41.96,41.49,41.64,1697402
2015-12-30,41.68,41.93,41.47,41.51,1991131
2015-12-31,41.41,41.62,40.80,40.82,1491961
2016-01-04,40.24,40.24,39.54,40.19,3543792
2016-01-05,40.51,40.56,39.23,39.75,3444569
2016-01-06,39.32,40.35,39.01,39.86,3729493
2016-01-07,39.18,39.62,38.65,39.05,3037801
2016-01-08,39.28,39.59,38.67,38.80,3006266
2016-01-11,39.00,39.13,38.51,38.89,4288001
2016-01-12,39.11,39.54,38.82,39.43,2930187
2016-01-13,39.50,39.77,38.64,38.77,4372879
2016-01-14,38.99,39.55,38.00,39.25,5748984
2016-01-15,35.11,38.73,35.10,37.67,14853686
2016-01-19,38.05,38.44,36.36,36.77,5985766
2016-01-20,36.35,36.86,35.18,36.53,4642673
2016-01-21,36.67,37.36,36.10,37.14,4019158
2016-01-22,37.73,38.11,37.03,37.98,3726566
2016-01-25,37.82,38.07,36.76,36.82,3373178
2016-01-26,37.30,38.23,37.15,38.02,4341250
2016-01-27,37.63,38.82,37.32,38.04,3629852
2016-01-28,38.07,39.40,37.98,39.34,4055125
2016-01-29,39.48,40.56,39.28,40.56,3932207
2016-02-01,42.60,42.60,39.50,40.44,4493341
2016-02-02,39.83,40.00,38.98,39.13,2842267
2016-02-03,39.50,40.33,38.48,39.63,3901699
2016-02-04,41.50,44.44,41.50,43.53,11213892
2016-02-05,43.29,43.75,42.80,43.26,4894960
2016-02-08,42.92,44.25,42.52,43.66,6087543
2016-02-09,43.25,44.25,43.16,43.36,5576638
2016-02-10,43.77,43.93,42.10,42.27,4370214
2016-02-11,42.11,42.28,40.96,42.01,4304495
2016-02-12,42.56,43.09,41.90,43.04,2164033
2016-02-16,43.76,43.82,43.05,43.68,2598681
2016-02-17,43.87,44.94,43.76,44.42,3275774
2016-02-18,44.42,45.11,44.06,44.56,2294399
2016-02-19,44.18,44.75,43.87,44.65,2456224
2016-02-22,45.05,45.65,44.91,45.36,2302649
2016-02-23,44.95,45.40,44.46,44.54,2215178
2016-02-24,44.16,44.74,43.43,44.50,2272556
2016-02-25,44.66,45.07,44.02,45.07,1769511
2016-02-26,45.24,45.50,44.90,45.22,2169767
2016-02-29,45.25,45.70,45.08,45.29,3909311
2016-03-01,45.74,47.03,45.46,46.70,4523299
2016-03-02,46.70,46.90,46.02,46.50,3294157
2016-03-03,46.44,47.16,46.15,47.00,2296144
2016-03-04,45.99,46.61,44.71,46.22,4029799
2016-03-07,45.97,46.86,45.83,46.32,2589832
2016-03-08,46.28,46.83,45.55,46.57,3459653
2016-03-09,46.80,47.09,46.46,46.99,2345618
2016-03-10,47.04,47.13,46.37,46.99,2712622
2016-03-11,47.25,47.35,46.52,46.86,2261839
2016-03-14,46.83,47.08,46.63,46.94,1458183
2016-03-15,46.46,47.21,45.18,47.05,2565959
2016-03-16,46.61,47.50,46.20,47.42,3134639
2016-03-17,47.44,49.19,47.34,48.94,3278545
2016-03-18,49.17,49.20,48.52,49.05,3618647
2016-03-21,49.03,49.99,48.84,49.87,2522766
2016-03-22,49.50,49.85,48.82,48.93,3026758
2016-03-23,48.98,49.08,48.64,48.83,2132736
2016-03-24,48.69,49.09,48.43,48.90,1927976
2016-03-28,49.05,49.05,48.32,48.50,1935792
2016-03-29,48.23,49.04,48.06,49.02,1912615
2016-03-30,49.26,49.29,48.74,48.93,2493229
2016-03-31,49.00,49.08,48.71,49.00,2169890
2016-04-01,48.30,48.96,47.57,48.93,3275374
2016-04-04,48.75,48.77,47.29,47.37,3380874
2016-04-05,48.73,48.73,46.84,47.38,3667807
2016-04-06,47.31,48.00,46.13,47.11,3881809
2016-04-07,47.02,47.36,46.40,46.72,3052444
2016-04-08,47.21,47.62,47.01,47.13,2461781
2016-04-11,47.31,47.62,46.80,46.94,3799940
2016-04-12,45.05,46.18,45.00,45.34,7922311
2016-04-13,45.34,46.00,45.10,45.82,3504861
2016-04-14,45.97,46.08,45.62,45.77,2267125
2016-04-15,45.77,46.04,45.30,45.81,1931641
2016-04-18,45.75,46.06,45.52,45.73,2051286
2016-04-19,45.89,46.16,45.63,45.74,2029467
2016-04-20,45.74,46.15,45.58,45.81,1656697
2016-04-21,46.66,46.66,45.46,45.58,1416865
2016-04-22,45.15,45.65,45.15,45.63,1718305
2016-04-25,45.50,45.89,45.44,45.60,1805951
2016-04-26,45.60,46.66,45.44,46.48,2466829
2016-04-27,46.45,47.50,46.41,47.44,5023062
2016-04-28,47.09,47.99,47.03,47.27,4732968
2016-04-29,46.88,47.25,46.34,46.79,3903553
2016-05-02,46.93,47.04,46.10,47.02,3346581
2016-05-03,46.55,46.81,45.82,46.37,2509790
2016-05-04,46.25,46.25,45.29,45.57,2922690
2016-05-05,45.83,46.91,45.57,46.55,3802630
2016-05-06,46.41,46.83,46.32,46.49,2092548
2016-05-09,46.45,46.49,45.81,46.16,1911564
2016-05-10,46.49,46.80,45.81,46.67,1873236
2016-05-11,46.56,46.72,46.22,46.30,2003090
2016-05-12,46.46,46.63,45.57,45.64,3356573
2016-05-13,45.64,46.07,45.23,45.48,2062173
2016-05-16,45.62,46.10,45.45,45.72,2227018
2016-05-17,45.73,46.02,45.20,45.20,2033923
2016-05-18,45.15,45.83,45.05,45.39,2553909
2016-05-19,45.00,45.24,44.45,44.51,2279016
2016-05-20,44.71,45.12,44.10,44.86,2651528
2016-05-23,44.90,45.12,44.71,44.87,1425747
2016-05-24,45.05,45.83,45.04,45.70,1770809
2016-05-25,45.76,46.05,45.61,45.94,1881901
2016-05-26,46.03,46.20,45.94,46.08,1988857
2016-05-27,46.10,46.18,45.84,46.00,2132127
2016-05-31,46.10,46.36,45.78,46.03,2583038
2016-06-01,46.00,46.28,45.47,46.24,2317365
2016-06-02,46.14,46.54,45.88,46.51,1462272
2016-06-03,46.50,46.60,45.62,46.20,2253430
2016-06-06,45.64,45.86,44.97,45.83,3461940
2016-06-07,45.78,46.01,45.54,45.74,2015963
2016-06-08,45.89,46.13,45.72,45.99,2331644
2016-06-09,45.89,46.02,45.28,45.35,2422545
2016-06-10,44.86,45.12,44.28,44.57,2110370
2016-06-13,44.40,44.80,43.73,43.98,2982695
2016-06-14,44.02,44.30,43.73,44.24,2032577
2016-06-15,44.12,44.38,43.93,43.96,1787933
2016-06-16,43.81,44.49,43.52,44.30,2071515
2016-06-17,44.30,44.58,43.83,44.47,3767499
2016-06-20,45.14,45.62,44.92,45.04,2589421
2016-06-21,45.04,45.36,44.67,44.96,1820680
2016-06-22,45.10,45.33,44.90,44.95,1375573
2016-06-23,45.42,45.63,45.20,45.56,1656188
2016-06-24,43.92,44.36,43.51,43.75,3880991
2016-06-27,43.27,43.41,42.18,42.70,3197741
2016-06-28,43.00,43.18,42.46,42.81,3101270
2016-06-29,43.10,43.52,42.92,43.44,2463162
2016-06-30,43.51,44.42,43.40,44.39,2711980
2016-07-01,44.33,45.41,44.03,45.29,2666622
2016-07-05,45.03,45.18,44.08,44.38,1873616
2016-07-06,43.61,44.53,43.50,44.34,2866434
2016-07-07,44.42,44.96,44.31,44.72,2552103
2016-07-08,45.02,45.26,44.65,45.23,2539862
2016-07-11,45.45,45.83,45.28,45.36,4008346
2016-07-12,43.75,44.70,43.17,43.79,8079762
2016-07-13,43.71,43.89,43.08,43.30,4243041
2016-07-14,43.57,43.75,43.27,43.30,3372188
2016-07-15,43.56,43.64,43.34,43.45,4657078
2016-07-18,43.36,43.44,42.93,42.98,2570748
2016-07-19,42.78,42.86,42.31,42.44,3969673
2016-07-20,42.30,42.88,41.96,42.55,3019645
2016-07-21,42.50,42.58,41.70,41.84,4221833
2016-07-22,41.55,42.21,41.47,42.12,3991708
2016-07-25,41.97,42.19,41.86,41.92,2223111
2016-07-26,41.99,42.25,41.71,41.98,3174042
2016-07-27,42.00,42.06,41.65,41.90,4113963
2016-07-28,41.85,42.59,41.81,42.50,4606060
2016-07-29,42.47,42.96,42.29,42.75,2816638
2016-08-01,42.78,42.95,42.31,42.49,3239359
2016-08-02,42.44,42.58,41.78,41.81,2701024
2016-08-03,41.81,42.08,41.65,42.06,3291099
2016-08-04,42.80,43.23,42.38,42.40,3877617
2016-08-05,42.51,42.90,42.41,42.87,1877418
2016-08-08,42.98,43.12,42.79,42.85,1672776
2016-08-09,42.95,43.01,42.38,42.48,1430307
2016-08-10,42.48,42.70,42.26,42.47,1150892
2016-08-11,42.78,43.63,42.77,43.44,2095220
2016-08-12,43.32,43.61,43.17,43.44,1265579
2016-08-15,43.41,43.89,43.41,43.78,1225990
2016-08-16,43.76,43.79,43.47,43.48,1023782
2016-08-17,43.62,43.64,43.32,43.61,1221462
2016-08-18,43.71,43.99,43.24,43.89,1198424
2016-08-19,43.75,44.05,43.43,44.00,1113757
2016-08-22,43.75,44.20,43.59,44.16,1414762
2016-08-23,44.57,44.57,43.96,44.03,1121742
2016-08-24,43.83,44.07,43.63,43.70,1130134
2016-08-25,43.68,43.77,43.47,43.73,1089575
2016-08-26,43.86,44.23,43.49,43.75,1330178
2016-08-29,43.70,44.04,43.53,44.00,889972
2016-08-30,44.05,44.18,43.59,43.75,1068530
