date,open,high,low,close,volume
2015-12-01,20.80,21.11,20.69,21.02,10760866
2015-12-02,21.08,21.14,20.73,20.75,8022919
2015-12-03,20.91,21.04,20.41,20.48,9365959
2015-12-04,20.52,21.10,20.41,21.06,8496903
2015-12-07,20.96,21.06,20.64,20.79,9049409
2015-12-08,20.52,20.69,19.96,20.03,12692274
2015-12-09,19.98,20.24,19.66,19.76,10147308
2015-12-10,19.77,20.27,19.68,20.07,9002369
2015-12-11,19.71,19.89,19.50,19.71,9853339
2015-12-14,19.80,19.98,19.43,19.85,10899253
2015-12-15,20.12,20.65,19.93,20.52,8460346
2015-12-16,20.73,20.95,20.29,20.83,12474434
2015-12-17,20.90,20.96,20.27,20.29,10045469
2015-12-18,20.16,20.20,19.67,19.73,23180088
2015-12-21,19.87,19.97,19.59,19.86,6792105
2015-12-22,20.05,20.10,19.66,20.06,5880454
2015-12-23,20.21,20.48,20.07,20.46,5376698
2015-12-24,20.44,20.62,20.38,20.52,1600548
2015-12-28,20.40,20.48,20.12,20.45,4998551
2015-12-29,20.49,20.62,20.40,20.48,5496550
2015-12-30,20.41,20.48,20.23,20.25,5383701
2015-12-31,20.10,20.40,20.06,20.10,5378986
2016-01-04,19.48,19.68,19.34,19.55,11600278
2016-01-05,19.56,19.73,19.39,19.61,8993969
2016-01-06,19.21,19.41,19.11,19.32,8937539
2016-01-07,18.93,19.07,18.68,18.71,11183231
2016-01-08,18.77,18.95,18.35,18.39,9007275
2016-01-11,18.46,18.62,18.02,18.17,10939652
2016-01-12,18.41,18.41,17.94,18.27,8673506
2016-01-13,18.42,18.45,17.33,17.33,18186202
2016-01-14,17.49,17.82,17.09,17.65,15342108
2016-01-15,17.19,17.23,16.75,17.12,10111817
2016-01-19,17.41,17.44,16.72,16.88,9522086
2016-01-20,16.52,16.71,15.95,16.53,18492411
2016-01-21,16.76,17.25,15.72,15.73,21771317
2016-01-22,16.09,16.18,15.66,15.94,20065362
2016-01-25,15.78,15.88,14.90,15.01,24445604
2016-01-26,15.14,15.40,15.05,15.23,17255185
2016-01-27,15.15,15.87,15.12,15.42,11566837
2016-01-28,15.68,15.96,15.44,15.57,10970074
2016-01-29,15.64,15.81,15.48,15.80,11539609
2016-02-01,15.77,15.81,15.54,15.75,9965857
2016-02-02,15.47,15.60,15.19,15.33,8623309
2016-02-03,15.55,15.57,14.89,15.36,10962707
2016-02-04,15.50,15.76,15.31,15.53,8712420
2016-02-05,15.56,15.73,15.26,15.33,10519746
2016-02-08,15.05,15.33,14.52,14.80,10721922
2016-02-09,14.54,15.01,14.45,14.83,8490441
2016-02-10,14.98,15.12,14.66,14.66,9804045
2016-02-11,14.22,14.41,13.84,13.94,13541322
2016-02-12,14.26,14.89,14.21,14.87,10604515
2016-02-16,14.92,15.78,14.92,15.58,13441793
2016-02-17,15.75,15.92,15.32,15.41,10156616
2016-02-18,15.66,15.66,15.02,15.15,7721555
2016-02-19,15.05,15.31,14.91,15.28,6461461
2016-02-22,15.47,15.70,15.40,15.67,6385941
2016-02-23,15.60,15.64,14.99,15.10,8010902
2016-02-24,14.85,15.10,14.56,15.05,7892468
2016-02-25,15.15,15.31,15.04,15.30,7226933
2016-02-26,15.47,15.91,15.30,15.68,7817084
2016-02-29,15.60,15.65,15.20,15.26,8223165
2016-03-01,15.39,16.20,15.39,16.16,9532711
2016-03-02,16.19,16.50,16.10,16.49,8960869
2016-03-03,16.44,16.86,16.40,16.86,6484036
2016-03-04,17.07,17.25,16.92,17.13,7730683
2016-03-07,17.07,17.12,16.89,17.04,6799920
2016-03-08,16.90,16.97,16.59,16.63,7644283
2016-03-09,16.74,16.84,16.52,16.60,4911668
2016-03-10,16.78,16.94,16.50,16.86,7717366
2016-03-11,16.94,17.42,16.94,17.40,6548910
2016-03-14,17.30,17.50,17.11,17.29,6236182
2016-03-15,17.08,17.23,17.00,17.19,6779116
2016-03-16,17.17,17.32,16.71,16.84,10135481
2016-03-17,16.78,17.01,16.54,16.98,8888084
2016-03-18,17.11,17.44,17.00,17.36,13947471
2016-03-21,17.34,17.57,17.25,17.37,6647242
2016-03-22,17.20,17.52,17.14,17.38,7035857
2016-03-23,17.30,17.37,17.17,17.21,4553829
2016-03-24,17.03,17.15,16.78,17.10,6557205
2016-03-28,17.16,17.22,16.92,17.09,5177649
2016-03-29,16.81,16.81,16.48,16.70,8562717
2016-03-30,16.87,17.09,16.77,16.87,4858915
2016-03-31,16.85,16.93,16.58,16.69,6208188
2016-04-01,16.39,16.82,16.29,16.80,7777177
2016-04-04,16.82,17.01,16.63,16.75,6608265
2016-04-05,16.50,16.68,16.36,16.44,6897492
2016-04-06,16.25,16.65,16.23,16.49,8863645
2016-04-07,16.28,16.36,16.02,16.13,12224120
2016-04-08,16.39,16.62,16.26,16.30,6200236
2016-04-11,16.43,16.75,16.36,16.43,6383534
2016-04-12,16.49,16.73,16.44,16.65,6716704
