date,open,high,low,close,volume
2015-12-01,43.17,43.17,41.62,41.97,1173845
2015-12-02,41.85,42.82,41.00,41.14,1499032
2015-12-03,41.32,42.47,41.19,41.92,1631605
2015-12-04,41.93,42.69,41.48,42.44,1146352
2015-12-07,42.10,42.20,41.03,41.41,1295486
2015-12-08,40.99,41.23,39.99,40.01,1524826
2015-12-09,40.37,41.70,40.13,40.49,1863407
2015-12-10,40.28,40.60,39.39,39.48,1179270
2015-12-11,38.55,38.81,37.87,38.01,1399157
2015-12-14,37.98,37.98,36.43,37.06,2257652
2015-12-15,37.50,37.96,37.20,37.89,1499887
2015-12-16,38.04,38.82,37.78,38.68,1205648
2015-12-17,38.62,38.76,37.41,37.54,1415103
2015-12-18,37.35,38.35,37.25,37.93,2243372
2015-12-21,38.22,39.03,37.93,38.24,1221993
2015-12-22,38.45,39.61,38.31,39.25,892500
2015-12-23,39.69,41.23,39.62,40.78,958552
2015-12-24,40.85,40.95,40.28,40.58,363400
2015-12-28,40.31,40.43,39.80,39.93,710218
2015-12-29,40.11,40.63,39.67,40.39,724251
2015-12-30,40.16,40.55,39.67,39.69,628128
2015-12-31,39.49,39.91,39.13,39.13,699493
2016-01-04,37.81,38.11,36.99,37.98,1749421
2016-01-05,38.04,38.55,37.34,37.58,1413972
2016-01-06,36.89,36.98,35.78,36.02,1450050
2016-01-07,35.50,36.23,34.90,35.73,2157464
2016-01-08,35.94,36.52,35.59,35.67,1548589
2016-01-11,35.81,35.97,34.87,35.16,1502993
2016-01-12,35.69,35.84,34.67,35.55,1266404
2016-01-13,35.60,36.02,34.14,34.33,1259863
2016-01-14,34.46,35.53,33.84,35.36,1478878
2016-01-15,34.26,35.24,34.19,35.04,1453186
2016-01-19,35.47,35.52,33.98,34.81,1689733
2016-01-20,34.33,35.03,33.45,34.81,1700857
2016-01-21,34.59,35.82,34.59,35.11,1593656
2016-01-22,35.64,36.12,34.59,35.25,1731315
2016-01-25,34.91,35.10,33.63,33.65,957636
2016-01-26,33.97,34.97,33.84,34.83,1250615
2016-01-27,34.57,35.77,34.45,34.71,1125448
2016-01-28,35.10,35.26,34.19,34.62,669691
2016-01-29,34.85,35.77,34.59,35.72,975184
2016-02-01,35.25,35.76,34.34,35.67,1214411
2016-02-02,35.21,35.33,34.31,34.53,1188832
2016-02-03,35.01,36.09,33.95,36.08,897001
2016-02-04,36.27,39.24,36.24,37.60,1917960
2016-02-05,37.47,38.29,36.78,36.95,1029099
2016-02-08,36.53,36.59,34.25,34.95,1753030
2016-02-09,34.55,35.12,33.84,34.53,3426624
2016-02-10,34.83,35.76,34.16,34.21,1303182
2016-02-11,33.52,34.35,32.24,33.53,2171040
2016-02-12,33.52,35.11,32.92,35.04,1225143
2016-02-16,35.11,36.85,34.57,36.79,1995148
2016-02-17,37.25,38.59,37.11,37.86,1361629
2016-02-18,38.09,38.16,36.56,37.09,1224737
2016-02-19,36.93,36.93,35.86,35.95,686211
2016-02-22,36.31,37.84,36.24,37.83,1290915
2016-02-23,37.47,38.12,36.41,36.64,936248
2016-02-24,36.04,37.14,35.68,36.99,684035
2016-02-25,37.04,37.40,36.25,37.38,643994
2016-02-26,37.75,38.44,37.54,38.06,941467
2016-02-29,37.99,38.51,37.64,37.64,1344832
2016-03-01,38.11,38.51,37.82,38.38,943332
2016-03-02,37.79,38.41,37.58,38.00,1332987
2016-03-03,37.78,38.72,37.56,38.61,1376516
2016-03-04,38.79,41.85,38.67,40.48,2103488
2016-03-07,40.51,41.80,40.31,40.81,1421439
2016-03-08,40.37,40.59,38.21,38.71,1531615
2016-03-09,38.98,39.78,38.91,38.94,1433922
2016-03-10,39.10,39.80,38.62,39.21,953969
2016-03-11,39.80,40.64,39.80,40.15,1204752
2016-03-14,39.94,40.44,39.65,40.07,923766
2016-03-15,39.67,39.84,38.92,39.12,710934
2016-03-16,39.06,40.26,39.01,40.18,660740
2016-03-17,40.28,41.59,40.26,41.31,877243
2016-03-18,41.55,41.93,40.78,40.89,1062073
2016-03-21,40.91,41.65,40.90,41.32,754427
