date,open,high,low,close,volume
2015-12-01,56.60,58.29,56.60,58.18,1608135
2015-12-02,58.06,60.32,57.95,59.67,3719886
2015-12-03,60.00,62.05,58.66,59.46,2700902
2015-12-04,59.06,60.01,58.49,59.84,1538900
2015-12-07,59.29,59.59,58.22,59.32,1852124
2015-12-08,58.38,59.25,56.96,59.07,2753381
2015-12-09,59.46,61.92,58.42,58.85,3186339
2015-12-10,54.32,55.39,52.51,54.35,7515666
2015-12-11,53.95,56.60,53.50,55.26,3212044
2015-12-14,55.79,58.48,55.04,58.41,3444346
2015-12-15,58.86,60.35,58.12,59.83,4589760
2015-12-16,63.52,66.35,63.40,65.62,7207179
2015-12-17,66.50,66.65,64.03,64.48,3326292
2015-12-18,63.84,65.34,63.29,63.41,3311472
2015-12-21,64.65,66.15,64.50,65.74,2778858
2015-12-22,65.47,65.63,63.73,64.99,1872257
2015-12-23,65.49,66.52,65.35,66.17,1334898
2015-12-24,66.26,67.80,66.25,66.92,921202
2015-12-28,66.53,66.80,65.11,66.40,1026263
2015-12-29,66.70,66.95,65.45,66.41,1049369
2015-12-30,66.23,67.16,66.01,66.99,1342517
2015-12-31,66.51,67.07,65.99,65.99,1515486
2016-01-04,64.71,66.76,64.10,66.72,2126915
2016-01-05,70.56,72.12,70.11,72.03,6385360
2016-01-06,71.00,71.45,68.42,69.52,2947128
2016-01-07,67.64,68.70,65.35,66.22,4091021
2016-01-08,67.43,67.95,64.73,65.62,3030634
2016-01-11,65.84,66.72,64.37,65.42,1744614
2016-01-12,65.98,66.54,63.07,65.22,2307841
2016-01-13,65.52,66.27,61.08,61.37,2544384
2016-01-14,60.80,62.60,57.54,61.78,3851460
2016-01-15,59.58,61.64,58.80,61.32,2377276
2016-01-19,62.21,63.15,60.74,61.49,2236286
2016-01-20,60.40,62.00,57.20,61.27,3311512
2016-01-21,61.29,64.53,60.86,63.23,2420039
2016-01-22,65.10,66.94,64.29,66.44,3006038
2016-01-25,66.56,66.59,63.93,64.14,1865981
2016-01-26,64.76,67.60,64.44,67.40,1920822
2016-01-27,66.93,67.73,65.22,65.64,1893419
2016-01-28,66.85,67.43,64.18,65.88,2228212
2016-01-29,65.92,68.70,65.80,68.66,2328829
2016-02-01,68.10,69.77,66.74,69.13,1963509
2016-02-02,68.05,68.74,65.61,66.13,1917431
2016-02-03,66.94,67.15,64.10,66.49,1760678
2016-02-04,66.39,68.49,66.05,67.20,1672840
2016-02-05,66.71,66.88,64.86,65.07,1656908
2016-02-08,63.50,65.07,62.96,64.18,2133231
2016-02-09,63.03,66.85,62.54,66.48,2393141
2016-02-10,64.66,65.72,63.79,64.41,2386873
2016-02-11,63.00,64.07,60.10,61.36,3051960
2016-02-12,62.30,62.80,58.08,60.99,2939943
2016-02-16,61.98,63.31,61.66,63.05,1652252
2016-02-17,63.70,64.20,62.17,63.47,2212910
2016-02-18,64.29,64.83,62.50,63.54,1803768
2016-02-19,63.03,63.50,61.44,62.76,1721566
2016-02-22,63.72,65.56,63.45,64.23,2374541
2016-02-23,63.80,64.56,61.27,61.79,3264088
2016-02-24,63.96,70.57,63.95,69.45,7957889
2016-02-25,69.33,72.52,68.54,72.25,5107476
2016-02-26,72.25,73.37,69.88,70.25,3541729
2016-02-29,70.28,73.71,70.02,71.87,3395259
2016-03-01,71.36,71.41,68.37,69.02,3348255
2016-03-02,68.95,70.60,68.53,69.14,2038119
2016-03-03,69.58,70.50,68.66,69.71,1706355
2016-03-04,70.16,71.21,68.71,69.52,1926540
2016-03-07,69.17,70.49,68.35,69.18,1357074
2016-03-08,68.45,69.17,66.58,66.87,1725330
2016-03-09,67.29,68.75,66.71,68.49,1566134
2016-03-10,68.32,69.53,67.81,69.25,1666307
2016-03-11,70.00,70.56,68.51,70.32,1861705
2016-03-14,70.35,71.18,69.60,70.89,1303922
2016-03-15,70.25,70.99,69.86,70.78,1283213
2016-03-16,70.15,73.19,70.03,72.06,2329894
2016-03-17,72.39,73.53,71.70,73.21,1635269
2016-03-18,73.43,74.29,72.30,72.44,2284795
2016-03-21,72.21,72.62,71.04,71.24,1599139
2016-03-22,70.62,71.57,70.23,71.29,1368996
2016-03-23,71.25,71.30,68.14,68.23,1925118
2016-03-24,67.98,68.84,66.61,68.46,1511970
2016-03-28,68.55,69.30,67.53,68.40,1335381
2016-03-29,68.15,69.72,67.76,69.30,1261047
2016-03-30,69.88,70.28,68.91,68.97,1268482
2016-03-31,68.73,69.64,68.40,68.47,1392925
2016-04-01,67.88,68.47,66.78,67.48,1794893
2016-04-04,67.36,69.01,67.09,67.24,1578302
2016-04-05,65.23,65.97,62.30,62.42,4834685
2016-04-06,62.92,63.59,61.47,62.76,3187946
2016-04-07,62.43,62.80,60.76,61.26,2425536
2016-04-08,61.95,62.14,60.27,60.63,2148286
2016-04-11,61.00,61.21,59.63,59.96,2363214
2016-04-12,59.93,60.85,59.50,60.34,1488269
2016-04-13,61.25,63.09,61.04,61.65,2624000
2016-04-14,61.58,61.62,60.38,60.42,1801817
2016-04-15,60.33,60.94,59.27,59.59,1692934
2016-04-18,59.43,60.69,59.00,60.36,1209641
2016-04-19,60.59,61.49,60.17,60.52,1280843
2016-04-20,60.41,62.60,60.02,61.72,1901304
2016-04-21,61.80,62.69,61.66,61.94,1481917
2016-04-22,62.23,62.77,61.23,61.54,1475607
2016-04-25,61.16,61.34,60.18,60.39,1476413
2016-04-26,60.60,61.34,60.46,61.24,1369663
2016-04-27,61.11,62.14,61.03,62.03,2947571
2016-04-28,59.05,59.41,56.88,57.02,6931428
2016-04-29,56.93,57.21,55.19,55.84,3341480
2016-05-02,56.26,56.32,54.54,54.85,2505480
2016-05-03,54.54,54.54,52.71,52.85,3035166
2016-05-04,52.46,52.67,51.32,51.78,2872313
2016-05-05,52.25,52.51,51.61,51.96,2099318
2016-05-06,51.87,52.60,51.37,51.80,1787459
2016-05-09,51.78,51.79,50.03,50.60,1489827
2016-05-10,50.00,51.50,49.91,51.27,2579049
2016-05-11,51.51,51.97,50.69,50.74,1901124
2016-05-12,50.95,51.47,49.00,49.09,2457170
2016-05-13,49.05,49.80,48.49,48.56,1982455
2016-05-16,48.85,49.74,48.75,49.07,1612894
2016-05-17,49.07,49.30,48.33,48.51,1772963
2016-05-18,48.17,49.67,48.05,48.71,1766155
2016-05-19,48.40,48.89,46.67,47.09,3056415
2016-05-20,47.37,48.23,47.00,48.02,1967933
2016-05-23,48.11,49.77,48.11,49.04,2278785
2016-05-24,49.57,50.67,49.36,50.46,2525452
2016-05-25,51.09,51.33,49.94,50.56,2026326
2016-05-26,50.42,50.51,49.28,49.73,1553449
2016-05-27,49.63,50.09,49.28,49.90,1059145
2016-05-31,49.92,50.43,49.31,49.65,1644776
2016-06-01,49.78,50.28,48.85,50.07,1574243
2016-06-02,49.58,50.33,49.40,49.84,1255427
2016-06-03,49.93,50.17,48.84,49.25,1445883
2016-06-06,49.06,50.22,49.06,50.15,1557109
2016-06-07,50.45,51.00,49.97,50.55,1386515
2016-06-08,50.72,51.30,50.20,50.93,1489888
2016-06-09,50.74,51.28,50.24,50.45,1440966
2016-06-10,49.96,50.00,48.20,48.51,1672591
2016-06-13,48.04,48.39,47.36,47.79,1827762
2016-06-14,47.74,48.24,47.22,47.89,1549931
2016-06-15,47.96,49.00,47.93,48.20,1356535
2016-06-16,47.89,48.53,47.11,48.39,1315286
2016-06-17,48.43,49.02,48.23,48.52,1600799
2016-06-20,49.40,50.40,49.26,49.32,1744554
2016-06-21,49.40,49.51,48.00,48.91,1343100
2016-06-22,49.30,49.33,48.56,48.62,1076508
2016-06-23,49.08,49.33,48.19,48.65,1275717
2016-06-24,46.51,47.49,45.73,46.02,2064914
2016-06-27,45.18,45.45,43.70,44.23,2600820
2016-06-28,44.99,46.45,44.80,46.37,1888729
2016-06-29,47.17,48.35,46.98,48.09,2672084
2016-06-30,48.26,48.50,47.69,48.48,2431184
2016-07-01,48.39,48.77,48.13,48.49,1490717
2016-07-05,48.21,48.28,47.05,47.77,1896749
2016-07-06,47.69,49.18,47.07,49.13,3521424
2016-07-07,47.50,47.62,44.06,44.34,10446733
2016-07-08,44.69,45.76,44.65,45.60,3572619
2016-07-11,45.00,46.69,44.92,46.49,2939088
2016-07-12,46.86,47.48,46.45,46.99,2048880
2016-07-13,47.25,47.40,46.14,46.20,1529408
