date,open,high,low,close,volume
2015-12-01,36.25,36.25,35.61,36.10,1661280
2015-12-02,36.03,36.33,35.75,35.90,1063150
2015-12-03,35.95,36.09,34.56,34.70,1455389
2015-12-04,34.75,35.35,34.64,35.22,1253136
2015-12-07,35.27,35.27,34.36,34.49,1331181
2015-12-08,34.05,34.89,33.80,34.52,1395433
2015-12-09,34.52,34.78,32.57,32.71,2966776
2015-12-10,32.64,32.64,31.57,31.80,3438915
2015-12-11,31.45,31.58,30.40,30.54,2484253
2015-12-14,30.37,30.95,29.83,30.42,2849549
2015-12-15,30.68,30.70,30.26,30.59,2117153
2015-12-16,30.95,32.13,30.47,31.95,3077397
2015-12-17,32.00,32.05,31.41,31.42,1866168
2015-12-18,31.44,31.95,31.14,31.22,3208178
2015-12-21,31.50,31.77,31.20,31.66,1442511
2015-12-22,31.67,31.86,31.31,31.54,1313623
2015-12-23,31.65,31.95,31.45,31.89,861329
2015-12-24,31.78,32.04,31.72,31.77,383762
2015-12-28,31.70,31.92,31.49,31.79,1013884
2015-12-29,31.91,32.00,31.52,31.78,824922
2015-12-30,31.60,32.24,31.45,31.45,1246610
2015-12-31,31.40,31.65,31.14,31.17,1581618
2016-01-04,30.54,30.99,29.82,30.23,3666529
2016-01-05,30.21,30.31,29.71,29.84,2048675
2016-01-06,29.38,29.58,28.83,29.50,3520589
2016-01-07,28.90,29.64,28.37,29.17,2500247
2016-01-08,29.19,29.47,28.48,28.61,3071306
2016-01-11,28.81,28.93,27.88,28.35,3402669
2016-01-12,28.54,29.14,28.11,28.73,2700076
2016-01-13,29.50,29.95,27.92,28.39,3273572
2016-01-14,28.75,29.66,27.93,29.29,3573594
2016-01-15,28.34,28.51,27.19,28.28,3715511
2016-01-19,28.48,28.70,26.44,26.46,5065304
2016-01-20,24.07,26.32,23.64,25.99,5911789
2016-01-21,26.28,27.18,26.03,26.73,2608550
2016-01-22,27.11,27.87,26.31,27.75,2598864
2016-01-25,27.59,28.06,27.11,27.21,2681219
2016-01-26,26.52,27.15,25.66,26.87,4438744
2016-01-27,26.61,26.97,25.69,25.83,4200475
2016-01-28,26.32,26.47,25.53,26.36,3860944
2016-01-29,30.00,30.03,27.51,28.14,5979041
2016-02-01,27.98,28.62,27.40,28.39,3131605
2016-02-02,28.19,28.61,26.99,27.06,1975564
2016-02-03,27.15,27.23,26.03,26.39,2718074
2016-02-04,26.38,26.76,25.92,26.72,2842669
2016-02-05,26.52,26.57,24.34,25.11,5232014
2016-02-08,24.72,24.86,23.41,24.23,3998016
2016-02-09,23.70,25.14,23.66,23.84,2561443
2016-02-10,24.05,24.81,23.86,23.91,3467671
2016-02-11,23.49,24.04,23.16,23.83,2855291
2016-02-12,24.23,24.25,23.51,24.11,2160200
2016-02-16,24.58,25.56,24.39,25.42,3491559
