date,open,high,low,close,volume
2015-12-01,29.99,30.25,29.87,30.17,54561407
2015-12-02,30.09,30.23,29.88,29.97,44124156
2015-12-03,30.09,30.25,29.96,30.03,62971288
2015-12-04,30.07,30.52,29.96,30.49,58203224
2015-12-07,30.42,30.44,30.12,30.37,66728557
2015-12-08,30.07,30.38,29.91,30.19,53265473
2015-12-09,30.02,30.59,29.96,30.47,50560429
2015-12-10,30.44,30.93,30.37,30.65,47082550
2015-12-11,30.32,30.61,30.15,30.26,62909477
2015-12-14,30.26,30.46,29.77,30.26,65064491
2015-12-15,30.40,30.61,30.22,30.32,59345625
2015-12-16,30.46,31.23,30.42,30.98,73831508
2015-12-17,30.94,31.05,30.53,30.55,58025500
2015-12-18,30.39,30.58,30.28,30.28,83146134
2015-12-21,30.42,30.60,30.15,30.40,40719782
2015-12-22,30.49,30.63,30.16,30.49,42256936
2015-12-23,30.52,31.00,30.52,30.95,35775767
2015-12-24,30.90,30.93,30.69,30.83,13519280
2015-12-28,30.74,31.00,30.61,30.90,26557822
2015-12-29,31.01,31.48,31.00,31.28,33404047
2015-12-30,31.28,31.43,31.01,31.05,29127671
2015-12-31,30.86,31.49,30.79,31.15,52307708
2016-01-04,30.55,30.76,30.25,30.71,62881560
2016-01-05,30.68,30.84,30.45,30.74,55177261
2016-01-06,30.27,30.71,30.05,30.25,62654685
2016-01-07,29.65,29.95,28.85,28.97,92267998
2016-01-08,29.20,29.30,28.34,28.45,74497427
2016-01-11,28.54,29.92,28.25,28.58,58433753
2016-01-12,28.76,28.88,28.34,28.64,47686344
2016-01-13,28.91,29.06,28.20,28.24,55717721
2016-01-14,28.31,29.25,28.29,29.06,65239236
2016-01-15,28.14,28.76,28.10,28.49,69460814
2016-01-19,28.72,28.89,28.20,28.49,51986866
2016-01-20,27.93,28.43,27.48,28.00,88063427
2016-01-21,28.13,28.99,28.13,28.59,56037636
2016-01-22,28.55,28.56,27.71,28.24,87875142
2016-01-25,28.32,28.49,28.00,28.04,44852198
