date,open,high,low,close,volume
2015-12-01,35.95,36.34,35.80,36.26,12656421
2015-12-02,36.31,36.36,35.62,35.73,9715093
2015-12-03,35.83,36.00,35.23,35.47,10795824
2015-12-04,35.60,36.34,35.37,36.25,11562608
2015-12-07,36.46,36.52,35.99,36.13,11306973
2015-12-08,35.83,35.87,35.23,35.48,11905410
2015-12-09,35.30,35.70,34.86,35.45,11691971
2015-12-10,35.25,35.89,35.18,35.63,8827017
2015-12-11,35.14,35.41,34.27,34.55,16271723
2015-12-14,34.78,34.84,34.05,34.39,13793061
2015-12-15,34.75,34.96,34.30,34.54,13874384
2015-12-16,34.35,35.17,34.25,35.14,14787628
2015-12-17,35.15,35.27,34.06,34.11,14489786
2015-12-18,33.96,34.06,33.54,33.67,19469523
2015-12-21,33.79,34.06,33.59,33.83,12819957
2015-12-22,34.21,34.49,34.07,34.29,9202919
2015-12-23,34.51,34.94,34.38,34.78,8816663
2015-12-24,34.72,34.75,34.50,34.60,3134813
2015-12-28,34.53,34.67,34.30,34.51,5348620
2015-12-29,34.66,34.69,34.16,34.50,7056413
2015-12-30,34.32,34.55,34.28,34.33,4694546
2015-12-31,34.21,34.30,34.00,34.01,6585989
2016-01-04,33.45,33.54,32.84,33.31,14875501
2016-01-05,33.33,33.41,32.18,32.43,19777702
2016-01-06,31.95,31.98,31.01,31.27,27505692
2016-01-07,30.26,30.82,29.82,29.99,21046302
2016-01-08,30.46,30.70,29.42,29.53,16447961
2016-01-11,30.37,30.48,29.68,30.25,16877360
2016-01-12,30.63,30.75,29.80,30.30,13398935
2016-01-13,31.81,31.90,30.09,30.49,31586233
2016-01-14,30.81,30.89,29.45,30.30,27106701
2016-01-15,29.46,29.68,28.80,29.57,26698267
2016-01-19,29.93,30.00,28.91,29.40,18697116
2016-01-20,28.86,29.90,28.32,29.42,21481016
2016-01-21,29.46,30.14,29.07,29.55,15844027
2016-01-22,30.16,30.29,29.03,29.28,18302947
2016-01-25,29.33,29.59,29.02,29.23,33628043
2016-01-26,29.40,29.75,29.04,29.65,11657915
2016-01-27,29.72,29.90,29.00,29.21,12932388
2016-01-28,29.47,29.48,28.40,29.02,16421233
2016-01-29,29.17,29.64,29.02,29.64,13445973
2016-02-01,29.46,30.24,29.10,30.11,13847420
2016-02-02,29.99,30.19,28.87,29.65,23399397
2016-02-03,30.10,30.25,28.18,28.92,29069803
2016-02-04,28.94,29.21,28.10,28.64,21002766
2016-02-05,28.67,29.20,28.41,28.54,14625520
2016-02-08,28.28,28.84,28.05,28.68,19173955
2016-02-09,28.13,28.87,27.77,27.87,21654057
2016-02-10,28.12,28.64,27.69,27.71,15164939
2016-02-11,27.48,28.09,26.69,26.90,25164656
2016-02-12,27.23,27.74,27.05,27.71,11041224
2016-02-16,28.00,28.59,27.76,28.58,14627535
2016-02-17,28.86,29.35,28.70,29.27,13494048
2016-02-18,29.45,29.55,28.91,29.03,12158635
2016-02-19,28.88,28.98,28.38,28.78,12362341
2016-02-22,29.18,29.64,29.03,29.63,12214086
2016-02-23,29.41,29.82,29.28,29.38,9949641
2016-02-24,28.72,28.90,27.81,28.84,20989775
2016-02-25,28.83,29.51,28.55,29.50,11904323
2016-02-26,29.73,29.96,29.54,29.63,15778315
2016-02-29,29.37,29.80,29.29,29.44,10329427
2016-03-01,30.02,30.23,28.92,30.01,21007310
2016-03-02,30.00,30.32,29.84,30.15,12095462
2016-03-03,30.26,31.22,30.20,31.07,18341317
2016-03-04,31.22,31.74,31.06,31.37,13963228
2016-03-07,31.31,31.78,31.19,31.59,11379591
2016-03-08,31.40,31.40,30.46,30.68,16794779
2016-03-09,30.47,30.63,30.20,30.54,12175771
2016-03-10,30.72,30.88,30.27,30.82,15092689
2016-03-11,31.05,31.33,30.98,31.26,13363064
2016-03-14,31.18,31.39,30.90,31.18,9353481
2016-03-15,30.86,31.08,30.44,31.05,8983477
2016-03-16,30.84,31.76,30.83,31.69,9991979
2016-03-17,31.73,32.10,31.64,31.96,11295914
2016-03-18,32.08,32.38,31.91,31.96,15431567
2016-03-21,32.11,32.19,31.75,32.08,7397342
2016-03-22,32.08,32.21,31.76,31.90,8195586
2016-03-23,31.92,31.93,31.17,31.31,9107054
2016-03-24,30.88,30.97,30.39,30.96,12041022
2016-03-28,31.13,31.25,30.94,31.02,6109135
2016-03-29,31.04,31.28,30.58,31.19,13667755
2016-03-30,31.44,31.67,30.95,30.99,13377601
2016-03-31,31.01,31.59,31.00,31.43,10209356
2016-04-01,31.18,31.20,30.32,30.47,17433316
2016-04-04,30.40,30.48,29.75,29.90,12167270
