date,open,high,low,close,volume
2015-12-01,32.19,32.59,31.91,32.53,1103172
2015-12-02,32.39,32.58,31.67,31.92,802645
2015-12-03,31.95,31.97,31.12,31.44,1099278
2015-12-04,31.45,31.63,31.03,31.34,857701
2015-12-07,31.24,31.60,30.58,31.46,927672
2015-12-08,31.10,31.10,30.27,30.30,859858
2015-12-09,30.24,30.56,29.83,30.20,892767
2015-12-10,30.08,31.00,30.02,30.97,474657
2015-12-11,30.54,31.12,30.37,30.80,844832
2015-12-14,30.86,30.99,30.20,30.38,849901
2015-12-15,30.54,30.61,29.77,29.82,1080695
2015-12-16,29.81,30.15,29.61,29.96,700136
2015-12-17,29.97,30.13,29.09,29.14,782039
2015-12-18,28.92,29.11,28.45,28.46,1300602
2015-12-21,28.77,29.25,28.58,28.92,565552
2015-12-22,29.02,29.66,28.82,29.49,361961
2015-12-23,29.57,30.42,29.57,30.40,489547
2015-12-24,30.34,30.93,30.34,30.86,177136
2015-12-28,30.80,30.90,30.34,30.39,415496
2015-12-29,30.54,31.00,30.54,30.89,380883
2015-12-30,30.54,30.94,30.46,30.56,374879
2015-12-31,30.50,30.59,29.76,29.77,771175
2016-01-04,29.28,29.51,28.43,28.91,803166
2016-01-05,29.03,29.03,28.34,28.64,626978
2016-01-06,28.20,28.89,28.13,28.58,659689
2016-01-07,28.00,28.30,27.79,28.03,861985
2016-01-08,28.25,28.53,27.85,28.00,1157242
2016-01-11,28.19,29.28,28.10,29.04,1444975
2016-01-12,29.28,30.23,29.24,30.20,1717597
2016-01-13,30.26,30.71,28.67,28.74,984933
2016-01-14,28.93,28.93,27.99,28.03,813764
2016-01-15,27.25,27.80,26.89,27.35,1318998
2016-01-19,27.71,27.74,26.78,27.27,1116766
2016-01-20,26.80,28.68,26.29,28.56,1072406
2016-01-21,28.74,29.69,28.44,29.16,1054117
2016-01-22,29.89,30.69,29.78,30.57,1719925
2016-01-25,30.00,30.15,27.11,27.26,1554834
2016-01-26,27.53,28.06,27.48,27.89,813065
2016-01-27,27.81,28.39,27.65,27.99,534682
2016-01-28,28.42,28.56,27.64,27.75,710227
2016-01-29,27.94,28.42,27.69,28.42,994878
2016-02-01,28.25,29.63,27.96,29.40,762560
2016-02-02,28.92,29.05,28.16,28.26,427499
2016-02-03,28.47,28.47,27.28,28.41,370099
2016-02-04,28.43,29.23,28.31,29.14,508363
2016-02-05,29.01,29.13,28.52,28.75,773688
2016-02-08,28.40,29.02,28.08,28.93,748650
2016-02-09,28.46,28.51,27.80,27.92,720120
2016-02-10,28.02,28.59,27.79,27.97,625955
2016-02-11,27.42,28.45,27.14,28.28,544552
2016-02-12,28.48,28.55,27.63,27.91,1132860
2016-02-16,30.95,32.82,29.34,32.75,3328353
2016-02-17,33.17,35.00,31.92,32.67,2259214
2016-02-18,32.83,34.07,32.38,33.98,1132566
2016-02-19,33.78,34.50,32.74,34.05,875993
2016-02-22,34.42,34.88,33.90,34.12,844740
2016-02-23,34.11,34.67,33.89,34.64,909981
2016-02-24,34.23,34.68,33.72,34.62,827670
2016-02-25,34.73,34.98,33.77,34.12,864161
2016-02-26,34.22,34.95,34.11,34.83,726453
2016-02-29,34.90,35.32,34.34,34.74,897531
2016-03-01,35.08,35.48,34.53,34.99,664696
2016-03-02,34.85,35.03,34.22,34.61,610841
2016-03-03,34.68,35.42,34.36,35.34,582885
2016-03-04,35.20,35.36,34.58,34.91,489008
2016-03-07,34.74,35.99,34.74,35.96,809762
2016-03-08,35.60,35.75,34.98,35.08,328866
2016-03-09,35.17,35.67,34.81,34.92,428986
2016-03-10,35.00,35.17,34.50,35.04,360076
2016-03-11,35.33,35.82,35.20,35.63,293276
2016-03-14,35.87,37.09,35.87,36.38,745360
2016-03-15,36.01,36.62,35.85,36.40,494711
2016-03-16,36.29,36.79,36.03,36.68,567830
2016-03-17,36.69,38.20,36.46,38.04,768947
2016-03-18,38.25,38.62,37.79,38.51,1117506
2016-03-21,38.29,38.48,37.72,37.77,337754
2016-03-22,37.68,38.25,37.45,37.99,243888
2016-03-23,37.78,37.81,37.12,37.12,527405
2016-03-24,36.82,37.23,36.47,36.72,441047
2016-03-28,36.79,36.87,35.80,35.93,1065248
