date,open,high,low,close,volume
2015-12-01,23.40,23.61,23.20,23.59,4047625
2015-12-02,23.54,23.57,23.14,23.29,4246092
2015-12-03,23.77,23.83,22.54,22.84,6154135
2015-12-04,22.96,23.21,22.83,23.05,4365370
2015-12-07,23.07,23.15,22.40,22.67,6036217
2015-12-08,22.12,22.62,22.12,22.52,4077831
2015-12-09,22.45,22.79,21.74,21.74,10910619
2015-12-10,21.86,22.20,21.77,22.09,7734925
2015-12-11,21.77,21.89,21.50,21.80,7441238
2015-12-14,21.64,21.88,20.91,21.28,11327687
2015-12-15,21.52,21.73,21.30,21.34,7063971
2015-12-16,21.54,23.71,21.45,22.45,19087074
2015-12-17,22.87,22.88,22.10,22.12,7136750
2015-12-18,22.02,22.37,21.38,21.46,7677112
2015-12-21,21.53,21.64,21.21,21.37,8442340
2015-12-22,21.35,21.99,21.28,21.76,10103583
2015-12-23,21.77,22.12,21.46,22.04,7377581
2015-12-24,22.02,22.12,21.81,21.87,1471950
2015-12-28,21.83,21.97,21.55,21.78,3075277
2015-12-29,21.91,21.98,21.61,21.79,2603910
2015-12-30,21.67,21.88,21.57,21.60,3292126
2015-12-31,21.58,21.85,21.39,21.40,3463944
2016-01-04,21.20,21.27,20.65,21.09,7207030
2016-01-05,21.10,21.35,20.92,21.10,4545946
2016-01-06,20.73,20.79,19.84,20.00,14289020
2016-01-07,19.62,19.83,19.14,19.25,27007041
2016-01-08,19.48,19.80,19.13,19.15,7050748
2016-01-11,19.26,19.64,19.00,19.24,8763754
2016-01-12,19.43,19.66,19.22,19.56,7186572
2016-01-13,19.49,19.59,18.49,18.54,10306021
2016-01-14,18.09,18.43,17.61,18.40,11945380
2016-01-15,17.81,17.90,17.32,17.75,12041660
2016-01-19,17.92,17.99,16.94,17.31,7259385
2016-01-20,17.02,18.05,16.16,17.74,17596677
2016-01-21,17.73,18.64,17.71,18.36,15697400
2016-01-22,18.66,18.87,18.00,18.27,8350102
2016-01-25,18.26,18.38,17.29,17.42,8602029
2016-01-26,17.59,18.53,17.48,18.49,9378932
2016-01-27,18.33,18.50,17.80,17.92,7270812
2016-01-28,18.16,18.17,17.12,17.18,9489277
2016-01-29,17.27,17.81,17.17,17.81,8567723
2016-02-01,17.77,18.05,17.52,17.96,5970275
