date,open,high,low,close,volume
2015-12-01,103.90,105.27,103.77,104.15,3264558
2015-12-02,103.91,104.29,102.92,103.10,2482890
2015-12-03,103.41,103.68,101.86,102.40,2703109
2015-12-04,102.78,104.71,102.41,104.55,3552293
2015-12-07,104.55,104.85,103.61,104.18,2298449
2015-12-08,103.03,103.56,102.39,102.66,2711874
2015-12-09,102.10,103.55,101.41,101.89,2526894
2015-12-10,102.16,102.34,101.30,101.76,2813336
2015-12-11,100.27,100.99,97.91,98.23,5554524
2015-12-14,98.34,99.06,97.66,98.98,5761245
2015-12-15,99.43,99.95,98.38,98.47,5086055
2015-12-16,101.73,104.40,101.30,104.08,7361232
2015-12-17,104.20,104.53,102.26,102.31,3747074
2015-12-18,102.09,102.99,101.45,101.83,5489329
2015-12-21,102.72,103.75,101.93,102.60,3062604
2015-12-22,102.93,104.47,102.51,104.16,2552226
2015-12-23,104.69,105.32,104.23,104.96,3650299
2015-12-24,104.87,104.99,104.48,104.65,793858
2015-12-28,104.23,104.62,103.83,104.33,1435086
2015-12-29,105.20,105.72,104.24,105.34,2014709
2015-12-30,105.40,105.44,104.19,104.46,2225286
2015-12-31,104.07,104.58,103.48,103.57,2079409
2016-01-04,101.62,102.64,100.99,102.57,3340979
2016-01-05,102.64,103.59,102.27,103.41,2553739
2016-01-06,102.14,102.50,101.48,102.24,2321637
2016-01-07,100.54,101.11,98.71,99.23,3420518
2016-01-08,99.92,100.34,98.18,98.43,4027218
2016-01-11,98.82,99.42,97.44,98.42,3130789
2016-01-12,99.24,99.59,97.83,99.17,3146672
2016-01-13,99.75,99.90,96.72,97.10,2983581
2016-01-14,97.34,99.48,96.52,98.74,5454045
2016-01-15,96.31,97.59,95.90,97.26,4814622
2016-01-19,98.42,98.55,96.21,97.33,3735893
2016-01-20,95.49,96.89,93.71,96.24,4965911
2016-01-21,96.82,97.64,95.89,96.58,3042397
2016-01-22,98.14,98.53,96.77,97.82,3190479
2016-01-25,97.58,97.72,96.37,96.48,2432213
2016-01-26,96.75,98.64,96.39,98.51,3257783
2016-01-27,97.77,98.78,96.32,96.96,5060339
2016-01-28,97.92,98.55,97.10,97.97,4499433
2016-01-29,100.99,103.43,99.88,103.20,6639974
2016-02-01,102.20,103.20,100.68,102.88,5426699
2016-02-02,101.80,101.80,100.09,100.66,3748794
2016-02-03,101.45,102.28,99.42,102.16,3758733
2016-02-04,101.69,103.72,101.62,102.55,5039900
