date,open,high,low,close,volume
2015-12-01,12.63,12.77,12.52,12.74,17837595
2015-12-02,12.61,12.61,11.90,11.95,52272809
2015-12-03,11.97,12.37,11.86,12.15,47349888
2015-12-04,12.15,12.56,12.12,12.32,21815329
2015-12-07,12.21,12.46,12.07,12.15,21616358
2015-12-08,11.92,12.36,11.89,12.19,20595506
2015-12-09,12.08,12.45,12.04,12.11,23729570
2015-12-10,12.12,12.38,12.12,12.36,15199887
2015-12-11,12.14,12.28,12.04,12.21,20893928
2015-12-14,12.30,12.47,12.01,12.16,19394178
2015-12-15,12.22,12.46,12.20,12.21,18768571
2015-12-16,12.27,12.39,12.18,12.26,18241296
2015-12-17,12.28,12.35,11.89,11.90,25745462
2015-12-18,11.83,11.91,11.45,11.51,38462426
2015-12-21,11.60,11.63,11.31,11.43,18336189
2015-12-22,11.40,11.76,11.30,11.66,19678350
2015-12-23,11.75,11.79,11.66,11.75,11953781
2015-12-24,11.75,11.89,11.72,11.73,4626631
2015-12-28,11.70,11.72,11.58,11.63,8052380
2015-12-29,11.67,11.93,11.67,11.86,9666338
2015-12-30,11.91,11.96,11.81,11.84,8390613
2015-12-31,11.83,11.99,11.76,11.84,10382718
2016-01-04,11.58,11.66,11.45,11.60,15143504
2016-01-05,11.65,11.78,11.58,11.71,13558700
2016-01-06,11.52,11.52,11.20,11.29,16354996
2016-01-07,11.05,11.05,10.72,10.77,25487650
2016-01-08,10.83,10.92,10.55,10.58,17429384
2016-01-11,10.66,10.75,10.50,10.65,17004006
2016-01-12,10.76,10.89,10.57,10.82,16629580
2016-01-13,10.83,10.93,10.44,10.58,29839454
2016-01-14,10.60,10.82,10.54,10.62,29087267
2016-01-15,10.18,10.38,9.99,10.11,24212476
2016-01-19,10.27,10.28,9.70,9.76,27430335
2016-01-20,9.55,9.63,9.24,9.55,27005140
2016-01-21,9.61,10.01,9.51,9.94,25739327
2016-01-22,10.13,10.24,9.73,9.80,17296003
2016-01-25,9.79,9.81,9.45,9.49,14556839
2016-01-26,9.54,9.80,9.51,9.64,9930078
2016-01-27,9.64,9.89,9.56,9.62,9768623
2016-01-28,9.75,9.77,9.42,9.48,13443694
2016-01-29,9.58,9.72,9.40,9.71,47468423
2016-02-01,9.65,10.01,9.59,9.97,22194643
2016-02-02,9.83,9.97,9.73,9.88,20793914
2016-02-03,9.81,9.85,9.33,9.65,15264346
2016-02-04,9.60,9.94,9.60,9.86,11744573
2016-02-05,9.83,10.12,9.76,9.91,17014210
2016-02-08,9.76,9.81,9.21,9.37,15919186
2016-02-09,9.29,9.42,9.15,9.19,20714175
2016-02-10,9.24,9.46,9.19,9.28,12247489
2016-02-11,9.14,9.20,8.91,9.02,14737628
2016-02-12,9.09,9.44,9.03,9.42,9665478
2016-02-16,9.56,9.85,9.45,9.81,12066901
2016-02-17,9.88,10.10,9.87,10.08,11990079
2016-02-18,10.13,10.67,10.10,10.52,18758879
2016-02-19,10.49,10.49,10.05,10.32,13933483
2016-02-22,10.44,10.75,10.42,10.68,10850022
2016-02-23,10.61,10.63,10.25,10.31,13019804
2016-02-24,10.28,10.86,10.10,10.82,21745835
2016-02-25,10.16,10.46,9.95,10.34,35602796
2016-02-26,10.44,10.99,10.38,10.64,22767977
2016-02-29,10.64,10.85,10.60,10.69,17442482
2016-03-01,10.84,11.02,10.67,10.93,17280143
2016-03-02,10.93,11.06,10.77,10.90,12508166
2016-03-03,10.97,11.29,10.96,11.11,18109767
2016-03-04,11.15,11.32,11.10,11.18,15193961
2016-03-07,10.99,11.40,10.95,11.31,12405397
2016-03-08,11.20,11.27,10.96,11.05,13054953
2016-03-09,11.09,11.45,11.09,11.36,12056828
2016-03-10,11.39,11.56,11.14,11.42,15901293
2016-03-11,11.52,11.70,11.45,11.70,12989670
2016-03-14,11.63,11.71,11.36,11.47,13588537
2016-03-15,11.44,11.45,11.20,11.40,11307694
2016-03-16,11.42,11.67,11.35,11.62,11691723
2016-03-17,11.62,12.25,11.59,11.72,18156478
2016-03-18,11.78,12.22,11.78,12.18,35437933
2016-03-21,12.14,12.24,11.98,12.21,14445644
2016-03-22,12.09,12.30,12.06,12.26,10974894
2016-03-23,12.24,12.28,11.97,12.02,11990005
2016-03-24,11.98,12.10,11.71,12.07,12086628
2016-03-28,12.06,12.14,11.96,12.07,10561485
2016-03-29,12.03,12.35,11.92,12.28,10721195
2016-03-30,12.34,12.39,12.16,12.30,10790084
2016-03-31,12.30,12.36,12.20,12.32,13811578
2016-04-01,12.21,12.29,12.03,12.26,11919330
2016-04-04,12.24,12.30,12.09,12.10,11348437
2016-04-05,12.10,12.14,11.93,11.95,15487788
2016-04-06,12.03,12.29,11.89,12.28,13146724
2016-04-07,12.22,12.29,11.93,11.99,14245294
2016-04-08,12.11,12.28,12.05,12.06,8256239
2016-04-11,12.11,12.44,12.10,12.13,15969492
2016-04-12,12.20,12.31,11.78,12.22,28336407
2016-04-13,12.36,12.74,12.26,12.64,16054721
2016-04-14,12.56,12.69,12.34,12.55,14172546
2016-04-15,12.57,12.71,12.50,12.52,12488274
2016-04-18,12.48,12.96,12.45,12.67,15584523
2016-04-19,12.72,12.91,12.59,12.78,18279217
2016-04-20,12.82,12.96,12.72,12.80,17071955
2016-04-21,12.77,12.84,12.58,12.59,11000533
2016-04-22,12.52,12.73,12.52,12.61,11636310
2016-04-25,12.56,12.64,12.37,12.57,13957188
2016-04-26,12.59,12.79,12.58,12.73,15712320
2016-04-27,12.67,12.79,12.48,12.76,10530745
2016-04-28,12.71,12.80,12.52,12.57,8067160
2016-04-29,12.49,12.51,12.13,12.27,13491933
2016-05-02,12.26,12.33,12.02,12.12,12284017
2016-05-03,12.05,12.11,11.61,11.71,16316533
2016-05-04,11.65,11.80,11.52,11.59,8674918
2016-05-05,11.67,11.74,11.40,11.45,8975394
2016-05-06,11.40,11.64,11.37,11.59,8439004
2016-05-09,11.58,11.63,11.38,11.43,9548431
2016-05-10,11.48,11.72,11.41,11.61,14925503
2016-05-11,11.62,11.76,11.53,11.69,14228886
2016-05-12,11.78,11.80,11.45,11.56,12098821
2016-05-13,11.52,11.69,11.43,11.50,7605629
2016-05-16,11.53,11.68,11.49,11.64,6122517
2016-05-17,11.59,11.79,11.48,11.53,9530677
2016-05-18,11.58,11.68,11.47,11.57,7045400
2016-05-19,11.47,11.55,11.31,11.44,10828740
2016-05-20,11.48,11.68,11.40,11.66,10409147
2016-05-23,11.66,11.87,11.62,11.67,9392334
2016-05-24,11.68,11.93,11.62,11.91,8904028
2016-05-25,12.21,12.34,12.11,12.20,15281751
2016-05-26,12.50,13.15,12.45,13.04,29850860
2016-05-27,13.03,13.30,12.96,13.17,18881860
2016-05-31,13.12,13.38,13.07,13.38,22009762
2016-06-01,13.32,13.49,13.21,13.44,15231960
2016-06-02,13.38,13.64,13.38,13.54,13659159
2016-06-03,13.47,13.53,13.32,13.44,10880030
2016-06-06,13.43,13.70,13.43,13.67,8695229
2016-06-07,13.70,13.80,13.61,13.69,9551171
2016-06-08,13.69,13.90,13.66,13.87,9281658
2016-06-09,13.78,13.88,13.62,13.84,9411979
2016-06-10,13.71,13.72,13.39,13.50,10147977
2016-06-13,13.27,13.29,13.02,13.03,13615981
2016-06-14,13.01,13.20,12.89,13.05,11584336
2016-06-15,13.10,13.20,12.96,13.00,9812950
2016-06-16,12.94,13.02,12.71,12.98,8609864
2016-06-17,12.98,13.18,12.96,13.12,14437878
2016-06-20,13.23,13.38,13.06,13.07,12433623
2016-06-21,13.13,13.36,13.06,13.33,13198707
2016-06-22,12.84,12.97,12.60,12.61,18255631
2016-06-23,12.80,12.97,12.79,12.95,13354672
2016-06-24,12.41,12.63,12.15,12.26,19843337
2016-06-27,12.11,12.12,11.48,11.55,15068527
2016-06-28,11.67,11.80,11.51,11.79,15336345
2016-06-29,11.97,12.23,11.84,12.18,14197812
2016-06-30,12.27,12.55,12.14,12.55,14464178
2016-07-01,12.55,12.76,12.51,12.73,10889168
2016-07-05,12.62,12.71,12.26,12.36,9277521
2016-07-06,12.26,12.62,12.04,12.60,12005924
2016-07-07,12.65,12.88,12.59,12.85,13625703
2016-07-08,13.05,13.15,12.95,13.08,8603605
2016-07-11,13.17,13.30,13.03,13.16,9730143
2016-07-12,13.47,13.83,13.42,13.72,17162892
2016-07-13,13.72,13.85,13.63,13.81,9809466
2016-07-14,13.89,13.94,13.75,13.80,9378251
2016-07-15,13.89,13.93,13.77,13.85,10008683
2016-07-18,13.85,14.00,13.85,13.94,6628739
2016-07-19,13.93,14.11,13.91,14.05,11298815
2016-07-20,14.15,14.25,14.04,14.16,17222703
2016-07-21,14.13,14.18,13.93,14.00,18661695
2016-07-22,14.01,14.14,13.90,14.11,10287343
2016-07-25,14.10,14.20,14.09,14.16,6971303
2016-07-26,14.16,14.27,14.12,14.18,9362861
2016-07-27,14.26,14.26,13.90,13.99,17620320
2016-07-28,13.95,13.97,13.82,13.94,16141287
2016-07-29,13.91,14.13,13.79,14.01,15786079
2016-08-01,14.07,14.24,14.02,14.18,13847556
2016-08-02,13.92,14.18,13.85,14.06,10680566
2016-08-03,14.05,14.35,14.04,14.31,10161013
2016-08-04,14.33,14.38,14.10,14.15,14859942
2016-08-05,14.24,14.36,14.19,14.28,10185869
2016-08-08,14.30,14.34,14.20,14.26,11586363
2016-08-09,14.29,14.34,14.24,14.25,12412423
2016-08-10,14.28,14.30,14.14,14.19,11868697
2016-08-11,14.20,14.33,14.15,14.30,8173799
2016-08-12,14.29,14.38,14.24,14.28,9991641
2016-08-15,14.31,14.59,14.31,14.52,12749131
2016-08-16,14.46,14.52,14.38,14.41,9366448
2016-08-17,14.40,14.51,14.33,14.50,10371432
2016-08-18,14.52,14.60,14.46,14.51,9054597
2016-08-19,14.46,14.51,14.39,14.42,9503651
2016-08-22,14.36,14.39,14.26,14.37,13103096
2016-08-23,14.43,14.65,14.43,14.57,14074917
2016-08-24,14.66,14.73,14.39,14.40,19862272
2016-08-25,13.64,14.48,13.55,14.37,36159867
2016-08-26,14.37,14.69,14.37,14.39,15567806
2016-08-29,14.42,14.58,14.39,14.43,8023567
2016-08-30,14.43,14.46,14.28,14.38,10545191
2016-08-31,14.34,14.42,14.21,14.37,11282674
2016-09-01,14.39,14.50,14.28,14.50,10854014
2016-09-02,14.58,14.70,14.45,14.49,8328702
2016-09-06,14.54,14.67,14.53,14.63,7582474
2016-09-07,14.63,14.75,14.51,14.69,6808979
2016-09-08,14.59,14.69,14.55,14.63,10291981
2016-09-09,14.51,14.53,14.07,14.07,16645911
2016-09-12,13.85,14.57,13.78,14.49,15824253
2016-09-13,14.35,14.44,14.06,14.18,15073305
2016-09-14,14.18,14.35,14.09,14.27,8594751
2016-09-15,14.19,14.60,14.14,14.50,11848829
2016-09-16,14.74,14.80,14.49,14.53,18459467
2016-09-19,14.58,14.74,14.54,14.56,7980905
2016-09-20,14.64,14.67,14.52,14.54,8222246
2016-09-21,14.64,15.00,14.62,14.99,13734624
2016-09-22,14.98,15.17,14.93,15.12,9938676
2016-09-23,15.10,15.19,15.03,15.09,8102240
2016-09-26,15.00,15.12,14.93,15.02,7484534
2016-09-27,15.00,15.37,14.95,15.34,9061256
2016-09-28,15.40,15.49,15.17,15.49,9743868
2016-09-29,15.46,15.60,15.33,15.39,9794740
2016-09-30,15.47,15.73,15.44,15.53,11575822
2016-10-03,15.46,15.69,15.46,15.65,7281640
2016-10-04,15.68,15.74,15.27,15.36,12313889
2016-10-05,15.43,15.68,15.43,15.63,9082103
2016-10-06,15.63,15.63,15.41,15.60,5285858
2016-10-07,15.62,15.68,15.48,15.58,5458221
2016-10-10,15.69,15.88,15.59,15.59,7726111
2016-10-11,15.60,15.60,15.32,15.44,10650007
2016-10-12,15.48,15.56,15.31,15.35,10064117
2016-10-13,15.20,15.25,14.94,15.15,14423625
2016-10-14,14.63,15.00,14.48,14.48,23691811
2016-10-17,14.50,14.56,14.01,14.03,22058010
2016-10-18,14.19,14.42,14.09,14.21,12762819
2016-10-19,14.18,14.27,14.04,14.12,10053238
2016-10-20,14.08,14.16,13.98,14.10,6824020
2016-10-21,14.01,14.04,13.77,13.80,14610055
2016-10-24,13.86,13.97,13.83,13.97,9762521
2016-10-25,13.97,13.99,13.86,13.90,11103933
2016-10-26,13.85,14.07,13.84,13.91,17328483
2016-10-27,13.96,14.10,13.87,13.99,14106587
2016-10-28,13.94,14.19,13.94,14.09,15247826
2016-10-31,14.13,14.49,14.03,14.49,16364161
2016-11-01,14.53,14.56,14.12,14.35,25361506
2016-11-02,14.29,14.83,14.28,14.65,22284959
2016-11-03,14.67,14.88,14.51,14.54,10558862
2016-11-04,14.50,14.93,14.43,14.71,11839238
2016-11-07,14.90,15.14,14.89,15.07,9859282
2016-11-08,15.03,15.32,14.87,15.29,11712259
2016-11-09,15.07,15.71,14.99,15.54,16987357
2016-11-10,15.62,15.90,15.44,15.49,16182124
2016-11-11,15.40,15.83,15.36,15.82,10306751
2016-11-14,15.85,16.19,15.80,16.10,14528223
2016-11-15,15.96,16.07,15.82,15.87,14279449
2016-11-16,15.86,15.90,15.72,15.80,10164148
2016-11-17,15.86,15.96,15.82,15.89,9623313
2016-11-18,15.89,15.96,15.80,15.87,10878170
2016-11-21,15.94,16.07,15.93,16.00,10618264
2016-11-22,16.06,16.19,15.90,15.95,19634533
2016-11-23,15.35,15.72,14.78,14.87,23740458
2016-11-25,14.85,15.23,14.83,15.18,8875184
2016-11-28,15.06,15.20,15.00,15.08,12791803
2016-11-29,15.06,15.32,15.03,15.15,9762866
2016-11-30,15.17,15.53,15.11,15.40,15933281
