date,open,high,low,close,volume
2015-12-01,35.00,35.20,34.71,35.09,23560239
2015-12-02,35.09,35.41,34.80,34.83,18688180
2015-12-03,34.97,34.99,34.00,34.04,30130722
2015-12-04,34.11,35.02,34.00,34.94,24900994
2015-12-07,34.79,35.17,34.75,34.98,17731885
2015-12-08,34.67,34.95,34.42,34.75,13380229
2015-12-09,34.88,35.22,34.51,34.81,22548299
2015-12-10,34.85,35.06,34.66,34.77,17141145
2015-12-11,34.31,34.65,34.20,34.27,21251423
2015-12-14,34.38,34.48,33.88,34.47,19528029
2015-12-15,34.65,35.35,34.63,35.18,24365862
2015-12-16,35.36,35.47,34.77,35.30,23257890
2015-12-17,35.32,35.37,34.76,34.91,24963557
2015-12-18,34.73,34.75,33.86,33.87,41336631
2015-12-21,34.11,34.30,33.81,34.24,18006803
2015-12-22,34.36,34.77,34.27,34.73,18421967
2015-12-23,34.94,35.05,34.78,35.00,12526217
2015-12-24,35.07,35.26,34.96,34.98,5893789
2015-12-28,34.95,35.00,34.57,34.93,9449390
2015-12-29,35.01,35.59,35.01,35.44,14188583
2015-12-30,35.38,35.45,34.95,34.99,11566786
2015-12-31,34.82,34.96,34.44,34.45,14736687
2016-01-04,33.88,34.01,33.46,33.99,27882190
2016-01-05,33.96,34.00,33.53,33.83,16709510
2016-01-06,33.25,33.52,32.80,33.08,25491255
2016-01-07,32.28,33.01,31.84,31.84,37680521
2016-01-08,32.09,32.22,31.43,31.51,29953840
2016-01-11,31.81,32.22,31.68,32.06,27732435
2016-01-12,32.76,32.89,32.27,32.68,28587697
2016-01-13,32.76,32.93,31.83,31.91,34445691
2016-01-14,31.97,32.87,31.80,32.74,48728154
2016-01-15,29.72,30.50,29.45,29.76,76373920
2016-01-19,29.98,30.06,29.48,29.80,28878108
2016-01-20,29.35,29.87,29.21,29.59,39598190
2016-01-21,29.65,30.03,29.24,29.66,30044763
2016-01-22,30.12,30.24,29.51,29.93,25326490
2016-01-25,29.99,30.21,29.57,29.60,26438771
2016-01-26,29.61,30.05,29.61,29.94,24754949
2016-01-27,29.88,30.22,29.64,29.81,26384138
2016-01-28,30.02,30.18,29.75,29.97,22028142
2016-01-29,30.21,31.03,30.10,31.02,38311356
2016-02-01,30.68,31.12,30.64,30.82,19015120
2016-02-02,30.45,30.49,29.63,29.80,24684894
2016-02-03,29.72,29.72,28.52,29.34,44660057
2016-02-04,29.14,29.88,29.11,29.77,29257839
2016-02-05,29.58,29.76,28.91,29.04,27957541
2016-02-08,28.74,28.98,28.30,28.82,28725928
2016-02-09,28.49,29.14,28.41,28.81,22902625
2016-02-10,28.88,29.00,28.19,28.23,27267783
2016-02-11,27.83,28.41,27.68,28.22,28450212
2016-02-12,28.57,28.70,28.14,28.64,19698998
2016-02-16,28.75,28.95,28.36,28.78,30705228
2016-02-17,28.86,29.62,28.73,29.47,27691728
2016-02-18,29.52,29.76,29.38,29.42,20623257
2016-02-19,29.20,29.33,28.71,28.71,42056701
2016-02-22,29.11,29.54,29.00,29.35,23893145
2016-02-23,29.30,29.34,28.60,28.80,26638208
2016-02-24,28.52,29.30,28.38,29.19,21593601
2016-02-25,29.32,29.62,28.95,29.62,17571439
2016-02-26,29.88,30.08,29.70,29.80,19902219
2016-02-29,29.72,30.14,29.58,29.59,22903077
2016-03-01,29.93,30.53,29.75,30.37,25502228
2016-03-02,30.30,30.87,30.12,30.54,23779774
2016-03-03,31.13,31.35,30.54,30.58,25625212
2016-03-04,30.50,30.86,30.05,30.63,20356845
2016-03-07,30.59,31.12,30.50,30.94,18879849
2016-03-08,30.83,30.88,30.38,30.56,19104733
2016-03-09,30.83,31.04,30.67,30.86,14707806
2016-03-10,31.14,31.40,30.38,31.25,29584840
2016-03-11,31.67,31.79,31.53,31.76,22811232
2016-03-14,31.66,31.69,31.30,31.43,17438583
2016-03-15,31.34,31.65,31.06,31.65,16927746
2016-03-16,31.49,31.80,31.17,31.69,26298416
2016-03-17,31.76,32.17,31.70,31.98,22865286
2016-03-18,32.16,32.69,32.06,32.68,49934246
2016-03-21,32.23,32.42,31.95,32.34,21760871
