date,open,high,low,close,volume
2017-02-01,20.15,20.42,19.80,20.00,30836493
2017-02-02,20.04,20.41,20.04,20.23,4901231
2017-02-03,20.35,20.80,20.30,20.63,2631545
2017-02-06,21.14,21.14,20.55,20.73,1836800
2017-02-07,20.75,20.86,20.62,20.80,3521670
2017-02-08,20.80,20.92,20.73,20.84,973618
2017-02-09,20.89,20.97,20.83,20.88,1798591
2017-02-10,20.92,21.87,20.78,21.02,1560824
2017-02-13,21.14,21.19,20.95,21.00,896041
2017-02-14,20.89,21.05,20.75,21.03,1153094
2017-02-15,21.16,21.16,20.86,20.91,1065698
2017-02-16,20.80,21.05,20.78,20.96,740470
2017-02-17,20.93,21.21,20.76,21.15,664029
2017-02-21,21.30,21.50,21.28,21.47,793309
2017-02-22,21.45,21.65,21.40,21.57,690062
2017-02-23,21.70,21.81,21.37,21.58,641434
2017-02-24,21.52,21.71,21.50,21.60,763716
2017-02-27,21.58,21.99,21.55,21.81,1159288
2017-02-28,21.91,22.15,21.77,21.79,1583632
2017-03-01,22.14,22.15,21.17,21.53,1415061
2017-03-02,21.60,21.78,21.33,21.72,1123486
2017-03-03,21.56,21.95,21.26,21.81,1077753
2017-03-06,21.78,22.00,21.62,21.92,1333155
2017-03-07,21.80,21.98,21.50,21.81,709011
2017-03-08,21.78,21.82,21.52,21.55,797640
2017-03-09,21.60,21.74,21.04,21.24,1303081
2017-03-10,21.28,21.54,21.28,21.40,1193724
2017-03-13,21.39,21.84,21.06,21.38,1841007
2017-03-14,21.38,21.45,21.05,21.25,778245
2017-03-15,21.39,21.60,21.25,21.52,1520784
2017-03-16,21.60,21.68,21.25,21.48,1181759
2017-03-17,21.55,21.79,21.47,21.60,8856000
2017-03-20,21.50,21.65,21.35,21.54,1357769
2017-03-21,21.58,21.58,21.32,21.39,1762859
2017-03-22,21.41,21.53,21.25,21.50,1419148
2017-03-23,21.35,21.55,21.27,21.49,1571324
2017-03-24,21.53,21.70,21.50,21.58,1069116
2017-03-27,21.46,21.60,21.40,21.53,894619
2017-03-28,21.45,21.68,21.45,21.64,988367
2017-03-29,21.71,21.79,21.62,21.69,878483
2017-03-30,21.78,21.86,21.59,21.75,551682
2017-03-31,21.78,21.98,21.52,21.83,5649698
2017-04-03,21.85,21.89,21.56,21.63,1013715
2017-04-04,21.46,21.86,21.45,21.54,1355775
2017-04-05,21.66,21.67,21.45,21.58,766778
2017-04-06,21.49,21.82,21.46,21.70,924919
2017-04-07,21.76,21.84,21.58,21.61,394134
2017-04-10,21.60,21.77,21.60,21.64,400707
2017-04-11,21.69,21.69,21.43,21.55,1138763
2017-04-12,21.48,21.66,21.42,21.55,652518
2017-04-13,21.62,21.67,21.19,21.29,962875
2017-04-17,21.26,21.91,21.18,21.67,931946
2017-04-18,21.62,21.81,21.62,21.77,812722
2017-04-19,21.77,21.85,21.67,21.75,1154764
2017-04-20,21.68,21.82,21.40,21.49,1312592
2017-04-21,21.43,21.76,21.17,21.66,1174101
2017-04-24,21.76,21.77,21.54,21.64,576937
2017-04-25,21.65,21.75,21.57,21.72,733861
2017-04-26,21.65,21.72,21.51,21.68,632046
2017-04-27,21.70,21.75,21.55,21.59,457186
2017-04-28,21.59,21.64,21.51,21.55,782233
2017-05-01,21.58,21.75,21.58,21.68,704630
2017-05-02,21.59,21.76,21.45,21.52,1224119
2017-05-03,21.38,21.53,21.12,21.48,1162872
2017-05-04,21.49,21.49,21.09,21.20,1759528
2017-05-05,21.25,21.49,21.18,21.27,974630
2017-05-08,21.35,21.47,21.14,21.28,816968
2017-05-09,21.25,21.56,21.18,21.45,1270806
2017-05-10,21.37,21.89,21.37,21.67,2430792
2017-05-11,21.68,22.02,21.39,21.90,1253891
2017-05-12,21.95,21.95,21.53,21.79,709920
2017-05-15,21.75,21.91,21.54,21.90,1227833
2017-05-16,21.91,21.91,21.25,21.37,1815054
2017-05-17,21.25,21.74,21.25,21.54,1234265
2017-05-18,21.49,21.79,21.30,21.65,1092140
2017-05-19,21.71,21.93,21.52,21.78,805731
2017-05-22,21.70,21.90,21.56,21.67,808554
2017-05-23,21.78,21.88,21.51,21.56,464864
2017-05-24,21.54,21.74,21.52,21.64,483041
2017-05-25,21.74,21.74,21.13,21.20,784919
2017-05-26,21.25,21.31,21.01,21.20,543801
2017-05-30,21.19,21.40,21.19,21.36,1473123
2017-05-31,21.52,21.62,21.33,21.52,619775
2017-06-01,21.54,21.70,21.44,21.68,404099
2017-06-02,21.67,21.97,21.65,21.93,490139
2017-06-05,22.03,22.29,21.57,21.58,1266841
2017-06-06,21.43,21.68,21.32,21.52,673705
2017-06-07,21.55,21.55,21.23,21.30,676785
2017-06-08,21.30,21.34,21.14,21.18,776817
2017-06-09,21.18,21.74,21.11,21.40,2112716
2017-06-12,22.43,22.43,21.39,21.45,1395164
2017-06-13,21.45,21.57,21.39,21.41,2058180
2017-06-14,21.45,21.76,21.32,21.50,1997047
2017-06-15,21.44,21.56,21.23,21.46,939715
2017-06-16,21.47,21.55,21.18,21.23,3989696
2017-06-19,21.29,21.64,21.19,21.61,633395
2017-06-20,21.50,21.56,21.33,21.37,377432
2017-06-21,21.42,21.46,21.10,21.29,958761
2017-06-22,21.25,21.59,21.25,21.44,874793
2017-06-23,21.46,21.98,21.38,21.72,1790202
2017-06-26,21.84,21.85,21.56,21.64,1237184
2017-06-27,21.61,21.70,21.54,21.57,1230194
2017-06-28,21.59,21.67,21.41,21.57,981730
2017-06-29,21.61,21.61,21.27,21.30,513146
2017-06-30,21.32,21.70,21.32,21.63,1071464
2017-07-03,21.75,21.75,21.42,21.68,307630
2017-07-05,21.69,21.76,21.53,21.69,1520156
2017-07-06,21.57,21.61,21.25,21.29,719081
2017-07-07,21.26,21.64,21.22,21.45,882891
2017-07-10,21.36,21.52,21.34,21.43,590865
2017-07-11,21.41,21.47,21.20,21.45,776106
2017-07-12,21.42,21.65,21.42,21.49,567780
2017-07-13,21.49,21.51,21.36,21.49,655044
2017-07-14,21.46,21.62,21.46,21.54,396349
2017-07-17,21.54,21.68,21.50,21.63,694577
2017-07-18,21.56,21.66,21.42,21.48,482348
