date,open,high,low,close,volume
2015-12-01,521.03,524.75,516.57,522.25,311419
2015-12-02,522.71,524.83,516.79,517.56,216281
2015-12-03,517.69,520.90,504.05,508.66,311453
2015-12-04,509.41,523.87,509.41,521.40,235680
2015-12-07,520.00,527.89,518.94,522.52,369866
2015-12-08,520.09,522.31,512.40,513.14,294401
2015-12-09,511.91,516.97,508.99,513.65,247020
2015-12-10,511.62,529.88,509.12,526.04,322285
2015-12-11,520.22,529.52,519.60,523.47,400723
2015-12-14,522.97,533.04,521.10,528.75,387946
2015-12-15,530.53,543.06,524.92,537.06,445905
2015-12-16,540.87,546.86,534.32,545.13,259973
2015-12-17,544.08,547.94,536.91,539.07,274987
2015-12-18,534.69,543.34,533.08,534.18,569768
2015-12-21,536.39,539.99,533.75,539.32,257698
2015-12-22,541.65,544.34,535.82,541.45,208346
2015-12-23,544.98,548.98,539.68,547.73,221200
2015-12-24,548.67,549.00,545.38,547.45,102124
2015-12-28,546.58,549.50,542.57,547.11,160092
2015-12-29,549.77,556.60,548.01,553.37,273132
2015-12-30,554.97,555.63,551.32,552.51,189540
2015-12-31,550.61,552.88,545.75,546.16,180555
2016-01-04,547.16,549.83,538.80,547.39,531311
2016-01-05,549.05,554.04,544.00,551.96,364065
2016-01-06,547.30,556.74,543.05,553.24,504030
2016-01-07,545.46,556.55,536.36,536.90,588952
2016-01-08,539.66,543.16,533.01,536.54,337476
2016-01-11,540.56,547.27,530.79,539.58,460293
2016-01-12,544.66,547.13,535.00,542.12,305429
2016-01-13,562.44,572.01,544.37,545.14,948155
2016-01-14,549.29,557.47,538.13,555.77,584056
2016-01-15,540.24,558.00,539.94,557.25,589790
2016-01-19,558.54,566.35,552.53,556.49,533202
2016-01-20,552.34,561.79,538.02,554.56,517510
2016-01-21,556.51,559.90,541.63,555.60,691668
2016-01-22,568.88,580.00,555.95,566.11,747760
2016-01-25,563.88,570.61,556.75,558.22,460572
2016-01-26,550.00,554.99,541.93,545.24,439447
2016-01-27,546.24,547.55,531.97,534.02,366859
2016-01-28,535.65,538.87,520.50,526.59,441655
2016-01-29,527.59,541.24,527.59,540.85,467966
2016-02-01,539.00,546.35,537.66,543.16,329255
2016-02-02,543.00,544.88,534.09,539.35,233930
2016-02-03,543.48,545.31,532.07,545.10,317291
2016-02-04,543.65,553.95,537.12,551.93,425403
2016-02-05,551.00,554.43,533.95,536.24,645943
2016-02-08,530.56,530.56,502.04,507.28,644464
2016-02-09,507.14,520.50,502.01,508.82,459235
2016-02-10,510.04,528.92,510.04,524.41,341772
2016-02-11,514.33,525.00,514.33,521.55,339653
2016-02-12,523.15,534.52,517.21,531.28,223159
2016-02-16,536.00,536.00,525.64,535.16,335459
2016-02-17,535.54,542.50,532.00,541.86,315578
2016-02-18,540.86,544.93,538.10,542.62,250559
2016-02-19,538.65,547.05,530.46,546.34,261350
2016-02-22,549.00,552.00,543.40,551.51,249435
2016-02-23,547.15,553.00,544.10,548.90,234380
2016-02-24,544.01,554.99,544.01,553.65,369888
2016-02-25,555.00,559.78,546.45,559.28,437004
2016-02-26,560.00,570.11,557.00,567.47,673745
2016-02-29,566.47,569.87,562.46,563.06,472020
2016-03-01,564.23,574.50,561.39,571.49,517964
2016-03-02,567.37,574.50,567.33,573.81,552279
2016-03-03,570.01,576.00,568.33,574.04,327534
2016-03-04,574.46,575.96,568.21,570.65,365238
2016-03-07,570.45,576.37,565.02,572.69,312920
2016-03-08,568.31,572.80,565.61,566.86,272396
2016-03-09,570.03,573.57,565.05,572.90,306834
2016-03-10,571.90,574.72,566.90,573.70,271854
2016-03-11,575.00,584.30,573.22,580.45,333363
2016-03-14,580.06,595.99,575.17,593.07,514792
2016-03-15,587.13,594.71,583.36,587.40,504970
2016-03-16,582.81,594.23,582.67,587.38,344787
2016-03-17,588.54,590.00,561.02,562.35,582733
2016-03-18,565.99,583.52,562.60,583.05,635810
2016-03-21,582.00,589.21,577.50,582.99,381213
2016-03-22,579.62,591.85,577.40,591.03,367220
2016-03-23,591.23,595.98,586.15,586.33,279292
2016-03-24,583.32,584.07,575.82,583.31,320356
2016-03-28,585.70,586.78,580.46,584.17,205359
2016-03-29,583.15,604.00,582.00,603.07,340356
2016-03-30,607.75,607.75,594.03,598.28,294082
2016-03-31,599.28,605.49,595.19,601.05,225360
2016-04-01,595.19,606.54,591.04,606.50,457331
2016-04-04,607.50,627.94,603.28,622.06,509060
2016-04-05,617.52,619.25,609.36,612.92,318500
2016-04-06,611.92,628.54,611.92,626.12,377638
2016-04-07,625.88,625.88,609.02,614.78,270630
2016-04-08,620.93,626.80,615.17,619.77,260198
2016-04-11,623.04,626.92,618.80,620.20,229889
2016-04-12,626.40,629.37,619.45,625.51,291435
2016-04-13,626.85,630.67,622.25,627.01,329520
2016-04-14,627.01,628.60,622.00,623.09,160942
2016-04-15,624.48,627.99,620.03,624.22,285436
2016-04-18,624.57,629.20,621.37,626.98,372461
2016-04-19,627.00,627.69,617.23,623.71,659968
2016-04-20,644.97,654.88,641.94,644.56,697495
2016-04-21,643.56,648.87,639.08,641.91,247115
2016-04-22,631.50,640.00,627.90,638.15,419602
2016-04-25,632.92,642.33,632.54,638.74,311145
2016-04-26,640.00,640.00,630.32,632.50,297338
2016-04-27,633.68,636.73,627.11,633.01,248667
2016-04-28,627.84,644.91,627.84,631.50,372060
2016-04-29,627.00,628.61,620.00,626.36,282129
2016-05-02,627.78,635.38,626.23,633.36,237204
2016-05-03,626.77,629.81,615.02,618.63,346365
2016-05-04,615.63,619.49,611.93,615.15,263752
2016-05-05,617.71,619.30,612.69,615.32,360476
2016-05-06,613.89,619.77,611.23,618.96,396647
2016-05-09,617.13,629.00,617.13,623.86,373874
2016-05-10,626.15,629.03,620.97,626.56,251682
2016-05-11,627.49,629.47,624.40,627.69,217900
2016-05-12,629.48,633.72,622.00,633.30,383052
2016-05-13,634.02,637.49,626.65,628.81,226588
2016-05-16,629.10,638.99,628.00,635.27,221029
2016-05-17,634.27,635.53,618.52,621.38,353229
2016-05-18,621.82,630.54,613.08,625.21,412620
2016-05-19,621.38,625.65,618.28,623.79,258060
2016-05-20,624.88,635.29,621.70,632.58,390651
2016-05-23,631.59,632.12,624.45,628.65,220670
2016-05-24,633.12,639.87,628.93,638.67,326005
2016-05-25,638.53,644.81,638.08,643.04,237394
2016-05-26,640.37,644.17,636.00,637.20,324948
2016-05-27,639.99,643.43,634.29,636.65,241548
2016-05-31,639.13,639.90,631.86,634.71,620153
2016-06-01,632.25,639.02,627.49,637.69,290005
2016-06-02,630.96,640.00,630.01,639.44,278354
2016-06-03,639.41,639.54,632.57,636.84,246909
2016-06-06,636.53,638.73,631.37,635.62,157198
2016-06-07,635.01,637.04,631.67,635.89,162412
2016-06-08,637.21,646.00,636.08,642.88,326502
2016-06-09,639.23,651.58,637.15,648.20,301073
2016-06-10,641.72,645.45,636.75,641.59,196651
2016-06-13,637.24,648.50,637.24,644.10,280508
2016-06-14,641.49,646.60,640.67,644.99,207629
2016-06-15,646.60,648.77,641.75,645.11,321259
2016-06-16,646.10,646.10,635.38,643.53,244265
2016-06-17,644.46,646.98,638.40,641.74,409044
2016-06-20,648.42,651.42,645.91,648.08,198123
2016-06-21,648.24,651.00,643.10,645.17,220519
2016-06-22,645.80,652.00,645.22,651.45,251269
2016-06-23,654.15,661.94,651.97,661.32,292638
2016-06-24,643.05,652.43,642.28,644.82,593229
2016-06-27,642.04,642.52,625.42,629.90,406875
2016-06-28,632.99,640.00,630.47,638.61,275079
2016-06-29,641.30,659.37,640.01,657.72,367848
2016-06-30,657.72,663.50,655.03,661.41,330632
2016-07-01,661.57,667.49,659.03,666.31,246008
2016-07-05,664.87,668.33,661.67,664.67,229274
2016-07-06,665.01,673.74,663.01,670.44,292740
2016-07-07,668.99,676.08,668.18,675.30,191102
2016-07-08,678.53,680.50,673.87,678.84,213819
2016-07-11,681.26,681.59,673.03,673.70,276975
2016-07-12,678.11,678.78,673.51,675.31,281644
2016-07-13,678.65,678.65,672.51,672.84,206902
2016-07-14,678.48,680.91,672.95,675.60,214123
2016-07-15,678.38,678.77,668.16,670.38,338191
2016-07-18,672.91,673.89,670.09,670.54,261749
2016-07-19,667.79,675.81,665.12,671.90,456418
2016-07-20,712.08,720.00,700.22,703.05,1160040
2016-07-21,696.00,700.81,688.78,690.95,450174
2016-07-22,688.43,689.82,680.65,689.37,463112
2016-07-25,686.45,691.10,684.61,686.37,284515
2016-07-26,688.96,691.21,685.24,686.62,218865
2016-07-27,686.30,691.60,681.09,683.08,286154
2016-07-28,683.80,691.22,683.78,690.09,257066
2016-07-29,690.00,697.14,689.05,695.76,274901
2016-08-01,693.97,700.00,692.32,693.87,287633
2016-08-02,694.87,694.87,685.31,690.49,173106
2016-08-03,692.15,693.91,686.04,687.73,192007
2016-08-04,688.39,696.88,684.00,693.59,225727
2016-08-05,694.54,695.97,690.67,693.33,163685
2016-08-08,692.33,694.01,689.80,692.84,131696
2016-08-09,694.82,700.65,694.61,696.68,189930
2016-08-10,696.70,697.46,690.94,693.24,136665
2016-08-11,694.21,697.99,691.82,695.54,173589
2016-08-12,693.05,693.05,688.50,690.92,182410
2016-08-15,692.64,697.21,691.00,692.99,130395
2016-08-16,691.01,691.01,685.41,686.04,139259
2016-08-17,687.64,687.64,679.10,682.90,175800
2016-08-18,680.39,687.40,680.39,685.62,137084
2016-08-19,685.69,689.21,682.46,687.67,144142
2016-08-22,688.01,692.87,686.95,692.25,154617
2016-08-23,695.00,698.99,693.01,695.96,206778
2016-08-24,694.86,697.46,683.99,685.59,154701
2016-08-25,685.00,689.69,682.62,686.45,121755
2016-08-26,688.43,691.64,682.63,685.29,233157
2016-08-29,685.48,690.37,683.30,687.55,357653
2016-08-30,687.89,689.21,681.39,687.53,145266
2016-08-31,689.45,689.53,683.16,686.42,149342
2016-09-01,686.86,691.25,683.35,689.69,208463
2016-09-02,693.44,693.45,687.83,688.37,142856
2016-09-06,689.99,693.24,681.54,693.12,172331
2016-09-07,690.01,694.90,689.06,690.07,166950
2016-09-08,687.80,692.63,686.14,691.15,172722
2016-09-09,685.12,686.04,676.03,676.22,214674
2016-09-12,675.35,684.18,673.77,683.39,215262
2016-09-13,677.71,681.84,670.77,672.23,298992
2016-09-14,672.76,677.50,670.96,673.12,219258
2016-09-15,670.85,687.97,670.50,684.19,304832
2016-09-16,687.07,687.82,682.16,686.37,382026
2016-09-19,691.74,695.50,690.61,693.55,203874
2016-09-20,696.18,700.94,694.71,698.87,281016
2016-09-21,698.24,704.00,694.11,703.06,320344
2016-09-22,708.21,719.06,705.85,718.20,339397
2016-09-23,718.00,718.00,709.10,710.22,247745
2016-09-26,708.19,710.00,704.05,707.24,276243
2016-09-27,709.00,720.94,707.01,720.19,284697
2016-09-28,719.82,723.34,714.43,717.77,223374
2016-09-29,724.00,724.00,712.47,719.99,274443
2016-09-30,717.97,727.13,717.35,724.83,325662
2016-10-03,721.56,723.84,714.85,717.94,175677
2016-10-04,717.98,721.15,712.98,716.62,186915
2016-10-05,716.75,720.73,714.68,718.10,149382
2016-10-06,716.63,719.01,714.15,716.19,194040
2016-10-07,719.99,719.99,713.23,718.04,133880
2016-10-10,718.76,727.25,718.76,724.61,138846
2016-10-11,724.13,724.13,706.38,710.30,236113
2016-10-12,712.00,713.23,708.72,710.93,171516
2016-10-13,708.95,715.80,707.14,713.44,260931
2016-10-14,718.58,718.58,710.70,714.91,211909
2016-10-17,715.28,718.88,708.12,709.44,263361
2016-10-18,716.94,723.31,710.01,721.73,518327
2016-10-19,705.65,705.87,680.50,681.58,1228185
2016-10-20,681.99,689.46,678.02,681.82,560180
2016-10-21,680.45,682.43,675.92,678.02,408523
2016-10-24,685.06,687.48,681.79,685.00,304162
2016-10-25,685.00,685.99,676.59,679.50,252960
2016-10-26,676.68,676.68,665.07,665.72,293810
2016-10-27,667.49,669.56,657.72,663.23,328602
2016-10-28,662.43,675.55,661.77,666.55,345624
2016-10-31,665.79,673.44,658.37,672.08,292779
2016-11-01,673.44,673.94,665.25,669.72,257628
2016-11-02,670.38,674.33,666.02,666.57,265563
2016-11-03,670.01,674.19,667.75,673.30,291914
2016-11-04,671.87,678.78,670.58,671.42,362505
2016-11-07,678.03,682.78,676.84,678.43,236317
2016-11-08,678.87,688.17,677.07,685.13,217437
2016-11-09,663.71,667.85,650.74,651.46,875041
2016-11-10,652.12,654.42,630.64,635.52,789273
2016-11-11,634.47,642.28,616.80,621.76,706391
2016-11-14,621.00,632.00,618.68,624.60,598341
2016-11-15,627.21,642.05,627.21,640.55,332416
2016-11-16,641.58,645.50,637.00,643.36,293520
2016-11-17,643.31,656.01,643.31,654.60,279078
2016-11-18,654.14,658.00,652.70,654.89,263369
2016-11-21,658.22,663.64,654.98,662.09,426259
2016-11-22,658.00,658.69,637.58,640.21,667426
2016-11-23,641.12,646.40,637.49,645.28,368882
2016-11-25,648.43,661.30,645.75,656.51,245395
2016-11-28,656.94,658.63,646.77,647.69,385862
2016-11-29,648.98,654.77,648.00,650.31,313401
2016-11-30,650.28,653.22,636.76,643.74,888418
2016-12-01,642.46,644.00,628.11,632.33,447606
2016-12-02,634.99,643.85,631.12,636.64,422719
2016-12-05,637.30,638.52,634.29,636.95,293792
2016-12-06,636.01,636.91,618.89,621.59,440508
2016-12-07,620.52,622.17,610.71,619.01,621275
2016-12-08,617.97,623.00,614.38,619.46,300942
2016-12-09,619.84,627.88,618.80,625.21,289802
