date,open,high,low,close,volume
2015-12-01,33.86,34.22,33.56,33.90,3002901
2015-12-02,33.97,34.10,33.47,33.61,2584833
2015-12-03,33.78,35.00,33.02,33.17,2932693
2015-12-04,33.31,34.02,33.07,33.83,2832111
2015-12-07,33.75,33.77,33.33,33.56,2278744
2015-12-08,33.08,33.16,32.70,32.85,3409914
2015-12-09,32.68,33.28,32.26,32.37,3779721
2015-12-10,32.51,33.19,32.26,32.79,3819052
2015-12-11,32.24,32.50,31.39,31.42,8226275
2015-12-14,31.45,31.67,30.12,30.39,6085734
2015-12-15,30.77,31.44,30.50,31.34,5530208
2015-12-16,31.68,31.95,31.05,31.90,4141565
2015-12-17,32.09,32.12,31.16,31.19,3060987
2015-12-18,31.00,31.05,30.68,30.74,6382760
2015-12-21,31.05,31.66,30.94,31.65,3504237
2015-12-22,31.78,31.99,31.31,31.73,2925697
2015-12-23,32.01,33.22,31.94,33.12,4146272
2015-12-24,33.07,33.19,32.73,32.92,1728108
2015-12-28,32.75,33.00,32.58,32.96,2162476
2015-12-29,33.21,33.61,33.17,33.57,3070847
2015-12-30,33.36,33.78,33.27,33.38,2735074
2015-12-31,33.11,33.69,33.05,33.48,3688748
2016-01-04,32.59,33.21,32.37,33.19,7028560
2016-01-05,33.34,33.54,32.68,33.10,4698785
2016-01-06,32.28,32.78,32.18,32.53,5229581
2016-01-07,31.51,31.89,31.32,31.51,6252232
2016-01-08,31.78,31.83,30.05,30.13,5357376
2016-01-11,30.23,30.31,29.27,29.93,5870140
2016-01-12,30.25,30.38,29.20,29.80,4515214
2016-01-13,30.01,30.12,28.88,29.09,6488579
2016-01-14,29.16,29.96,28.38,29.63,3891915
2016-01-15,28.57,29.25,28.34,28.76,4479589
2016-01-19,29.13,29.30,28.53,28.82,3336296
2016-01-20,28.20,28.54,27.36,28.21,5576038
2016-01-21,28.48,29.00,28.10,28.43,3936472
2016-01-22,28.96,29.54,28.89,29.48,4156124
2016-01-25,29.27,29.35,28.53,28.65,5248852
2016-01-26,28.77,29.28,28.76,29.18,3815229
2016-01-27,29.13,29.88,28.76,28.98,5149282
2016-01-28,29.27,29.85,28.28,28.55,6279958
2016-01-29,28.87,30.02,28.75,29.93,7523783
2016-02-01,29.68,29.69,28.81,29.12,5195493
2016-02-02,28.40,28.40,27.63,27.79,5282216
2016-02-03,28.03,28.11,26.75,27.57,8697551
2016-02-04,27.57,28.50,27.49,27.96,5245789
2016-02-05,27.97,28.27,26.93,27.08,6482796
2016-02-08,26.42,26.42,25.43,25.78,5946370
2016-02-09,25.03,25.94,24.92,25.65,5585885
2016-02-10,25.89,26.73,25.76,26.31,6798415
2016-02-11,25.40,25.60,24.90,25.38,6561183
2016-02-12,26.47,26.83,25.45,26.50,4910128
2016-02-16,26.80,27.00,26.41,26.70,4540828
2016-02-17,27.20,27.72,27.03,27.45,3539809
2016-02-18,27.44,27.49,26.79,27.04,4279222
2016-02-19,26.75,26.89,26.10,26.30,5985298
2016-02-22,26.79,27.29,26.67,27.18,3987620
2016-02-23,27.10,27.16,26.20,26.34,3847330
2016-02-24,25.95,26.22,25.31,26.17,3047640
2016-02-25,26.23,26.91,26.04,26.88,4099042
2016-02-26,27.17,27.46,26.95,27.10,3337240
2016-02-29,26.96,27.21,26.70,26.74,3377778
2016-03-01,27.07,27.88,26.99,27.88,5321346
2016-03-02,27.95,28.23,27.73,28.22,4556226
2016-03-03,28.20,28.65,28.10,28.60,3506936
2016-03-04,28.75,29.39,28.46,29.09,4655904
2016-03-07,28.75,29.21,28.60,29.01,2982221
2016-03-08,28.66,28.82,28.09,28.20,3104788
2016-03-09,28.48,28.50,27.67,28.19,3549625
2016-03-10,28.49,28.61,27.68,28.33,4979455
2016-03-11,29.12,30.07,28.86,30.00,4970197
2016-03-14,29.74,30.09,29.54,29.96,4225762
2016-03-15,29.62,29.71,29.15,29.60,3047593
2016-03-16,29.41,30.25,29.27,30.13,3594121
2016-03-17,30.12,31.17,30.11,30.92,3758035
2016-03-18,31.12,31.46,30.62,31.01,8770948
2016-03-21,31.07,31.14,30.68,30.97,2673059
