date,open,high,low,close,volume
2015-12-01,78.34,79.33,77.70,79.23,660791
2015-12-02,78.82,79.73,77.44,78.01,1240276
2015-12-03,77.99,78.03,76.42,77.01,1469165
2015-12-04,76.84,78.51,76.16,77.63,1247671
2015-12-07,77.66,77.88,75.34,75.70,688918
2015-12-08,74.91,75.12,73.52,73.70,673075
2015-12-09,72.94,74.69,72.89,74.21,1105274
2015-12-10,73.98,74.81,73.53,73.79,869230
2015-12-11,73.03,73.64,72.70,73.17,722992
2015-12-14,73.47,73.62,72.26,73.56,650551
2015-12-15,74.05,74.74,72.80,72.96,1037007
2015-12-16,73.38,74.06,72.28,73.99,889067
2015-12-17,74.21,74.97,72.42,72.58,868495
2015-12-18,71.65,72.24,69.69,70.62,2639157
2015-12-21,70.74,71.73,70.62,71.07,725621
2015-12-22,71.48,72.26,70.91,72.17,421614
2015-12-23,72.70,73.25,71.82,72.67,439538
2015-12-24,72.49,73.49,72.18,72.97,269911
2015-12-28,72.60,73.28,71.83,72.88,375257
2015-12-29,73.28,73.58,72.68,73.51,406737
2015-12-30,73.40,73.40,72.74,73.03,357146
2015-12-31,72.83,74.20,72.59,73.36,585400
2016-01-04,71.85,72.28,70.58,71.32,827389
2016-01-05,71.35,72.15,71.08,72.06,999279
2016-01-06,70.99,71.73,70.48,70.92,596111
2016-01-07,69.87,69.93,68.42,68.92,843256
2016-01-08,68.98,69.51,68.05,68.19,810752
2016-01-11,68.87,69.42,66.97,67.35,1358236
2016-01-12,69.09,70.41,67.36,67.71,1896273
2016-01-13,67.90,70.49,65.41,65.73,1430587
2016-01-14,66.25,66.75,64.60,65.56,2219983
2016-01-15,64.02,65.52,63.58,65.19,2041895
2016-01-19,66.03,66.25,64.54,65.27,1224547
2016-01-20,64.37,66.22,63.98,65.72,2022235
2016-01-21,67.99,68.63,66.01,66.99,2649286
2016-01-22,67.68,68.96,67.47,68.22,1689070
2016-01-25,68.69,69.87,68.02,68.83,1778609
2016-01-26,68.90,71.85,68.90,71.39,1656014
2016-01-27,71.48,72.29,69.58,69.97,1288209
2016-01-28,70.39,70.94,69.19,70.25,934613
2016-01-29,70.25,72.73,70.25,72.70,1539323
2016-02-01,72.05,73.44,71.98,73.30,1037435
2016-02-02,73.16,73.75,71.39,71.66,1087083
2016-02-03,72.03,72.62,71.07,72.30,844503
2016-02-04,72.27,75.18,72.27,75.02,1413539
2016-02-05,74.64,75.08,74.01,74.76,983009
2016-02-08,74.37,75.34,73.05,75.20,1149553
2016-02-09,74.53,76.07,74.50,75.12,1015575
2016-02-10,75.39,76.41,73.13,73.29,1215734
2016-02-11,72.67,73.46,71.54,72.97,1050975
2016-02-12,73.84,74.68,73.77,74.43,1047593
