date,open,high,low,close,volume
2015-12-01,30.70,30.79,29.91,29.99,702001
2015-12-02,29.81,30.02,29.72,29.80,805744
2015-12-03,29.96,29.99,28.84,29.05,857269
2015-12-04,28.98,29.61,28.96,29.58,817579
2015-12-07,29.41,29.63,29.03,29.18,674829
2015-12-08,28.93,29.22,28.79,29.21,887912
2015-12-09,29.18,29.32,28.81,28.94,692977
2015-12-10,28.91,29.17,28.87,29.00,655002
2015-12-11,28.68,29.16,28.53,28.64,828338
2015-12-14,28.60,28.70,27.75,27.86,782830
2015-12-15,28.08,28.38,28.00,28.36,854823
2015-12-16,28.47,28.64,28.03,28.37,572887
2015-12-17,28.38,28.62,28.30,28.46,731767
2015-12-18,28.44,28.52,28.01,28.01,2692965
2015-12-21,28.25,28.42,27.98,28.11,595271
2015-12-22,28.19,28.57,28.01,28.56,723408
2015-12-23,28.67,29.05,28.56,29.00,634116
2015-12-24,28.92,29.15,28.80,28.95,456713
2015-12-28,28.83,28.99,28.36,28.78,388191
2015-12-29,28.73,28.98,28.36,28.62,458750
2015-12-30,28.51,28.75,28.48,28.58,434457
2015-12-31,28.48,28.70,28.30,28.33,588215
2016-01-04,27.93,28.15,27.75,27.81,951913
2016-01-05,27.91,28.35,27.61,27.75,796420
2016-01-06,27.37,27.66,27.21,27.30,756742
2016-01-07,26.79,26.92,26.20,26.22,872455
2016-01-08,25.84,26.08,25.32,25.45,1485017
2016-01-11,25.45,25.58,24.80,24.93,930330
2016-01-12,25.15,25.41,24.65,25.25,1124755
2016-01-13,25.31,25.54,24.40,24.43,1365567
2016-01-14,24.48,24.88,24.09,24.65,900001
2016-01-15,24.04,24.29,23.31,23.53,858847
2016-01-19,23.73,23.93,23.08,23.21,708274
2016-01-20,22.92,23.02,22.15,22.91,1626557
2016-01-21,23.02,23.80,22.80,23.33,924641
2016-01-22,23.73,24.04,23.66,24.00,1013208
2016-01-25,23.90,24.07,23.84,23.96,922636
2016-01-26,24.13,24.37,23.82,23.99,696973
2016-01-27,23.83,23.96,23.38,23.47,457309
2016-01-28,23.70,23.70,23.08,23.14,420507
2016-01-29,23.24,23.67,23.20,23.40,1916026
2016-02-01,23.14,23.22,22.88,23.00,1368715
2016-02-02,22.82,22.98,22.31,22.44,1077319
2016-02-03,22.48,22.49,21.98,22.39,655587
2016-02-04,22.40,22.99,22.40,22.94,833437
2016-02-05,22.85,22.94,22.17,22.24,550408
2016-02-08,22.00,22.07,21.20,21.38,889020
2016-02-09,21.18,21.70,21.17,21.18,871128
2016-02-10,21.40,21.97,21.36,21.76,724951
2016-02-11,21.38,21.81,21.07,21.55,822869
2016-02-12,21.74,22.24,21.55,22.21,553669
2016-02-16,22.46,22.76,22.21,22.60,623270
2016-02-17,22.72,23.13,22.66,23.05,745871
2016-02-18,23.15,23.29,22.95,23.22,663992
2016-02-19,22.20,24.07,22.16,23.90,1656800
2016-02-22,24.06,24.73,23.98,24.67,1112154
2016-02-23,24.50,25.23,24.45,25.18,1201551
2016-02-24,25.00,25.78,24.72,25.73,1180139
2016-02-25,25.74,25.86,25.20,25.74,964040
2016-02-26,25.90,25.98,25.52,25.94,897891
2016-02-29,25.93,26.19,25.77,26.09,846190
2016-03-01,26.27,26.76,26.17,26.34,982837
2016-03-02,26.28,26.89,26.21,26.88,588700
2016-03-03,26.82,27.12,26.75,27.09,555651
2016-03-04,27.13,27.33,26.80,27.22,811786
2016-03-07,27.07,27.39,26.94,27.15,669376
2016-03-08,27.01,27.07,26.68,26.74,708612
2016-03-09,25.65,25.98,25.29,25.80,818569
2016-03-10,25.96,26.14,25.74,26.05,578394
2016-03-11,26.25,26.91,26.25,26.56,521991
2016-03-14,26.56,26.86,26.44,26.57,433662
2016-03-15,26.40,26.70,26.07,26.21,443716
2016-03-16,26.06,26.59,26.06,26.52,370785
2016-03-17,26.52,27.34,26.52,27.25,339047
2016-03-18,27.22,27.76,27.19,27.74,1616717
2016-03-21,27.69,28.10,27.62,27.94,510456
2016-03-22,27.94,28.39,27.80,28.22,581779
