date,open,high,low,close,volume
2015-12-01,120.00,121.94,119.32,121.13,1835888
2015-12-02,120.26,121.22,119.56,119.77,1327417
2015-12-03,120.28,120.56,117.52,118.25,2191341
2015-12-04,119.16,121.37,118.76,121.30,2473126
2015-12-07,121.15,122.15,120.80,122.11,1987607
2015-12-08,121.08,121.97,120.10,121.56,1452520
2015-12-09,120.48,122.77,119.84,120.28,1301793
2015-12-10,120.39,121.45,119.77,120.33,1592839
2015-12-11,119.18,119.68,118.57,119.20,1224363
2015-12-14,120.58,122.84,120.58,122.65,2286523
2015-12-15,123.19,125.08,122.82,124.44,2148641
2015-12-16,124.75,126.11,123.81,125.92,1671820
2015-12-17,125.80,126.23,125.15,125.84,2017035
2015-12-18,125.27,125.46,123.52,123.54,2676646
2015-12-21,124.31,125.00,123.93,124.92,1758696
2015-12-22,125.51,126.59,124.27,126.37,1873811
2015-12-23,126.49,128.13,126.37,127.06,1353486
2015-12-24,127.06,127.38,126.64,126.88,689708
2015-12-28,126.70,128.50,126.23,128.23,1863662
2015-12-29,128.72,129.76,128.44,129.54,1565062
2015-12-30,129.51,129.89,129.07,129.43,1585439
2015-12-31,128.50,129.28,127.29,127.30,1438197
2016-01-04,125.91,126.57,124.56,126.48,2743267
2016-01-05,127.00,130.05,126.64,129.08,3237271
2016-01-06,127.84,129.73,127.60,129.02,3930164
2016-01-07,126.92,128.93,126.60,126.86,3168834
2016-01-08,127.20,127.50,124.95,125.23,2660640
2016-01-11,125.52,126.44,124.28,125.71,1929083
2016-01-12,126.32,127.17,125.25,126.13,1586209
2016-01-13,126.62,127.53,125.38,125.46,1925452
2016-01-14,125.93,127.83,125.55,127.21,2384749
2016-01-15,125.41,126.29,124.30,125.36,3039475
2016-01-19,126.15,127.37,125.05,125.88,2618037
2016-01-20,124.37,124.89,121.71,123.69,2929596
2016-01-21,123.99,125.34,123.01,124.95,2244659
2016-01-22,125.79,127.28,124.59,126.72,2373055
2016-01-25,123.22,125.54,121.50,122.69,5126258
2016-01-26,122.77,126.50,122.56,124.89,2219953
2016-01-27,124.83,126.25,123.80,124.20,2468273
2016-01-28,124.64,126.79,123.70,126.27,1506130
2016-01-29,126.97,129.33,125.85,128.42,3453542
2016-02-01,127.38,129.55,127.38,129.01,2001786
2016-02-02,128.45,129.24,127.28,128.01,2029183
2016-02-03,129.17,130.88,127.85,130.37,2470375
2016-02-04,129.58,130.25,128.07,128.75,2591388
2016-02-05,128.75,129.60,128.19,129.15,1833438
2016-02-08,127.86,129.83,126.72,129.43,2007843
2016-02-09,128.33,131.59,127.64,130.79,2391385
2016-02-10,131.11,132.43,129.63,129.96,1508431
2016-02-11,127.95,128.28,124.65,126.42,2486646
2016-02-12,127.15,129.41,126.33,128.63,2123894
2016-02-16,129.92,129.94,127.40,128.71,1715809
2016-02-17,128.84,131.27,128.76,130.50,1756028
2016-02-18,130.36,130.99,129.40,129.75,1505716
2016-02-19,129.69,130.64,128.56,130.43,1208880
2016-02-22,131.80,132.66,130.74,131.37,1615719
2016-02-23,131.29,131.91,130.91,131.53,999504
2016-02-24,130.53,132.60,129.72,132.35,1431899
2016-02-25,132.50,133.53,131.88,133.50,1279833
2016-02-26,133.31,133.73,130.71,131.30,1584252
2016-02-29,131.20,132.12,130.24,130.30,2242658
2016-03-01,130.99,131.94,130.35,131.64,1697731
2016-03-02,130.03,131.60,128.77,131.57,1661066
2016-03-03,131.11,131.71,130.17,131.63,1526417
2016-03-04,131.63,132.89,130.88,132.54,1810336
2016-03-07,131.65,132.57,130.80,131.59,1800328
2016-03-08,131.13,133.97,130.81,132.35,2913973
2016-03-09,132.50,133.50,131.52,131.97,1942363
2016-03-10,132.69,133.07,130.46,131.88,1840518
2016-03-11,132.25,133.27,131.70,133.15,1707743
2016-03-14,133.22,134.78,132.84,134.72,1883813
2016-03-15,134.24,135.05,133.51,134.63,1456164
2016-03-16,134.29,135.70,133.39,135.23,1448085
