date,open,high,low,close,volume
2015-12-01,23.60,23.62,22.36,22.42,29355702
2015-12-02,22.19,22.19,20.39,20.66,67594132
2015-12-03,20.61,20.66,19.14,19.26,73718468
2015-12-04,18.91,19.00,16.56,16.82,153850635
2015-12-07,15.66,16.59,15.13,16.42,137239292
2015-12-08,15.29,16.16,15.06,15.72,159915652
2015-12-09,16.03,17.35,15.90,16.81,196610990
2015-12-10,16.55,17.45,16.50,17.01,77771590
2015-12-11,16.48,17.08,16.03,16.66,85629528
2015-12-14,16.31,16.48,15.50,16.00,70695021
2015-12-15,16.10,16.47,15.81,15.84,46970698
2015-12-16,15.73,16.22,15.64,15.94,41548707
2015-12-17,15.86,15.94,15.11,15.37,42613814
2015-12-18,15.37,15.60,15.01,15.14,59706908
2015-12-21,15.07,15.18,14.22,15.14,42261482
2015-12-22,15.03,15.92,15.03,15.32,34631228
2015-12-23,15.57,16.59,15.52,16.41,49504621
2015-12-24,16.36,16.66,15.92,16.08,16650569
2015-12-28,15.79,15.83,15.16,15.26,28999201
2015-12-29,15.47,15.75,14.91,15.10,31518383
2015-12-30,14.60,15.15,14.47,14.54,35201582
2015-12-31,14.40,15.04,14.39,14.92,30263286
2016-01-04,14.89,15.50,14.83,15.27,33649911
2016-01-05,15.35,15.65,14.99,15.58,29114131
2016-01-06,15.16,15.28,14.62,14.77,28462612
2016-01-07,14.46,14.86,14.13,14.25,27846822
2016-01-08,14.52,15.05,14.16,14.77,29610992
2016-01-11,14.87,14.92,13.90,14.16,31359656
2016-01-12,14.31,14.61,12.93,13.60,46923648
2016-01-13,13.81,14.09,12.75,12.95,41766479
2016-01-14,13.06,14.05,12.95,13.98,37319054
2016-01-15,13.06,13.55,12.78,13.00,41974699
2016-01-19,13.19,13.41,12.21,12.55,34748929
2016-01-20,12.05,12.26,11.20,12.01,49811188
2016-01-21,12.83,14.62,12.47,13.88,69781795
2016-01-22,14.92,15.82,14.65,15.34,62579287
2016-01-25,15.14,15.73,14.18,14.19,36454748
2016-01-26,14.40,15.16,14.10,14.97,31245206
2016-01-27,14.69,15.30,14.07,14.22,39059218
2016-01-28,15.17,15.70,14.89,15.29,44750744
2016-01-29,15.57,16.47,15.48,16.45,44148968
2016-02-01,15.97,16.05,14.91,15.19,40319353
2016-02-02,14.76,14.87,14.40,14.65,29192733
2016-02-03,14.87,15.65,14.31,15.61,30033525
2016-02-04,15.70,16.20,15.32,15.66,31668703
2016-02-05,15.43,15.71,15.04,15.66,22066491
2016-02-08,14.94,15.12,13.99,14.92,39388656
2016-02-09,14.60,15.40,14.19,14.61,26664177
2016-02-10,14.56,15.09,14.03,14.60,22848652
2016-02-11,14.09,14.55,13.26,13.96,34935590
2016-02-12,14.25,14.97,14.23,14.96,21848911
