date,open,high,low,close,volume
2015-12-01,51.42,52.48,51.23,52.31,1774264
2015-12-02,52.36,52.44,50.77,51.30,2159507
2015-12-03,51.38,51.53,49.72,50.09,1883783
2015-12-04,50.25,51.47,49.90,51.39,1541924
2015-12-07,51.19,51.58,50.99,51.47,1513499
2015-12-08,50.83,51.20,49.69,50.10,2336708
2015-12-09,49.89,50.36,48.83,49.28,2074384
2015-12-10,49.38,50.24,49.22,49.78,1607364
2015-12-11,49.20,49.31,48.62,48.91,1928821
2015-12-14,48.84,49.03,48.05,48.61,4137119
2015-12-15,48.95,49.65,48.76,49.22,2648383
2015-12-16,49.87,50.67,49.51,50.49,3543176
2015-12-17,50.64,50.79,48.66,48.68,4858373
2015-12-18,49.18,49.40,46.70,47.49,8532249
2015-12-21,47.97,49.00,47.49,48.05,3778842
2015-12-22,48.20,49.23,47.64,49.00,3531816
2015-12-23,49.04,49.85,48.06,48.82,6702258
2015-12-24,48.76,49.35,48.66,48.88,2916404
2015-12-28,48.67,49.24,48.30,49.17,2692855
2015-12-29,49.54,49.98,49.22,49.60,2291157
2015-12-30,49.73,50.11,49.26,49.36,1515713
2015-12-31,49.22,49.63,48.89,48.91,1589089
2016-01-04,48.15,48.29,45.89,46.71,5952077
2016-01-05,47.03,47.15,46.10,46.79,3301020
2016-01-06,46.12,46.70,44.99,45.40,3436584
2016-01-07,44.48,44.80,43.25,43.43,5040832
2016-01-08,43.90,43.93,41.91,42.11,5311992
2016-01-11,42.54,42.79,41.80,42.40,3057307
2016-01-12,42.78,43.36,41.77,43.08,4124535
2016-01-13,43.41,43.84,41.30,41.50,3646841
2016-01-14,41.54,41.72,40.46,41.05,5219906
2016-01-15,39.99,41.51,39.52,40.91,5770689
2016-01-19,41.72,41.88,40.50,40.98,3040184
2016-01-20,40.51,41.19,39.00,40.67,3762621
2016-01-21,40.85,42.08,40.72,41.19,3369892
2016-01-22,41.91,43.15,41.66,42.21,3151919
2016-01-25,41.90,42.06,40.34,40.60,4535274
2016-01-26,41.13,42.75,40.40,42.49,3860323
2016-01-27,42.32,42.65,41.51,41.82,2058289
2016-01-28,42.24,42.67,41.19,41.28,3141948
2016-01-29,41.54,42.34,41.27,42.15,2738207
2016-02-01,41.83,42.27,41.45,41.62,2197187
2016-02-02,41.03,41.34,40.10,40.19,2139088
2016-02-03,40.62,40.89,39.05,40.36,3115300
2016-02-04,40.25,41.28,40.15,40.52,1984403
2016-02-05,40.29,40.83,39.44,39.53,3022738
2016-02-08,38.95,39.08,37.86,38.44,3153715
2016-02-09,37.79,38.90,37.76,38.42,3600281
2016-02-10,38.89,39.65,38.39,38.99,1903257
2016-02-11,38.29,38.65,37.14,37.80,4188628
2016-02-12,38.45,39.73,38.36,39.70,2681319
2016-02-16,40.22,40.56,39.50,40.30,2405662
2016-02-17,40.53,40.97,40.11,40.52,3643901
2016-02-18,40.56,40.72,39.72,40.00,2032981
2016-02-19,39.89,40.55,39.67,39.97,3458787
2016-02-22,40.37,40.86,39.98,40.84,3511934
2016-02-23,40.68,41.20,40.17,41.04,2165859
2016-02-24,40.68,41.11,39.90,41.10,2027297
2016-02-25,41.11,42.34,41.10,42.24,2647276
2016-02-26,42.40,42.82,42.01,42.24,2023155
2016-02-29,42.20,42.72,41.91,41.94,2063282
2016-03-01,42.37,43.84,42.37,43.63,2316785
2016-03-02,43.58,44.79,43.44,44.77,2858894
2016-03-03,44.77,45.66,44.73,45.64,2455952
2016-03-04,45.61,45.85,45.10,45.38,1865968
2016-03-07,45.05,46.02,45.00,45.72,2104825
2016-03-08,45.51,45.72,44.11,44.53,2528400
2016-03-09,44.77,45.35,44.06,45.21,1778016
2016-03-10,45.26,45.72,44.15,44.86,1694360
2016-03-11,45.26,46.24,44.97,46.22,3346779
2016-03-14,45.79,46.13,45.32,45.76,2729173
2016-03-15,45.35,45.71,45.27,45.47,2099375
2016-03-16,45.22,46.55,45.10,46.47,2239987
2016-03-17,46.42,47.43,46.23,47.23,2083551
2016-03-18,47.43,48.24,47.26,47.66,3042566
2016-03-21,47.73,48.16,46.82,47.28,2061999
2016-03-22,47.03,47.41,46.88,47.05,1390992
2016-03-23,46.96,47.25,46.19,46.20,2083785
2016-03-24,46.54,46.56,45.85,46.35,2589195
2016-03-28,46.52,46.91,45.90,46.70,2196705
2016-03-29,48.00,48.59,46.91,48.18,5817369
2016-03-30,48.63,48.71,47.66,47.81,2272171
2016-03-31,47.67,48.44,47.67,48.36,2109232
2016-04-01,47.88,48.00,47.29,47.45,2818536
2016-04-04,47.45,47.50,46.36,46.85,2152121
2016-04-05,46.59,47.20,46.05,46.79,1691639
2016-04-06,46.84,47.92,46.76,47.67,2015415
2016-04-07,47.54,48.09,47.36,47.64,2277431
2016-04-08,48.17,48.25,47.50,47.59,1824613
2016-04-11,48.06,48.22,47.39,47.41,1963644
2016-04-12,47.41,47.82,47.06,47.63,1342908
2016-04-13,47.88,48.79,47.75,48.66,1682716
2016-04-14,48.61,48.96,48.03,48.31,1304242
2016-04-15,48.25,48.36,47.49,47.92,2394082
2016-04-18,47.82,47.94,47.43,47.77,1447717
2016-04-19,47.59,48.22,46.74,47.32,1957532
2016-04-20,47.30,48.37,46.79,47.80,2248161
2016-04-21,48.03,48.83,47.83,48.15,3375501
2016-04-22,48.15,48.65,47.12,47.33,1591010
2016-04-25,47.21,47.52,46.87,47.20,1419707
2016-04-26,47.21,47.77,47.09,47.48,1034888
2016-04-27,47.59,48.05,47.34,47.70,1495938
2016-04-28,47.29,47.41,45.69,45.80,2807972
2016-04-29,45.64,45.77,44.39,45.31,3045137
2016-05-02,45.58,45.99,45.31,45.81,1423683
2016-05-03,45.40,45.50,44.62,44.72,1938585
2016-05-04,44.31,44.55,43.65,44.44,2765216
2016-05-05,44.54,44.62,43.86,44.01,2070325
2016-05-06,43.84,44.37,43.39,43.85,1926239
2016-05-09,43.90,44.34,43.74,43.89,1555399
2016-05-10,43.98,44.47,43.78,44.47,2162797
2016-05-11,44.19,44.49,43.95,44.12,3190093
2016-05-12,44.26,44.41,43.45,43.70,1702922
2016-05-13,43.63,44.28,43.44,43.59,3152100
2016-05-16,43.59,44.08,43.48,43.79,1855725
2016-05-17,43.67,44.50,43.61,43.85,2161607
2016-05-18,43.75,44.44,43.29,43.69,1779053
2016-05-19,43.28,43.69,42.93,43.49,2362280
2016-05-20,43.73,44.54,43.73,44.31,2331307
2016-05-23,44.21,44.51,43.89,43.99,1113856
2016-05-24,44.66,46.32,44.41,45.69,4531079
2016-05-25,46.02,46.23,45.55,45.65,1739275
2016-05-26,45.61,45.83,45.24,45.46,1923319
2016-05-27,45.53,45.94,45.45,45.74,1087378
2016-05-31,45.82,45.84,45.34,45.57,1638186
2016-06-01,45.31,45.96,45.03,45.81,1217849
2016-06-02,45.66,45.93,45.20,45.78,1393295
2016-06-03,45.64,45.83,44.71,45.71,1422729
2016-06-06,45.92,46.06,45.58,45.81,1268328
2016-06-07,45.84,47.54,45.84,46.96,6979169
2016-06-08,47.08,47.92,46.93,47.76,3842032
2016-06-09,47.42,47.92,47.41,47.66,1318953
2016-06-10,47.23,47.29,46.77,46.92,3630224
2016-06-13,46.64,46.97,46.05,46.08,1965268
2016-06-14,46.00,46.28,45.14,45.58,2992777
2016-06-15,45.71,46.44,45.43,45.81,2084892
2016-06-16,45.49,45.76,45.01,45.64,2406981
2016-06-17,45.69,46.28,45.45,46.20,3423711
2016-06-20,46.83,47.32,46.65,46.66,2653846
2016-06-21,48.03,48.18,45.57,46.14,6078457
2016-06-22,46.14,46.90,45.60,45.97,2725554
2016-06-23,46.55,46.66,46.17,46.58,1514659
2016-06-24,44.88,45.60,44.55,44.73,4029077
2016-06-27,44.70,44.70,43.11,43.74,2846610
2016-06-28,44.35,45.12,44.18,45.03,2335157
2016-06-29,45.63,46.05,45.17,45.82,2238893
2016-06-30,45.88,46.28,45.27,46.10,2313118
2016-07-01,46.00,47.11,46.00,46.42,2193053
2016-07-05,46.43,46.50,45.39,46.34,2493767
2016-07-06,46.06,47.04,45.95,47.02,3356629
2016-07-07,47.07,47.76,47.07,47.49,2565948
2016-07-08,47.93,49.30,47.84,49.16,4492316
2016-07-11,49.21,49.48,48.71,48.75,2933673
2016-07-12,49.16,49.26,48.73,48.78,1695816
2016-07-13,49.00,49.26,48.49,48.71,1098182
2016-07-14,49.18,49.18,48.60,48.77,1521833
2016-07-15,48.85,48.86,48.29,48.65,1238090
2016-07-18,48.75,48.97,48.35,48.89,1458005
2016-07-19,48.96,49.20,48.59,48.65,998517
2016-07-20,48.65,49.11,48.58,48.95,1598840
2016-07-21,49.05,49.05,48.54,48.85,1867041
2016-07-22,48.89,49.10,48.08,48.69,1427121
2016-07-25,48.70,49.24,48.65,49.15,2291745
2016-07-26,49.02,49.12,48.33,49.10,2767410
2016-07-27,49.25,49.60,48.41,48.61,1553693
2016-07-28,48.73,48.79,48.28,48.28,1888320
2016-07-29,48.16,48.17,46.62,46.80,3544553
2016-08-01,46.71,47.07,46.48,46.75,1788368
2016-08-02,46.59,46.80,45.40,45.53,2480872
2016-08-03,45.40,46.09,45.23,45.74,2836068
2016-08-04,45.77,46.05,45.26,45.81,2778683
2016-08-05,46.13,46.91,46.13,46.80,2484601
2016-08-08,46.97,47.10,46.53,46.62,2320603
2016-08-09,46.51,46.87,46.44,46.83,1520174
2016-08-10,46.90,46.98,46.41,46.80,1764164
2016-08-11,46.97,47.35,46.80,47.16,1181680
2016-08-12,47.13,47.27,46.52,46.75,1489819
2016-08-15,46.89,47.77,46.89,47.30,1791843
2016-08-16,47.14,47.30,46.78,47.12,1097514
2016-08-17,47.05,47.18,46.34,46.77,1044632
2016-08-18,46.75,46.98,46.42,46.88,1034966
2016-08-19,46.65,46.80,46.41,46.50,1706784
2016-08-22,46.50,46.69,46.21,46.56,1150038
2016-08-23,46.96,48.44,46.59,47.94,3155109
2016-08-24,47.83,47.94,47.14,47.35,1305151
2016-08-25,47.19,47.67,46.92,47.19,1424779
2016-08-26,47.32,47.33,46.05,46.32,2330994
2016-08-29,46.41,47.09,46.21,46.82,1300873
2016-08-30,46.88,47.33,46.67,47.33,1456512
2016-08-31,47.26,47.44,46.86,47.30,1897563
2016-09-01,47.37,47.60,46.56,46.71,1099938
2016-09-02,46.92,47.38,46.35,46.56,1870650
2016-09-06,46.62,46.89,46.23,46.63,1147617
2016-09-07,46.62,47.49,46.52,47.33,1048187
2016-09-08,47.21,47.26,46.83,46.87,725063
2016-09-09,46.38,46.40,44.98,45.18,2129589
2016-09-12,44.77,46.04,44.77,45.87,1711733
2016-09-13,45.41,45.92,44.57,44.71,2210480
2016-09-14,44.77,45.19,44.45,44.74,2072421
2016-09-15,44.74,45.29,44.51,45.01,2578638
2016-09-16,44.80,44.95,44.19,44.34,3580103
2016-09-19,44.65,45.80,44.60,45.09,3665993
2016-09-20,44.66,44.69,42.81,43.50,11406187
2016-09-21,43.43,43.85,42.45,43.45,5046728
