date,open,high,low,close,volume
2018-10-31,161.74,165.60,161.31,165.47,19571300
2018-11-01,164.66,165.48,161.94,162.00,11423528
2018-11-02,160.66,161.81,155.44,159.84,6836439
2018-11-05,157.65,162.19,157.45,161.99,4477635
2018-11-06,161.83,166.35,161.67,165.53,2510572
2018-11-07,164.54,166.85,164.23,166.85,7646295
2018-11-08,164.50,166.15,162.93,165.30,4010008
2018-11-09,162.99,163.94,160.55,161.52,3249146
2018-11-12,160.06,162.30,158.91,159.22,1990853
2018-11-13,160.22,160.33,156.53,156.93,2524372
2018-11-14,158.19,158.24,153.00,153.36,2338939
2018-11-15,156.09,156.30,152.56,155.18,2759391
2018-11-16,153.75,158.46,153.40,158.08,2766823
2018-11-19,158.61,161.45,158.44,159.50,2464717
2018-11-20,157.49,160.19,157.24,157.87,2151626
2018-11-21,159.24,161.24,158.55,159.06,2070941
2018-11-23,156.86,158.01,156.02,156.19,963558
2018-11-26,157.04,158.22,156.88,157.32,3036265
2018-11-27,155.66,156.65,151.52,152.55,2545894
2018-11-28,153.53,156.48,151.70,156.29,1808830
2018-11-29,155.51,159.84,155.35,159.31,2901283
2018-11-30,157.02,160.61,156.94,159.05,3944199
2018-12-03,162.30,164.42,159.92,164.35,3177548
2018-12-04,163.95,164.29,160.45,160.83,2746072
2018-12-06,158.53,159.02,153.00,155.98,4785369
2018-12-07,156.22,158.52,152.36,152.72,2518766
2018-12-10,156.03,157.54,154.11,156.91,2540418
2018-12-11,161.16,162.46,156.65,157.46,2552869
2018-12-12,161.65,162.14,159.46,160.55,2409900
2018-12-13,160.40,161.30,157.30,158.09,2456699
2018-12-14,157.38,158.47,156.05,156.93,2360754
2018-12-17,157.19,159.44,155.59,157.33,3148643
2018-12-18,158.42,158.89,156.63,157.61,2147003
2018-12-19,157.40,158.50,155.21,155.83,2618675
2018-12-20,154.48,156.40,152.44,154.05,3399088
2018-12-21,156.01,157.48,153.03,153.11,5452061
2018-12-24,152.70,153.41,148.13,148.13,2086789
2018-12-26,148.75,152.77,145.95,152.74,2591492
2018-12-27,152.05,156.41,150.60,156.41,2866950
2018-12-28,157.10,158.56,155.04,156.31,1586143
2018-12-31,156.23,157.00,153.94,156.04,1853930
2019-01-02,153.53,158.16,153.52,157.20,1716443
2019-01-03,154.06,154.35,151.93,152.29,1775529
2019-01-04,153.83,157.62,153.36,156.63,1801275
2019-01-07,155.78,158.04,155.15,156.49,1830185
2019-01-08,156.09,158.56,155.20,158.15,2207298
2019-01-09,156.73,159.53,156.33,158.46,2099888
2019-01-10,158.70,161.98,158.35,161.85,2093890
2019-01-11,160.56,160.76,159.37,160.21,1380391
2019-01-14,158.37,159.50,157.70,158.02,2004827
2019-01-15,156.84,157.87,156.54,157.23,2110706
2019-01-16,157.53,158.42,157.08,157.24,1389122
2019-01-17,156.40,157.65,156.21,157.26,2176501
2019-01-18,158.76,161.45,158.01,160.79,2494756
2019-01-22,161.61,161.78,159.69,160.84,1699074
2019-01-23,160.57,161.09,157.46,158.93,1569547
2019-01-24,157.61,157.91,156.43,157.37,2528024
2019-01-25,158.69,160.11,158.64,158.84,1242664
2019-01-28,157.78,158.39,156.88,158.21,1422480
2019-01-29,159.57,162.00,159.35,161.22,1558358
2019-01-30,161.79,163.75,161.16,162.92,1114730
2019-01-31,161.18,163.42,159.63,163.01,1645906
2019-02-01,163.93,165.90,163.46,165.76,1324734
2019-02-04,165.48,165.69,163.22,163.50,2106508
2019-02-05,165.26,165.99,163.80,164.99,2358571
2019-02-06,163.95,164.62,163.04,163.42,1124785
2019-02-07,161.64,162.24,159.43,160.69,1360964
2019-02-08,160.07,161.61,159.08,161.22,1557942
2019-02-11,161.06,161.62,160.63,161.35,1128408
2019-02-12,164.13,167.55,163.89,167.53,1772008
2019-02-13,167.09,168.49,166.79,167.38,1599349
2019-02-14,166.65,167.60,165.93,166.50,1104141
2019-02-15,170.54,170.71,167.77,168.54,2573604
2019-02-19,168.00,168.78,167.56,167.86,2221223
2019-02-20,167.59,171.00,167.59,170.30,2574751
2019-02-21,170.98,172.30,170.54,171.40,1744055
2019-02-22,172.24,173.74,171.55,173.50,1075724
2019-02-25,173.89,175.01,173.39,174.62,1526810
2019-02-26,173.79,174.89,173.45,173.91,1739158
2019-02-27,173.40,175.12,172.63,174.50,1451801
2019-02-28,174.81,174.93,173.10,173.24,1698289
2019-03-01,176.36,176.73,167.86,168.38,3033462
2019-03-04,168.35,168.91,166.07,168.70,1738053
2019-03-05,168.35,169.94,168.34,168.44,1205906
2019-03-06,168.84,169.68,168.21,169.13,986917
2019-03-07,169.36,169.36,166.82,167.47,1450135
2019-03-08,168.75,169.52,167.76,169.46,1558439
2019-03-11,169.48,171.31,169.41,171.28,1189979
2019-03-12,171.78,172.90,171.39,172.32,1309211
2019-03-13,174.01,175.51,173.64,174.39,1538814
2019-03-14,174.25,174.44,173.17,174.21,1033242
2019-03-15,176.28,176.96,174.43,176.43,3661441
2019-03-18,174.75,174.95,173.43,174.55,1220505
2019-03-19,175.35,175.79,172.62,173.58,1264908
2019-03-20,175.35,176.87,174.36,176.63,1536410
2019-03-21,174.34,175.83,173.70,175.10,1146267
2019-03-22,172.10,172.76,169.19,169.86,1383973
2019-03-25,170.97,171.92,169.56,170.00,1349670
