date,open,high,low,close,volume
2015-12-01,220.06,223.10,219.37,220.20,1267238
2015-12-02,220.25,220.95,218.78,218.94,1307371
2015-12-03,219.27,219.76,214.69,215.46,1776848
2015-12-04,216.00,219.90,216.00,218.39,1701751
2015-12-07,218.34,219.62,217.54,219.13,1537760
2015-12-08,217.69,219.78,217.30,218.81,844729
2015-12-09,218.02,220.25,216.61,217.54,1194981
2015-12-10,217.92,219.75,217.00,218.88,1119770
2015-12-11,217.54,219.16,216.70,217.20,1801936
2015-12-14,215.99,217.57,214.72,216.58,2026459
2015-12-15,217.00,217.24,214.72,214.84,1540042
2015-12-16,216.00,218.11,214.75,217.50,1352036
2015-12-17,217.86,218.76,215.16,215.22,1282280
2015-12-18,213.75,215.17,211.85,212.18,2058524
2015-12-21,213.80,215.59,213.52,215.47,1066928
2015-12-22,216.16,218.23,215.58,217.58,895229
2015-12-23,218.00,218.35,217.18,217.93,742711
2015-12-24,218.00,219.00,217.49,218.56,524378
2015-12-28,218.08,218.77,217.43,218.41,612943
2015-12-29,219.36,221.35,218.80,220.47,768589
2015-12-30,220.93,221.24,219.62,219.80,633524
2015-12-31,219.58,219.95,215.78,217.15,1157827
2016-01-04,214.00,215.77,211.39,213.21,1875170
2016-01-05,214.59,218.94,214.02,218.26,1350312
2016-01-06,217.83,221.00,216.26,217.63,1787148
2016-01-07,213.81,216.19,212.14,213.29,1810268
2016-01-08,215.01,216.35,212.37,212.91,1765149
2016-01-11,215.07,216.47,213.23,215.35,2550165
2016-01-12,216.03,218.10,214.51,217.96,1354867
2016-01-13,219.26,219.62,214.06,214.40,1374093
2016-01-14,214.42,217.13,212.27,216.42,1920773
2016-01-15,211.99,217.01,211.99,215.99,2809107
2016-01-19,216.69,220.78,213.17,215.29,2918132
2016-01-20,213.05,216.20,207.62,210.40,2460511
2016-01-21,211.20,212.00,208.75,210.79,1563513
2016-01-22,213.71,213.71,211.01,212.04,1518177
2016-01-25,211.84,212.75,210.00,211.01,1792487
2016-01-26,201.43,211.22,200.47,209.93,4441492
2016-01-27,209.89,211.64,207.00,207.86,2740012
2016-01-28,208.49,209.43,206.17,206.66,1863015
2016-01-29,207.83,211.05,206.12,211.00,2596050
