date,open,high,low,close,volume
2015-12-01,55.40,55.73,55.06,55.50,1946711
2015-12-02,55.72,55.83,54.83,54.93,1761190
2015-12-03,55.37,55.60,54.29,54.49,2635148
2015-12-04,54.67,55.92,54.31,55.80,1991395
2015-12-07,55.66,55.69,54.36,54.57,1842155
2015-12-08,53.78,54.02,53.10,53.37,2356484
2015-12-09,53.26,53.95,51.90,52.22,2161132
2015-12-10,52.20,53.32,52.09,52.73,2178016
2015-12-11,51.65,51.92,50.27,50.62,2674305
2015-12-14,50.66,51.32,49.86,50.37,2725913
2015-12-15,51.07,51.53,50.52,51.30,3342170
2015-12-16,51.93,52.13,50.96,51.94,1831806
2015-12-17,52.02,52.03,50.24,50.24,1673675
2015-12-18,49.63,49.81,48.52,48.67,3395772
2015-12-21,48.99,49.33,48.49,49.00,1414037
2015-12-22,49.52,50.03,48.90,49.80,1311532
2015-12-23,50.19,50.79,49.44,50.73,1082608
2015-12-24,50.72,50.91,50.53,50.65,547442
2015-12-28,50.48,50.71,50.09,50.60,913518
2015-12-29,51.20,51.27,50.48,51.11,1096535
2015-12-30,51.14,51.23,50.80,50.83,1245256
2015-12-31,50.38,50.91,50.21,50.26,837063
2016-01-04,49.17,49.17,47.97,49.10,1958965
2016-01-05,49.30,49.51,48.49,49.14,2012914
2016-01-06,48.02,48.24,46.59,46.92,2168420
2016-01-07,45.54,45.95,45.13,45.36,3420786
2016-01-08,45.86,46.34,44.12,44.24,3202588
2016-01-11,44.53,44.70,42.43,43.20,4932382
2016-01-12,43.78,44.13,42.72,43.50,2697469
2016-01-13,43.50,43.92,41.52,41.78,2665751
2016-01-14,41.97,42.14,40.90,41.51,3287048
2016-01-15,39.90,40.62,39.49,40.42,3154853
2016-01-19,41.00,41.17,39.40,39.69,2269554
2016-01-20,38.34,38.65,36.73,38.20,4430625
2016-01-21,38.19,39.38,37.66,38.57,2437557
2016-01-22,39.65,40.36,39.38,39.59,2820609
2016-01-25,39.40,39.62,38.40,38.53,2698188
