date,open,high,low,close,volume
2015-12-01,78.30,79.61,78.21,79.59,2082890
2015-12-02,79.24,79.91,78.55,78.65,2061466
2015-12-03,79.38,79.73,76.15,76.44,2313700
2015-12-04,76.67,78.05,76.41,77.68,2278776
2015-12-07,77.57,78.50,76.94,77.89,1771224
2015-12-08,79.04,80.70,77.35,80.40,4503272
2015-12-09,80.22,80.40,77.81,78.32,2392991
2015-12-10,78.73,80.68,78.09,80.03,2325136
2015-12-11,79.04,79.67,78.53,78.89,2177222
2015-12-14,79.08,79.38,76.67,77.56,1952685
2015-12-15,78.94,80.65,78.50,79.93,2359594
2015-12-16,80.48,80.82,78.28,80.25,1828755
2015-12-17,80.49,80.79,78.66,78.70,1536717
2015-12-18,78.02,78.34,76.89,77.04,3409552
2015-12-21,77.96,78.81,77.15,78.75,1616633
2015-12-22,79.49,80.25,78.24,80.19,1486261
2015-12-23,80.71,80.85,80.06,80.42,1040597
2015-12-24,80.21,80.78,80.15,80.39,428415
2015-12-28,80.17,80.17,78.93,80.03,1085387
2015-12-29,80.51,81.29,79.77,80.75,1338566
2015-12-30,80.75,81.23,79.77,80.17,864401
2015-12-31,80.11,80.49,79.25,79.42,1077967
2016-01-04,77.77,78.21,76.83,77.73,2639061
2016-01-05,78.16,78.55,77.05,78.15,1911840
2016-01-06,76.50,77.10,72.52,73.56,4604655
2016-01-07,72.10,73.52,71.46,71.71,3449871
2016-01-08,72.38,72.56,69.43,70.48,4736046
2016-01-11,71.13,71.37,69.67,70.95,2984350
2016-01-12,72.52,72.95,70.32,71.44,2509484
2016-01-13,71.61,72.30,68.81,69.08,3126934
2016-01-14,69.78,72.84,68.88,71.95,4609040
2016-01-15,69.25,69.25,66.14,67.96,6103670
2016-01-19,69.07,69.70,66.96,67.46,2911892
2016-01-20,67.41,70.36,67.02,69.57,4448205
2016-01-21,69.95,70.04,67.58,68.12,3935813
2016-01-22,69.55,70.46,68.17,68.72,2285978
2016-01-25,69.17,69.17,67.83,68.00,2588566
2016-01-26,68.06,68.92,67.45,68.74,1794475
2016-01-27,68.80,69.19,67.24,67.50,2358741
2016-01-28,68.51,71.00,68.14,69.45,4235161
2016-01-29,70.03,72.45,70.03,71.79,3917149
2016-02-01,71.20,73.31,71.06,72.62,2722076
2016-02-02,71.60,72.24,70.12,70.55,3409706
2016-02-03,71.33,71.80,69.33,71.41,3320076
2016-02-04,71.36,72.06,70.56,71.47,2206058
2016-02-05,70.86,71.18,68.04,68.97,2978189
2016-02-08,67.99,68.36,65.00,66.08,2505472
2016-02-09,65.08,66.40,64.19,65.58,2953385
2016-02-10,66.00,66.68,65.09,65.48,3311148
2016-02-11,64.42,65.35,63.10,64.21,3975319
2016-02-12,64.91,66.62,64.25,66.05,2049065
2016-02-16,66.81,68.47,66.66,67.58,2805507
2016-02-17,68.12,69.32,67.79,69.25,3234672
2016-02-18,69.56,69.56,67.73,67.77,2609220
2016-02-19,69.52,71.43,69.38,69.77,4112529
2016-02-22,70.19,71.46,69.49,70.34,3659039
2016-02-23,69.72,70.35,68.95,69.23,1952825
2016-02-24,68.76,70.53,68.19,70.48,1987990
2016-02-25,70.52,72.46,70.14,72.43,2937511
2016-02-26,72.86,74.16,72.49,73.81,2990258
2016-02-29,73.39,74.62,73.09,73.30,2554321
2016-03-01,73.50,75.94,73.08,75.57,2937570
2016-03-02,75.34,75.90,73.83,74.55,2421143
2016-03-03,74.55,75.00,73.90,74.87,1402021
2016-03-04,75.22,75.25,73.82,74.33,1624221
2016-03-07,73.77,75.08,73.59,75.04,2987950
2016-03-08,74.74,75.09,73.27,73.34,3281922
2016-03-09,73.55,74.39,73.06,73.81,1643148
2016-03-10,74.13,75.96,73.83,75.23,2970671
2016-03-11,75.69,76.50,75.22,76.17,2139206
2016-03-14,75.66,77.00,75.56,76.92,1562353
2016-03-15,77.06,77.48,76.53,77.16,2347545
2016-03-16,77.10,77.86,76.50,77.81,2351584
2016-03-17,78.57,79.50,77.48,79.26,2661752
2016-03-18,79.57,80.01,78.83,79.42,2673444
2016-03-21,79.19,79.80,78.95,79.76,1553699
2016-03-22,80.05,80.43,79.11,80.18,1495488
2016-03-23,79.85,80.01,79.32,79.36,2011090
2016-03-24,78.74,78.90,77.49,78.88,2156626
2016-03-28,79.47,79.59,78.89,79.13,1573112
2016-03-29,79.13,82.05,78.75,81.94,3298840
2016-03-30,82.56,83.51,81.86,82.19,2658812
2016-03-31,81.81,83.06,80.94,82.60,3857677
2016-04-01,82.28,83.14,81.69,82.93,2908555
2016-04-04,82.98,82.98,81.83,82.76,2048331
2016-04-05,81.82,82.73,81.56,81.69,1880842
2016-04-06,81.54,82.69,81.26,82.62,2187151
2016-04-07,82.07,82.50,80.45,81.22,2500189
2016-04-08,82.04,82.45,80.69,81.12,1713312
2016-04-11,82.29,82.30,81.29,81.38,1630283
2016-04-12,81.70,82.00,80.29,81.40,2399882
2016-04-13,82.18,82.82,81.64,82.81,2562630
2016-04-14,81.65,82.30,80.72,81.61,2762760
2016-04-15,81.02,81.89,80.35,81.64,2880801
2016-04-18,81.67,82.42,81.11,82.06,2707630
2016-04-19,82.50,83.06,81.79,82.77,2929637
2016-04-20,82.36,83.00,80.79,82.67,4079104
2016-04-21,82.71,83.83,80.21,80.82,3966933
2016-04-22,80.76,81.81,80.09,80.65,2223052
2016-04-25,80.72,80.92,79.53,80.22,2231874
2016-04-26,80.58,81.40,79.75,80.25,2711071
2016-04-27,80.35,81.16,79.70,80.97,3784231
2016-04-28,79.94,80.38,77.96,78.16,3234235
2016-04-29,77.83,77.95,75.68,76.40,4548109
2016-05-02,76.40,77.18,75.78,76.59,3720643
2016-05-03,75.73,76.28,75.36,75.73,3325598
2016-05-04,75.42,76.24,74.62,74.90,3456980
2016-05-05,75.04,75.83,74.80,75.05,2872433
2016-05-06,74.84,75.30,74.23,74.94,2352593
2016-05-09,75.00,75.40,74.32,74.64,2440354
2016-05-10,74.94,75.98,74.55,75.95,2755859
2016-05-11,75.42,76.09,75.31,75.61,1913335
2016-05-12,75.83,76.03,74.09,74.90,2332860
2016-05-13,74.73,74.98,74.20,74.34,2151830
2016-05-16,72.19,73.91,72.00,73.46,4115659
2016-05-17,73.65,73.91,72.92,73.14,3356696
2016-05-18,73.25,74.76,72.96,73.97,2334623
2016-05-19,73.66,74.05,72.99,73.32,1821647
2016-05-20,75.27,77.00,75.02,76.68,3495142
2016-05-23,76.65,77.35,76.15,76.82,3234960
2016-05-24,77.61,79.58,77.52,79.27,3592667
2016-05-25,79.60,80.81,79.20,80.62,2951307
2016-05-26,80.44,81.19,80.28,81.02,1929931
2016-05-27,81.20,83.39,81.18,82.97,3736174
2016-05-31,82.63,83.04,82.02,82.81,2574288
2016-06-01,82.54,83.23,82.02,83.13,2197594
2016-06-02,83.04,84.31,82.75,83.63,2824665
2016-06-03,83.28,83.38,82.52,83.10,1646908
2016-06-06,83.43,83.43,82.15,82.32,1516725
2016-06-07,82.85,83.25,82.30,82.97,1694957
2016-06-08,82.89,83.54,82.67,83.39,1260032
2016-06-09,82.67,83.69,82.13,83.63,1574409
2016-06-10,82.29,82.62,81.79,82.37,1647229
2016-06-13,81.55,82.85,81.20,81.98,1418960
2016-06-14,81.68,82.25,81.21,81.97,1477711
2016-06-15,82.59,83.21,81.92,82.48,1632417
2016-06-16,81.75,82.81,81.36,82.67,1314708
2016-06-17,82.51,82.90,81.74,82.89,2362474
2016-06-20,83.97,84.75,83.57,84.28,2642728
2016-06-21,84.68,85.00,84.07,84.66,1330147
2016-06-22,84.46,85.89,84.36,85.65,2475665
2016-06-23,86.28,87.19,86.15,87.18,2606873
2016-06-24,82.99,85.80,82.28,82.28,5740655
2016-06-27,81.35,81.83,79.15,79.96,3007797
2016-06-28,81.00,81.69,80.51,81.67,2390714
2016-06-29,82.53,83.69,81.27,82.20,4104594
2016-06-30,82.81,84.06,82.18,84.06,2845627
2016-07-01,83.95,83.95,82.79,82.98,1731675
2016-07-05,82.71,82.72,80.98,81.89,1834390
2016-07-06,81.50,82.17,80.68,81.96,1981436
2016-07-07,82.17,83.21,81.53,82.04,1829745
2016-07-08,82.89,85.28,82.63,84.88,2667133
2016-07-11,85.47,86.68,85.00,86.33,1921913
