date,open,high,low,close,volume
2015-12-01,30.02,30.46,29.80,30.42,3572828
2015-12-02,30.33,30.49,30.11,30.17,3280275
2015-12-03,30.20,30.26,29.31,29.51,3158238
2015-12-04,29.63,30.09,29.48,30.02,3232683
2015-12-07,29.88,30.02,29.73,29.94,2228670
2015-12-08,29.59,29.99,29.49,29.75,2853219
2015-12-09,29.62,29.98,29.14,29.30,3259912
2015-12-10,29.22,29.48,28.90,29.25,3663177
2015-12-11,29.00,29.32,28.83,28.96,2998203
2015-12-14,29.08,29.23,28.65,29.22,3602123
2015-12-15,29.40,29.59,28.76,28.81,4885104
2015-12-16,29.10,29.65,28.99,29.43,4871618
2015-12-17,29.45,29.52,28.37,28.37,4451624
2015-12-18,28.24,28.24,27.68,27.88,8325788
2015-12-21,28.05,28.21,27.81,28.04,3343302
2015-12-22,28.15,28.36,27.88,28.31,2892344
2015-12-23,28.50,28.63,28.31,28.38,3356494
2015-12-24,28.34,28.56,28.26,28.44,1545968
2015-12-28,28.25,28.54,28.17,28.51,1500401
2015-12-29,28.73,28.75,28.43,28.54,1797047
2015-12-30,28.49,28.71,28.37,28.41,1545784
2015-12-31,28.31,28.65,28.00,28.30,2096685
2016-01-04,27.83,27.88,27.48,27.80,3373978
2016-01-05,27.89,28.16,27.56,27.69,2512462
2016-01-06,27.23,27.70,26.82,27.38,6287000
2016-01-07,26.78,27.07,25.92,26.13,5723018
2016-01-08,26.26,26.43,25.47,25.53,8750374
2016-01-11,25.57,25.82,24.87,25.15,7066470
2016-01-12,25.44,25.67,25.06,25.52,7857838
2016-01-13,25.60,25.80,24.51,24.54,5757593
2016-01-14,24.58,25.10,24.10,24.95,7536868
2016-01-15,24.41,25.33,24.30,24.82,7463565
2016-01-19,25.07,25.42,24.45,24.71,6824826
2016-01-20,24.28,24.57,23.76,24.26,6957121
2016-01-21,24.32,25.36,24.13,24.91,8733304
2016-01-22,25.55,26.19,25.41,25.57,5461036
2016-01-25,25.69,25.72,25.31,25.37,5516273
2016-01-26,25.36,25.72,24.96,25.67,3507166
2016-01-27,25.57,26.15,25.47,25.77,5728604
2016-01-28,25.91,26.07,25.23,25.42,4416747
2016-01-29,25.67,26.41,25.29,26.39,4719197
2016-02-01,26.23,26.39,26.00,26.27,3796282
2016-02-02,25.94,26.01,25.03,25.07,6410135
2016-02-03,25.36,25.50,24.26,25.26,6906858
2016-02-04,25.14,26.04,25.14,25.39,4689470
2016-02-05,25.34,25.47,24.19,24.30,6235259
2016-02-08,23.92,23.99,23.10,23.46,10589403
2016-02-09,24.62,25.63,23.60,25.39,11542338
2016-02-10,25.68,26.40,25.36,25.51,7124493
2016-02-11,25.06,25.62,24.62,24.97,6618747
2016-02-12,25.32,25.86,25.23,25.82,5417074
2016-02-16,26.31,26.44,25.61,26.43,7757787
2016-02-17,26.61,27.43,26.60,27.23,6052958
2016-02-18,27.27,27.38,26.93,27.03,4252224
2016-02-19,26.95,27.70,26.83,27.62,5082213
2016-02-22,27.86,28.01,27.57,27.79,4120112
2016-02-23,27.77,28.40,27.62,28.36,5456090
2016-02-24,28.07,28.77,27.81,28.68,5552339
2016-02-25,28.70,29.05,28.23,28.91,4004338
2016-02-26,29.03,29.13,28.66,28.74,4413067
2016-02-29,28.81,29.06,28.20,28.20,4239521
2016-03-01,28.44,29.20,28.36,29.20,4373665
2016-03-02,29.12,29.27,28.71,29.07,3933851
2016-03-03,29.14,29.23,28.56,28.97,5425741
2016-03-04,28.98,29.34,28.74,28.99,4589139
2016-03-07,28.81,29.14,28.61,28.96,3415794
2016-03-08,28.78,29.26,28.56,29.14,5309048
2016-03-09,29.22,29.32,28.66,29.23,4956508
2016-03-10,29.30,29.58,28.75,29.12,3334987
2016-03-11,29.48,29.56,29.12,29.49,3435993
2016-03-14,29.32,29.55,29.04,29.51,3243354
2016-03-15,29.22,29.83,29.15,29.82,3806573
2016-03-16,29.66,30.15,29.57,29.98,4409165
2016-03-17,29.91,30.70,29.85,30.56,3142291
2016-03-18,30.69,30.95,30.57,30.77,4729562
2016-03-21,30.77,30.99,30.59,30.86,2974163
2016-03-22,30.60,31.23,30.53,31.07,2933692
2016-03-23,30.84,31.37,30.82,30.94,3334117
2016-03-24,30.84,30.92,30.67,30.89,1924273
2016-03-28,30.95,31.41,30.88,31.20,2401333
2016-03-29,31.18,31.48,31.08,31.43,2049331
2016-03-30,31.54,31.71,31.28,31.60,2201227
2016-03-31,31.50,31.61,31.22,31.45,6966190
2016-04-01,31.34,32.10,31.23,32.04,4528883
2016-04-04,32.00,32.08,31.47,31.68,3515992
2016-04-05,31.37,31.68,31.16,31.50,3076845
2016-04-06,31.38,31.73,31.36,31.72,2234816
2016-04-07,31.61,32.00,31.19,31.40,2909569
2016-04-08,31.69,31.88,31.57,31.73,1894852
2016-04-11,31.77,32.01,31.44,31.47,2577784
2016-04-12,31.45,31.86,31.45,31.78,2332370
2016-04-13,32.00,32.26,31.92,32.21,2001708
2016-04-14,32.29,32.37,32.01,32.16,1860869
2016-04-15,32.24,32.32,32.06,32.28,1788412
2016-04-18,32.23,32.50,32.12,32.40,2143371
2016-04-19,32.40,32.69,32.12,32.40,2154441
2016-04-20,32.40,32.92,32.21,32.72,2838937
2016-04-21,32.78,32.84,32.22,32.30,3147971
2016-04-22,32.35,32.56,32.29,32.47,3017872
2016-04-25,32.44,32.47,32.01,32.24,3926856
